,,pid1263-01,pid52932-01,pid9048-01,pid9050-01,pid9054-01,pid9055-01,pid9058-01,pid9059-01,pid9062-01,pid9063-01,pid9066-01,pid9067-01,pid9068-01,pid9072-01,pid9075-01,pid9088-01,pid9093-01,pid9097-09,pid9099-01,pid9101-01,pid9103-01,pid9104-01,pid9105-01,pid9118-01,pid9137-01,pid9138-01,pid9139-01,pid9150-15,pid9153-01,pid9166c-03,pid9173-06,pid9174-01,pid9186c-01,pid9192-01
1,2,0.32853563,0.19290701,0.54001334,0.28844416,0.48090661,0.49249809,0.21374296,1,0.49700267,0.28397368,0.35175963,0.057097391,0.29445963,0.15127016,0.98271873,0.41784317,0.25301635,0.57694969,0.46177656,0.11157449,0.34561467,0.53433757,0.21437591,0.70780193,0.29827599,0.40312196,0.46518258,0.44432608,0.007030371,0.55038546,0.46448571,0.38311711,0.20253569,0.43680718
2,0,0.30218503,0.39740584,0.59307755,0.3426816,0.54745058,0.46764481,0.22127735,0.8076329,0.46508346,0.37623658,0.45982736,0.22904904,0.31263834,0.20892077,0.88177874,0.41431365,0.30654072,0.45180868,0.49631003,0.35432109,0.29882818,0.48476796,0.43797124,0.70033882,0.30870321,0.51564626,0.56509591,0.49600741,0.12309086,0.57807899,0.47269537,0.34365559,0.33319838,0.58173302
2,1,0.29097925,0.5318883,0.61939447,0.38421576,0.57641445,0.46891214,0.23630337,0.75769082,0.44426819,0.43725609,0.52197875,0.36473108,0.32646536,0.25463567,0.8208243,0.41924939,0.36266074,0.3600361,0.51722837,0.49329641,0.3122358,0.49408683,0.59368372,0.72251427,0.32781096,0.57052964,0.64141368,0.52612321,0.24945632,0.60658866,0.47678193,0.33540075,0.51615172,0.68178181
2,2,0.29097925,0.57605792,0.62526898,0.40547524,0.59132924,0.47809815,0.25319695,0.69487708,0.43598635,0.4774013,0.56239708,0.40901232,0.33801066,0.27559463,0.79443239,0.43171913,0.39484045,0.31512371,0.52789538,0.55632484,0.33424874,0.52510292,0.69797835,0.75277193,0.35028355,0.58580539,0.67009557,0.54421491,0.26724159,0.64038116,0.48086117,0.34484628,0.58719369,0.711895
3,0,0.30540243,0.58123761,0.62862584,0.44217564,0.6070893,0.49903887,0.23088602,0.65291543,0.43190999,0.5261912,0.62702523,0.45082243,0.35889466,0.29042123,0.77086045,0.4599553,0.42731386,0.256148,0.54151052,0.62842714,0.36601725,0.56705651,0.82633908,0.79510789,0.391138,0.58839893,0.69367972,0.5651598,0.28697663,0.66753427,0.49130053,0.37276524,0.63033596,0.74978532
3,1,0.31911396,0.53006981,0.60015708,0.46672389,0.60476483,0.52125542,0.22810607,0.6341421,0.43451997,0.5474966,0.66264276,0.467141,0.36715398,0.28049728,0.76464208,0.46621345,0.45026988,0.20387305,0.52493445,0.65045206,0.35373832,0.57487837,0.88951414,0.85355201,0.41164461,0.55344388,0.70294004,0.55727652,0.31628546,0.70615743,0.50413773,0.4027368,0.64290077,0.73419204
3,2,0.33909993,0.49548393,0.54617834,0.48450488,0.57333333,0.51966488,0.29847459,0.62919295,0.43211288,0.60704129,0.72795485,0.53490169,0.37167646,0.31148266,0.74121475,0.52009685,0.48945071,0.17613747,0.58946089,0.70112405,0.34643422,0.63567552,0.94660831,0.90947466,0.46006049,0.54756438,0.6686016,0.55478462,0.3888389,0.72625205,0.50622122,0.50546472,0.69414731,0.72756635
4,0,0.37397013,0.5451435,0.56449045,0.51322732,0.61710293,0.56105299,0.38143132,0.64834599,0.44838144,0.69392679,0.81049137,0.60353454,0.42682744,0.37891699,0.76724512,0.62570311,0.54931735,0.28677897,0.65709535,0.77519752,0.41757728,0.74140157,1,0.96742348,0.50686578,0.56571307,0.68366672,0.60842983,0.45249969,0.74516659,0.50690109,0.63522303,0.75722708,0.7959797
4,1,0.41971535,0.63009566,0.62281589,0.54600651,0.69366053,0.62679255,0.46641956,0.70819925,0.46819146,0.7382998,0.87888446,0.6474715,0.50922257,0.45508333,0.7989154,0.6951667,0.62561518,0.37371588,0.70505852,0.81844099,0.48482387,0.86492328,0.99859012,0.99515967,0.57795085,0.60010933,0.73521429,0.67760074,0.56091739,0.79095852,0.51383873,0.70382086,0.80183252,0.86745706
4,2,0.46514984,0.69589761,0.65481365,0.58352006,0.75378323,0.65777834,0.51116972,0.77590423,0.47981186,0.72761307,0.91454183,0.6576314,0.5815002,0.50408284,0.84533623,0.70633265,0.64277663,0.39320147,0.70832001,0.83090332,0.54368799,0.92974364,0.93974279,1,0.59983365,0.63690476,0.77827703,0.72046318,0.62729659,0.82608552,0.53411068,0.76828683,0.83464735,0.89423302
