,measure_number,beat_number,pid1263-02,pid52932-02,pid9048-02,pid9049-02,pid9050-02,pid9054-02,pid9055-02,pid9058-02,pid9059-02,pid9060-02,pid9061-02,pid9062-02,pid9063-02,pid9065-01,pid9067-02,pid9068-02,pid9072-02,pid9074f-02,pid9075-02,pid9088-02,pid9090-01,pid9093-02,pid9094-02,pid9097-10,pid9098-03,pid9101-02,pid9104-02,pid9112-04,pid9118-02,pid9137-02,pid9138-02,pid9139-02,pid9150-16,pid9153-02,pid915406-12,pid9166c-04,pid9170-02,pid9173-07,pid9174-02,pid9176-02,pid9186c-02,pid9192-02
0,1,0,0.28645229,0.25724017,0.25677835,0.31746066,0.33351034,0.51586574,0.39989009,0.32088793,0.59125514,0.31837257,0.11909976,0.43529522,0.1874826,0.18839895,0.25829071,0.28105627,0.26504029,0.39251953,0.41330544,0.24382305,0.7506955,0.42782718,0.20018053,0.11896453,0.24977784,0.28192641,0.24948916,0.17448422,0.80034283,0.15570822,0.21860092,0.29293769999999997,0.34922115,0.23428056,0.30051209999999995,0.50848674,0.31317327,0.095258533,0.32089662,0.50098624,0.41649914,0.1284741
1,1,1,0.34410553,0.36398594,0.29823573,0.30887987,0.40190699,0.55604688,0.50740062,0.44485625,0.56979266,0.35458340000000005,0.18269332,0.49025627,0.23477392,0.26759705,0.29785783,0.33669752,0.29562656,0.43889371,0.38958159,0.40814446,0.72439302,0.50388036,0.32674629,0.15248141,0.42984701,0.46621212,0.32441233,0.37584622,0.8114022,0.22887394,0.38926893,0.40745979,0.36918947,0.28499903,0.42924834,0.57862684,0.39083996,0.15264664,0.36429713,0.47371752,0.36360219,0.34648687
2,1,2,0.36590144,0.41888230000000004,0.32496983,0.30037029,0.44292609,0.57725093,0.57784393,0.52656953,0.54147673,0.37552179,0.23104306,0.52306393,0.25076569,0.31407401,0.33468238,0.36260467,0.31025841,0.46271601,0.37108189,0.46167636,0.7005564000000001,0.55331896,0.45890154,0.17422054,0.50458765,0.54145743,0.36972340000000004,0.48784364,0.8112473000000001,0.28918555,0.47888287,0.49453688,0.37962287,0.33040789,0.50224851,0.63706148,0.42134056,0.19645071,0.382137,0.45285935,0.3309553,0.4400071
3,2,0,0.37470977,0.44322127,0.33223378,0.29475895,0.47246315,0.58524241,0.59901081,0.59131625,0.51197373,0.38631936,0.25502486,0.5313339,0.25216997,0.34554959999999996,0.3582833,0.37832378,0.31447069,0.46532786,0.35875075,0.49020001,0.67811077,0.57714003,0.51605333,0.18474685,0.54820509,0.5841341999999999,0.39616247,0.53403478,0.80836629,0.31368272,0.51743501,0.53859309,0.38158826,0.35188479,0.53837189,0.67698275,0.43895656,0.21735132,0.39102537,0.43540149,0.31814169999999997,0.49887154
4,2,1,0.37288136,0.46228668,0.33810701,0.28975290000000004,0.49694953,0.57986148,0.610817,0.66687854,0.47944761,0.39389436,0.27754152,0.53001971,0.24486411,0.38077098,0.362664,0.39490965,0.3150653,0.4589521,0.3520801,0.52872896,0.65768842,0.59824845,0.50531871,0.19427203,0.57130927,0.61885281,0.43077498,0.57994427,0.80603257,0.33842776,0.52854678,0.57314661,0.38244179999999994,0.35472002,0.57188769,0.69321524,0.44873618,0.24082703,0.3959692,0.42496504,0.31489744,0.56280341
5,2,2,0.35349431,0.45891013,0.32032642,0.27937049999999997,0.50676768,0.56505061,0.61386701,0.7305398,0.43007281,0.39801859,0.29240453,0.51543227,0.21036862,0.40399127,0.33585353,0.38862935,0.30215615,0.4366764,0.34526599,0.5309824000000001,0.63789833,0.60277553,0.39286905,0.18765732,0.55242337,0.62033911,0.45854307,0.61745446,0.80330645,0.34099858,0.45922908,0.59069144,0.36363024,0.35671757,0.51316146,0.69213847,0.43522495,0.26064446,0.39056254,0.41696475,0.31753698,0.58652945
6,3,0,0.37350534,0.42684392,0.30585599,0.28808659,0.4963595,0.55903037,0.57124931,0.7916194000000001,0.46590693,0.47627873,0.30385592,0.48656716,0.21193027,0.43156651,0.3161441,0.40277655,0.29737705,0.40744891,0.35537358,0.56558535,0.61499115,0.62216833,0.32692682,0.18869422,0.59421004,0.63798701,0.47805466,0.61391367,0.78337688,0.34623229,0.41898162,0.57513404,0.36303501,0.36523616,0.42725881,0.68089614,0.49398719,0.30741195,0.37295409999999996,0.43510709,0.33760726,0.58364798
7,3,1,0.42159566,0.43323079,0.36353083,0.31635690000000005,0.51282142,0.57810336,0.56201685,0.86334833,0.54189617,0.54040741,0.31030361,0.48542195,0.25280552,0.47944359,0.30810911,0.45893933,0.31214782,0.40347984,0.40140466,0.63684437,0.6044259,0.66727746,0.35772115,0.21320079999999997,0.7067545999999999,0.69376623,0.51319046,0.63777373,0.80842825,0.36276204,0.48293379,0.54873359,0.41361845,0.39003802,0.46002119,0.6962486999999999,0.56871084,0.38986988,0.38771195,0.50359167,0.35861731,0.59868701
8,3,2,0.47993093,0.47834908,0.48011034,0.34880723,0.53997475,0.64347363,0.60197838,0.89570702,0.63926876,0.59041576,0.32333122,0.5081760999999999,0.29402579,0.54186744,0.31200059,0.53818863,0.34981384,0.45368105,0.46239689,0.7066011,0.61314492,0.73045001,0.44414665,0.25584239,0.80600195,0.76753247,0.57796329,0.70220193,0.85520596,0.3830949,0.58513473,0.54246626,0.47683651,0.43361041,0.54708929,0.75351395,0.61084278,0.48322093,0.42081457,0.5493928000000001,0.38913949,0.62762243
9,4,0,0.4521854,0.50134769,0.50309752,0.3309478,0.52160111,0.67197656,0.61325334,0.84120868,0.66103989,0.55388768,0.31377869,0.47208298,0.295309,0.54396763,0.3043807,0.55910827,0.34632398,0.50306163,0.47703527,0.71675664,0.5923432,0.71165005,0.54384808,0.26341533,0.82996264,0.76060606,0.64223773,0.68078622,0.86851643,0.33723088,0.60900601,0.52167683,0.48822453,0.44345641,0.57255283,0.75807572,0.58384848,0.52059405,0.44134725,0.5617134,0.40287652,0.5971753000000001
