,measure_number,beat_number,pid1263-03,pid52932-03,pid9048-03,pid9049-03,pid9050-03,pid9054-03,pid9055-03,pid9058-03,pid9059-03,pid9060-03,pid9061-03,pid9062-03,pid9063-03,pid9066-03,pid9067-03,pid9072-03,pid9074f-03,pid9075-03,pid9088-03,pid9091-20,pid9093-03,pid9094-03,pid9097-06,pid9099-03,pid9101-03,pid9104-03,pid9105-03,pid9111-03,pid9112-05,pid9114-27,pid9118-03,pid9137-03,pid9138-03,pid9139-03,pid9150-17,pid9153-03,pid9166c-05,pid9170-03,pid9173-08,pid9174-03,pid9186c-03,pid9192-03
0,1,0,0.14567963,0.16178979,0.21491749,0.48596879,0.13352686,0.13342529,0.13393478,0.095234239,0.17512547,0.1501029,0.33474637,0.2659727,0.18506760000000003,0.16052728,-0.001132253,0.17218602,0.32363193,0.45966571,0.24834007,0.44294507,0.16381905,0.09544503300000001,0.70533314,0.35513238,0.34982484,0.22382236,0.4273378,0.38173808,0.15923043,0.18795252,0.37641422,0.21357819,0.24180264,0.27541935,0.20810863,0.081373285,0.34717778,0.46879049,0.24402798,0.063112122,0.25271969,0.22205862
1,1,1,0.17631273,0.23792131,0.16703822,0.47237981,0.14363085,0.1864556,0.31680293,0.13380887,0.24886903,0.24317402,0.40143908,0.25569282,0.16502294,0.30935009,0.19124442,0.19102488,0.31978315,0.48611539,0.25752318,0.46426664,0.19718843,0.25601283,0.65185159,0.33039077,0.3730178,0.28168914,0.37081821,0.47078093,0.20030583,0.27183361,0.44238928,0.29586811,0.35150464,0.2537235,0.25746341,0.13305639,0.37826743,0.54397028,0.26111224,0.28803601,0.27184159,0.31484928
2,1,2,0.20727817,0.28508736,0.1744861,0.46697201,0.15483536,0.23120074,0.47397801,0.16212933,0.28528017,0.32336497,0.44948883,0.2519637,0.15513037,0.43710607,0.24824757,0.20890403,0.31798933,0.51092295,0.26703114,0.48565207,0.23271154,0.29859794,0.59601802,0.31655812,0.39107743,0.32796987,0.33659467,0.54291906,0.23811722,0.35290395,0.48824898,0.35571786,0.41565217,0.24064516,0.30244607,0.17107633,0.39603833,0.62038633,0.29287703,0.38238352,0.28520137,0.39300597
3,2,0,0.22280658,0.31354382,0.18626954,0.47038979,0.16643847,0.26863724,0.58744479,0.18365936,0.30590581,0.38447862,0.49835254,0.25393121,0.15274022,0.51765788,0.27460619999999997,0.22591232,0.32012375,0.52870024,0.28856667,0.50861689,0.26069208,0.31472517,0.54230054,0.30796404,0.40236648,0.36567009999999994,0.31639079,0.59214098,0.26744884,0.39341705,0.52598623,0.38477323,0.45174890000000006,0.23764055,0.33575693,0.20846377,0.40780259999999996,0.68160475,0.29755551,0.44578615,0.29663148,0.45109043
4,2,1,0.23229478,0.33484661,0.20465402,0.48154653,0.17832756,0.29791995,0.66251292,0.19710316,0.31742179,0.4283844,0.53739012,0.25975749,0.1608945,0.58798896,0.2698346,0.24392773,0.32406903,0.54127263,0.30240076,0.53521078,0.28578895,0.29859096,0.49253646,0.30781538,0.40634875,0.39113402,0.31122187,0.62207774,0.28687166,0.41437261,0.5568850000000001,0.38912771,0.48510992,0.24376037,0.36323190000000005,0.22607739999999998,0.41291126,0.72089153,0.29172269,0.47780769,0.30740268,0.49610363
5,2,2,0.23262712,0.31870271,0.27133034,0.50084655,0.19110919,0.30333684,0.72844657,0.20161974,0.31426607,0.45892408,0.56686853,0.27124990000000004,0.16608522,0.64181484,0.27281439,0.26196682,0.32566417,0.54943186,0.30983282,0.56172338,0.30591151,0.25183454,0.44038462,0.31257256,0.40579109,0.41158604,0.32035977,0.63367441,0.29822064,0.41294516,0.59758095,0.37804674,0.49306302,0.25828571,0.36885593,0.23128216,0.41027769,0.75530461,0.30258708,0.48420271,0.29987898,0.52932352
6,3,0,0.22321369,0.31020773,0.31109583,0.51224335,0.20124783,0.32543353,0.73338032,0.20611762,0.31252664,0.46417791,0.59512926,0.28968962,0.18212216,0.66774985,0.30254004,0.27279621,0.33131244,0.54839821,0.31182157,0.57682035,0.32041092,0.23088728,0.38104804,0.31910661,0.39977837,0.41608247,0.31549853,0.63434946,0.29735320000000004,0.39215638,0.61227205,0.39156233,0.48792868,0.27999078,0.40531587,0.24795776,0.39673257,0.76095097,0.32711347,0.49106182,0.32502521,0.54893041
7,3,1,0.21889332,0.32799559999999994,0.31380284,0.51934424,0.20838821,0.35180855,0.70025374,0.22364191,0.31463046,0.44927967,0.61620759,0.30624571,0.21051424,0.63304721,0.32713311,0.28933057,0.34927906,0.54877941,0.28628476,0.58698177,0.32608813,0.21865932,0.32903203,0.33922554,0.38462143,0.39682791,0.31878038,0.62623463,0.29789257,0.37355048,0.6584946,0.40548831,0.50185638,0.30498618,0.46614985,0.27615244,0.39998491,0.7737890000000001,0.34507367,0.49009653,0.34695085,0.55217391
8,3,2,0.20249252,0.32589077,0.29224812,0.50031588,0.21592721,0.32737345,0.62044921,0.24146524,0.29043658,0.42373085,0.60576284,0.31429116,0.22145099,0.55811159,0.33493699,0.31220379,0.36235808,0.53148596,0.23281832,0.56266984,0.31607642,0.19822126,0.28699600000000003,0.35060881,0.34520626,0.34568596,0.30998092,0.59742059,0.29292705,0.33576965,0.68894678,0.38180996,0.5,0.31628571,0.50363059,0.267619,0.41450347,0.79530461,0.33767909,0.47551513,0.34697774,0.53283095
9,4,0,0.18929877,0.32959142,0.25919948,0.47972077,0.21414211,0.30860921,0.57706982,0.24240593,0.2623307,0.38308369999999997,0.61081591,0.30812934,0.21589812,0.49947272,0.32513783,0.31275474,0.34176885,0.48097647,0.20976151,0.52369063,0.29666577,0.17930385,0.24794824,0.33470197,0.29588189,0.29011895,0.30235062,0.57866127,0.28360765,0.27046012,0.66670078,0.35047997,0.48360528,0.30999078,0.52584746,0.2453259,0.41778599,0.78698366,0.31828614,0.47279562,0.34284946,0.50928601
10,4,1,0.21122466,0.35856376,0.22568761,0.47830564,0.20276429999999998,0.33097303,0.47617705,0.2380451,0.25816432,0.37027784,0.63009702,0.27783116,0.21606712,0.468645,0.30968758,0.30215047,0.32176998,0.43136134,0.19572934,0.50908141,0.285041,0.17947126,0.20524735,0.30911086,0.23062844,0.28072165,0.31556007,0.51818376,0.27963746,0.23875699,0.63633234,0.33595576,0.46497802,0.30157604,0.55948575,0.23034413,0.41771808,0.71072808,0.28065458,0.47158901,0.33927923,0.46773857
11,4,2,0.21968262,0.36198239,0.21884771,0.43840419,0.18842288,0.34925994,0.38811202,0.22643907,0.27258164,0.37261034,0.61495084,0.26201479,0.21572912,0.47047823,0.28015883,0.28925355,0.28080154,0.36393226,0.19947706,0.46495181,0.27610165,0.19722377,0.18107664,0.26587852,0.21509974,0.30151467,0.3315078,0.47144887,0.27328181,0.2209065,0.56724972,0.34627156,0.42347826,0.28898618,0.57289099,0.22201973,0.41700875,0.62359584,0.24719223,0.45875255,0.337047,0.43810946
12,5,0,0.22821535,0.37345577,0.21832658,0.39334765,0.17583189,0.37168944,0.35959026,0.21877648,0.29629426,0.36237137,0.56737644,0.24416991,0.21242757,0.50236665,0.25987792,0.25354858,0.23811308,0.33098746,0.20984866,0.41723377,0.27524556,0.21891741,0.17241207,0.23107037,0.23105741,0.31340206,0.34846061,0.42852981,0.27215302,0.20402237,0.44923707,0.38027963,0.36515388,0.29245161,0.56266371,0.24654267,0.42910504,0.52495097,0.21357371,0.44356785,0.30462583,0.4297333
13,5,1,0.25106348,0.39089971,0.22822814,0.35205635,0.17499133,0.36025136,0.33322056,0.22591577,0.32695084,0.35620855,0.50202514,0.23690994,0.2132605,0.55330472,0.2736545,0.24513626,0.22101499,0.32444835,0.22785041,0.3722448,0.29307921,0.24534738,0.1785173,0.23303837,0.258919,0.30893735,0.36759789,0.40561359,0.28678826,0.21112528,0.3729252,0.39430301,0.33045921,0.30972350000000004,0.56181626,0.2854256,0.44285391,0.44194948,0.19975555,0.42879154,0.29555570000000003,0.44084595
14,5,2,0.27602193,0.41101940000000003,0.25681094,0.32329901,0.18324957,0.34133824,0.32552392,0.24851732,0.34816776,0.35470501,0.42648955,0.23429421,0.22782472,0.56561006,0.30766605,0.2503436,0.23467302,0.33554725,0.25859282,0.33865405,0.32625034,0.2671317,0.1936517,0.26522724,0.27313219,0.29159397,0.39537054,0.38334399,0.30240214,0.22940744,0.32663751,0.44460907,0.30929165,0.32754839,0.56896186,0.33172706,0.45937217,0.37369391,0.19324370000000002,0.40258957,0.31410609999999994,0.45278511
15,6,0,0.30028249,0.44027377,0.30943109,0.29986733,0.20377816,0.31776143,0.29585565,0.2732619,0.34073565,0.33984679,0.37777561,0.23370701,0.21754587,0.46600245,0.35502100000000003,0.27304502,0.25785082,0.33775383,0.28806751,0.31016142,0.39161936,0.28113839,0.20527595,0.32319128,0.25284192,0.29581285,0.42482514,0.35079940000000004,0.30737878,0.24151869,0.28082434,0.47819978,0.32031754,0.34458986,0.53343606,0.37172491,0.48198762,0.35161961,0.19175664,0.37954335,0.36740402,0.44213779999999997
16,6,1,0.30426221,0.45246939,0.3190938,0.31750584,0.21393414,0.33054826,0.2767597,0.28532270000000004,0.33701616,0.33558198,0.39002409,0.23293678,0.20041043,0.37763948,0.37128511,0.28285545,0.27477861,0.33453559,0.30617225,0.32783068,0.45132018,0.29472656,0.20613383,0.33240125,0.24439837,0.32946075,0.44501877,0.33584879,0.30210187,0.25713725,0.33395981,0.48169171,0.35142159,0.35758525,0.50866718,0.38257933,0.48130848,0.37106092,0.20277042,0.37138482,0.41755529999999996,0.40452146
17,6,2,0.28207876,0.4319989000000001,0.32741025,0.33214985,0.22382149,0.35227711,0.25546471,0.28816970000000003,0.35154349,0.33723988,0.40238328,0.2345535,0.18568324,0.3854813,0.35779732,0.28623815,0.27548819,0.32310681,0.31840583,0.34637673,0.49740470000000003,0.30417829,0.19919216,0.314222,0.26627583,0.36390959999999994,0.47579636,0.33164215,0.28094417,0.27224075,0.38502977,0.45269199,0.37198339,0.36142857,0.49063945,0.36177637,0.47623755,0.40205052,0.20791064,0.35039911,0.41906811,0.34513127
18,7,0,0.24936025,0.40236621,0.34184279,0.3097353,0.22060659,0.36137239,0.24400902,0.28005233,0.35788243,0.32116968,0.41642248,0.23799283,0.16701473,0.49336603,0.29371882,0.28657583,0.25371821,0.30665640000000005,0.31823944,0.32546162,0.5059836,0.28653041,0.17953246,0.27799094,0.28924001,0.36118953,0.50407154,0.32096923,0.25086744,0.26452467,0.40819687,0.42074986,0.35773327,0.35058986,0.46462827,0.32798563,0.48256112,0.40556315,0.20346303,0.32851309,0.34755597,0.33640783
19,7,1,0.24217348,0.41888155,0.36828315,0.30667762,0.20226170000000002,0.34835348,0.23942299,0.2587528,0.34756274,0.29724445,0.43672592,0.24011287,0.16653187,0.59576947,0.26338934,0.27861374,0.238448,0.29999267,0.31093416,0.31518407,0.49819771,0.27850865,0.16259651,0.2680235,0.3043183,0.33172879,0.52030644,0.31404818,0.24933829999999998,0.26650152,0.43242464,0.40757513,0.33769907,0.34142857,0.46398305,0.30664666,0.49283127,0.39069837,0.19542337,0.32482829,0.29462113,0.34424226
20,7,2,0.26754736,0.43077452,0.42110596,0.31876935,0.18156846,0.31442897,0.23578611,0.23134189,0.32688897,0.26974617,0.43707104,0.24027301,0.19051183,0.64917229,0.27290627,0.25574052,0.23419619,0.30384136,0.29337612,0.31793636,0.48730287,0.27950614,0.15027881,0.28273397,0.30418246,0.24448057,0.51600927,0.30547858,0.27787478,0.28894339,0.43545776,0.42526433,0.32797753,0.33056221,0.49603236,0.28975665,0.48207818,0.34344725,0.19164799,0.32194171,0.27410072,0.36537714
21,8,0,0.29160851,0.44095474,0.46573538,0.36917683,0.20297227,0.28995008,0.19026407,0.23382133,0.34728085,0.23826321,0.41948948,0.22744605,0.20161758,0.56350705,0.30932659,0.26119668,0.22517598,0.29048457,0.26311703,0.36082337,0.50483915,0.28708845,0.11461253,0.34381283,0.26925002,0.18663759,0.44793141,0.27922262,0.28312389,0.28242421,0.42023632,0.43663745,0.34201759,0.29943779,0.46392527,0.28596698,0.46685029,0.26677563,0.18799484,0.27859662,0.27178108,0.39597166
22,8,1,0.28654869,0.47957766,0.46999131,0.46112199,0.25034662,0.30357331,0.20304483,0.27966609,0.43057408,0.3021667,0.41697597,0.19084115,0.20057943,0.43354384,0.33040168,0.33329976,0.23057448,0.28731765,0.26658743,0.48579143,0.54436334,0.33559570000000005,0.16228910000000002,0.42709897,0.22955602,0.21126883,0.39983181,0.24302565,0.29410031,0.32242716,0.42341831,0.45951586,0.39495848,0.30870046,0.44707242,0.27845733,0.47078177,0.23435364,0.19061588,0.30034342,0.34926377,0.45711904
23,8,2,0.31927551,0.59431834,0.51464244,0.64148083,0.41042461,0.33433614,0.33055164,0.40778096,0.62170505,0.52613195,0.477437,0.27491802,0.2071282,0.35364807,0.40063009,0.46822275,0.30838442,0.38891577,0.36273671,0.63564046,0.58845634,0.51459961,0.31697169,0.60523857,0.23042825,0.28952419,0.41853835,0.23095999,0.32753559,0.35729422,0.42596762,0.48007095,0.48118222,0.41604608,0.46048729,0.37401372,0.47448687,0.25404458,0.25269233,0.39870058,0.50970887,0.5858522
24,9,0,0.39322865,0.79041134,0.7086131999999999,0.79246952,0.53756499,0.60553512,0.51414341,0.5206454,0.77861808,0.71535559,0.66464804,0.4792496,0.37662965,0.56374617,0.52862956,0.65130332,0.4667802,0.58688513,0.57117503,0.78765532,0.63421645,0.69321289,0.40280240000000006,0.80072207,0.40447558,0.47368755,0.50209218,0.45927663,0.5069117,0.51108604,0.504131,0.60695604,0.56218857,0.7343871,0.5895416,0.58978345,0.62791277,0.40017236,0.40497046,0.62594208,0.6817051,0.78976247
25,9,1,0.51338485,0.94517815,0.89743775,0.93082317,0.68053726,0.7979506,0.73165116,0.62403439,0.86036439,0.86039332,0.84476135,0.68219324,0.60610816,0.79031269,0.73582305,0.81854265,0.64208674,0.81057107,0.76379051,0.9199280000000001,0.68750113,0.86063058,0.49766228,0.91257256,0.68995496,0.69819191,0.62761266,0.69283735,0.6729871000000001,0.74094967,0.57558616,0.64697412,0.64010747,0.92958525,0.71757512,0.81609134,0.79663447,0.58893314,0.55047871,0.83488955,0.83446514,0.91630782
26,9,2,0.61497175,0.98589902,1.0,1.0,0.81700173,0.92669469,0.88392068,0.70421131,0.87074596,0.9212783000000001,0.95057628,0.93693281,0.84663206,0.91716738,0.91231294,0.90337678,0.72542007,0.95183638,0.86609619,0.98757403,0.77799405,0.95535714,0.50337432,0.95993204,0.84714378,0.82696273,0.70683855,0.83237405,0.84753114,0.91773766,0.60728508,0.63413328,0.72691744,0.99834101,0.80494992,0.95797599,0.92597344,0.73901932,0.65993753,0.85371264,0.91185369,0.95867482
27,10,0,0.69195746,0.97007842,0.98784019,0.99368248,0.89549393,0.97814854,0.9247909,0.75809868,0.84778274,0.92796707,0.98385101,1.0,0.97996137,0.95622318,1.0,0.92896919,0.72990463,0.9964812,0.89739323,0.9916386,0.83207173,1.0,0.42465685,0.96821464,0.90555516,0.9,0.71458167,0.8720955,0.96346753,1.0,0.66402121,0.613133,0.82691744,1.0,0.84869029,1.0,1.0,0.78424963,0.71813676,0.76085019,0.88401802,0.95568829
28,10,1,0.80348953,0.90376943,0.89649682,0.92905427,0.93275563,0.93365738,0.93552298,0.7475704000000001,0.84853902,0.90584267,0.94784138,0.95965835,0.93547803,0.93408952,0.99146758,0.89567536,0.72366031,0.97588153,0.89921559,0.95163163,0.80721817,0.9882115,0.43768945,0.94018123,0.8738113999999999,0.93949247,0.65460587,0.85738648,1.0,0.95619543,0.70079084,0.62680857,0.9309233,0.90719816,0.84178544,0.94205617,0.98603984,0.7823477,0.76111903,0.67209022,0.84186109,0.94381164
29,10,2,0.87495846,0.84131242,0.80392299,0.8648051,0.94662045,0.82812226,0.93357767,0.65935709,0.8880715,0.90098331,0.90349678,0.90261572,0.83800097,0.90803188,0.92484904,0.84555687,0.77015213,0.92881754,0.92480786,0.91313436,0.74470578,0.96923828,0.56624964,0.91837746,0.84714378,0.95614592,0.70184399,0.85319406,0.93277358,0.84646326,0.73074991,0.68445326,0.99096238,0.81935484,0.82536595,0.82439966,0.95736493,0.79369985,0.7875331,0.75505847,0.83507026,0.95520211
30,11,0,0.95122964,0.79219975,0.76643023,0.82911113,0.95095321,0.75937117,0.93310779,0.54586967,0.92980406,0.89703865,0.85674285,0.871044,0.80311444,0.89576947,0.87713311,0.82659953,0.82339918,0.92163331,0.94905317,0.90523749,0.73295485,0.96881975,0.64994281,0.9047854999999999,0.84642883,0.96478985,0.78813611,0.89113906,0.85387011,0.76268027,0.78287123,0.74846967,1.0,0.80693088,0.79918143,0.73354417,0.9458194999999999,0.80725111,0.79513818,0.85374049,0.82538829,0.98069176
31,11,1,0.98354935,0.77624157,0.78669658,0.8113589,0.96291161,0.7218865,0.94727939,0.51440319,0.95173599,0.93099703,0.80152374,0.86944254,0.80112265,0.89920294,0.84661328,0.85764218,0.91819936,0.9406935,0.98470803,0.90953432,0.8003965000000001,0.98465402,0.76301115,0.88616735,0.89290055,0.98223632,0.87376161,0.92247566,0.7957628999999999,0.74055725,0.8307405999999999,0.80418753,0.98412311,0.8741106,0.76541795,0.7343482,0.93683972,0.83506686,0.78115027,0.95266382,0.8793115,1.0
32,11,2,1.0,0.79426331,0.81123335,0.79727083,0.96889081,0.70866176,0.9326661,0.53625716,0.94850464,0.97267322,0.77111415,0.8837031999999999,0.81271125,0.89619865,0.83414282,0.89591232,1.0,0.94912396,1.0,0.90860527,0.8981075999999999,0.9898856,0.82006005,0.87951295,0.92986344,0.99809675,0.90965684,0.95928373,0.80760676,0.76336702,0.84715296,0.83208125,0.93444064,0.91625806,0.7444819,0.76195326,0.91797465,0.8391679,0.75297073,0.98579915,0.96530626,0.99527712
