,measure_number,beat_number,pid1263-04,pid52932-04,pid9048-04,pid9050-04,pid9054-04,pid9055-04,pid9058-04,pid9059-04,pid9061-04,pid9062-04,pid9063-04,pid9066-04,pid9067-04,pid9070-12,pid9072-04,pid9073-06,pid9074f-04,pid9075-04,pid9088-04,pid9093-04,pid9094-04,pid9097-11,pid9099-04,pid9101-04,pid9104-04,pid9105-04,pid9111-04,pid9114-31,pid9118-04,pid9138-04,pid9139-04,pid9150-18,pid9153-04,pid9166c-06,pid9170-04,pid9173-09,pid9174-04,pid9186c-04,pid9192-04
0,1,2,0.15914321,0.062054585,0.23360218,0.17238709,-0.049920417,0.12183099,0.13549922,0.044899269000000006,0.18801020000000002,0.12165101,0.04071578,0.093767625,0.27223821,-0.015992784,0.11334202,0.1709246,0.18451382,0.015011288000000001,0.20905114,0.12970532,0.12198191,0.24506625,0.17584895,0.16486116,0.23761965,0.18488141,0.043116395,0.10202797,0.079806766,0.13346435,0.21771724,0.21952045,0.10331115,0.14865443,0.056029557,0.32246801,0.17237470000000002,0.13736199999999998,0.16711592
1,2,0,0.34964487,0.31486172,0.55205788,0.31039207,0.77599625,0.43080483,0.17977712,0.88128638,0.35033359,0.18639644,0.62044058,0.31678652,0.48545645,0.40820031,0.18919457,0.35177732,0.36534099,0.4772717000000001,0.25071942,0.35308935,0.18530895,0.77253776,0.44649286,0.22159425,0.45946361,0.36896263,0.45286019,0.50847309,0.14063145,0.32615885,0.45730459999999995,0.54534468,0.25900665,0.49055293,0.16712205,0.61248884,0.29753442,0.44831493,0.34071326
2,2,1,0.59322329,0.70165939,0.8551536,0.6427326999999999,0.76113289,0.52767606,0.33665153,1.0,0.70002943,0.39362333,0.69610407,0.45351099999999994,0.42376842,0.38552373,0.52539658,0.57554831,0.72327465,0.76137262,0.29004472,0.48910805,0.21421867,0.88064486,0.58132307,0.40978765,0.59798627,0.62338555,0.78973717,1.0,0.34581189,0.43490106,0.59105735,0.72743885,0.67652883,0.70363986,0.40589853,0.87456602,0.40421128,0.77041449,0.4558946
3,2,2,0.43853321,0.57467977,0.68702408,0.7311076999999999,0.72783662,0.39569416,0.26166921,0.91016266,0.73461538,0.45785467,0.70590927,0.45252397,0.5318598000000001,0.39607479,0.49849797,0.66026917,0.58642634,0.74579524,0.62827144,0.48974968,0.38873934,0.90930233,0.60552978,0.29834695,0.58287882,0.66330754,0.51784584,0.6008566,0.43224421,0.39380591,0.56650045,0.74716233,0.50079214,0.81883535,0.35184947,0.41923420000000006,0.50095384,0.59382142,0.5192398
4,3,0,0.43844613,0.50656477,0.67948049,0.63137126,0.71426064,0.44876258,0.41214644,0.79607521,0.60244309,0.63080573,0.67753955,0.68618161,0.69686982,0.39784059,0.52009349,0.66363033,0.68955034,0.92916808,0.98026444,0.49302123,0.55627753,0.98647271,0.80965856,0.56712186,0.70498465,0.74007577,0.63594199,0.93916095,0.618638,0.51819599,0.71551143,0.78364111,0.50990177,0.76274085,0.39228853,0.62204146,0.58544947,0.57202208,0.76527599
5,3,1,0.42647992,0.4324818,0.64733721,0.47167086,0.62970332,0.47539235,0.39665583,0.67912252,0.57556907,0.62243203,0.52821938,0.60325014,0.60767286,0.38143997,0.53607939,0.47758053,0.6975135,0.75522068,0.93796422,0.3792142,0.48594738,0.81434263,0.72724068,0.63995426,0.66390645,0.5654718000000001,0.71119782,0.77011198,0.6110270000000001,0.52017484,0.69375187,0.68766315,0.40083967,0.68065689,0.37856683,0.65895248,0.47539818,0.6232423,0.7579314
6,3,2,0.32923264,0.35442504,0.53576088,0.4556487,0.47257885,0.44923541,0.31399485,0.96754216,0.56871075,0.57495798,0.47722578,0.56533418,0.61903392,0.44747431,0.42879148,0.48510783,0.54561232,0.63110961,0.72691036,0.41292776,0.39627876,0.72134717,0.64131564,0.52917347,0.5037114,0.52893812,0.50267246,0.65560658,0.41320983,0.46148685,0.65654611,0.61495698,0.40558459999999996,0.57612443,0.37803841,0.47126277,0.38798704,0.65786365,0.53838116
7,4,0,0.51798042,0.51507278,0.51144585,0.48739521,0.74357774,0.68330986,0.36832986,0.82756305,0.66468799,0.59632229,0.5938358,0.7248308000000001,0.56124335,0.74114367,0.47192122,0.52486266,0.77247153,0.72976634,0.62891309,0.50585393,0.36884392,0.89484851,0.59229913,0.60870304,0.60770273,0.6370638000000001,0.68909666,0.7271273,0.49598117,0.60756303,0.79060845,0.61518902,0.55735108,0.71141666,0.4848563,0.6375558000000001,0.40330244,0.76889405,0.70296812
8,4,1,0.66531912,0.54243086,0.67605266,0.53623598,0.82526772,0.88400402,0.52826958,0.86599015,0.7107241,0.59351458,0.49921558,0.65986323,0.40546691,0.61447627,0.60684344,0.50274683,0.97412541,0.91759792,0.65050554,0.50578264,0.29255237,0.85696285,0.52017072,0.5541065,0.73185841,0.6492792,1.0,0.80695598,0.62711608,0.61671862,0.75936225,0.67648651,0.91230989,0.85813357,0.59926107,0.94165261,0.5599838,1.0,0.75944575
9,4,2,0.59076039,0.51489811,0.57210295,0.46706970000000003,0.814325,0.70517103,0.46893165,0.84815699,0.76466837,0.74301532,0.50767421,0.80266497,0.44223559,0.59244478,0.53359644,0.42689489,0.70019057,0.85771532,0.78721563,0.44451046,0.41226523,0.34245344,0.56556875,0.52143744,0.73057612,0.51039622,0.69025988,0.62201352,0.67878279,0.55624153,0.77212167,0.66980567,0.63470374,0.89085759,0.51630365,0.75003472,0.57816071,0.768313,0.76451882
10,5,0,0.58492655,0.65701601,0.52094651,0.56948643,0.90139856,0.60272636,0.45202629,0.68102522,0.7485675,0.94169056,0.52908223,0.80280598,0.74439794,0.70331292,0.54101464,0.60086995,0.81490766,0.86962411,1.0,0.42336027,0.57538909,0.3249143,0.67143255,0.81626919,0.79167419,0.66185719,0.69679011,0.55173126,0.81883619,0.65858634,0.89213096,0.7588514000000001,0.65059411,0.78768807,0.47261245,0.71017756,0.56062269,0.65198528,0.87453623
11,5,1,0.46620974,0.62492722,0.52926106,0.40874369,0.66563286,0.55407445,0.41242324,0.63122668,0.64942111,0.83836876,0.36006668,0.62489425,0.73091813,0.51717144,0.52545789,0.43024192,0.7270406999999999,0.8566994000000001,0.97637566,0.35533112,0.46999185,0.25390531,0.54079607,0.86488076,0.67427307,0.50508246,0.70751675,0.49553641,0.81699193,0.60271754,0.78290194,0.75335976,0.5541033000000001,0.65326438,0.41319758,0.69414741,0.60487717,0.75291497,0.75611418
12,5,2,0.45068601,0.63272198,0.41507532,0.3959081,0.52786588,0.56943662,0.38475339,0.64240412,0.81235283,0.58002966,0.41687802,0.40610547,0.58170721,0.54010496,0.3447314,0.46108546,0.53044603,0.65729766,0.65970251,0.38337294,0.43916375,0.28402668,0.41727593,0.62079059,0.511378,0.44944424,0.43546345,0.34515197,0.81909769,0.56366902,0.70281835,0.69152084,0.47015209,0.75394853,0.48837909,0.5141355,0.76498695,0.67523727,0.72351783
13,6,0,0.5112883,0.58999272,0.37484284,0.53193264,0.88747147,0.67940644,0.40194581,0.66474407,0.88465463,0.73031142,0.68518761,0.31563029,0.62346325,0.6650995,0.40850640000000005,0.59643548,0.78255592,0.76227565,0.70957612,0.50205165,0.55349279,0.22449736,0.48995175,0.55839268,0.62700018,0.69131419,0.38289774,0.32931008,0.84016901,0.62872052,0.63598067,0.7737987,0.62526141,0.83569844,0.56927439,0.51924412,0.78640331,0.72270966,0.7592186
14,6,1,0.53242198,0.64379913,0.69202942,0.6647854999999999,0.84451987,0.78448692,0.53786535,0.47886883,0.85464089,0.66960949,0.71800235,0.40948957,0.49916296,0.66794227,0.57055713,0.6223079,1.0,0.81848967,0.63782812,0.58623257,0.56874697,0.26128972,0.63977547,0.59719046,0.86663356,0.72737275,0.52930133,0.29679034,0.66742823,0.66032123,0.5812169,0.82645267,0.88363435,0.87332638,0.68995145,0.49026882,0.67358049,0.95330234,0.79677444
15,6,2,0.44789969,0.55417031,0.46936306,0.61856545,0.71332436,0.59984909,0.41559107,0.40814804,0.72699176,0.64228374,0.67139495,0.54075014,0.46129567,0.62524601,0.49839834,0.62380488,0.70557875,0.74415848,0.73357962,0.49912864,0.68405582,0.31679792,0.61568009,0.53217903,0.70843417,0.55644466,0.37013178,0.29957686,0.72367805,0.57121171,0.65765178,0.84792613,0.65686787,0.84257997,0.65047042,0.38045829,0.65538558,0.67975983,0.78503824
