,measure_number,beat_number,pid1263-05,pid51495-03,pid9048-05,pid9049-05,pid9050-05,pid9053-22,pid9054-05,pid9055-05,pid9058-05,pid9059-05,pid9060-05,pid9062-05,pid9063-05,pid9065-02,pid9066-05,pid9067-05,pid9068-03,pid9072-05,pid9074f-05,pid9093-06,pid9094-05,pid9097-08,pid9098-05,pid9099-05,pid9100b-01,pid9101-05,pid9103-02,pid9104-05,pid9105-05,pid9118-05,pid9138-05,pid9139-05,pid9153-05,pid9166c-08,pid9170-06,pid9173-10,pid9174-05,pid9186c-05,pid918719b-01,pid918904-01,pid9192-05
0,1,0,0.56927818,0.55164273,0.44385147,1.0,0.69015876,0.94478869,0.8168603,0.94613132,0.49693133,0.66917339,0.87874235,1.0,0.60608757,0.46386750000000004,0.35796659999999997,0.9594161,0.68512998,0.68472559,0.73844398,0.37257685,0.63956586,0.39419518,0.94320613,1.0,0.47632696,0.53942403,0.94100376,0.41460045,0.37595448,0.44435262,0.99084574,0.64588096,0.55333198,0.57905844,0.080063618,0.59504731,0.64358418,0.38635475,0.98961121,0.84551556,0.90287973
1,1,1,0.67249556,0.65438717,0.73658537,0.9746876,0.69693547,0.97855601,0.83528873,0.95221948,0.65170634,0.78288556,0.93611575,0.99571472,0.70855204,0.69412897,0.72674631,0.98873718,0.72299806,0.80180589,0.7934183000000001,0.69032084,0.6602649,0.51965246,0.9011234,0.95812395,0.68559518,0.79805646,0.99214749,0.74377587,0.6409967,0.64772204,0.99722419,0.75949284,0.76974756,0.79687174,0.37935721,0.75612375,0.79394293,0.72909683,1.0,0.89646126,0.95059289
2,1,2,0.76339705,0.74811135,0.8912996,0.95693688,0.74145802,0.99610109,0.86287415,0.95853884,0.7598734,0.88167869,0.98714524,0.99449036,0.78453463,0.83269169,0.89296599,1.0,0.76646268,0.90229015,0.85688923,0.84764916,0.68752759,0.64100495,0.87437589,0.93262609,0.79528028,0.8917577,1.0,0.84762814,0.76809838,0.79720907,1.0,0.8443043,0.86034202,0.89822702,0.59420829,0.83873566,0.87643918,0.85684358,0.99653707,0.93282489,0.98129588
3,2,0,0.82104878,0.82411961,0.9641063,0.94219801,0.79938393,1.0,0.89114634,0.96061961,0.81546718,0.93886834,1.0,0.99334252,0.84387402,0.91081168,0.9475191999999999,0.99597307,0.80511533,0.93588579,0.89341196,0.93475483,0.71536424,0.73337637,0.86478245,0.90725231,0.87433931,0.9594978000000001,0.99542506,0.91448583,0.86433554,0.87804446,0.99822821,0.89961897,0.9110341999999999,0.95687921,0.7361506999999999,0.87524327,0.925997,0.93566108,0.98488903,0.95814521,0.99710615
4,2,1,0.87521153,0.8760181,1.0,0.92508811,0.86786194,0.99122746,0.92399702,0.96146732,0.86830879,0.98453514,0.99298831,0.9912764000000001,0.89969274,0.96976259,0.96476899,0.98206758,0.84805691,0.97442494,0.92467187,0.99139033,0.76961001,0.82074457,0.87102354,0.88802035,0.936053,0.98801248,0.96176169,0.98166189,0.93584802,0.94216262,0.99025514,0.94251741,0.93940011,0.99387757,0.85694221,0.92081068,0.95586518,0.99804469,0.96623642,0.97602196,1.0
5,2,2,0.94092761,0.92857564,0.98128868,0.91118231,0.96114051,0.97486598,0.97109827,0.96408755,0.90862804,1.0,0.96293823,0.98668503,0.94405326,1.0,0.95135926,0.95299818,0.89581045,1.0,0.95758037,1.0,0.83958793,0.90816656,0.88851641,0.88206464,0.97863471,1.0,0.87954933,0.99859917,0.98237885,0.9829521999999999,0.97690763,0.97372224,0.95086862,1.0,0.94385921,0.95362727,0.9885700000000001,1.0,0.93499134,0.98669921,0.99209486
6,3,0,0.99526794,0.97094236,0.94612304,0.90977251,1.0,0.96261227,1.0,0.96909679,0.95596532,0.99811996,0.9162493,0.98178757,0.97996415,0.99334296,0.90905766,0.93387026,0.94853287,0.99889023,1.0,0.97753414,0.91228845,1.0,0.92207561,0.87914883,1.0,0.98297631,0.81331512,1.0,1.0,1.0,0.96568627,1.0,0.93702497,0.98419381,0.9968190999999998,1.0,1.0,0.96219739,0.87926964,1.0,0.99400056
7,3,1,1.0,1.0,0.87673826,0.85645626,0.97085538,0.8595001,0.93836204,0.95314427,1.0,0.94184001,0.83216472,0.95959596,0.99935988,0.88233879,0.78300622,0.88756056,0.98315811,0.96332728,0.93805085,0.8978273999999999,1.0,0.98644287,1.0,0.82244556,0.96731929,0.89033906,0.79057699,0.92951289,0.92786344,0.8765451,0.94342074,0.94534227,0.84500543,0.90907592,0.9537737,0.93644722,0.92691473,0.87509311,0.81008972,0.94539353,0.97374365
8,3,2,0.88538598,0.85102302,0.69288679,0.77891701,0.7566305999999999,0.6646035,0.7485263000000001,0.66878083,0.85379111,0.8219419,0.66967168,0.74263851,0.91294329,0.68264357,0.55358405,0.76851444,0.93362624,0.75923123,0.78206835,0.68662138,0.84952171,0.64197332,0.97815621,0.67225014,0.76587508,0.68700525,0.68945032,0.52771092,0.68999633,0.6175224,0.78325065,0.72139009,0.71220141,0.73232795,0.72280745,0.72136098,0.73806107,0.64874302,0.62841964,0.82355095,0.84387352
9,4,0,0.71243079,0.71099744,0.50789225,0.61844281,0.5853881999999999,0.46872520000000006,0.55854175,0.47074599,0.55981836,0.6758445,0.46158041,0.46853382,0.83356805,0.29258903,0.45436426,0.58715158,0.78811653,0.55579096,0.52717012,0.48116634,0.67498896,0.30051108,0.73252496,0.52245176,0.32214695,0.55214215,0.50955958,0.4127157,0.47801028,0.40828542,0.65892984,0.51874261,0.50719327,0.59632654,0.57619697,0.54703711,0.47545470000000006,0.56089385,0.44386904,0.7171446,0.69688735
10,4,1,0.52542568,0.51658469,0.37093557,0.41529638,0.38627281,0.33589779,0.38384937,0.39639334,0.32082703,0.47039238,0.29804118,0.29223294,0.67129689,0.21162175,0.42349141,0.40282514,0.57837753,0.39764931,0.39496544,0.327181,0.42661516,0.18646439,0.37688124,0.37633848,0.20452617,0.40221308,0.35685900000000004,0.27137217,0.36051762,0.28302421,0.43170328,0.40178689,0.36752172,0.51262407,0.42611641,0.39689283,0.20882696,0.48878026,0.21620494,0.53214155,0.54951299
11,4,2,0.38603364,0.37438521,0.33507827,0.30028196,0.30162704,0.26856506,0.30446403,0.41767109,0.27421219,0.31616229,0.25016694,0.26818947,0.5427281999999999,0.28405518,0.47524077,0.27393821,0.42248026,0.33710149,0.32668823,0.27523374,0.46534216,0.17645255,0.32929743,0.3009616,0.27113824,0.36080295,0.29671559999999997,0.23438395,0.40783774,0.29917476,0.36324711,0.38218368,0.28167074,0.49031074,0.31490891,0.34336622,0.21470048,0.44982775,0.19393987,0.4033252,0.42578346
12,5,0,0.34573279,0.33600236,0.33853659,0.29088113,0.31127873,0.27494256,0.29595376,0.47322749999999997,0.28919086,0.30628904,0.24196995,0.27825222,0.49304827,0.37093359,0.53295745,0.26586548,0.37195983,0.34354318,0.33651639,0.29172664,0.51492274,0.18157413,0.37172789,0.30456604,0.35331646,0.38521776,0.31304882,0.23907036,0.47401799,0.34844102,0.36347153,0.38766916,0.28726927,0.50546842,0.26795142,0.34704382,0.24673786,0.43606611,0.23174878,0.35273337,0.40098814
13,5,1,0.36304189,0.32172929,0.39012741,0.33664851,0.35332912,0.31540764,0.30494477,0.54125308,0.32819595,0.34735885,0.26553701,0.30565504,0.45339905,0.46799005,0.65866147,0.29850249,0.39610335,0.40325363,0.37556274,0.33228627,0.53444444,0.20966215,0.46228602,0.35522055,0.4427157,0.46237055,0.36923182,0.27840815,0.57008994,0.42515613,0.39924994,0.43083038,0.33513165,0.53832287,0.25872681,0.41355614,0.28919573,0.41476723,0.30863372,0.325723,0.44331592
14,5,2,0.38908388,0.31694865,0.41677466,0.39500159999999995,0.38109944,0.34249112,0.29863218,0.58582768,0.34630522,0.39249803,0.29347802,0.32181665,0.42729484,0.49182708,0.73412166,0.37381866,0.44186934,0.43911421,0.41654936,0.38424026,0.51295806,0.23833656,0.54126248,0.41516223,0.46531676,0.49649596,0.43058382,0.30704234,0.61857562,0.49001806,0.42150366,0.44931678,0.38086998,0.54783077,0.27133474,0.48114892,0.29141498,0.40426909,0.36350543,0.31813301,0.53791643
