,measure_number,beat_number,pid1263-06,pid9048-06,pid9054-06,pid9055-06,pid9058-06,pid9059-06,pid9060-06,pid9062-06,pid9063-06,pid9064-05,pid9065-03,pid9066-06,pid9067-06,pid9068-04,pid9072-06,pid9074f-06,pid9075-06,pid9090-02,pid9093-07,pid9097-12,pid9099-06,pid9100b-02,pid9101-06,pid9103-03,pid9104-06,pid9105-06,pid9118-06,pid9139-06,pid9166c-09,pid9170-07,pid9173-11,pid9174-06,pid9186c-06,pid918719b-02,pid9192-06
0,1,2,0.17166084,0.41474676,0.59603946,0.32888074,0.15999512,0.46001046,0.35113826,0.40678800000000004,0.19891853,0.3177828,0.14172742,0.21215324,0.18026519,0.43774384,0.18329720000000002,0.29006996,0.46168224,0.59372286,0.15476578,0.19544197,0.55241845,0.28478132,0.128278,0.33557305,0.41960358,0.39262175,0.32878156,0.38304706,0.53742111,0.19224293,0.29514089,0.54006052,0.34788156,0.37303105,0.25180692
1,2,0,0.19441405,0.42976009,0.46862034,0.39114313,0.25724514,0.45330485,0.37865769,0.47709308,0.22251651,0.34895111,0.25870493,0.28094085,0.27243147,0.46423075,0.22171148,0.34287219,0.49102804,0.50207887,0.18418194,0.19619588,0.53960309,0.36480664,0.23600638,0.38022670000000003,0.47763599,0.50506927,0.32410037,0.5137605,0.56310541,0.24246144,0.39516964,0.54068443,0.39496568,0.3943152,0.31805211
2,2,1,0.20961423,0.43333968,0.3906862,0.43044924,0.30054511,0.44883153,0.40254026,0.51982979,0.23823987,0.3685735,0.31607972,0.33279759,0.33383226,0.47229016,0.24511419,0.38212593,0.52575545,0.44678325,0.20815343,0.20288422,0.53621244,0.42401433,0.28003189,0.39556045,0.52310616,0.5563707,0.32313529,0.63492829,0.58403556,0.27727506,0.48965881,0.5453118,0.43904029,0.40348532,0.36705681
3,2,2,0.22776739,0.43608149,0.38227187,0.46331941,0.31677649999999996,0.45028776,0.44383676,0.54277674,0.25367828,0.38629175,0.33888846,0.39387201,0.35408769,0.47431247,0.26988291,0.42478748,0.55073988,0.42730326,0.22173116,0.21110112,0.53834164,0.45397501,0.30347027,0.40382242,0.55944429,0.58583123,0.32569774,0.69628881,0.59987877,0.30444087,0.53373586,0.55927709,0.47201304,0.408045,0.41610423
4,3,0,0.24653231,0.44281226,0.40075439,0.50121047,0.32025873,0.45802232,0.4759231,0.55984397,0.2712602,0.40648701,0.35094356,0.41973433,0.34802733,0.47458689,0.29801966,0.45290755,0.57489097,0.43232382,0.23598778,0.22200166,0.54618351,0.48226597,0.31752954,0.41131612,0.60053398,0.61222712,0.33362914,0.74680681,0.61605477,0.32931877,0.57561817,0.57912798,0.50635185,0.41220709,0.45589919
5,3,1,0.26274427,0.44887662,0.44532859,0.53623732,0.27520137,0.47017789,0.50187396,0.57598463,0.29048698,0.43130547,0.3484399,0.44340966,0.33502806,0.46578178,0.32659005,0.48527044,0.60228972,0.46446233,0.25099117,0.23965279,0.55723927,0.51296725,0.32066216,0.41927582,0.63537877,0.63376364,0.34634157,0.78863873,0.62944959,0.34235219,0.62262795,0.60436532,0.54376257,0.40665764,0.50281931
6,3,2,0.29646231,0.45783511,0.57260989,0.57699258,0.29975592,0.48150506,0.53904775,0.58098354,0.32858438,0.45277554,0.33724508,0.46651255,0.36133572,0.47752789,0.35998121,0.51200632,0.63049065,0.53111356,0.27974881,0.26076221,0.57207938,0.53413498,0.32495779,0.41434509,0.6817359000000001,0.62974391,0.36344678,0.82033689,0.64040791,0.37269923,0.65712095,0.65769963,0.57292837,0.40554099,0.54451089
7,4,0,0.33840398,0.56321401,0.65052227,0.59863609,0.39262875,0.55318277,0.55913381,0.56026722,0.41921383,0.50087946,0.39249120000000004,0.48355349999999997,0.40804523,0.56087812,0.41704973,0.52679606,0.65913551,0.64966124,0.32171758,0.27566053,0.59157159,0.56470161,0.37267867,0.52247481,0.69561046,0.66649874,0.39181124,0.83398429,0.6546347,0.44023136,0.69720146,0.69694386,0.58884959,0.44043651,0.60832123
8,4,1,0.36249838,0.6331588,0.71118526,0.61763703,0.46701652,0.60258982,0.55408107,0.53345383,0.47456936,0.52140552,0.42911975,0.49051813,0.46708696,0.60806538,0.47093813,0.57029264,0.6779595,0.72198738,0.35221996,0.27241666,0.59538004,0.5768340000000001,0.40125679999999997,0.57979849,0.67426011,0.6965995,0.41671474,0.80172817,0.69021952,0.52033419,0.69284071,0.70379652,0.59750364,0.48231114,0.68205895
9,4,2,0.36208661,0.65493145,0.70596257,0.60888245,0.48197868,0.58728636,0.55762077,0.50725815,0.49023443,0.52212361,0.43996162,0.40805812,0.47172375,0.62966056,0.48484389,0.56367261,0.68069315,0.71023221,0.36879158,0.26658597,0.57485136,0.54004632,0.39475708,0.5965931999999999,0.65020364,0.67919815,0.42267161,0.74618853,0.68916172,0.52587404,0.67144911,0.69634074,0.59638721,0.47125455,0.69635199
10,5,0,0.34045106,0.60714966,0.65269839,0.57617424,0.45965340000000005,0.52745902,0.59045669,0.48156579,0.48897164,0.50372761,0.41789185,0.33359753,0.46256406,0.63950367,0.46767852,0.53285188,0.67014798,0.67178181,0.37682281,0.25894315,0.5474770999999999,0.46839653,0.359426,0.54630353,0.62926962,0.63632452,0.40445711,0.66801381,0.65230517,0.43829049,0.61264136,0.68102364,0.58509119,0.45425937,0.67411363
11,5,1,0.29908587,0.51552742,0.56576962,0.5247464,0.41646733,0.45272061,0.64638395,0.45698304,0.46975779999999995,0.48151525,0.36591042,0.28445619,0.46609453,0.63669987,0.43575455,0.47027759,0.64549065,0.5964444999999999,0.36701290000000003,0.26137778,0.53217901,0.44380857,0.31526918,0.40063602,0.61404652,0.55214106,0.38406842,0.5964743,0.60002139,0.36450514,0.50481119,0.65415371,0.5340545,0.45162846,0.60959419
12,5,2,0.21777903,0.37952209,0.4765124,0.48123775,0.36109348,0.37908964,0.71654636,0.44775163,0.44362129,0.43892206,0.27301003,0.36155878,0.51903522,0.63037642,0.40969934,0.40800421,0.6132243,0.52638833,0.31632722,0.3100913,0.53625261,0.42052677,0.31330895,0.24780856,0.61197393,0.44907641,0.35683543,0.53446534,0.54216338,0.30075835,0.35972781,0.59872929,0.46432286,0.4838254,0.57870141
13,6,0,0.21936729,0.36014851,0.49768606,0.53160856,0.35120007,0.44477677,0.79323987,0.48354477,0.42324828,0.41204615,0.24425645,0.49836342,0.63364516,0.64749746,0.43848656,0.50397202,0.60111371,0.5115467,0.26226069,0.37566745,0.60936044,0.44589572,0.40331082,0.31648615,0.62260838,0.47592359,0.38311443,0.59348846,0.5362088,0.34909383,0.31845888,0.55293396,0.40440329999999997,0.54009813,0.60222127
