,,pid1263-07,pid52932-05,pid54293-08,pid5667249-03,pid5667249-21,pid9048-07,pid9049-07,pid9050-07,pid9051-11,pid9054-07,pid9055-07,pid9058-07,pid9059-07,pid9060-07,pid9061-07,pid9062-07,pid9063-07,pid9064-06,pid9065-04,pid9066-07,pid9067-07,pid9068-05,pid9070-15,pid9072-07,pid9074f-07,pid9075-07,pid9093-08,pid9094-07,pid9097-13,pid9098-15,pid9099-07,pid9100b-03,pid9101-07,pid9102-02,pid9104-07,pid9105-07,pid9111-07,pid9116-19,pid9118-07,pid9127-02,pid9137-04,pid9138-07,pid9139-07,pid9152-12,pid9153-07,pid915406-11,pid9165-03,pid9166c-10,pid9170-08,pid9173-12,pid9174-07,pid917509-06,pid917518-06,pid9176-03,pid9186c-07,pid918719b-03,pid918904-02,pid9192-07
1,0,0.18272405,0.097902785,0.17199828,0.56165676,0.42576611,0.25278164,0.26528354,0.16666095,0.42192333,0.24172587,0.45462522,0.33017802,0.13246578,0.31973587,0.35855901,0.18974236,0.21411159,0.21531432,0.32933676,0.50197104,0.14740863,0.2921356,0.44541653,0.20557943,0.18454876,0.19359518,0.35357042,0.43645068,0.25728052,0.26194994,0.24650354,0.30904398,0.394815,0.24873752,0.31022788,0.37915194,0.25416997,0.27928627,0.31684385,0.63107443,0.22783115,0.31730769,0.20287601,0.30567583,0.15397299,0.30330208,0.25021025,0.31123438,0.21270827,0.26044485,0.3116877,0.62225896,0.36925703,0.35862255,0.21972951,0.38363017,0.41061738,0.27862487
1,1,0.16779059,0.12668163,0.17340266,0.44292905,0.41099247,0.19624478,0.2430218,0.14351217,0.34897993,0.19374944,0.31243476,0.20979117,0.16160457,0.29633292,0.27419665,0.24469333,0.20146939,0.18716137,0.23584576,0.3793264,0.12424806,0.23670052,0.36196889,0.14941777,0.14972562,0.22488592,0.27197506,0.27146974,0.24835258,0.27315051,0.22535638,0.23314881,0.35309386,0.33955764,0.24338084,0.29291031,0.26685429,0.27487129,0.2950353,0.59862438,0.18087336,0.26849988,0.20033018,0.26922177,0.13909374,0.24924819,0.24796754,0.27826222,0.16469563,0.23726587,0.25649447,0.44598851,0.34577644,0.27425029,0.16237924,0.25009895,0.38897644,0.21833986
1,2,0.16212067,0.15447149,0.18743568,0.40661307,0.40132378,0.16632476,0.23501284,0.1285396,0.33025666,0.16912492,0.25110809,0.16911161,0.18279418,0.28650491,0.21615299,0.27665833,0.20021668,0.17828257,0.20245758,0.33785163,0.11774382,0.23237716,0.34621947,0.12905536,0.13773884,0.24814754,0.24997166,0.21263363,0.24566712,0.29094388,0.21474352,0.2105479,0.32980897,0.37044431,0.22159134,0.216495,0.27612177,0.28869455,0.28747164,0.58767738,0.16915575,0.24493769,0.2028065,0.25808953,0.13824981,0.22774928,0.25116931,0.26229457,0.13873462,0.22280827,0.22834522,0.36152976,0.33791165,0.22479951,0.14159536,0.19540885,0.37978879,0.19001781
2,0,0.16047915,0.18698885,0.21332547,0.38803216,0.38706209,0.13724791,0.22096424,0.12014056,0.34210267,0.16193003,0.22207095,0.15698391,0.19718249,0.28675061,0.20214228,0.30249952,0.21369177,0.18156189,0.20876093,0.31033361,0.12168078,0.25171562,0.347817,0.12499533,0.1304595,0.26119079,0.24763389,0.18695733,0.24833133,0.32504783,0.21011898,0.22832471,0.31671638,0.40950284,0.21361177,0.20233065,0.28624544,0.29817335,0.28427809,0.57486244,0.16516739,0.23700575,0.20982709,0.26012288,0.14302129,0.21699982,0.25529325,0.25356421,0.11426549,0.21680541,0.21349063,0.31895231,0.33888889,0.17516005,0.13348054,0.16285126,0.37471974,0.18971856
2,1,0.15978705,0.22544715,0.2411235,0.41063964,0.37247861,0.14183762,0.21382467,0.11942921,0.42921191,0.16757352,0.25335451,0.20409962,0.20786324,0.29634521,0.21167643,0.31930398,0.23381636,0.19517822,0.31101285,0.3090451,0.15028564,0.29835301,0.39281532,0.142101,0.13843967,0.27555954,0.27473789,0.24740169,0.25628853,0.35274235,0.21182512,0.33327303,0.31161389,0.42467215,0.22328329,0.22154725,0.2931029,0.31562875,0.28878477,0.5644874,0.17665211,0.23477115,0.21954123,0.27678467,0.15706959,0.22884604,0.26052379,0.25080616,0.11562126,0.21415843,0.21907972,0.37030108,0.34746988,0.15982209,0.16969362,0.15960579,0.37487409,0.21600285
2,2,0.16609583,0.26375114,0.28306175,0.51065362,0.36732246,0.17649513,0.21248106,0.12689407,0.47176703,0.20067002,0.31990016,0.25041938,0.21314223,0.3227027,0.23906629,0.33538743,0.26004198,0.22097861,0.40871979,0.33289532,0.16906876,0.3887524,0.41457845,0.18349835,0.15431405,0.28420795,0.3404293,0.27968765,0.27356338,0.37766263,0.21938489,0.43326459,0.32386241,0.42541593,0.25084216,0.26040899,0.30063422,0.3485013,0.30608665,0.55791341,0.21098253,0.24632758,0.23106265,0.31537449,0.18358868,0.20563123,0.27165622,0.26206646,0.14261135,0.21644771,0.23255468,0.41109467,0.3732664,0.17638655,0.18679547,0.18598116,0.3832169,0.26160314
3,0,0.17899734,0.26332328,0.29231346,0.52931143,0.33226066,0.1996436,0.21776329,0.13940692,0.4257157,0.20953773,0.37517586,0.26906025,0.21583083,0.33690418,0.24710994,0.3377139,0.26190412,0.21756319,0.43126992,0.34004593,0.16960562,0.38416827,0.37411342,0.20392926,0.15945124,0.29021078,0.3805469,0.26880171,0.26086587,0.41452487,0.23553149,0.46190769,0.3330964,0.42037581,0.26208368,0.26574694,0.30392421,0.39057761,0.31895537,0.5604402,0.21598253,0.26827223,0.25150752,0.33363809,0.1793625,0.1619553,0.28357064,0.27456063,0.1468311,0.23068418,0.21801364,0.37159763,0.37493307,0.20161736,0.1841899,0.19844059,0.38796913,0.27392234
3,1,0.16858917,0.2431858,0.26929674,0.48721426,0.27672054,0.18680459,0.22663505,0.13165067,0.35136558,0.18499415,0.34750775,0.25299555,0.20220367,0.32683047,0.24024353,0.31621803,0.23597644,0.19153597,0.3830437,0.34109842,0.15173102,0.30013039,0.30715959,0.20635158,0.16392066,0.27510322,0.34724426,0.23478665,0.21842982,0.42345344,0.23196206,0.41294306,0.30953227,0.37520063,0.2486091,0.22350199,0.26716347,0.41487411,0.31832507,0.55430061,0.20106259,0.27311886,0.25188114,0.31022528,0.15411581,0.14304499,0.26342309,0.25529576,0.14098878,0.2307102,0.19910637,0.3035764,0.34736948,0.20733877,0.16414022,0.19517138,0.37432169,0.26835768
3,2,0.15018634,0.23197026,0.2297277,0.45058371,0.25665911,0.14853095,0.23773299,0.11375557,0.32233465,0.15531523,0.26324786,0.22720815,0.19005586,0.31182432,0.2275768,0.28731013,0.20249865,0.1539987,0.28759897,0.33808127,0.13899787,0.22464315,0.30065239,0.18365403,0.1706843,0.26644394,0.28598753,0.2047411,0.1900163,0.38828922,0.21417668,0.31369924,0.27429079,0.30246624,0.22188858,0.1837531,0.22590772,0.40945765,0.31303051,0.51536345,0.17962154,0.25718308,0.23977757,0.28191194,0.1549208,0.14829294,0.24399115,0.22021878,0.13247849,0.20957986,0.20211649,0.27482597,0.32413655,0.19719658,0.15843776,0.18796802,0.38193339,0.24322765
4,0,0.14004437,0.23824788,0.23887221,0.45998602,0.24405763,0.13474444,0.26358427,0.097428865,0.35085554,0.14330425,0.17085697,0.19419719,0.19432202,0.30432432,0.2058458,0.26379542,0.16051598,0.13637071,0.18492545,0.32497289,0.1387845,0.20037057,0.34279859,0.13714428,0.17899504,0.27474468,0.20645367,0.18530259,0.19265216,0.27456154,0.18994275,0.22734783,0.2554928,0.26176355,0.20243122,0.16540862,0.19375297,0.38842655,0.30612867,0.47745439,0.1495706,0.25035945,0.22433748,0.26314365,0.16170475,0.16581756,0.23327186,0.18780652,0.11122182,0.19521982,0.2236576,0.28753916,0.31584337,0.1571804,0.17497654,0.18290984,0.4369537,0.19856787
