,,pid1263-10,pid5667267b-07,pid9048-10,pid9049-10,pid9054-10,pid9055-10,pid9058-10,pid9059-10,pid9060-10,pid9061-10,pid9062-10,pid9063-10,pid9066-10,pid9067-10,pid9070-18,pid9072-10,pid9074f-10,pid9075-10,pid9077-08,pid9087-04,pid9088-05,pid9094-10,pid9099-10,pid9100b-14,pid9101-10,pid9103-05,pid9104-10,pid9105-10,pid9111-10,pid9114-29,pid9118-10,pid9137-06,pid9138-10,pid9139-10,pid9153-10,pid9166d-17,pid9167-10,pid9170-10,pid9173-15,pid9174-10,pid917803b-05,pid917807-05,pid9186c-10,pid918805-03,pid9192-10
1,2,0.38989415,0.84037469,0.39263775,1,1,0.63077397,0.64838449,1,0.65935644,0.88942221,0.55513696,0.60758859,0.51763688,0.79115212,0.81763647,0.64111608,0.84088542,1,0.60049421,0.72581776,0.81491616,0.94036082,1,0.31160873,0.72249855,0.96780357,0.52090634,0.59879518,0.7740094,0.73411688,1,0.79276999,0.52418539,0.86753731,0.66957725,0.58175105,0.45809516,0.75062776,0.37303786,0.67029118,0.66404979,0.75483774,0.55023046,0.92612377,0.7859586
2,0,0.63626544,0.89065188,0.73470867,0.84311658,0.90853736,0.69484019,0.85295399,0.94414109,0.87311881,0.88099982,0.72446211,0.69244277,0.57758632,0.82168544,0.53332667,0.80978774,0.89309896,0.85774499,0.71844751,0.78314836,0.86641409,0.98725212,0.8716914,0.59376114,0.75705704,0.9906595,0.74795159,0.70534088,0.79456011,0.91337745,0.85460208,0.92503894,0.72104662,0.97380597,0.85805559,0.71566423,0.59351042,0.87511858,0.54701908,0.79573816,0.87983402,0.87128895,0.72419091,0.97988293,0.90021002
2,1,0.77304009,0.91665074,0.91622726,0.71594231,0.84275069,0.8128467,0.9540559,0.89963962,0.98707921,0.87026807,0.7299663,0.78990279,0.65644335,0.8613109,0.42970073,0.92889085,0.91998698,0.77982086,0.77515337,0.79037675,0.9115274,1,0.7749128,0.67907011,0.78044054,0.98117747,0.95254002,0.75044079,0.82625923,0.99884318,0.76802721,0.96592679,0.82853724,1,0.97359174,0.78712563,0.66799765,0.95814966,0.6727574,0.88155878,0.97759336,0.91722018,0.78232641,0.99977269,0.97383738
2,2,0.81836418,0.93137067,0.99162932,0.63649432,0.82222695,0.9133574,0.9929652,0.88047395,1,0.86094005,0.74017973,0.84220759,0.69316745,0.89598317,0.47974405,0.98141966,0.93541667,0.76043203,0.7967195,0.78322138,0.96302533,0.99306694,0.71876069,0.70089127,0.79245527,0.95924144,0.99981092,0.75301205,0.87112156,1,0.72740759,0.96073468,0.84692379,0.96902985,1,0.82276196,0.71125588,0.99380615,0.71610079,0.88447785,1,0.91565461,0.81954701,0.98721373,0.99519952
3,0,0.83233379,0.93888995,1,0.57597393,0.81979987,0.99322004,1,0.86966255,0.94816832,0.85251766,0.73892681,0.86942615,0.71765019,0.93540508,0.42234886,0.99533917,0.94322917,0.78677555,0.80604976,0.76051402,0.99010735,0.97070225,0.68255249,0.66867944,0.80317809,0.93369658,1,0.7328754,0.89503022,0.95682754,0.69599213,0.91744548,0.83696894,0.89589552,0.99632627,0.82185936,0.73727303,0.9877239,0.74312667,0.88331022,0.97153527,0.89044423,0.81052684,0.95300335,1
3,1,0.84584049,0.92824826,0.93197996,0.51995783,0.84411326,0.99145901,0.96918384,0.87282953,0.87173267,0.85201956,0.69470319,0.88366259,0.7414011,0.89218347,0.17930414,0.97234994,0.93157552,0.78551106,0.79634458,0.70931659,0.98968638,0.91807067,0.65611107,0.60111408,0.80795814,0.87821964,0.96375898,0.68432266,0.92055071,0.87284253,0.65538071,0.80484164,0.84882772,0.79320896,0.95192205,0.79918766,0.72413416,0.95831706,0.75171036,0.88535357,0.89120332,0.85836144,0.7661694,0.89850543,0.9629763
3,2,0.86479925,0.91601351,0.8335091,0.49465715,0.89853098,0.89697984,0.89092947,0.86431146,0.76712871,0.83789169,0.60749158,0.88617121,0.73421595,0.79074501,0.16796641,0.91528626,0.9171224,0.68076923,0.75864008,0.72857769,0.95495685,0.86946474,0.65241092,0.4721331,0.78489762,0.81050099,0.89108786,0.62482368,0.95366017,0.7904308,0.64770101,0.69171859,0.85143883,0.66290299,0.86843787,0.76856486,0.73943342,0.94057251,0.73942974,0.83769977,0.77748548,0.79062727,0.72770977,0.82627721,0.92241224
4,0,0.89754246,0.92544447,0.7621276,0.49892185,0.92114115,0.79137096,0.77158688,0.8362455,0.72044554,0.80587756,0.5937095,0.86215114,0.73095602,0.71135839,0.19418116,0.84549978,0.92460938,0.5902529,0.73853954,0.81943633,0.88746229,0.8543313,0.65124137,0.43868835,0.78690007,0.87142655,0.81022312,0.58808404,0.99294829,0.72930452,0.68769773,0.64151739,0.86199206,0.52414925,0.73932489,0.78370395,0.78017821,0.93711288,0.69323928,0.74720864,0.66317012,0.73354131,0.71690539,0.76098199,0.93093309
4,1,0.92483361,0.93041483,0.71908779,0.5438689,0.92122631,0.80062517,0.72389965,0.83952168,0.73891089,0.82806557,0.69186036,0.85305738,0.77207105,0.77466413,0.24449777,0.8111734,0.92760417,0.57123288,0.7687713,0.90486273,0.85869641,0.85194573,0.66868887,0.49782383,0.82740133,0.94657515,0.76339342,0.58040699,1,0.73601407,0.73003033,0.71352544,0.88902791,0.48670149,0.70322649,0.85139903,0.80374916,0.94330674,0.66846556,0.72525724,0.62819917,0.702932,0.72478565,0.76308462,0.9449745
4,2,0.9093724,0.93315491,0.69707356,0.59710575,0.89989355,0.85097297,0.71144867,0.86087146,0.7510396,0.85310632,0.76516893,0.896582,0.81218814,0.86015742,0.31014464,0.81192921,0.9296875,0.59515279,0.81579755,0.9572868,0.85027713,0.83457582,0.67156145,0.55105466,0.86725664,0.96575149,0.74328753,0.59091978,0.97186031,0.74735089,0.71899025,0.77031412,0.89930914,0.49662687,0.71696305,0.87954378,0.78520511,0.92076335,0.65754472,0.75020069,0.64160996,0.68489335,0.7211181,0.80610331,0.94743474
