,,pid1263-11,pid5667267b-08,pid9048-11,pid9049-11,pid9050-11,pid9054-11,pid9055-11,pid9058-11,pid9059-11,pid9060-11,pid9061-11,pid9062-11,pid9063-11,pid9065-07,pid9066-11,pid9067-11,pid9068-06,pid9070-19,pid9072-11,pid9074f-11,pid9075-11,pid9087-05,pid9088-06,pid9090-04,pid9093-11,pid9094-11,pid9099-11,pid9100b-15,pid9101-11,pid9103-06,pid9104-11,pid9105-11,pid9111-11,pid9118-11,pid9129-15,pid9130-07,pid9137-07,pid9138-11,pid9139-11,pid9153-11,pid9166d-18,pid9167-11,pid9170-11,pid9173-16,pid9174-11,pid917803b-06,pid917807-06,pid9186c-11,pid918713-17,pid9192-11
1,2,0.46073961,0.64436471,0.41804654,0.7383801,0.48846411,0.47916948,0.54655835,0.20224962,0.42460121,1,0.7546698,0.3782645,0.59735012,0.28349648,0.42246387,0.55250274,0.41024245,0.66073769,0.3788933,0.61107375,0.92704455,0.39603267,0.38470566,0.42581415,0.44587701,0.45209559,1,0.59082587,0.20253067,0.65717584,0.35485258,0.70468275,0.55238967,0.15812554,0.69424499,0.3984534,0.21386524,0.35058595,0.39401201,0.40339706,0.75369558,0.32663582,0.29273873,0.36517996,0.85015081,0.62706672,0.40392886,0.17132725,0.38955815,0.46748824
2,0,0.55189295,0.71443647,0.56706282,0.93053441,0.50076507,0.43099257,0.66170162,0.23019887,0.77142857,0.71528428,0.33553464,0.58434683,0.54145412,0.55930275,0.54450504,0.6356452,0.47322558,0.64721841,0.39945265,0.71464769,0.82816163,0.60410491,0.23189581,0.49667043,0.46831894,0.50120404,0.7470162,0.61299837,0.48071765,0.41372836,0.51490362,0.90833967,0.60424831,0.28180689,0.64236583,0.66877472,0.28096359,0.40272608,0.51003425,0.50829947,0.63693073,0.58623914,0.33833921,0.50095925,0.78729092,0.87081541,0.29793386,0.32714666,0.61295337,0.56327295
2,1,0.68740232,0.75207542,0.64896634,1,0.54773347,0.46444126,0.79873539,0.36973814,0.97284651,0.5514888,0.42897485,0.68744271,0.54118085,0.68886682,0.64012817,0.70567418,0.56105938,0.59117513,0.47786609,0.74664112,0.75396497,0.79105224,0.44006297,0.55403595,0.56800703,0.69534926,0.66751918,0.65780832,0.69693505,0.48880339,0.73450198,0.98765198,0.63657755,0.49342775,0.64921189,0.80756186,0.38173338,0.57998371,0.71121414,0.59800839,0.68471935,0.80880724,0.37279274,0.76315487,0.76547848,0.9751717,0.54061083,0.5150266,0.76223374,0.80606166
2,2,0.78221109,0.78014633,0.63648257,0.96098905,0.59162961,0.47393653,0.87409957,0.44393053,1,0.5256756,0.53298279,0.72002955,0.53822458,0.7252992,0.6732547,0.7069877,0.62898805,0.50346746,0.55867137,0.75107531,0.7427941,0.89841532,0.52511211,0.58313325,0.65359713,0.7716636,0.70436914,0.70459433,0.72872785,0.54810312,0.78930754,0.98727204,0.61823842,0.55310937,0.65766436,0.86224602,0.45025358,0.66528796,0.8436975,0.6256178,0.80063575,0.9202697,0.41533268,0.92883496,0.77842062,1,0.60290015,0.60226064,0.75079159,1
3,0,0.76844186,0.72597439,0.51988415,0.80088463,0.5932793,0.4500422,0.72389147,0.41302079,0.85047855,0.47942099,0.57819532,0.73372368,0.44139616,0.7353926,0.65925143,0.65407788,0.67947997,0.3828075,0.58429932,0.69275827,0.62007999,0.80826235,0.42479725,0.5638058,0.66092763,0.66284926,0.6173842,0.68550215,0.60071017,0.56154675,0.67828598,0.88202888,0.58362022,0.49953575,0.56993768,0.78096073,0.45882087,0.62324372,0.82904658,0.63760075,0.85129241,0.80486995,0.46689671,0.98622612,0.67805045,0.91112684,0.50637859,0.5772923,0.64306275,0.97657203
3,1,0.64231003,0.50991276,0.40975732,0.50983975,0.48135131,0.32862086,0.39391708,0.35797714,0.48134704,0.42717816,0.4181865,0.63428048,0.37299603,0.6321515,0.65198391,0.48516593,0.53129831,0.22814358,0.41077454,0.49504184,0.46703903,0.5232324,0.2390707,0.37379452,0.53986735,0.3908364,0.384264,0.53273567,0.38982455,0.5412928,0.34520787,0.73568579,0.52776048,0.32922777,0.40561054,0.62809555,0.37962326,0.50688726,0.71755636,0.67055219,0.85521206,0.57576839,0.38471983,0.90054932,0.49267891,0.61694739,0.38803324,0.26395643,0.46656592,0.68297335
3,2,0.51101151,0.37501759,0.33362629,0.36701472,0.34167743,0.45243079,0.25384184,0.31404661,0.37575328,0.5082283,0.42468745,0.55612405,0.39280391,0.54140699,0.68441505,0.63368035,0.45567463,0.24740893,0.36700907,0.36085868,0.47986485,0.41251735,0.22637153,0.24839822,0.44681163,0.37751838,0.42553282,0.50723585,0.27013984,0.44446326,0.34866008,0.51224354,0.5124794,0.30322963,0.30779266,0.57127203,0.34508241,0.46218587,0.71134437,0.63672151,0.75343268,0.47512119,0.30395319,0.74241207,0.5567864,0.59017264,0.40979891,0.16308891,0.32329447,0.53766765
4,0,0.57449722,0.45213874,0.36212923,0.47878326,0.38564529,0.56406989,0.36014887,0.32679744,0.49590216,0.65028345,0.56286954,0.65004036,0.519369,0.60111829,0.76949823,0.81181949,0.58930956,0.42734339,0.38275474,0.4378353,0.61573576,0.5045089,0.4055052,0.25755124,0.48421859,0.44456801,0.60434072,0.65748867,0.34332263,0.40417083,0.6105447,0.52262538,0.61398096,0.5555481,0.3932445,0.63810359,0.44335265,0.49370809,0.85199318,0.60125225,0.63810184,0.53472205,0.36193834,0.66449127,0.68937483,0.66492297,0.53527839,0.13902609,0.39504893,0.605722
4,1,0.74233715,0.6433868,0.54098672,0.65534769,0.48486587,0.64783086,0.59855931,0.4123639,0.71768876,0.65121911,0.69424915,0.81732492,0.63468864,0.74160886,0.87653395,0.76498876,0.83423226,0.62754153,0.37986804,0.61268476,0.73038202,0.68386427,0.66046179,0.32682894,0.57315302,0.54991728,0.73621768,0.81319017,0.63156853,0.47554444,0.81624018,0.62231193,0.73470976,0.70537302,0.45685361,0.77130751,0.56965224,0.63852855,1,0.58679145,0.63681122,0.55474075,0.42388418,0.68944822,0.80929531,0.75333164,0.64938103,0.1912424,0.61179476,0.81908204
4,2,0.81956626,0.71936119,0.59790273,0.67328693,0.47234973,0.69664922,0.67657275,0.45248808,0.7618575,0.63278111,0.72690101,0.83018455,0.65664127,0.74904273,0.83774202,0.79045582,0.94509838,0.71211706,0.29952013,0.67684367,0.80319956,0.81439095,0.71123939,0.35048086,0.60713682,0.61173713,0.73621768,0.83714983,0.74179895,0.52320123,0.82759084,0.69724544,0.7100531,0.70766632,0.48812989,0.80151947,0.61950734,0.69643417,0.97973615,0.57658696,0.62193329,0.60598715,0.48504988,0.69516274,0.81059775,0.77589277,0.70006103,0.23650583,0.69036413,0.8648232
5,0,0.79985533,0.73033629,0.51426146,0.51398013,0.37188591,0.72873059,0.527077,0.35618645,0.58808933,0.58286092,0.66692896,0.6926276,0.59825273,0.61911018,0.70057268,0.77855817,0.87064301,0.61383173,0.27479943,0.68034723,0.78237484,0.86329469,0.55156951,0.30743517,0.5629286,0.51662684,0.57349389,0.63761188,0.59557627,0.41117353,0.66473235,0.67413564,0.40827687,0.4869394,0.39724432,0.76167517,0.57640826,0.67437488,0.75103859,0.46511024,0.51097621,0.57181879,0.47023479,0.41031401,0.66276392,0.62252132,0.56920551,0.23837386,0.55775043,0.61956105
5,1,0.62998747,0.66881244,0.37320483,0.35783482,0.25839191,0.64157664,0.36086121,0.2135517,0.37483871,0.5893555,0.5550228,0.39767706,0.49347466,0.36941859,0.4208481,0.70415441,0.59370169,0.53536046,0.2269101,0.62492375,0.57885809,0.64893125,0.29435168,0.2297274,0.41730945,0.35147059,0.37721654,0.46682843,0.33686953,0.31959985,0.39682987,0.51674582,0.25320454,0.3304807,0.22898204,0.58254281,0.39704764,0.49378956,0.50126975,0.33985879,0.45018582,0.37187785,0.31169455,0.25901451,0.38058678,0.44809281,0.38865803,0.17380952,0.29953224,0.44181327
5,2,0.41212106,0.58514141,0.14071707,0.2803495,0.22347344,0.45106347,0.29486153,0.23404121,0.24895427,0.62557103,0.5634358,0.22724599,0.41632991,0.22437797,0.59056449,0.65276436,0.3598208,0.50525072,0.12288371,0.55908344,0.37625845,0.30567959,0.17560347,0.2393447,0.28269168,0.27274816,0.33125178,0.35183947,0.15696319,0.27003463,0.28304789,0.32639628,0.12977477,0.18160665,0.18629924,0.49001805,0.24972831,0.35555556,0.32367458,0.1711117,0.37646539,0.28556488,0.18357963,0.19382635,0.35302989,0.33431393,0.29104673,0.11783815,0.15856362,0.3265459
6,0,0.5385758,0.67663571,0.16818136,0.30601117,0.39121599,0.64371202,0.28172723,0.52624854,0.41977313,0.66607959,0.69746286,0.32935688,0.52385724,0.32156304,0.854036,0.74526428,0.59766339,0.65648529,0.28502662,0.66448737,0.54091849,0.40382475,0.25095888,0.46817669,0.31667549,0.34976103,0.47836743,0.40690747,0.23633525,0.34470181,0.31057828,0.60318199,0.41426479,0.17288094,0.29774457,0.6682738,0.49961963,0.45792442,0.40584995,0.16012123,0.49995817,0.34832788,0.26826945,0.26857424,0.51379216,0.30986165,0.4953214,0.17243541,0.089018423,0.40517331
