,measure_number,beat_number,pid1263-12,pid9048-12,pid9054-12,pid9055-12,pid9058-12,pid9059-12,pid9060-12,pid9062-12,pid9063-12,pid9066-12,pid9067-12,pid9068-07,pid9072-12,pid9075-12,pid9087-06,pid9088-07,pid9090-05,pid9093-12,pid9097-14,pid9100b-16,pid9101-12,pid9104-12,pid9105-12,pid9111-12,pid9118-12,pid9137-08,pid9138-12,pid9139-12,pid9166d-19,pid9170-12,pid9173-17,pid9174-12,pid917803b-07,pid917807-07,pid9186c-12,pid9192-12
0,1,2,0.35197561,0.15663869,0.40885748,0.31065171,0.17121095,0.30470489,0.19429931,0.041576399,0.12893933,0.3175717,0.31475733,0.19932376,0.15293522,0.2679269,0.14823012,0.15090358,0.34989394,0.2717855,0.33090749999999997,0.13761066,0.17123032,0.11601443,0.08265183400000001,0.25853458,0.031051227,0.064982906,0.20420583,0.21257133,0.50296076,0.14877832,0.05586225400000001,0.13409217,0.2032349,0.078894772,0.17900961,0.12664055
1,2,0,0.35145206,0.16183058,0.41006291,0.31101628,0.17343922,0.30645294,0.19480536,0.042234347,0.13245295,0.32647124,0.31506568,0.19962988,0.15383493,0.26870035,0.15656942,0.15132135,0.35253007,0.2720249,0.3310244,0.14766524,0.18631343,0.12333179,0.089536981,0.25958955,0.035233253,0.068693119,0.20622232,0.21504907,0.50280285,0.14931942,0.064004087,0.13581751,0.20805721,0.086938691,0.1806192,0.12753663
2,2,1,0.342675,0.23990072,0.4721181,0.33145333,0.26851034,0.35231452,0.2503068,0.16298109,0.26354874,0.5703039000000001,0.36569573,0.24142873,0.27015333,0.31123987,0.26734679,0.28582683,0.40448019,0.30456168,0.33418091,0.27374891,0.33730045,0.20160367,0.29827621,0.33915767,0.16731410000000002,0.14331873,0.26118373,0.30957876,0.49814459,0.29495936,0.25912837,0.18994673,0.31262997,0.14896693,0.21768909,0.24969336
3,2,2,0.3408272,0.30322047,0.49939728,0.34803028,0.33955903,0.39489437,0.28971572,0.23242932,0.33685732,0.67868756,0.4039098,0.27114989,0.33079789,0.33841535,0.36267075,0.37532526,0.45158719,0.3392313,0.33811194,0.362965,0.44529106,0.25667197,0.43699472,0.4077145,0.24316258,0.23568402,0.32035817,0.39699729,0.4943285,0.38404839,0.36999196,0.22841825,0.37122788,0.20218294,0.24699023,0.32914821
4,3,0,0.34091959,0.34254813,0.50981687,0.36151916,0.37923885,0.41633272,0.33978973,0.27435877,0.37810254,0.73122907,0.43001624,0.29138142,0.37813568,0.35376629,0.39878468,0.407983,0.47423338,0.35777401,0.34066929999999995,0.40280262,0.48938319,0.28937785,0.52254961,0.43265474,0.28099657,0.26522849,0.3462965,0.42933225,0.49001237,0.43138858,0.41457859,0.2509032,0.40431628,0.22598764,0.26288905,0.36833049
5,3,1,0.34245943,0.37487389,0.51704949,0.38161309,0.41405109,0.43264236,0.3701403,0.29690551,0.41638469,0.75602064,0.46167287,0.30930317,0.42547346,0.36977269,0.44018477,0.44474683,0.4947584,0.37988596,0.34480491,0.43809917,0.52504337,0.31746764,0.64047571,0.45400148,0.32083386,0.30223431,0.3754156,0.46349319,0.4851962,0.46169015,0.44383961,0.27234831,0.43299136,0.24992213,0.27913279,0.39930153
6,3,2,0.34569308,0.38976553,0.518354,0.39636722,0.43588311,0.44626396,0.38858596,0.31364840000000005,0.43674208,0.76983448,0.48794376,0.32473423,0.44703903,0.38352429,0.47555764,0.46933563,0.51209554,0.40310786,0.34880900000000004,0.46085042,0.54546453,0.34441196,0.69095343,0.47069974,0.3612813,0.32753888,0.4085917,0.49382466,0.47993263,0.48136213,0.46420675,0.28385827,0.45175378,0.27132326,0.28911883,0.42986371
7,4,0,0.34828000000000003,0.39943097,0.51685134,0.41189338,0.46384467,0.45231617,0.41342054,0.32892027,0.44782617,0.77653358,0.50445043,0.33626927,0.46419189,0.39121942,0.49494849999999996,0.47609158,0.51929278,0.41930008,0.35151249,0.47082703,0.54599152,0.35844831,0.72008419,0.48708481,0.39499174,0.34682429,0.43478209,0.5126677,0.47322157,0.49568323,0.47723771,0.29187124,0.45947132,0.28855838,0.29557362,0.44575809
8,4,1,0.35428536,0.40159006,0.51216169,0.43037893,0.49510537,0.45284388,0.42022697,0.33349381,0.45130137,0.77619129,0.50860279,0.34630155,0.46917120000000007,0.3967122,0.5107576,0.45646829,0.51899852,0.43242361,0.35506357,0.47121692,0.52021256,0.36839856,0.73057393,0.47432622,0.42593109999999995,0.35953677,0.46070841,0.53067384,0.46458931,0.49730653,0.48316696,0.29490505,0.45873192,0.30070602,0.29808656,0.4511925
9,4,2,0.36386314,0.39448727,0.49802672,0.43168708,0.48854315,0.44285031,0.40868894,0.30484902,0.42638963,0.76619154,0.48599091,0.33557355,0.45476554,0.38980362,0.5107329,0.3942085,0.48879952,0.42156351,0.35916995,0.45353424,0.43896708,0.35921766,0.71450524,0.43613286,0.42150756,0.35325276,0.46051637,0.50838173,0.45603599999999994,0.43999808,0.47951561,0.29168597,0.42622117,0.29509941,0.29223947,0.42783646
10,5,0,0.35696468,0.36228258,0.45393748,0.41635393,0.45688583,0.42597998,0.38466404,0.27628447,0.38750389,0.66582724,0.45645158,0.31847276,0.41505125,0.38048294,0.49833263,0.36298312,0.45755833,0.38896143,0.36082128,0.4238567,0.39015393,0.3396249,0.67722322,0.38051595,0.40800814,0.33663986,0.45632734,0.47556491,0.44693002,0.36844067,0.46177811,0.27765169,0.38255003,0.27578778,0.27964195,0.40335605
11,5,1,0.34230544,0.30029459999999997,0.3893063,0.38774635,0.41816149999999996,0.40587741,0.34382551,0.22867956,0.34163115,0.48152857,0.40547207,0.30230422,0.33993235,0.37704832,0.47973223,0.32058536,0.41405608,0.32264734,0.367032,0.38810146,0.34011111,0.30823546,0.61528696,0.28393637,0.38901741,0.31229836,0.44984576,0.41898506,0.41792773,0.26400847,0.37573697,0.25981936,0.33019086,0.24996885,0.26697873,0.38255537
12,5,2,0.32780019,0.24199927,0.33240311,0.35828097,0.38343940000000004,0.39357509,0.30439128,0.21233785,0.31061036,0.370211,0.34727732,0.28947515,0.26809292,0.38448127,0.45194279,0.26498603,0.38030138,0.24490729,0.38095864,0.35952479,0.29153949,0.27549538,0.55455335,0.18635127,0.36682344,0.29375933,0.44631689999999996,0.35728234,0.40021581,0.19492809,0.23867748,0.23547939,0.28249919,0.21842652,0.25487394,0.36962521
13,6,0,0.31954667,0.20696961,0.31179511,0.34803028,0.35994879999999996,0.39985818,0.28469314,0.22129503,0.30790335,0.38331581,0.32115033,0.29054656,0.24348826,0.39509976,0.43228022,0.24674736,0.37940632,0.20385871,0.39209411,0.34691069,0.29026591,0.25839873,0.53263847,0.082434682,0.35579001,0.29315741,0.44666499,0.3191144,0.39408374,0.19810254,0.18630243,0.21276979999999998,0.27048385,0.18929295,0.25508746,0.37766609999999995
14,6,1,0.30689229999999995,0.24070786,0.34500239,0.38673844,0.35050208,0.42668909,0.27853194,0.25993207,0.34203354,0.49157722,0.33831479999999997,0.3201564,0.28232688,0.42210482,0.43479979,0.35947385,0.41314876,0.22414469,0.41369282,0.37518921,0.35682133,0.26448513,0.54740429,0.15014423,0.35045125,0.3136948,0.45149016,0.31421978,0.39905782,0.27653793,0.21177811,0.20260999999999998,0.30225519,0.180312,0.27305576,0.40698467
15,6,2,0.30164762,0.30015336,0.3976783,0.43844224,0.36103049,0.48780488,0.31227307,0.31140175,0.41318384,0.58697831,0.39946965,0.36937163,0.3535997,0.47623293,0.47538473,0.48000668,0.47067767,0.31024201,0.44291977,0.45018577,0.45372302,0.28939495,0.5802432,0.3229869,0.35561205,0.32982617,0.46234081,0.38241485,0.42484933,0.37262517,0.28993032,0.21194071,0.3634179,0.20592068,0.30020531,0.42500852
16,7,0,0.2994549,0.34710844,0.45106425,0.46055199,0.38203321,0.54804664,0.35355439,0.34617133,0.46253178,0.64039999,0.46500298,0.40362888,0.41577239,0.51326656,0.51473458,0.52775192,0.50188207,0.36576129999999996,0.45848312,0.50688042,0.51680903,0.31003059999999993,0.60710229,0.39034039,0.36473878,0.33745847,0.46822225,0.42537597,0.45393057,0.43633062,0.35017754,0.23300139,0.4162623,0.2235685,0.31996387,0.43514480000000005
17,7,1,0.29582705,0.40433432,0.50489605,0.48819455,0.42843751,0.60866769,0.41199094,0.38588890000000003,0.52261628,0.68220826,0.52241659,0.43940279,0.51108326,0.56892845,0.56063039,0.56905154,0.52542331,0.42439279,0.47637001,0.56547865,0.58718517,0.34374519,0.63756932,0.44889145,0.38472099,0.34357394,0.47207519,0.49100961,0.49167040000000006,0.50615651,0.43070816,0.26662807,0.48105273,0.23816643,0.33208508,0.44640545
