,measure_number,beat_number,pid1263-13,pid50534-05,pid52932-06,pid54293-09,pid5667267b-10,pid7992-03,pid9048-13,pid9050-13,pid9052b-09,pid9054-13,pid9055-13,pid9056-15,pid9058-13,pid9059-13,pid9062-13,pid9063-13,pid9064-04,pid9065-08,pid9066-13,pid9067-13,pid9068-08,pid9070-21,pid9072-13,pid9074f-13,pid9085-15,pid9087-07,pid9088-08,pid9089-15,pid9090-06,pid9093-13,pid9094-13,pid9098-20,pid9099-13,pid9100b-17,pid9101-13,pid9103-07,pid9104-13,pid9105-13,pid9111-13,pid9118-13,pid9130-01,pid9138-13,pid9139-13,pid9152-13,pid9153-13,pid915406-13,pid9156-10,pid9159-04,pid9160-02,pid9161-12,pid9165-04,pid9166d-20,pid9167-13,pid9170-13,pid9173-18,pid9174-13,pid9176-06,pid917803b-08,pid917807-08,pid917811-09,pid917812-05,pid917813-02,pid9181-07,pid9186c-13,pid918818-11,pid9192-13,pid9193-03
0,1,1,0.21322859,0.60861838,0.5893649999999999,0.078421584,0.17950721,0.41912342,0.44137244,0.2567062,0.22671652,0.17972993,0.15110981,0.1345307,0.13902122,0.23043191,0.40614140000000004,0.28390590000000004,0.23274993,0.25464111,0.27079025,0.43357167,0.21223150000000002,0.17385561,0.28913879,0.072857674,0.16539434,0.10527495,0.21478153,0.12989514,0.28732688,0.28207385,0.17540913,0.25240581,0.41447452,0.37870383,0.33216986,0.19986265,0.4325441,0.17734957,0.43291999999999997,0.11148108,0.33099957,0.21198368,0.1874,0.19457047,0.37098613,0.12788672,0.24493188,0.20661469,0.30522923,0.23726118,0.28918092,0.17971374,0.11517749,0.24229837,0.09917896699999999,0.20550744,0.46164176,0.028849427,0.13882926,0.21684261,0.13368205,0.28140621,0.18279504,0.16675806,0.19957084,0.20565028,0.44392278
1,1,2,0.21330618,0.51118521,0.56534305,0.20888234,0.19294143,0.38448902,0.44674189,0.27876825,0.22338545,0.28222403,0.25122664,0.21280529,0.14760809,0.24065447,0.39762582,0.26530170000000003,0.27309046,0.27724307,0.27180919,0.41845693,0.26678316,0.24601382,0.31914648,0.15098899,0.18257954,0.19415864,0.33451772,0.25536702,0.26309998,0.27772463,0.22565891,0.29626729,0.36094867,0.38494077,0.33300047,0.27472732,0.42098062,0.21187703,0.40993599999999997,0.23456967,0.3551028,0.21969742,0.29234667,0.20954724,0.38897816,0.15664439,0.27124702,0.2481272,0.33343226,0.26176898,0.43227564,0.23366412,0.17166083,0.30031449,0.20523063,0.26039386,0.45861242,0.07631342099999999,0.21769126,0.28931705,0.18248205,0.32103142,0.20497283,0.17064891,0.21573574,0.29011392,0.44421154
2,2,0,0.21426632,0.41646359999999993,0.53963517,0.28084677,0.20425044,0.35452101,0.44824081,0.28474453,0.21770419,0.33763282,0.30604556,0.25276170000000003,0.14995997,0.24306865,0.38599461,0.25150113,0.29165795,0.28510604,0.2706091,0.40562022,0.29731504,0.28722734,0.33664937,0.18800565,0.19610657,0.23990954,0.38901072,0.30291706,0.24832100000000001,0.27165359,0.24552972,0.32042113,0.31699104,0.38615331,0.32984601,0.31211925,0.40896103,0.23843391,0.391176,0.26721740000000005,0.36737667,0.222554,0.33789333,0.21827457,0.39154649,0.17449606,0.2841938,0.26848086,0.3508903,0.27795558,0.49389276,0.26782443,0.19384828,0.33410863,0.26217712,0.27606635,0.44953241,0.10435352,0.25954743,0.3224174,0.20056068,0.34342589,0.22109098,0.17192192,0.22619156,0.32772383,0.44171969
3,2,1,0.21271458,0.32815449,0.51404247,0.31826118,0.21268029,0.32214711,0.44554069,0.28235401,0.20987666,0.37201889,0.34798481,0.27289397,0.14940953,0.24074877,0.36938286,0.24077173,0.29982878,0.28800979,0.26871462,0.39206851,0.31893113,0.31249616,0.34891388,0.21170434,0.20694583,0.26685479,0.42233306,0.32642517,0.23665339,0.26472164,0.25360896,0.33259375,0.27363085,0.38327526,0.32549697,0.33125959,0.3970823,0.25873697,0.370872,0.29330692,0.37432858,0.22313128,0.36216667,0.22517992,0.38512567,0.18540754,0.29290646,0.28159812,0.35898485,0.28822617,0.52161904,0.28802481,0.21233972,0.35449781,0.31436347,0.28425396,0.43696747,0.1299018,0.29023636,0.34336437,0.21037949,0.35506353,0.23209401,0.17200026,0.23008648,0.34748834,0.43601946
4,2,2,0.20849578,0.2584599,0.48968543,0.34777805,0.21963505,0.29746329,0.43765592,0.27187044,0.20121395,0.38825266,0.37518254,0.28238521,0.14551641,0.23399661,0.35056171,0.22755192,0.30227338,0.28752855,0.26664654,0.37963918,0.33534777,0.32057604,0.3527105,0.22472487,0.21502676,0.28653654,0.44068425,0.34104862,0.22899829,0.25775142,0.25409991,0.33587401,0.23804653,0.37752613,0.31975735,0.34306375,0.38535113,0.27339932,0.352944,0.30365,0.37656356,0.22089181,0.37104000000000004,0.22906987,0.37093806,0.19065513,0.29809984,0.28669419,0.36195252,0.29129085,0.54006499,0.30166985,0.21901749,0.36245823,0.33468635,0.28853571,0.42118136,0.14309329,0.30402049,0.35395193,0.21513846,0.36006209999999994,0.23850938,0.17074683,0.22952728,0.35404847,0.42516443
5,3,0,0.20308408,0.19702827,0.46172615,0.36398232,0.22450284,0.26982846,0.4279437,0.2564781,0.18881228,0.39645809,0.38752190000000003,0.2818216,0.14058247,0.22166164,0.33247454,0.21456836,0.29898221,0.28517129,0.26389161,0.36467409,0.34903682,0.31063748,0.35139369,0.22514872,0.22064342,0.28810538,0.45136851,0.34506196,0.22575413,0.24941649,0.24774332,0.33175846,0.20244410000000002,0.36909408,0.31263649,0.34377474,0.3677309,0.28529386,0.341672,0.30491444,0.37519294,0.21587539,0.36478,0.23202150000000002,0.35222497,0.19179448,0.29867416,0.28604189,0.35636512,0.29124236,0.54580904,0.30942748,0.21900616,0.36228133,0.35227859999999994,0.28802092,0.39750619,0.15209493,0.31028982,0.35426302,0.21126154,0.35724352,0.24060695,0.16836402,0.22460498,0.33972016,0.41483343
6,3,1,0.19541267,0.15030872,0.43151546,0.36825163,0.22703781,0.23568106,0.41535682,0.22831204,0.17534233,0.39278335,0.38184141,0.26960998,0.12911329,0.20603546,0.30100359,0.19896643,0.28537049,0.27815661,0.25934788,0.34699867,0.36074838,0.27684332,0.33952326,0.20895300000000003,0.22327825,0.26172042,0.45360264,0.33758818,0.22558338,0.24073082,0.22923342,0.31054555,0.16563773,0.35570035,0.30211853,0.33119496,0.34910457,0.29140755,0.32722399999999996,0.29012897,0.36708032,0.20923659,0.33766667,0.23389815,0.28866227,0.18884202,0.29388403,0.27571727,0.34640809999999994,0.28403647,0.53628978,0.31180344,0.21146673,0.35306296,0.36154982,0.28107534,0.36814803,0.15158756,0.30824669,0.33778543,0.19965812,0.34588114,0.23821498,0.16417939999999998,0.21180831,0.30423579999999995,0.40197849999999996
7,3,2,0.17831442,0.12982906,0.39794337,0.35896282,0.22744755,0.20907835,0.38342762,0.21230839,0.15374381,0.36794569,0.3505184,0.22524235,0.11097878,0.17258582,0.26875374,0.17467270000000001,0.25828022,0.26444535,0.25050192,0.30833888,0.36721787,0.27002304,0.3284506,0.17170583,0.22346645,0.22898881,0.43516076,0.29622498,0.24062796,0.22967923,0.19223945,0.29365701,0.12970942,0.33666202,0.28597294,0.2847055,0.30783419,0.29206447,0.31016,0.230102,0.34654566,0.19580969,0.28506667,0.23858978,0.2574303,0.1728911,0.27414920000000004,0.25494573,0.32058944,0.2664824,0.48866482,0.30692748,0.18594606,0.32848064,0.35961255,0.24870077,0.32433858,0.14756956,0.28571628,0.30025717,0.17313504,0.31891749,0.22962845,0.15652174,0.18967423,0.25750439999999997,0.37149885
8,4,0,0.14694986,0.11448489,0.41667714,0.30830401,0.22776989,0.17664631,0.35235054,0.18634124,0.15048072,0.26208678,0.29391793,0.1615165,0.10845677,0.13887212,0.25298832,0.13427503,0.22328546,0.22439641,0.26092535,0.28994845,0.36431129,0.26756528,0.30916955,0.13033165,0.22326060000000003,0.21634645,0.38563891,0.24001907,0.25548283,0.23629871,0.18728682,0.27472374,0.1955463,0.3181115,0.29359776,0.22405268,0.26547723,0.2851362,0.28527199999999997,0.18847678,0.31307032,0.15709167,0.25835333,0.25541587,0.28448702,0.14785824,0.255117,0.23897467,0.25908719,0.24348754,0.40221734,0.27964695,0.17115064,0.2919675,0.31273985,0.19885602,0.27037007,0.14131751,0.25078716,0.28115602,0.17532308,0.26946029,0.20843198,0.14073639,0.15216204,0.24517929999999996,0.34124378
9,4,1,0.11528465,0.12795478,0.41649912,0.16655755,0.19344952,0.11686292,0.26233278,0.14885036,0.13403904,0.19860537,0.21223715,0.11501465,0.092753203,0.10195209,0.21108448,0.10589625,0.19087796,0.14488581,0.22865122,0.24266711,0.31639107,0.22989247,0.25950596,0.06945122,0.18662001,0.12403985,0.30392415,0.16526215,0.19334092,0.21415726,0.18441860000000002,0.22762551,0.22390694,0.24603484,0.26034531,0.13825644,0.2293514,0.22509416,0.250736,0.16424176,0.2695067,0.14675027,0.21561333,0.2296438,0.26638511,0.10314965,0.23020101,0.18979769,0.17816210000000002,0.15337019,0.29539329,0.23424618,0.15439384,0.21422394,0.19893911,0.16364602,0.23378627,0.11192308,0.18511314,0.23047888,0.17110427,0.17007245,0.15041154,0.10727902,0.097418558,0.14326019,0.25294904
