,measure_number,beat_number,pid1263-14,pid52932-07,pid9048-14,pid9050-14,pid9054-14,pid9055-14,pid9058-14,pid9059-14,pid9062-14,pid9063-14,pid9064-09,pid9065-09,pid9066-14,pid9067-14,pid9068-09,pid9072-14,pid9074f-14,pid9075-14,pid9078-06,pid9081-02,pid9088-09,pid9090-07,pid9093-14,pid9094-14,pid9098-01,pid9099-14,pid9100b-10,pid9101-14,pid9103-08,pid9104-14,pid9105-14,pid9115-08,pid9118-14,pid9126-02,pid9128-10,pid9130-06,pid9138-14,pid9139-14,pid9153-14,pid9166e-07,pid9170-14,pid9173-19,pid9174-14,pid9185-01,pid9186c-14,pid9192-14
0,1,2,0.32292663,0.37881547,0.37878855,0.39892340000000004,0.41252844,0.50295441,0.18017047,0.34976609999999997,0.30046442,0.20046641,0.25904615,0.31553058,0.54216336,0.42188318,0.45582917,0.26567304,0.50312601,0.57214383,0.42268615,0.44673607,0.31867464,0.56749818,0.34061706,0.42791897,0.32668102,0.51742985,0.25404031,0.24932209,0.18400385,0.30788369,0.42254038,0.27573117,0.19798992,0.54092692,0.58044332,0.64556157,0.20814574,0.36989817,0.56496676,0.38588291,0.16850227,0.16926864,0.6422671,0.66405823,0.81948915,0.16439307
1,2,0,0.28196915,0.41649689,0.29692074,0.33806427,0.36287509,0.41244378,0.18486333,0.48349046,0.43817085,0.30825999,0.25874364,0.4213673,0.5278983,0.25710867,0.41873601,0.32691485,0.43543894,0.54274097,0.47507443,0.38860658,0.54775286,0.53229243,0.34094629,0.285445,0.44826801,0.52625458,0.28570058,0.27997793,0.33695757,0.43681959,0.45462709,0.34530929,0.38195451,0.42120153,0.55995053,0.6090165,0.24514429999999998,0.33989332,0.33970494,0.38386093,0.16235191,0.24091956,0.46505664,0.42352378,0.84064918,0.22899036
2,2,1,0.37293619,0.45176237,0.28275703,0.30838348,0.41106056,0.37252844,0.22585481,0.60780856,0.57171487,0.38181750000000003,0.25257128,0.54631981,0.54531476,0.23697554,0.40347856,0.39321615,0.39854227,0.53165112,0.56929689,0.34509433,0.69799701,0.51402039,0.36543129,0.30903123,0.56562895,0.55383489,0.33235125,0.31845341,0.41640190000000005,0.61597338,0.51573982,0.43564287,0.48639343,0.34352209999999994,0.57766649,0.58821793,0.38818903,0.32043563,0.28431837,0.39359006,0.20182829,0.34186453,0.41935900000000004,0.31726125,0.84427857,0.32349289
3,2,2,0.49544209,0.47737312,0.28295512,0.31067699,0.49797422,0.36047270000000003,0.28032723,0.68397265,0.68789625,0.43653050000000004,0.24714552,0.65859511,0.59738905,0.29700845,0.41255381,0.43638551,0.39203109999999997,0.54864865,0.63212345,0.34019791,0.74144494,0.51304625,0.3980999,0.40437025,0.64408981,0.58503457,0.35733205,0.34874665,0.45952823,0.67886855,0.58122858,0.53282097,0.53507664,0.3450938,0.61044284,0.58128129,0.54358586,0.32635577,0.3126218,0.40800651,0.25681585,0.40004765,0.4188564,0.32403864,0.84195028,0.39075314
4,3,0,0.51926755,0.50677905,0.28709308,0.3312242,0.45491279,0.37081753,0.28571569,0.73055056,0.79324764,0.50405477,0.22249469,0.76939073,0.64706554,0.31443422,0.37966248,0.47376688,0.39632329,0.58662999,0.68200934,0.35662559,0.66122571,0.51327385,0.45157558,0.39223483,0.6897789000000001,0.63039447,0.39476967,0.37969415,0.49708411,0.72191585,0.68281331,0.60495702,0.55601494,0.39054720000000004,0.66246302,0.59579033,0.57818903,0.34041865,0.32088152,0.44214382,0.32540588,0.48445962,0.42122762,0.36799481,0.84708622,0.44936285
5,3,1,0.44548033,0.42720635,0.34607004,0.37928011,0.43044632,0.40194903,0.32189674,0.74120187,0.90360935,0.56997668,0.26610028,0.88146608,0.71733272,0.33764864,0.36704839,0.50787996,0.41876417,0.66754365,0.69307321,0.36357932,0.58266069,0.46798069999999997,0.51446712,0.30015943,0.67816013,0.68807645,0.44452975,0.38557465,0.52165601,0.69567388,0.75055333,0.62309615,0.51985483,0.45997837,0.73723141,0.58678746,0.61424964,0.36148266,0.29910755,0.46224545,0.41469212,0.54711348,0.5019524000000001,0.47614817,0.83291105,0.52093612
6,3,2,0.44645248,0.52303254,0.48887373,0.50805429,0.48741198,0.48755622,0.50692662,0.69435768,0.97770412,0.64409087,0.35672909999999997,0.96564756,0.8082515,0.38668761,0.58901326,0.5521187,0.54003887,0.74860879,0.73060927,0.38252721,0.68589935,0.52421704,0.57479071,0.44103911,0.74027498,0.73394876,0.5575144000000001,0.43133375,0.57549687,0.77745028,0.78046467,0.64449402,0.6432911,0.5817784,0.79764272,0.62819159,0.66193362,0.44593066,0.34328385,0.54933498,0.52315343,0.56061304,0.61278142,0.63748405,0.84927755,0.56567554
7,4,0,0.4865175,0.64169296,0.57513261,0.6023178000000001,0.53096089,0.54452774,0.63001861,0.66086362,0.98502688,0.69510269,0.42508850000000004,0.97984443,0.82043084,0.41131553,0.73525056,0.57902687,0.6409459,0.78617556,0.77822445,0.40025099,0.77492775,0.54409141,0.60522999,0.5861765,0.80362004,0.72699471,0.6162572,0.47808608,0.60891273,0.84343554,0.77544361,0.65345263,0.77603329,0.6991274000000001,0.82167629,0.70088439,0.67621212,0.53068173,0.40669338,0.65030264,0.61402662,0.55884221,0.70266892,0.68696464,0.87413545,0.60004084
8,4,1,0.46605469,0.78351212,0.62413884,0.7225655,0.54939877,0.64032102,0.74818262,0.62676502,0.95562022,0.73650794,0.47364356,0.95606966,0.78922128,0.42604143,0.85450319,0.58671301,0.6845805,0.76205055,0.7775641,0.43907256,0.85024415,0.52803168,0.63473803,0.73099503,0.87902812,0.69808052,0.66139155,0.51349519,0.64418541,0.91561683,0.73580634,0.67931228,0.89146648,0.75564553,0.83345055,0.77749395,0.64574315,0.58568051,0.46888262,0.74818481,0.63010823,0.57021361,0.75685916,0.71858484,0.8896801999999999,0.59642215
9,4,2,0.39682540000000005,0.81965203,0.56422644,0.73528777,0.40617485,0.68386101,0.77034388,0.55555955,0.82941823,0.6129918000000001,0.44513741,0.8277179,0.69155819,0.39991773,0.86378509,0.4886713,0.63690476,0.62562385,0.6486092,0.47012776,0.83801694,0.45552622,0.60898316,0.75830442,0.86059757,0.58750712,0.65119002,0.46540281,0.63691631,0.86736392,0.65582354,0.61816717,0.88545752,0.709488,0.80326915,0.78662171,0.4892785,0.52462014,0.48694108,0.75503854,0.53405002,0.56019217,0.68292589,0.61802898,0.75203725,0.51448293
