,,pid1263-15,pid52932-08,pid6100021-11,pid9048-15,pid9049-15,pid9050-15,pid9054-15,pid9055-15,pid9058-15,pid9059-15,pid9060-15,pid9061-15,pid9062-15,pid9063-15,pid9065-10,pid9066-15,pid9067-15,pid9068-10,pid9070-23,pid9072-15,pid9074f-15,pid9075-15,pid9078-07,pid9081-03,pid9088-10,pid9089-08,pid9091-22,pid9093-15,pid9094-15,pid9098-02,pid9099-15,pid9100b-11,pid9101-15,pid9104-15,pid9105-15,pid9111-15,pid9116-06,pid9118-15,pid9126-03,pid9128-11,pid9137-09,pid9138-15,pid9139-15,pid9153-15,pid915410b-22,pid9161-13,pid9166e-08,pid9170-15,pid9173-20,pid9174-15,pid917509-04,pid917813-03,pid9179-07,pid9186c-15,pid918904-03,pid9192-15
1,0,0.32770332,0.31406212,0.15846854,0.20202961,0.26622583,0.14186922,0.39228455,0.22253142,0.14933077,0.4985,0.3758712,0.51942308,0.23846154,0.25833155,0.33858917,0.32113234,0.42007193,0.26884675,0.33574048,0.19638501,0.33374932,0.42842012,0.42716899,0.4457189,0.22802371,0.64150814,0.21260415,0.23900471,0.70877958,0.69655629,0.68726246,0.37587687,0.32007988,0.43155779,0.79591966,0.26422031,0.13500135,0.43238221,0.47809051,0.27014041,0.51493338,0.15552182,0.22633123,0.18885473,0.32745363,0.42067736,0.41121437,0.61298178,0.40834715,0.28678631,0.75729921,0.3539119,0.31248856,0.31882424,0.56766132,0.24457891
1,1,0.38464541,0.34415308,0.24772122,0.34816158,0.3147355,0.16502169,0.37356941,0.31319569,0.19819307,0.53480282,0.40898716,0.47724801,0.33251836,0.26854672,0.47143263,0.62262041,0.49097874,0.31653093,0.37263012,0.3219107,0.32171616,0.44129425,0.44265372,0.51822294,0.3290702,0.57939932,0.29554782,0.33576867,0.70222555,0.69517066,0.67382524,0.3679211,0.43905592,0.42031587,0.79724962,0.3811704,0.28827684,0.47698324,0.46316855,0.52775814,0.54309706,0.34067988,0.33949226,0.19700481,0.36754907,0.48074017,0.45557869,0.51662635,0.4708126,0.43942719,0.78887013,0.3638236,0.34154917,0.35420966,0.63747637,0.45407022
1,2,0.41916721,0.36928624,0.29158231,0.44047456,0.33194146,0.1870775,0.35439674,0.35861759,0.23074285,0.56191549,0.43056858,0.44133952,0.40249324,0.27262135,0.53614298,0.76002465,0.52742036,0.34215107,0.39275174,0.41564656,0.31255238,0.44571546,0.44206903,0.54451265,0.38299685,0.53647781,0.34632508,0.38843365,0.68195579,0.68455425,0.66391826,0.35829001,0.49587509,0.41346016,0.79067222,0.41971084,0.4253632,0.5151961,0.4485078,0.63510364,0.55507372,0.42946359,0.415214,0.19763537,0.3802089,0.50494016,0.49340544,0.45971617,0.51881071,0.51360424,0.77659679,0.36351466,0.35028383,0.37043267,0.66427456,0.58529515
2,0,0.44329213,0.38742113,0.31457355,0.50848122,0.34382385,0.19837957,0.33977437,0.37727273,0.25776309,0.58157042,0.44049317,0.40498011,0.44288751,0.27389377,0.58161563,0.84101435,0.54264087,0.35514454,0.40365096,0.47483857,0.30742394,0.44536695,0.43260091,0.55918148,0.4197444,0.49607626,0.37564358,0.41972444,0.65250605,0.66690779,0.65231772,0.34745399,0.52571532,0.40886576,0.77575319,0.43560757,0.47485203,0.53918722,0.43409739,0.7071258,0.55426161,0.48456867,0.45717166,0.20680224,0.38212678,0.51887785,0.51862328,0.42143203,0.55220722,0.54456016,0.73976586,0.35697552,0.34871818,0.37594728,0.66677353,0.67717582
2,1,0.4530514,0.39995083,0.32727273,0.54170997,0.34671724,0.20780751,0.3263115,0.383181,0.27476159,0.59106338,0.44287752,0.36095491,0.46065906,0.27184931,0.60631459,0.89891697,0.54062369,0.35715263,0.40207476,0.50359291,0.30573875,0.44101408,0.41830441,0.56318794,0.43245971,0.46724735,0.40294118,0.43662074,0.6162093,0.64765155,0.64010495,0.33698935,0.53803922,0.40751615,0.7590247,0.43906368,0.51942427,0.55521571,0.41818498,0.75543032,0.54241899,0.51479431,0.47449363,0.21910617,0.37375293,0.52285884,0.52826905,0.39741171,0.56714049,0.56070299,0.67894364,0.3445151,0.33685222,0.3691494,0.652873,0.73967495
2,2,0.45195836,0.40750635,0.33078898,0.55272085,0.34189044,0.2108274,0.31689126,0.37796638,0.28167977,0.59442958,0.43772162,0.32190981,0.46436993,0.26623061,0.60618185,0.93105574,0.52225516,0.34958657,0.38840324,0.51462553,0.30655857,0.43246549,0.39417201,0.55951535,0.43605297,0.44051385,0.41439498,0.44108049,0.57042872,0.61910341,0.62531605,0.32508872,0.53536674,0.40796123,0.73433457,0.43438898,0.53622545,0.56457212,0.40149981,0.77846977,0.51862335,0.52834435,0.4760242,0.22596358,0.35012606,0.51953145,0.53034118,0.38722787,0.56644555,0.56128882,0.57985298,0.32715032,0.31337667,0.35136565,0.62654336,0.79005136
3,0,0.4387378,0.40988282,0.32280234,0.53763114,0.32624194,0.20950978,0.30926355,0.35745879,0.28294295,0.58871127,0.42316419,0.27872679,0.4481639,0.26035456,0.57927373,0.94778551,0.47446438,0.3280945,0.36088133,0.50117556,0.30845327,0.416407,0.35675217,0.54621432,0.42512502,0.42733884,0.41640965,0.43146302,0.51496902,0.58478859,0.6112984,0.31089379,0.5160276,0.4128715,0.69570252,0.40873666,0.53099274,0.56886962,0.38379155,0.77336899,0.47752109,0.52293862,0.45749244,0.22803657,0.31839546,0.50833546,0.5187476,0.38696984,0.54980652,0.54329552,0.49140212,0.29248513,0.27621315,0.32332437,0.57573366,0.80637445
3,1,0.42169161,0.41032533,0.30078946,0.49227375,0.29944952,0.20282347,0.30264494,0.30489636,0.27100552,0.57254225,0.39539433,0.24806366,0.40213568,0.25499321,0.52223381,0.94021308,0.44182279,0.31059994,0.32883205,0.45253049,0.31635999,0.4000205,0.31208035,0.51728595,0.38645119,0.42036786,0.40968163,0.40202139,0.44232126,0.53184921,0.59812356,0.29589832,0.46066086,0.41674803,0.65532435,0.35630293,0.48695184,0.56446888,0.3671608,0.72614385,0.43399038,0.48546764,0.40408762,0.22506503,0.30005402,0.48516255,0.49576767,0.37348008,0.50363263,0.50156221,0.40902804,0.26868419,0.24880974,0.30319084,0.5091492,0.77527616
3,2,0.39975277,0.40594116,0.26942897,0.41071674,0.28563373,0.18738849,0.28178627,0.25306023,0.25879204,0.55411268,0.3546702,0.2331366,0.35329532,0.24463507,0.4542998,0.87985383,0.41577269,0.28869133,0.30513325,0.39043545,0.32856622,0.37710127,0.29417201,0.468993,0.3370439,0.39219634,0.39647432,0.35453227,0.40954024,0.47093225,0.56891946,0.27835273,0.38647059,0.4066906,0.61439428,0.29212392,0.41531477,0.55849368,0.35213,0.63084344,0.41819759,0.43906055,0.36175419,0.21648144,0.28876283,0.45463883,0.47651758,0.33890502,0.45354971,0.44125907,0.34735638,0.25910718,0.22858451,0.26381687,0.42961776,0.6905509
4,0,0.38173064,0.40195034,0.23679469,0.3216786,0.29419307,0.15835175,0.26084613,0.20725477,0.24408566,0.53876056,0.32239658,0.22025199,0.28814264,0.22364,0.38552195,0.78173814,0.3892947,0.26225054,0.27834913,0.31108229,0.35154855,0.38568402,0.28773104,0.42376952,0.27525468,0.3832943,0.36968661,0.30359862,0.3738837,0.42974019,0.54417588,0.2627218,0.33009441,0.36744436,0.59066317,0.23907057,0.35545467,0.53368952,0.33142863,0.53696628,0.41735394,0.38933738,0.32461736,0.20681012,0.27599496,0.4092437,0.46056217,0.2860587,0.40175314,0.39083132,0.27973863,0.26161728,0.21132576,0.24618053,0.38063296,0.5610216
