,,pid1263-16,pid52932-09,pid9048-16,pid9054-16,pid9055-16,pid9058-16,pid9059-16,pid9061-16,pid9062-16,pid9063-16,pid9065-11,pid9066-16,pid9067-16,pid9072-16,pid9074f-16,pid9075-16,pid9078-08,pid9081-04,pid9088-11,pid9093-16,pid9094-16,pid9097-07,pid9099-16,pid9100b-12,pid9101-16,pid9104-16,pid9105-16,pid9118-16,pid9126-04,pid9128-12,pid9138-16,pid9139-16,pid9153-16,pid9166e-09,pid9170-16,pid9173-21,pid9174-16,pid9186c-16,pid9192-16
1,2,0.19717137,0.30582264,0.25508872,0.23081826,0.48338992,0.18990048,0.30503823,0.18269285,0.23912561,0.32127741,0.25739035,0.27453725,0.34223941,0.2520946,0.35008427,0.36087725,0.17447735,0.18073046,0.23308248,0.31672307,0.16846924,0.24305198,0.35921169,0.31545571,0.22453862,0.29763006,0.27939374,0.25449065,0.18370732,0.31526277,0.19548163,0.24190024,0.28980461,0.18518364,0.16935111,0.046549195,0.22121298,0.30086634,0.15770951
2,0,0.42360072,0.63512737,0.53725306,0.39093885,0.79439943,0.26262634,0.57583903,0.37794296,0.44676939,0.53669146,0.45725648,0.45566811,0.63610826,0.48191413,0.57210639,0.6355163,0.40347485,0.34064736,0.57819998,0.58830607,0.35424079,0.35673357,0.50620963,0.56225634,0.32355605,0.66998073,0.52386326,0.46155759,0.42196288,0.52527269,0.41122854,0.43309917,0.50853783,0.43188312,0.38682182,0.54829373,0.41898449,0.56667079,0.26058008
2,1,0.57545846,0.78151695,0.67974786,0.36039047,0.90043322,0.33972944,0.73351308,0.4657597,0.56654619,0.75443547,0.58776282,0.60301133,0.59412925,0.63154603,0.62506061,0.7653975,0.63538525,0.52319885,0.74591929,0.75983268,0.47204829,0.5296363,0.54936876,0.85423792,0.41038107,0.83255299,0.67329767,0.50744297,0.59788472,0.75246595,0.55342602,0.50792942,0.64185573,0.56347634,0.55384556,0.77638335,0.60047955,0.78016089,0.39324486
2,2,0.69559048,0.80887761,0.75591276,0.43645708,0.89171683,0.43727259,0.76078068,0.55599813,0.60322744,0.82870549,0.67525789,0.62727691,0.58324785,0.63353964,0.67855741,0.822053,0.71384013,0.63465336,0.85255096,0.83595601,0.55597457,0.62808372,0.52280534,0.95994428,0.51058612,0.93129094,0.7578987,0.55990117,0.71743095,0.82596159,0.67010924,0.61569908,0.67315492,0.6393935,0.67388255,0.89937809,0.71412318,0.85580446,0.49743513
3,0,0.80609837,0.79666731,0.76665739,0.46836635,0.86238102,0.49961903,0.69358551,0.59843852,0.62166318,0.80580138,0.6832349,0.59823188,0.60484495,0.60307512,0.72540463,0.85744746,0.71777125,0.64206571,0.84333347,0.81407219,0.57102367,0.70924687,0.54086905,0.97395806,0.58116029,0.94209056,0.76646606,0.59655665,0.7976467,0.89482543,0.73379203,0.68409182,0.72409482,0.68325443,0.77211776,0.93326423,0.77075693,0.8542698,0.51773785
3,1,0.85602357,0.81518866,0.76676441,0.4571404,0.804303,0.46352045,0.57966197,0.63772791,0.58385645,0.74119319,0.65811481,0.50279031,0.64983035,0.5333898,0.75053682,0.77313433,0.6780347,0.61719972,0.72282943,0.72690355,0.5810564,0.77139303,0.4655828,0.88234866,0.58134826,0.84105973,0.77430904,0.62625085,0.84707373,0.98245133,0.80486594,0.70339262,0.75661635,0.66666319,0.85796856,0.82809759,0.76094029,0.81503713,0.51267522
3,2,0.88164166,0.85079487,0.7262366,0.43556704,0.69583238,0.36550303,0.60486922,0.67952314,0.457834,0.72204053,0.66800535,0.45004144,0.6959757,0.49404521,0.77272517,0.56546451,0.68181115,0.58897381,0.56489152,0.64074074,0.56887719,0.80889518,0.41750587,0.76905324,0.55234962,0.60030829,0.78386549,0.72123811,0.86077893,0.93795992,0.86501631,0.74995888,0.76852486,0.62302125,0.85026202,0.60349227,0.76126939,0.76811881,0.47687146
4,0,0.86566312,0.8555928,0.65978896,0.42285386,0.68598088,0.3754315,0.6552837,0.68257129,0.37198022,0.789481,0.72278132,0.50776315,0.6532155,0.48861815,0.80599617,0.45875723,0.69964942,0.58480597,0.50892015,0.62990224,0.55718419,0.75225596,0.41948033,0.73997567,0.49416439,0.51180154,0.76485011,0.77708372,0.78269382,0.9091775,0.88090509,0.76931842,0.77897954,0.54732309,0.84425092,0.55676926,0.75178185,0.72517327,0.49956755
4,1,0.82644169,0.81556215,0.6565356,0.50935975,0.77553996,0.522065,0.7484829,0.69342683,0.47463699,0.91486042,0.80770139,0.66442582,0.61728872,0.54686299,0.88610284,0.51561377,0.75160467,0.63478161,0.50263503,0.69827035,0.57976377,0.69300909,0.47560922,0.81432774,0.5226162,0.52862235,0.75968182,0.80015849,0.67702555,0.83518606,0.88459356,0.77126847,0.80186128,0.56107786,0.87407522,0.70418594,0.73340856,0.68670792,0.63525947
4,2,0.76044542,0.76010343,0.65089574,0.59488946,0.86149584,0.67670658,0.77457545,0.69035998,0.55369032,0.95881963,0.83605008,0.78920711,0.69689892,0.61800769,0.94183926,0.60034115,0.76798649,0.68620637,0.51907066,0.78540139,0.5919667,0.65012009,0.55547563,0.97699369,0.59617225,0.49241811,0.77847431,0.80384113,0.60005375,0.822217,0.91055469,0.80642812,0.82200204,0.59418733,0.88463317,0.81334715,0.70500235,0.65372525,0.76498658
