,measure_number,beat_number,pid1263-17,pid52932-10,pid5667229-07,pid9048-17,pid9050-17,pid9054-17,pid9055-17,pid9056-13,pid9058-17,pid9059-17,pid9060-17,pid9062-17,pid9063-17,pid9064-10,pid9065-12,pid9066-17,pid9067-17,pid9068-11,pid9072-17,pid9075-17,pid9078-09,pid9081-05,pid9088-12,pid9093-17,pid9094-17,pid9097-18,pid9099-17,pid9100b-13,pid9101-17,pid9103-09,pid9104-17,pid9105-17,pid9111-17,pid9116-07,pid9118-17,pid9126-05,pid9128-13,pid9130-02,pid9137-10,pid9138-17,pid9139-17,pid9153-17,pid9162-06,pid9166e-10,pid9170-17,pid9173-22,pid9174-17,pid917509-07,pid9186c-17,pid918722-06,pid918904-04,pid918919-19,pid9192-17,pid9193-02
0,1,2,0.1236865,0.14461056,0.041818878,0.13518101,0.19798206,0.5455571,0.11566401,0.047880764000000006,0.089685969,0.37132097,0.21014229999999998,0.1083532,0.23668576,0.16490305,0.09933264,0.15386165,0.28581146,0.19698127,0.22652362,0.49091534,0.22947702,0.17877010000000002,0.030011811,0.068122008,0.047488182000000004,0.27062912,0.26332746,0.20166782,0.1732694,0.23413747,0.070572493,0.34057557,0.0055111000000000005,0.083063573,0.026795753,0.18893900000000002,0.36748596,0.27912924,0.1740257,0.07341941,0.28969286,0.14849096,0.14120328,0.2797057,0.208546,0.056563484000000004,0.13602706,0.54889141,0.12660662,0.1982359,0.35951859999999997,0.17424007,0.026754367,0.77930037
1,2,0,0.18157993,0.2052449,0.12026555,0.15384129,0.23355007,0.53594656,0.19714806,0.13763391,0.13853356,0.40631887,0.26174644,0.14572495,0.32969590000000004,0.21036761,0.18319466,0.27494963,0.31466818,0.26229056,0.30186601,0.50635863,0.30916108,0.24111408,0.15107568,0.12270926,0.12553577,0.31717143,0.32402333,0.283233,0.20063663,0.29880493,0.21033198,0.33589658,0.22102497,0.11149609,0.13470853,0.30160378,0.49815185,0.30526018,0.17865624,0.25685276,0.3545609,0.17078129,0.24701459,0.32047486,0.24563539,0.23254271,0.33523496,0.46904865,0.17377106,0.25924326,0.52969139,0.26400207,0.094100167,0.73218397
2,2,1,0.22743759,0.25964318,0.20512384,0.1897716,0.27926756,0.52608394,0.26258669,0.22315103,0.17724719,0.44334635,0.29849935,0.17075345,0.38385192,0.24118906,0.24954932,0.38784419,0.33416761,0.3096854,0.35667085,0.51330499,0.37227148,0.28047189,0.23191597,0.17618458,0.19119918,0.34662033,0.36770212,0.34825817,0.23273431,0.36008017,0.34126863,0.32895122,0.37098693,0.13406363,0.2224853,0.36606863,0.58612603,0.32371935,0.18352424,0.39067709,0.41164562,0.18714408,0.34090702,0.347558,0.27464337,0.3399732,0.43060698,0.42864592,0.2013713,0.29677596,0.6266883000000001,0.34782046,0.14630717,0.67503476
3,2,2,0.25148429,0.29291319,0.25905183,0.20958743,0.30135277,0.51617721,0.33971047,0.2538058,0.20873668,0.47075603,0.33518758,0.18615401,0.44771265,0.26121475,0.30489686,0.43356999,0.34116159,0.34071403,0.38598493,0.51001626,0.42742698,0.31873994,0.33494474,0.19841506,0.25902143,0.37428186,0.406328,0.40020724,0.27546942,0.38462738,0.43691565,0.32196597,0.47887821,0.15921595,0.28077971,0.43539997,0.64445164,0.33622238,0.19084369,0.48521549,0.43373684,0.20232757,0.40910817,0.36137041,0.29990839,0.41818425,0.46950872,0.39482155,0.22153979999999998,0.32094409999999995,0.68319626,0.40887983,0.18794666,0.6178633000000001
4,3,0,0.26231524,0.35723961,0.304494,0.22714634,0.30902093,0.50080035,0.37072642,0.27513299,0.22606598,0.4768866,0.35423027,0.19527412,0.4824416,0.27088507,0.33476339,0.45168378,0.34669922,0.36006363,0.39586282,0.50009379,0.46657139999999997,0.34466591,0.3805197,0.20366518,0.29424047,0.38860912,0.43180955,0.42648771,0.31642356,0.39394299,0.47797256,0.31549914,0.53512691,0.16809649999999998,0.32060846,0.47755464,0.66514422,0.34343287,0.19372817,0.53418803,0.44943985,0.21132749,0.44459891,0.37613975,0.31612354,0.4518995,0.5004360999999999,0.38060188,0.23852992,0.33653507,0.70623255,0.44796921,0.22202653,0.5853512
5,3,1,0.27749348,0.40562485,0.31795046,0.24733231,0.31337818,0.48943786,0.39909847,0.29785748,0.24246615,0.48359604,0.36855757,0.20344077,0.50496254,0.27394948,0.35801699,0.4626595,0.34762362,0.37862849,0.39226204,0.48580718,0.50823619,0.36677775,0.42885345,0.20892356,0.31814529,0.40082275,0.45053581,0.44468568,0.34514465,0.39697150000000003,0.5,0.30746378,0.59683242,0.17387532,0.35486940000000006,0.51220409,0.67246982,0.34976936,0.19803045,0.56706068,0.45691898,0.21986966,0.49547250000000004,0.38502302,0.32720848,0.47650251,0.51757743,0.38585654,0.25268449,0.34765497,0.7139591,0.49646876,0.25949119,0.55282799
6,3,2,0.2838902,0.43861402,0.32602775,0.29663266,0.31163677,0.48416309999999996,0.42326629999999993,0.3236217,0.25074906,0.48580695,0.38181759,0.20614571,0.52299691,0.27113585,0.36612064,0.47014295,0.34314119,0.38661011,0.37550787,0.46390521,0.54038211,0.38853479,0.46524087,0.20811458,0.33670816,0.40600043,0.46245252,0.44687654,0.34729632,0.38908848,0.51586213,0.29802605,0.63536897,0.18063265,0.37805959,0.5334111999999999,0.66598175,0.35497289,0.18624808,0.58827666,0.45760081,0.20921716,0.52862352,0.39142367,0.33082712,0.48697487,0.52796369,0.38470332,0.26636258,0.35061743,0.70900174,0.53122494,0.29474523,0.5253323000000001
7,4,0,0.28516954,0.47162798,0.32543195,0.32806717,0.30665919,0.47575624,0.44799757,0.33196872,0.25749784,0.48148277,0.38567917,0.20291222,0.52843543,0.25873142,0.36361588,0.47188909,0.32835964,0.38887239,0.32874344,0.43890209,0.57225798,0.41414397,0.49104868,0.19683011,0.34978727,0.40835520000000003,0.46541644,0.43743215,0.32402289,0.36558046,0.52196816,0.29090788,0.65652535,0.18735922,0.39701176,0.54886503,0.64581402,0.35871166,0.18156865,0.59102261,0.45112869,0.19554659,0.55973108,0.39622642,0.32822929,0.4879062,0.52860449,0.35612358,0.27534573,0.35134132,0.69058326,0.56637563,0.32386751,0.50352038
8,4,1,0.27898398,0.51019245,0.31102221,0.34838855,0.29239163,0.43712503,0.47023232,0.31474763,0.26238116,0.47394337,0.38149418,0.19147062,0.52539445,0.23658328,0.33595944,0.46637245,0.31108398,0.37827501,0.24913832,0.41601851,0.58218192,0.42353359,0.4874884,0.18193,0.33905609999999997,0.40586566,0.45894601,0.40049344,0.28959626,0.3363272,0.52055386,0.28141034,0.65695415,0.18533448,0.41013665,0.55312591,0.59787379,0.36093712,0.18848303,0.57792326,0.43519490000000005,0.19809915,0.59990125,0.39805001,0.31882607,0.47913568,0.51521894,0.32805527,0.28195235,0.36033214,0.65192032,0.61836761,0.35514967,0.46388966
9,4,2,0.26279965,0.53542579,0.26343519,0.33463032,0.25137519,0.37365768,0.46797849999999996,0.27581938,0.26304379,0.44359046,0.36390039,0.16921961,0.50745703,0.20515016,0.27631305,0.41297131,0.31252289,0.35869919,0.18375371,0.35472677,0.56815113,0.42205102,0.44304396,0.15572891,0.30862748,0.40030499,0.43762208,0.32761275,0.24953663,0.25624258,0.50905318,0.25841420000000004,0.59253752,0.17169057,0.38690322,0.54260347,0.52647154,0.3624909,0.20511943,0.52173729,0.39112785,0.21530763,0.61705409,0.39743613,0.29556995,0.45128978,0.48652545,0.2780658,0.27289367,0.36646998,0.53348676,0.63116026,0.37187070000000005,0.40035593
