,,pid1263-18,pid50848-02,pid9048-18,pid9049-18,pid9050-18,pid9054-18,pid9055-18,pid9058-18,pid9059-18,pid9060-18,pid9061-18,pid9062-18,pid9063-18,pid9065-13,pid9066-18,pid9067-18,pid9068-12,pid9070b-01,pid9072-18,pid9073-20,pid9074f-18,pid9075-18,pid9081-09,pid9085-13,pid9088-13,pid9092-08,pid9093-18,pid9094-18,pid9099-18,pid9100b-18,pid9101-18,pid9104-18,pid9105b-01,pid9111-18,pid9118-18,pid9122-02,pid9123-01,pid9138-18,pid9139-18,pid9153-18,pid9166f-15,pid9170-18,pid9174-18,pid9186c-18,pid9192-18
1,2,0.16415557,0.16430647,0.25201736,0.20521671,0.11614972,0.19754051,0.15045648,0.1429986,0.52750869,0.1920189,0.2315881,0.13343939,0.12633395,0.13805503,0.22394249,0.10718071,0.1959409,0.30173706,0.18930709,0.10714999,0.10773486,0.25700835,0.12240111,0.060403738,0.1141046,0.14907159,0.10497708,0.17611384,0.40280524,0.12317762,0.12678177,0.2037501,0.25576638,0.24871079,0.063194495,0.17280189,0.16788315,0.14008197,0.16102336,0.14277342,0.30035093,0.086115349,0.16892413,0.13503422,0.07521939
2,0,0.3049553,0.072634638,0.31900957,0.38802811,0.25395038,0.39208145,0.25150856,0.086250438,0.65933533,0.23948543,0.40583216,0.23267465,0.22463291,0.2743074,0.40246753,0.32434127,0.19342777,0.60518376,0.21042407,0.24033353,0.24710058,0.40894804,0.2163162,0.1117909,0.22110562,0.1951544,0.22279914,0.31597493,0.61327419,0.21975102,0.14162605,0.23597,0.40701156,0.51241101,0.14541976,0.35004706,0.29138865,0.23879383,0.27693037,0.14918049,0.64988302,0.18033262,0.37139152,0.16848361,0.27758509
2,1,0.40566431,0.3612069,0.37875111,0.59417415,0.3434961,0.5857904,0.38297539,0.36838416,0.58276057,0.41571279,0.45511557,0.50029306,0.50215037,0.51044592,0.43612245,0.68378742,0.47584342,0.82004937,0.34270228,0.33224486,0.38148797,0.5117443,0.33459609,0.13911075,0.50713154,0.4722669,0.43483955,0.42591902,0.64990283,0.56063238,0.44737351,0.54467641,0.58901571,0.69529536,0.29834693,0.54924545,0.48843353,0.34088218,0.35329848,0.38313301,0.85302415,0.38360543,0.46221844,0.28633089,0.46232457
2,2,0.56421552,0.69091437,0.54944264,0.70478719,0.49126033,0.69822654,0.56108165,0.69726604,0.65892294,0.62708716,0.5255157,0.61635826,0.7715879,0.73891841,0.77733766,0.77039636,0.78310867,0.91570671,0.62207961,0.50195726,0.57679543,0.70584029,0.5064149,0.19870045,0.76610422,0.59683249,0.5889419,0.72791236,0.68337136,0.71609074,0.61240042,0.7594371,0.73327898,0.80309794,0.48759595,0.75018471,0.70536833,0.50885434,0.5380768,0.3791795,0.95627193,0.52247482,0.53884114,0.42267379,0.63440878
3,0,0.64085186,0.81203022,0.57950084,0.62366263,0.58492019,0.61814334,0.59584384,0.80695759,0.58652058,0.65265161,0.51798525,0.57195289,0.83599454,0.76411765,0.81552876,0.68626558,0.88873658,0.79206436,0.72687538,0.59902137,0.61834609,0.71230355,0.50977404,0.21108272,0.79901184,0.54501043,0.56916456,0.82133379,0.57615547,0.66054553,0.72941488,0.66932653,0.68817818,0.80376179,0.56277822,0.7380897,0.73205758,0.51500228,0.57237696,0.41260554,0.90814009,0.46885108,0.49135299,0.48672109,0.65266979
3,1,0.5071423,0.58833785,0.49055934,0.435205,0.53415999,0.48045541,0.50105208,0.57167893,0.46585267,0.51561433,0.48129401,0.43710402,0.69010672,0.56556926,0.70981447,0.6237068,0.76422207,0.54262205,0.59240309,0.55155782,0.51855813,0.52582472,0.353863,0.18202526,0.5874429,0.33164532,0.48719244,0.6972274,0.46212928,0.5159129,0.61055887,0.4587412,0.52496294,0.63007504,0.49975938,0.63574255,0.54149026,0.40774185,0.46956679,0.3086719,0.69727517,0.32435154,0.38100178,0.40324769,0.50903372
3,2,0.35574642,0.29541844,0.35464141,0.31835221,0.33207304,0.31214421,0.25152595,0.29469856,0.40548233,0.3731163,0.43739541,0.39442909,0.47544732,0.40426945,0.41490724,0.50433679,0.46935496,0.33603035,0.33056977,0.36327142,0.42566608,0.37244089,0.25390296,0.14434548,0.28838445,0.30282991,0.30461222,0.25107008,0.37718631,0.29959468,0.29138136,0.21189206,0.35331307,0.35912065,0.27068746,0.49920547,0.41315834,0.33513109,0.26102223,0.15606437,0.50055047,0.24817669,0.22471103,0.31594429,0.44879013
4,0,0.48962542,0.39982565,0.45111966,0.47048028,0.37936265,0.35359801,0.4521259,0.40676481,0.49176033,0.4814387,0.58348935,0.50611237,0.50025676,0.53879507,0.49577922,0.46855266,0.49894144,0.36327482,0.48569075,0.3910026,0.45357242,0.54936996,0.42308774,0.18689494,0.4464622,0.39893754,0.32611096,0.40451748,0.51433883,0.42583287,0.4552891,0.41253383,0.44501927,0.42197422,0.40187444,0.60004453,0.50660457,0.43188472,0.44249246,0.28448396,0.53307989,0.30952853,0.38654416,0.37221755,0.59096628
4,1,0.5887574,0.50613134,0.62243267,0.60333463,0.4283186,0.4333309,0.60152161,0.51860322,0.54298536,0.56438041,0.70730677,0.62891792,0.58254032,0.71221063,0.69898887,0.45164589,0.62376818,0.37443774,0.74448877,0.43818654,0.5745644,0.73304545,0.61719224,0.22994816,0.7103384,0.55364909,0.38779119,0.69407646,0.62904943,0.55617594,0.65861202,0.62432537,0.59392232,0.53517414,0.53395173,0.66847502,0.63627434,0.49871186,0.58655768,0.4763286,0.63594922,0.42719713,0.45953616,0.38188258,0.72685111
4,2,0.62316555,0.64104998,0.67401598,0.59497852,0.46486319,0.47490147,0.68165377,0.64866807,0.48770114,0.47328039,0.74607738,0.70430378,0.66553799,0.77943074,0.86060297,0.47872658,0.71595461,0.35981898,0.77754748,0.47583383,0.67965336,0.79951862,0.54474155,0.27413302,0.81624872,0.68527455,0.46691926,0.8356316,0.63066329,0.64554253,0.75488111,0.74645481,0.73318263,0.54035982,0.59829399,0.64301981,0.67816257,0.52039555,0.56116562,0.4909407,0.69331865,0.49118096,0.41986515,0.34472926,0.82714954
