,,pid1263-19,pid50848-03,pid5667269b-38,pid5667291-15,pid9048-19,pid9049-19,pid9050-19,pid9054-19,pid9055-19,pid9058-19,pid9059-19,pid9060-19,pid9061-19,pid9062-19,pid9063-19,pid9065-14,pid9066-19,pid9067-19,pid9070b-02,pid9072-19,pid9074f-19,pid9075-19,pid9081-10,pid9088-14,pid9093-19,pid9094-19,pid9097-04,pid9099-19,pid9100b-19,pid9101b-01,pid9103-10,pid9104-19,pid9105b-02,pid9111-19,pid9113-15,pid9118-19,pid9122-03,pid9123-02,pid9124-11,pid9129-20,pid9137-11,pid9138-19,pid9139-19,pid9153-19,pid9166f-16,pid9170-19,pid9174-19,pid9186c-19,pid918812-11,pid9192-19
1,2,0.16222528,0.28726263,0.29976763,0.58449187,0.13741458,0.84705565,0.3066596,0.37597475,0.62865245,0.25740782,0.26864269,0.3146653,0.28475215,0.16090909,0.4173207,0.1555176,0.39756152,0.09650455,0.57063693,0.12933601,0.29899752,0.26352147,0.15607281,0.30823359,0.084387464,0.17002519,0.08580934,0.24866478,0.35854992,0.21571197,0.094518756,0.23907729,0.31820822,0.24345882,0.59560635,0.16658998,0.37271243,0.23567604,0.22879968,0.4845314,0.33653761,0.12175221,0.079729958,0.16133106,0.26635971,0.14273253,0.16630283,0.66109727,0.22803501,0.38575292
2,0,0.24895916,0.36486922,0.32447303,0.61495986,0.36289457,0.76930333,0.42486958,0.32998711,0.4012133,0.3491996,0.28723524,0.40172923,0.39202873,0.22835537,0.55752999,0.31904055,0.41469838,0.18441795,0.42795346,0.3432235,0.33884896,0.41982862,0.20671441,0.43466945,0.30547009,0.45151134,0.20031093,0.35759975,0.55568082,0.29242945,0.32024255,0.32924842,0.46449799,0.53330525,0.64636756,0.22766701,0.34071504,0.41487821,0.44201135,0.51777448,0.42480831,0.29472831,0.37505485,0.35675768,0.47319562,0.18463635,0.33165386,0.67409928,0.44231021,0.43133989
2,1,0.31212011,0.40367252,0.31699585,0.66927746,0.46035633,0.68124242,0.45676557,0.3818877,0.45372245,0.38611724,0.30441785,0.44902091,0.46696691,0.25718182,0.60200405,0.41786722,0.4867422,0.29218701,0.38352476,0.49293639,0.35101153,0.47896022,0.32752412,0.48726805,0.45175214,0.60958753,0.22544618,0.42708137,0.76918923,0.33894908,0.42155044,0.42101172,0.53583565,0.66474438,0.7050842,0.36448534,0.42110032,0.50345374,0.59434712,0.48553585,0.4412965,0.38967652,0.52185654,0.43084642,0.6163846,0.21391887,0.39119804,0.67258035,0.59947644,0.46776275
2,2,0.40116777,0.43689239,0.28288797,0.67546505,0.46116987,0.54293222,0.43336322,0.33616681,0.4233039,0.41697947,0.31493922,0.521052,0.38169669,0.2705124,0.63023841,0.46252785,0.55460684,0.44207719,0.31479714,0.57679657,0.33917507,0.47239217,0.406416,0.57529922,0.53517806,0.53445372,0.15481002,0.47766887,0.94808614,0.41646448,0.58540515,0.53747258,0.56824838,0.59981209,0.70746679,0.49980402,0.44957146,0.54369203,0.45457421,0.41086558,0.41747671,0.35928476,0.54801688,0.46122867,0.72124606,0.21295933,0.38067586,0.67938514,0.45795157,0.50416718
3,0,0.36540219,0.4088021,0.25022407,0.57740356,0.39664823,0.45243229,0.34992664,0.36060108,0.40913203,0.38537205,0.32575511,0.58621438,0.27203579,0.31890909,0.54025371,0.44942819,0.55632503,0.53337935,0.27708831,0.55303562,0.39618334,0.37655225,0.52125734,0.53854125,0.49970798,0.48916089,0.18941608,0.50441722,0.93485452,0.44398962,0.61904762,0.59788128,0.5539759,0.50307782,0.59891774,0.51681152,0.5228063,0.50386849,0.37964315,0.44543628,0.47443761,0.42283433,0.50638819,0.4842116,0.7250954,0.260953,0.34629759,0.64092594,0.38797448,0.52494776
3,1,0.2995503,0.37678252,0.26575934,0.5412571,0.31204849,0.32408705,0.34510108,0.37935802,0.42068347,0.35199271,0.32585537,0.57313972,0.28126104,0.35255372,0.39883509,0.39402198,0.46111194,0.49306558,0.23565036,0.43117578,0.4409445,0.30711379,0.49952253,0.42376898,0.3581339,0.50138539,0.18259437,0.41492303,0.76561129,0.41968213,0.55198859,0.48657306,0.42763052,0.3739584,0.56027137,0.40829925,0.486295,0.43122691,0.3964558,0.40747664,0.55972372,0.42916498,0.38380591,0.47430034,0.64016924,0.26116563,0.33546105,0.69068595,0.39815936,0.53127843
3,2,0.27433089,0.50216768,0.34239834,0.72155864,0.4345672,0.42290123,0.41824258,0.49655448,0.28473688,0.49306138,0.33721644,0.53154787,0.40181915,0.33241322,0.45008145,0.43792514,0.38589436,0.33974898,0.19260889,0.40578692,0.54052781,0.43478864,0.52706655,0.44538517,0.24891738,0.3153495,0.37977738,0.3531574,0.59950719,0.44453454,0.34162059,0.41664264,0.39157244,0.32270459,0.7396519,0.31738241,0.40558322,0.49288892,0.29902676,0.52004542,0.65756289,0.54698223,0.44001688,0.34463481,0.54873901,0.31645404,0.32090465,0.79591713,0.29458442,0.68119238
4,0,0.44584028,0.79081572,0.62500415,0.92903857,0.74491539,0.72254413,0.75784154,0.64086605,0.72560844,0.79007507,0.52424489,0.61571368,0.64700341,0.47944628,0.84219359,0.59267043,0.53167767,0.57926577,0.54708383,0.59809333,0.65722568,0.66973048,0.63942107,0.59986344,0.39894587,0.70370749,0.55385859,0.62852655,0.68352123,0.63450535,0.756911,0.61272488,0.63212851,0.68476641,0.93042039,0.52284424,0.65855032,0.68007692,0.56919708,0.85390864,0.83606869,0.74746832,0.80724051,0.62524232,0.6786212,0.47143169,0.58850856,0.89288535,0.57670975,0.84652735
4,1,0.60348879,1,0.80232365,1,0.99235275,0.88687508,0.93902837,0.69088161,0.85074305,1,0.62465848,0.71591251,0.83074296,0.56992562,0.99911151,0.74046487,0.69564076,0.71383746,0.68711217,0.78641913,0.78784951,0.84264445,0.82929474,0.70702064,0.50753561,0.81635705,0.61874883,0.75991203,0.80294336,0.8078495,0.93050354,0.93079672,0.78208217,0.92256852,1,0.70304192,0.80004898,0.82188372,0.7339335,1,0.90488562,0.88536543,1,0.81365188,0.8811183,0.59775379,0.82218826,0.93663041,0.74181119,0.9611555
4,2,0.70887068,0.84336558,0.88298755,0.89520266,0.9333713,0.90526883,0.86566678,0.64300004,0.89712111,0.83351733,0.64318837,0.91335784,0.69221712,0.60623967,1,0.78575672,0.77123349,0.80960151,0.67284457,0.90578135,0.81568935,0.91057494,0.86633841,0.81355932,0.66533476,0.79722922,0.61494932,0.76374489,0.81921285,1,1,1,0.87995057,1,0.89351048,0.81514145,0.83527875,0.85302768,0.80570965,0.90121408,0.78024206,0.88930039,0.91679325,0.89870307,1,0.58314251,0.91294097,0.8755696,0.81189463,0.95881991
