,measure_number,beat_number,pid1263-20,pid50848-04,pid5667249-17,pid5667269b-37,pid5667291-16,pid9048-20,pid9049-20,pid9050-20,pid9054-20,pid9055-20,pid9058-20,pid9059-20,pid9060-20,pid9062-20,pid9063-20,pid9065-15,pid9066-20,pid9067-20,pid9068-13,pid9072-20,pid9075-20,pid9081-11,pid9088-15,pid9090-09,pid9093-20,pid9094-20,pid9099-20,pid9100b-20,pid9101b-02,pid9104-20,pid9105b-03,pid9111-20,pid9112-07,pid9113-16,pid9114b-13,pid9116-08,pid9118-20,pid9122-04,pid9123-03,pid9130-04,pid9138-20,pid9139-20,pid9153-20,pid9161-10,pid9162-07,pid9166f-17,pid9170-20,pid9174-20,pid9176-08,pid9186c-20,pid918726-09,pid918904-05,pid918919-20,pid9192-20
0,1,0,1.0,0.91446843,1.0,1.0,1.0,0.90765058,0.66541102,0.89936832,0.64651581,0.85848446,0.82165561,1.0,0.89854419,0.91516338,0.66497026,0.62461427,0.6751238,0.72341791,1.0,0.73777059,0.80503794,0.99623574,0.76344817,0.98232148,1.0,1.0,1.0,0.81053573,0.64418718,0.48997626,0.7000665,0.91958745,0.91260682,0.93001616,0.95992377,0.74934928,1.0,0.9294571,0.67250466,1.0,0.70364303,0.76052352,0.74114118,1.0,0.62817738,0.8547938,1.0,0.82224026,0.42815626,0.95262148,0.99132466,1.0,0.76483033,0.62352485
1,1,1,0.86901034,0.69243805,0.84700678,0.86940813,0.80039706,0.75005612,0.54847196,0.89548537,0.55188411,0.83031088,0.62842473,0.92769353,0.75934038,0.75598196,0.53933411,0.54569028,0.6303483,0.66478629,0.95794919,0.64429997,0.73875569,0.89268762,0.56384781,0.88543567,0.81095071,0.9154538000000001,0.85972669,0.7172972,0.63696213,0.41051145,0.583194,0.79502666,0.76133741,0.74720517,0.81127739,0.65138174,0.86893996,0.80402145,0.59399098,0.88232749,0.62179269,0.65108773,0.65232282,0.89400895,0.55565588,0.83970415,0.91574533,0.73349567,0.36236119,0.8702046,0.88405072,0.93201077,0.64018651,0.56800931
2,1,2,0.74531005,0.59457234,0.75169401,0.76917211,0.64844127,0.63290311,0.45479069,0.88915931,0.48930127,0.79440576,0.54811736,0.86871841,0.6583998999999999,0.59891933,0.37311914,0.48919137,0.60051172,0.61452953,0.91384228,0.55395699,0.68522003,0.8169888000000001,0.4009112,0.85190311,0.67919218,0.84472608,0.75596195,0.61051784,0.64377572,0.32632356,0.47759833,0.67074556,0.69041233,0.60235864,0.71358108,0.57495708,0.74914752,0.70382038,0.52653918,0.77676833,0.55663085,0.56473293,0.58309849,0.84268978,0.49345661,0.83203275,0.85970263,0.66975108,0.305584,0.80287724,0.79240908,0.8663207,0.5411018,0.53004045
3,2,0,0.69396336,0.54338129,0.54307554,0.68248911,0.5554541999999999,0.56193416,0.39586852,0.84335346,0.4612384,0.75989313,0.5085365,0.83893349,0.60449626,0.49103982,0.36281194,0.46064302,0.58965005,0.58238182,0.85952112,0.55302924,0.65153263,0.78227283,0.35612661,0.80371186,0.59601196,0.8019215000000001,0.68287781,0.5253734,0.66733384,0.38577937,0.38935018,0.61923783,0.66408833,0.51881745,0.66022084,0.53058094,0.62966642,0.64186495,0.4885028,0.6655707,0.52537675,0.50095508,0.54764927,0.82861225,0.45008968,0.82231419,0.83181744,0.63651921,0.26299913,0.76029412,0.71770103,0.81836694,0.47090061,0.50901435
4,2,1,0.68701848,0.54216627,0.49046872,0.64825708,0.54048398,0.53937523,0.36680843,0.80835114,0.47313956,0.73791289,0.51298638,0.81058579,0.59951044,0.46362321,0.39780489,0.43686889,0.59098712,0.56544329,0.82867945,0.59008294,0.64224583,0.77342061,0.36217728,0.77697389,0.56644794,0.75932134,0.63562433,0.47847241,0.70332659,0.44135917,0.3233707,0.6017481,0.67749984,0.50523425,0.63118659,0.48245556,0.55865827,0.62520945,0.46162935,0.63679429,0.52033809,0.46422886,0.54615653,0.84199448,0.44180221,0.8221601000000001,0.8180927,0.60505276,0.23406316,0.74482097,0.64396897,0.79031728,0.45384682,0.50596155
5,2,2,0.74813655,0.55961631,0.50472644,0.64173021,0.57992166,0.56013842,0.37420864,0.77633999,0.51756296,0.72064443,0.53782745,0.80087224,0.65157176,0.46723962,0.48949659999999995,0.43095565,0.60311159,0.56826763,0.82078663,0.62080405,0.65189681,0.77304833,0.442043,0.77489777,0.56528871,0.7436713,0.6187298999999999,0.45318844,0.75312086,0.46457037,0.2765818,0.61970982,0.69758593,0.53896607,0.62698279,0.45907958,0.55568569,0.6318616,0.45199782,0.65159709,0.5392347,0.45627874,0.57396066,0.81438232,0.46550189,0.8221601000000001,0.8244649,0.59808577,0.22625817,0.75191816,0.61065232,0.77836169,0.48242812,0.51898166
6,3,0,0.7744441,0.572494,0.50302402,0.66864561,0.64495359,0.62556117,0.40182879,0.75506735,0.57744745,0.70526231,0.55394342,0.80354842,0.6886755999999999,0.49555820000000006,0.56325955,0.43355683,0.63433476,0.57960278,0.81349075,0.64754006,0.68394537,0.77263467,0.4797698,0.78880151,0.55546807,0.73615699,0.62960209,0.45376979,0.79573192,0.48369377,0.23555007,0.66551001,0.72135238,0.60124717,0.64581582,0.45353049,0.53205337,0.68074732,0.45395678,0.68599034,0.59084655,0.47299257,0.62941546,0.79021812,0.46670790000000006,0.82575916,0.85033495,0.61012581,0.23342522,0.77877238,0.58820487,0.77987256,0.4896382000000001,0.54500526
7,3,1,0.82547761,0.59693845,0.50960408,0.68858025,0.73327252,0.68922559,0.44027584,0.74362285,0.63804204,0.68746762,0.57680056,0.82411537,0.68809585,0.53410483,0.68612423,0.45561839,0.69039287,0.59175351,0.81567951,0.66969356,0.73705615,0.77788809,0.52868676,0.81157597,0.54897929,0.69200327,0.65838023,0.47356229,0.87795523,0.47787332,0.21731902,0.69312997,0.73064687,0.68058158,0.65164509,0.43430802,0.52057821,0.65814343,0.475412,0.68643738,0.64844712,0.47501769,0.65069754,0.79969521,0.45349125,0.8448440999999999,0.91138827,0.62310606,0.23572497,0.82186701,0.57315649,0.75412205,0.47357741,0.55362624
8,3,2,0.90447855,0.60346922,0.55790446,0.70064452,0.81064549,0.74850355,0.4738684,0.74225732,0.71288582,0.66363342,0.58185121,0.84245218,0.71721206,0.57705922,0.76215586,0.46427821,0.7117448000000001,0.59136837,0.83093454,0.6527973000000001,0.77450683,0.77509592,0.56333626,0.80629129,0.55679498,0.70026983,0.66923901,0.48981308,0.90564196,0.43536546,0.21978909,0.72572328,0.74992203,0.74371567,0.61689367,0.42495985,0.5697109,0.63360422,0.48423507,0.70653255,0.67907221,0.48980368,0.66585519,0.81929708,0.4666275,0.86884885,0.92140951,0.648796,0.23574859999999997,0.83631714,0.56949449,0.72751757,0.47962179,0.5477478
9,4,0,0.90252114,0.5908713000000001,0.61902895,0.73490378,0.84858078,0.82118406,0.50190777,0.73876451,0.79175346,0.62690253,0.56957737,0.84666468,0.73015975,0.62191116,0.75075112,0.45939090000000005,0.72052658,0.59775714,0.83935796,0.59837644,0.80430956,0.78432042,0.55896411,0.80220195,0.61184019,0.7773426,0.66713558,0.50344334,0.91380152,0.38294295,0.24498385,0.7625732,0.73944233,0.79360258,0.57317415,0.43684444,0.63899926,0.63298425,0.47918999,0.73812099,0.69453545,0.50420057,0.69907924,0.79610439,0.49715505,0.91387565,0.91879527,0.69088203,0.23622903,0.85735294,0.58596096,0.7246929,0.50379933,0.54512161
10,4,1,0.84207642,0.55785771,0.62619701,0.75815178,0.87326286,0.85286195,0.51776536,0.69490943,0.75908919,0.6052704000000001,0.54011876,0.83016156,0.71553723,0.61380191,0.66981421,0.43104451,0.73750413,0.59955445,0.85454666,0.53248524,0.80103187,0.8240622999999999,0.51366797,0.7867883000000001,0.61872995,0.86876533,0.62603832,0.47137108,0.8805356,0.32093949,0.25865476,0.74706756,0.68086832,0.83638126,0.51476935,0.47281941,0.57438844,0.62124665,0.45243315,0.67147595,0.68686935,0.4808012,0.70207868,0.76794933,0.51203538,0.98049682,0.89706443,0.72916667,0.22617941,0.86675192,0.62913747,0.72515273,0.50859166,0.54840711
