,,pid1263-21,pid50848-05,pid51495-04,pid5667249-16,pid5667291-17,pid9048-21,pid9049-21,pid9050-21,pid9054-21,pid9055-21,pid9058-21,pid9059-21,pid9060-21,pid9061-21,pid9062-21,pid9063-21,pid9064-11,pid9065-16,pid9066-21,pid9070b-04,pid9072-21,pid9074f-21,pid9075-21,pid9081-12,pid9088-16,pid9089-16,pid9093-21,pid9094-21,pid9099-21,pid9100b-21,pid9101b-03,pid9103-11,pid9104-21,pid9105b-04,pid9111-21,pid9113-17,pid9114b-11,pid9116-09,pid9118-21,pid9122-05,pid9123-04,pid9129-16,pid9130-05,pid9138-21,pid9139-21,pid9153-21,pid915411-09,pid9158-12,pid9166f-18,pid9170-21,pid9174-21,pid9185-10,pid9186c-21,pid918904-06,pid9192-21
1,0,0.49292161,0.41839938,1,0.87604228,0.58041829,0.6943064,0.44243615,0.7737508,0.76050696,1,0.38866475,0.80363133,0.41657505,0.59723064,0.57576723,0.68188143,0.25815111,0.58099007,0.64202179,0.63741181,0.44537923,0.34232272,0.89051885,0.65536617,0.57472227,0.74500569,0.51126156,0.44038171,0.82620741,0.66075482,0.63273359,0.3282446,0.60573071,0.47848272,0.52017879,0.59027808,1,0.84780325,0.3063754,0.53006588,0.46622023,0.34976203,0.68270825,0.59751992,0.53142084,0.38507566,0.5534853,0.58545228,0.36919847,0.79706804,0.73821968,0.55985644,0.5482981,0.99239424,0.36730137
1,1,0.44949566,0.33770801,0.78309354,0.73399883,0.59250747,0.51152153,0.39659915,0.62163748,0.53197824,0.84821279,0.31793778,0.69824267,0.40484848,0.50728631,0.48159321,0.62637397,0.28229054,0.47168715,0.56905919,0.58447799,0.49820743,0.32820632,0.70823063,0.57436386,0.51710819,0.68658354,0.40329425,0.40751064,0.69269936,0.55187287,0.53896567,0.31010791,0.49900262,0.44507706,0.49506162,0.54781093,0.81543987,0.73280603,0.357047,0.51317523,0.47377496,0.31713412,0.58623811,0.5260184,0.54180431,0.34654477,0.52181037,0.52873597,0.32852452,0.64869658,0.72147835,0.53231225,0.56197075,0.89861085,0.38574589
1,2,0.41157317,0.24646595,0.54049554,0.63552554,0.59396307,0.35064547,0.34010568,0.48894288,0.38112632,0.64794429,0.23402902,0.57256818,0.39707541,0.39028257,0.38197796,0.53983149,0.30667533,0.35851153,0.51721492,0.50820756,0.53792272,0.31001788,0.55804726,0.48865148,0.45082037,0.59524169,0.30746367,0.34749416,0.56608761,0.42946462,0.44300739,0.29681295,0.39513989,0.39486009,0.45157091,0.50814637,0.63727613,0.63078539,0.42042879,0.49060167,0.47498597,0.27215706,0.48235831,0.42482325,0.54809234,0.30336066,0.44765775,0.49573032,0.29330893,0.50641958,0.68771362,0.50109551,0.54986908,0.80438745,0.40364733
2,0,0.37903026,0.20078058,0.41937829,0.56569583,0.5819122,0.248571,0.31554095,0.41507289,0.31984815,0.5623175,0.19708278,0.50134169,0.39921776,0.36634487,0.33346234,0.48576177,0.31320632,0.295016,0.50150918,0.47182281,0.5454922,0.3002185,0.47335418,0.42958152,0.41579217,0.54573634,0.25925528,0.31652478,0.4918158,0.36345062,0.39403738,0.28726619,0.35499958,0.36591351,0.43541052,0.48515937,0.56726038,0.56625471,0.46374719,0.47165569,0.46954046,0.23899371,0.43647014,0.36930199,0.54138897,0.27108449,0.39921374,0.46149952,0.27397319,0.42320742,0.65452132,0.46980573,0.52498882,0.72392985,0.40682534
2,1,0.35376924,0.17154744,0.32437471,0.49883735,0.56846702,0.16465935,0.29042748,0.36564592,0.29333413,0.52147172,0.16638219,0.43470906,0.40677237,0.36808541,0.28881705,0.43252686,0.31542903,0.24089914,0.49791784,0.43868,0.54307449,0.29265709,0.4033187,0.38582764,0.38431892,0.50336644,0.21482001,0.29152822,0.42905279,0.30516459,0.34597132,0.28413669,0.32336235,0.33638336,0.42125499,0.47338997,0.51741783,0.51154916,0.50112215,0.46050066,0.46054214,0.21256162,0.40674021,0.33244305,0.52920892,0.24901009,0.36260984,0.42902942,0.26327179,0.35709641,0.62132902,0.44812512,0.49368414,0.64787227,0.40384847
2,2,0.33272872,0.14653457,0.25840457,0.43419847,0.54726883,0.1110141,0.27569948,0.32080315,0.29330424,0.46182245,0.13807898,0.39525303,0.41865398,0.3662744,0.24192924,0.38870681,0.31520531,0.1806028,0.5046094,0.40722515,0.53366724,0.28661855,0.35601515,0.3343049,0.35617843,0.4538611,0.18163804,0.269113,0.38282291,0.23773174,0.30526728,0.28453957,0.30086214,0.30539428,0.41195973,0.46602774,0.47758315,0.45524316,0.52657637,0.45299078,0.4489133,0.19422913,0.37494104,0.31287734,0.51254709,0.22933165,0.33014866,0.39178343,0.26416537,0.27364781,0.59301477,0.41007449,0.43885944,0.57937017,0.39267181
3,0,0.2920722,0.11571453,0.18653627,0.41035819,0.51172144,0.096895754,0.26604566,0.2721555,0.30790937,0.40928847,0.10627667,0.36760245,0.43842847,0.3162145,0.20135917,0.33826235,0.31008155,0.13506483,0.53504886,0.37916406,0.49827521,0.28302324,0.33502074,0.28373526,0.3021193,0.4171271,0.15066876,0.23523273,0.35195807,0.17927544,0.28683181,0.28622302,0.26855718,0.26704324,0.38886478,0.4449067,0.45316375,0.39409257,0.55341777,0.44765042,0.42828615,0.17661057,0.36088246,0.31419594,0.48324157,0.20149433,0.2992666,0.34500037,0.28540669,0.21672873,0.52556828,0.34776621,0.31874321,0.46735181,0.3673416
3,1,0.25127411,0.11043918,0.17823431,0.41093952,0.44060369,0.10170137,0.26536143,0.27412671,0.33978,0.37042289,0.10463186,0.36525448,0.46145877,0.28993728,0.2071988,0.31084486,0.29303601,0.13280855,0.55279071,0.42681075,0.39286736,0.28081838,0.33071003,0.26375344,0.2905999,0.40581504,0.15449967,0.22246327,0.34182703,0.17333523,0.2740113,0.30032374,0.24912518,0.26253928,0.37306023,0.40068976,0.416975,0.32960514,0.5893266,0.42036891,0.37093592,0.1782084,0.35644732,0.32986197,0.40057954,0.18991173,0.27143046,0.30237693,0.30543145,0.20637229,0.42555168,0.3609123,0.23987483,0.38613364,0.32808582
3,2,0.23811715,0.12953337,0.20895627,0.42259542,0.3962614,0.1193493,0.26111375,0.27675805,0.35627429,0.30642725,0.12666615,0.34792912,0.48751233,0.28255232,0.23179811,0.28532117,0.27066465,0.13648762,0.5302297,0.47681522,0.3182948,0.26944316,0.33124512,0.24971185,0.28871133,0.41274921,0.17112781,0.23751201,0.32137027,0.17733636,0.26739678,0.3317554,0.23597329,0.25745922,0.38726784,0.36705148,0.38499311,0.25903726,0.56162808,0.39301713,0.32796535,0.19523202,0.33626474,0.32714622,0.33773785,0.17949559,0.26363396,0.27638471,0.35663455,0.23427913,0.31481666,0.38297895,0.20137301,0.35904205,0.2939591
4,0,0.22860556,0.13165208,0.20797129,0.40222548,0.41656324,0.12575927,0.24743581,0.24884936,0.3347522,0.27154724,0.13082473,0.3130159,0.48104299,0.26695088,0.23690921,0.25568524,0.25519232,0.14095807,0.51509695,0.47097437,0.29206899,0.25609482,0.31427884,0.2294973,0.28037942,0.40644908,0.16767668,0.22229164,0.30089854,0.1813375,0.25701,0.32110791,0.21091201,0.24322909,0.38524562,0.35318377,0.35100374,0.22858555,0.487318,0.37763724,0.27950918,0.19922659,0.33402815,0.30329368,0.27686661,0.16469735,0.24929633,0.2654244,0.36864941,0.23285453,0.271777,0.3755921,0.17906635,0.34083223,0.25684881
4,1,0.19663776,0.11505404,0.17347358,0.31085144,0.47414387,0.13094545,0.22971343,0.19639681,0.25320141,0.2294093,0.11613779,0.2633732,0.43816772,0.24241421,0.23989163,0.21655716,0.24521181,0.15248358,0.51998772,0.42540859,0.26788431,0.23831027,0.28640654,0.1787725,0.26053666,0.37034912,0.15735634,0.18951668,0.27966305,0.19238555,0.24330291,0.28079137,0.18173443,0.23473739,0.35335011,0.33898933,0.28364003,0.20393005,0.37113309,0.36820378,0.22835031,0.19680435,0.33678205,0.26421838,0.23717763,0.13339218,0.23336637,0.26414056,0.368714,0.20396642,0.23033018,0.32320598,0.16655597,0.33328305,0.22279584
4,2,0.15985666,0.080504375,0.12135177,0.17440399,0.52262315,0.14649653,0.22569609,0.12548822,0.19707658,0.2118728,0.081713089,0.23481843,0.35800564,0.22810232,0.26253301,0.19629744,0.29465974,0.20047988,0.56985727,0.35006698,0.24399337,0.21415613,0.26961462,0.11477081,0.23553239,0.25492387,0.14789465,0.14554442,0.29345563,0.24314226,0.28573664,0.22695683,0.19740512,0.26745474,0.28567957,0.34359254,0.21381618,0.18324785,0.28453011,0.34623628,0.2102815,0.20062043,0.35075694,0.24027606,0.23612479,0.10611602,0.24317146,0.29115252,0.36696991,0.21478395,0.22358553,0.18696659,0.1838687,0.34408825,0.2427355
