,,pid1263-22,pid50848-09,pid5667269b-36,pid9048-22,pid9049-22,pid9054-22,pid9055-22,pid9058-22,pid9059-22,pid9060-22,pid9061-22,pid9062-22,pid9063-22,pid9065-17,pid9066-22,pid9067-21,pid9068-14,pid9070b-05,pid9072-22,pid9073-24,pid9074f-22,pid9075-22,pid9080-05,pid9090-10,pid9092-02,pid9093-22,pid9094-22,pid9097-05,pid9099-22,pid9101b-04,pid9104-22,pid9105b-05,pid9111-22,pid9112-08,pid9114-30,pid9118-22,pid9133-11,pid9137-12,pid9138-22,pid9139-22,pid9153-22,pid9166g-01,pid9170-22,pid9174-22,pid917509-03,pid918713-18,pid918904-07,pid9192-22
1,2,0.26437501,0.107089,0.42155495,0.16263356,0.25397183,0.24141162,0.14922266,0.10147809,0.40486482,0.22810668,0.16045451,0.15643383,0.12691091,0.25093741,0.15361437,0.068465463,0.18977735,0.24343933,0.25938161,0.26070803,0.20202066,0.28214919,0.15961201,0.21566759,0.20652131,0.17918146,0.21929835,0.19588829,0.26590801,0.25255264,0.19385758,0.1300676,0.23553196,0.17131827,0.25656181,0.41372978,0.18022703,0.052395396,0.10976767,0.3011688,0.12110745,0.16802666,0.083147854,0.16056002,0.37846167,0.25050906,0.18752915,0.17378092
2,0,0.44066603,0.26791853,0.84701488,0.31475069,0.53028008,0.45973836,0.38118577,0.26893366,0.7894385,0.5296329,0.33502676,0.38864959,0.38129184,0.45477631,0.42878235,0.22079278,0.45440891,0.45941787,0.5302441,0.4536191,0.35313875,0.4937956,0.33905521,0.36768665,0.53364198,0.30749507,0.22388307,0.29388846,0.56152747,0.53198152,0.51157711,0.30852094,0.54707673,0.35695969,0.65334309,0.86083648,0.36944665,0.16331805,0.27361027,0.64810056,0.16850373,0.41794957,0.25689381,0.4964651,0.65497745,0.50617607,0.39419474,0.40597173
2,1,0.33815669,0.33909005,0.8812622,0.47897705,0.60371796,0.55856404,0.43220026,0.34055077,0.82887701,0.59965459,0.50174607,0.47351249,0.53891709,0.44565023,0.67674089,0.36675824,0.71328857,0.372302,0.67428804,0.38099022,0.350696,0.453651,0.45492016,0.38074576,0.59370769,0.41640039,0.31014191,0.21251616,0.58985811,0.76630872,0.65478375,0.49295537,0.63191788,0.42142098,0.73127286,0.92020097,0.69330178,0.30273091,0.37631675,0.69792798,0.23891685,0.62869749,0.37706814,0.64152517,0.42705863,0.68439138,0.52055962,0.56949117
2,2,0.27124103,0.28798327,0.61071563,0.42698852,0.47973139,0.55102525,0.3463856,0.29000528,0.59428105,0.38693871,0.45833991,0.51740654,0.43079526,0.44198988,0.62576712,0.3883281,0.73895565,0.18261957,0.59116355,0.25743308,0.32908846,0.36,0.4520695,0.34564,0.34922342,0.51504931,0.32858713,0.22057581,0.44588134,0.80481133,0.52267366,0.54222564,0.5785653,0.31369271,0.61122165,0.8207313,0.54092329,0.31781917,0.36298504,0.46485522,0.21596945,0.65022416,0.34799627,0.57251514,0.22327543,0.60842941,0.46508804,0.47340636
3,0,0.27869971,0.19067533,0.45864005,0.24888207,0.41961142,0.46529967,0.25371102,0.19298786,0.44896019,0.47864085,0.31796964,0.47653412,0.24001324,0.36468604,0.36969295,0.40149922,0.50708606,0.15238065,0.37333605,0.23260783,0.24048496,0.32638186,0.36228003,0.30511663,0.19977101,0.44083826,0.25077692,0.23855702,0.41585563,0.59815226,0.3611446,0.44923446,0.39222543,0.18875823,0.70671544,0.69664027,0.31072861,0.24313859,0.30815594,0.31535145,0.21049297,0.46919847,0.30314128,0.41601628,0.18065809,0.36463542,0.33451797,0.40921555
3,1,0.21573144,0.12408774,0.47372634,0.15364068,0.24832119,0.29044722,0.13987703,0.12918353,0.25481283,0.4841433,0.18607528,0.3227844,0.22966968,0.20174586,0.23351513,0.25279435,0.31338576,0.13119203,0.2329943,0.15245192,0.20743601,0.23156096,0.24562529,0.21060112,0.12748905,0.20213018,0.18149807,0.30173261,0.36197505,0.33057772,0.22912189,0.31451256,0.097845601,0.12790961,0.41213606,0.57647163,0.20089112,0.16517117,0.22420022,0.23227707,0.12097726,0.3430747,0.2641796,0.2232251,0.084015367,0.20390777,0.32226421,0.21063604
3,2,0.24372107,0.18238203,0.39386847,0.056967748,0.21753951,0.20029814,0.24223979,0.16091853,0.28106803,0.21001687,0.15486532,0.22790832,0.096939601,0.35786132,0.27748817,0.2205416,0.19653649,0.11700218,0.055331164,0.10140984,0.21149529,0.1616957,0.17772787,0.17976758,0.22526882,0.096463511,0.12773399,0.42441169,0.32562613,0.34104025,0.25281782,0.30480382,0.132878,0.19489268,0.13666423,0.27769535,0.15752371,0.17537306,0.18935653,0.16499823,0.074238847,0.22566834,0.20654021,0.22991759,0.16395524,0.13047612,0.41167484,0.18027562
4,0,0.45191555,0.33190253,0.43146291,0.32954096,0.65790066,0.48243383,0.50255599,0.33417209,0.43035502,0.47311431,0.31966307,0.37958469,0.38055617,0.68100387,0.48028847,0.25728414,0.58498851,0.58170919,0.22795769,0.23237161,0.40559497,0.40942491,0.34094331,0.31937965,0.40898049,0.3143787,0.4190762,0.51847255,0.55968003,0.6,0.48510266,0.64618916,0.46129108,0.29504852,0.41418435,0.55035184,0.30875039,0.3682727,0.31743097,0.13685874,0.14889776,0.37764784,0.30277945,0.49545229,0.52034408,0.50786046,0.52930771,0.34482686
4,1,0.48748686,0.66015601,0.47879552,0.59194697,0.79474449,0.61131731,0.60641195,0.65823509,0.53091206,0.60800868,0.48049487,0.46349931,0.52162142,0.78706478,0.66821346,0.26716641,0.75406432,0.91056546,0.52405207,0.28495345,0.62424787,0.55907986,0.50457833,0.38817825,0.45279769,0.39604536,0.7189025,0.54385829,0.58869631,0.6592597,0.70223678,0.63936567,0.68384201,0.41373521,0.53032919,0.73734777,0.4153155,0.43730615,0.45536431,0.28598617,0.20653532,0.61265033,0.34551834,0.62883527,0.7107984,0.68674951,0.65215084,0.50045936
4,2,0.27008924,0.65651702,0.41932354,0.61357341,0.65815658,0.64058412,0.58593764,0.65958121,0.51097742,0.49481083,0.38893568,0.44741072,0.4701464,0.68227358,0.70388003,0.18110675,0.66271426,0.8090674,0.56603743,0.22665922,0.46110463,0.55213276,0.44288817,0.35511245,0.30588411,0.27539448,0.8785759,0.46686493,0.42935911,0.51247225,0.71786806,0.27640419,0.60839903,0.38692357,0.27737381,0.79759369,0.35805802,0.38795474,0.47192556,0.33893184,0.21139559,0.67489385,0.28520366,0.49940423,0.46105729,0.6296227,0.6193455,0.44033216
