,measure_number,beat_number,pid0198-03,pid1263-23,pid50848-10,pid52932-11,pid54293-10,pid59359-07,pid9048-23,pid9049-23,pid9049b-23,pid9050-23,pid9054-23,pid9055-23,pid9056-12,pid9058-23,pid9059-23,pid9060-23,pid9061-23,pid9062-23,pid9063-23,pid9066-23,pid9067-22,pid9070b-06,pid9072-23,pid9073-25,pid9074f-23,pid9075-23,pid9080-07,pid9093-24,pid9094-23,pid9099-23,pid9101b-05,pid9103-12,pid9104-23,pid9105b-06,pid9111-23,pid9118-23,pid9133-12,pid9137-13,pid9138-23,pid9139-23,pid9153-23,pid9161-02,pid9166g-02,pid9170-24,pid9174-23,pid917509-01,pid9176-07,pid918810-14,pid918904-08,pid9192-23
0,1,2,0.44008154,0.41407706,0.44311029,0.34952317,0.25685349,0.32413075,0.40852065,0.50689821,0.45045045,0.39549025,0.25456062,0.51818182,0.58115549,0.38691011,0.52419863,0.52952198,0.5849247,0.5869165,0.39640199,0.28627261,0.44091079,0.36013569,0.41651353,0.43733171,0.47734205,0.17455410000000002,0.35920195,0.41145664,0.46587139,0.51477039,0.29815635,0.37114607,0.46630054,0.19501452,0.62169824,0.25179633,0.2611966,0.26924838,0.39735847,0.95216647,0.41683528,0.40725316,0.34087479,0.22703549,0.30388202,0.26958425,0.26853985,0.42752122,0.31880613,0.40724563
1,2,0,0.74484804,0.6890465,0.69228676,0.65470972,0.59739276,0.57924569,0.65529087,0.71286107,0.66103604,0.64226042,0.4128337,0.78322741,0.71642949,0.66139426,0.66084001,0.76495316,0.77415774,0.79720361,0.60696168,0.48468461,0.66605848,0.70099158,0.66458909,0.6761486999999999,0.62470137,0.39846821,0.61740299,0.71538659,0.72642125,0.61357923,0.57661094,0.65044944,0.67579592,0.34271021,0.70529664,0.45433774,0.56148972,0.42342492,0.73115053,0.98982074,0.61237161,0.69602246,0.51712213,0.52768449,0.63656984,0.43651922,0.45376053,0.61289718,0.61524916,0.6800323
2,2,1,0.82972572,0.80733706,0.84617647,0.77139869,0.71575304,0.71448276,0.82174595,0.82324622,0.78100159,0.82541355,0.47630701,0.89050843,0.82038076,0.83108768,0.72867773,0.86884458,0.90451793,0.88876498,0.73986766,0.60886634,0.76370298,0.87124432,0.77273019,0.85500738,0.73621065,0.50141988,0.76954865,0.89354977,0.88282386,0.67073852,0.73333936,0.79831461,0.84972939,0.44888121,0.76918822,0.50565705,0.71912582,0.55983736,0.85807462,1.0,0.65239015,0.87493683,0.64422302,0.67150767,0.78066165,0.5258361999999999,0.53792997,0.70749951,0.7566473000000001,0.81595948
3,2,2,0.87598221,0.84800946,0.93183824,0.87125648,0.7828184,0.78304598,0.91987156,0.86966988,0.82160837,0.92130117,0.51034483,0.92553191,0.87119911,0.92540519,0.76667144,0.93532308,0.98804533,0.9612103000000001,0.83788255,0.65117777,0.83249832,0.95735481,0.8880036,0.94640841,0.84013222,0.56160034,0.84454393,0.97360103,0.97027027,0.71020291,0.83911432,0.89466292,0.95288125,0.49773102,0.82049509,0.52428673,0.79977585,0.64864203,0.9182754999999999,0.99594631,0.64864468,0.93574169,0.72882262,0.73041663,0.87402725,0.56573148,0.59953621,0.75124334,0.81751482,0.90441932
4,3,0,0.86723499,0.87714131,0.97948529,0.92730467,0.82581848,0.83239943,0.94660593,0.88026135,0.82280074,0.9684872,0.52954672,0.93119646,0.91745196,0.97799909,0.79192902,0.97645928,1.0,1.0,0.90336366,0.71553595,0.8748224,1.0,0.96054745,0.9822809000000001,0.91375554,0.60956145,0.89045646,1.0,1.0,0.73486404,0.90917307,0.97455056,1.0,0.53416032,0.86440326,0.54212473,0.84257942,0.70675036,0.92884164,0.98189352,0.62092053,0.97061301,0.80811781,0.78206408,0.94907656,0.56717724,0.63650769,0.77103809,0.8789693000000001,0.9696814
5,3,1,0.81111935,0.85003306,1.0,0.95608165,0.85997071,0.86372126,0.94145321,0.86499312,0.79656863,0.97338508,0.56732481,0.85976789,0.9444508,1.0,0.7963651999999999,0.99585635,0.93316255,0.99846398,0.9217673000000001,0.82244376,0.86248411,0.99254455,1.0,0.96612525,0.93171062,0.6524095999999999,0.90214288,0.97146519,0.97800559,0.7495605,0.94920922,0.99994382,0.99753263,0.60550365,0.9027796999999999,0.57365188,0.85564033,0.73558345,0.8854683000000001,0.95207639,0.65817438,1.0,0.83148949,0.82545157,0.98664156,0.58836355,0.65876942,0.73913558,0.90690849,0.99757745
6,3,2,0.75537435,0.84750857,0.97779412,0.93884892,0.8780247999999999,0.87521552,0.91949817,0.83762036,0.75397456,0.93447925,0.60101502,0.81479691,0.93062709,0.97780381,0.7730395,0.98030267,0.88875951,0.95517143,0.93775848,0.91654169,0.79952142,0.98076493,0.99910043,0.91444454,0.91142664,0.65950899,0.9185171999999998,0.95113199,0.9499534,0.74017087,0.93113421,1.0,0.92725247,0.64041768,0.91702392,0.59516771,0.84986422,0.7482078000000001,0.84294286,0.9115395000000001,0.71146807,0.98745905,0.79317166,0.82545157,1.0,0.62882151,0.68218289,0.70677916,0.89381933,0.99684334
7,4,0,0.6930467,0.85450101,0.96147059,0.90940271,0.86811195,0.87801724,0.88589351,0.81650619,0.70926073,0.88221976,0.61804088,0.7788063000000001,0.89332723,0.95925275,0.72810532,0.9494355,0.85972675,0.89283648,0.96808657,0.95244817,0.75136469,0.95042123,0.97616141,0.85237558,0.87416423,0.64773729,0.93312523,0.93669372,0.91142591,0.73720529,0.87200181,0.97983146,0.83922318,0.66079925,0.92711935,0.58848347,0.82059572,0.74599716,0.7887425,0.85676966,0.74621979,0.92933084,0.71081398,0.77702641,0.97140039,0.65656455,0.70653938,0.6988356,0.86916711,1.0
8,4,1,0.64636768,0.85994069,0.93867647,0.88740171,0.84179373,0.87349138,0.84123665,0.80577717,0.67971648,0.83827742,0.61583009,0.74785852,0.91082624,0.93289071,0.6838652,0.89700937,0.83962118,0.85544602,0.98773091,0.8865460999999999,0.74059672,0.90442108,0.94486924,0.79455398,0.84050785,0.62821571,0.93251425,0.93951303,0.87220876,0.75968126,0.80967013,0.94488764,0.78724928,0.67711392,0.9449591999999999,0.5581689000000001,0.78560498,0.71567188,0.75123924,0.77519142,0.75802765,0.86255498,0.64190783,0.71317055,0.91348395,0.63716005,0.71579191,0.70678903,0.83600399,0.980693
9,4,2,0.60088213,0.85633428,0.88742647,0.87978919,0.80619758,0.86609195,0.800463,0.79731774,0.65353736,0.79257,0.59851919,0.73335175,0.94989381,0.8804270000000001,0.65414997,0.84674514,0.82215494,0.81140651,0.98738627,0.80075871,0.75413146,0.85342578,0.88408405,0.7375228,0.8092555,0.60285375,0.91920595,0.9516446,0.83647717,0.78325803,0.75953005,0.90191011,0.75534066,0.68194237,0.97980916,0.5240362000000001,0.74388982,0.6654666,0.73173754,0.74541933,0.7573635,0.79383248,0.5658583,0.6472724,0.83598709,0.57205377,0.72536137,0.72977107,0.82086048,0.94119806
