,,pid1263-24,pid50848-11,pid610003-26,pid9048-24,pid9054-24,pid9055-24,pid9058-24,pid9061-24,pid9063-24,pid9066-24,pid9072-24,pid9075-24,pid9099-24,pid9101b-06,pid9105b-07,pid9111-24,pid9114b-03,pid9118-24,pid9138-24,pid9139-24,pid9166g-03,pid9174-24,pid9192-24
1,2,0.11662756,0.19625673,0.20281142,0.25879652,0.12543452,0.14629554,0.19130797,0.2928603,0.10865307,0.19138895,0.19358626,0.31574927,0.31942522,0.17834555,0.14958618,0.26830893,0.18044765,0.09097414,0.17555753,0.11713011,0.13183876,0.28509852,0.11591404
2,0,0.25217091,0.35446669,0.38478595,0.47692342,0.22484801,0.33463774,0.36104122,0.54195346,0.2542891,0.28369473,0.36105318,0.52052304,0.45363511,0.35446492,0.33076297,0.4539318,0.61673338,0.26143175,0.35104234,0.30942671,0.36787228,0.492474,0.29758591
2,1,0.30727448,0.34401077,0.49466996,0.48901619,0.26503827,0.36639378,0.35854047,0.50655578,0.32380061,0.17678427,0.41920617,0.52467414,0.46022959,0.42009727,0.45133644,0.58459718,0.87292101,0.38149034,0.42073368,0.40363886,0.49199335,0.53380998,0.43656158
2,2,0.36609451,0.32086978,0.55782023,0.57874792,0.28212574,0.36482194,0.33178236,0.43113333,0.41085532,0.22935074,0.45940594,0.59477792,0.47484328,0.4635934,0.52198001,0.65557991,0.74212099,0.43100545,0.48271655,0.47246138,0.52009488,0.49261084,0.55947174
3,0,0.46430656,0.44219381,0.54436011,0.71931389,0.30997783,0.35751944,0.45629736,0.47651066,0.48191403,0.3624145,0.53377727,0.62766293,0.52277945,0.56957098,0.50906788,0.68426405,0.48836331,0.48255775,0.49128959,0.58975627,0.57894673,0.51063903,0.61105746
3,1,0.51277531,0.52394011,0.47208483,0.80293793,0.31514913,0.37170692,0.53970142,0.52279041,0.54236696,0.44975156,0.57871725,0.62819427,0.62890173,0.63373062,0.48686174,0.77714561,0.5511586,0.56165398,0.48914027,0.6994988,0.59146841,0.60048349,0.65941494
3,2,0.50604519,0.62521871,0.49383137,0.82549625,0.28770474,0.39851822,0.64740073,0.56056799,0.59968807,0.51043637,0.64748094,0.59631382,0.67986648,0.68220426,0.57261092,0.84078198,0.63421097,0.61785305,0.56306561,0.78989358,0.57869389,0.73543833,0.68827984
4,0,0.48182869,0.67363728,0.58125817,0.78953,0.2707031,0.40819484,0.6963398,0.58740157,0.60550253,0.53542546,0.64733199,0.54624325,0.68233331,0.65603808,0.70244448,0.84970632,0.67711563,0.64576739,0.63442146,0.77669756,0.5460051,0.85787265,0.70013254
4,1,0.47181094,0.6620037,0.64619933,0.73604316,0.29453544,0.44168645,0.685291,0.62075555,0.61761183,0.55827322,0.63506528,0.52142798,0.60245054,0.58863621,0.68658134,0.75617603,0.69419857,0.62492424,0.68459922,0.60218332,0.52683731,0.95244937,0.71339582
4,2,0.49156055,0.59798116,0.60850532,0.71999376,0.32979043,0.48383954,0.61148075,0.61502256,0.6111423,0.5726908,0.6598528,0.48581984,0.53866319,0.52686257,0.56487721,0.60826685,0.59209562,0.57224392,0.70052521,0.49246825,0.54130948,0.95948504,0.67001799
