,measure_number,beat_number,pid1263-25,pid50848-12,pid51495-05,pid5667230-13,pid5667269b-39,pid6100022-10,pid610003-27,pid9048-25,pid9049-25,pid9050-25,pid9054-25,pid9055-25,pid9057f-02,pid9057j-04,pid9058-25,pid9059-25,pid9060-25,pid9061-25,pid9062-25,pid9063-25,pid9065-19,pid9066-25,pid9067-24,pid9068-15,pid9070b-08,pid9071b-04,pid9072-25,pid9073-27,pid9074f-25,pid9075-25,pid9080-08,pid9089-09,pid9090-12,pid9092-12,pid9093-25,pid9094-25,pid9097-02,pid9098-09,pid9099-25,pid9101b-07,pid9103-13,pid9104-25,pid9105b-08,pid9111-25,pid9113-13,pid9118-25,pid9125-13,pid9127-08,pid9129-19,pid9133-14,pid9138-25,pid9139-25,pid9153-25,pid9165-05,pid9166g-04,pid9170-25,pid9174-25,pid917509-02,pid917813-04,pid9181-05,pid918726-08,pid918904-09,pid9192-25
0,1,2,0.13288749,0.29852793,0.099918605,0.21249405,0.20597987,0.30881553,0.33754907,0.21354653,0.15610637,0.22192319,0.13455819,0.24319872,0.11001933,0.21167487,0.2856835,0.26633769,0.85339749,0.18569987,0.14661575,0.12431753,0.12738324,0.20513067,0.07961282900000001,0.25861123,0.32375383,0.10664760000000001,0.20566513,0.19676797,0.21273341,0.2842392,0.15326646,0.37537728,0.30509777,0.10160217,0.16211221,0.13862247,0.15842266,0.52548954,0.30714912,0.18716906,0.25249963,0.23985344,0.14694525,0.41539184,0.35467543,0.15017038,0.26541637,0.13254849,0.1657237,0.21598046,0.08869680099999999,0.24996439999999998,0.21563495,0.36742633,0.18645649,0.22096542,0.38142515,0.20845229999999998,0.18224641,0.097393124,0.14704585,0.25476971,0.2792415
1,2,0,0.16382769,0.34353113,0.18339793,0.29366116,0.34114861,0.5147651,0.44094555,0.3293475,0.22389074,0.34759847,0.27027303,0.35623521,0.26552635,0.25174686,0.34198388,0.30120076,0.81222932,0.3044717,0.17325212,0.25863099,0.28190936,0.30885672,0.17924852,0.34963634,0.32137442,0.20876994,0.33503987,0.29104265,0.29095429999999994,0.35417732,0.28737304,0.54052186,0.40132682,0.16898638,0.26103474,0.30074513,0.22898162,0.60580978,0.35667446,0.31973228,0.36257126,0.32858888,0.21725638,0.43134749,0.42598455,0.3071691,0.52198492,0.29760463,0.22256395,0.40517175,0.23572648,0.35654898,0.26498249999999995,0.41827365,0.30848801,0.23854981,0.46747788,0.26565189,0.29362692,0.17312407,0.28745444,0.33463095,0.47656002
2,2,1,0.17631786,0.36253086,0.23975452,0.34312045,0.42761003,0.58677671,0.52223929,0.40497567,0.2717806,0.38199587,0.33275631,0.4119973,0.34605785,0.26349849,0.36587663,0.31477918,0.77075417,0.35587299,0.20208715,0.34297161,0.32393520000000003,0.34763632,0.23528823,0.37881844,0.32577029,0.25483963,0.38163659,0.34537441,0.32422821,0.37339567,0.37537304,0.6308636,0.43931564,0.21957849,0.34892253,0.39368552,0.25999234,0.63472298,0.37763254,0.37329698,0.39979535,0.36496618,0.27643813,0.43951325,0.48287483,0.38958844,0.61488693,0.36864240000000004,0.27169954,0.53801918,0.29116335,0.42562631,0.28465945,0.43789966,0.34078911,0.24527069,0.53436578,0.29201097,0.34512618,0.22421525,0.35823902,0.39322927,0.5755743000000001
3,2,2,0.19827891,0.37841273,0.26400517,0.36417058,0.45873298,0.62598404,0.63073903,0.43795809,0.30500072,0.44944504,0.40031474,0.44665428,0.38199237,0.27777778,0.38435879,0.32699235,0.725811,0.38087105,0.23748659,0.40417629,0.3627025,0.37647764,0.26604043,0.39984905,0.32948863,0.29602529,0.40609316,0.40572532,0.37865253,0.4016077,0.41842006,0.66872749,0.47706006,0.26073238,0.38532417,0.45937142,0.27216692,0.65313557,0.40258507,0.4165295,0.4340228,0.40766629,0.3224256,0.45354257,0.50977213,0.45582206,0.64705671,0.42561415,0.29194789,0.57333747,0.3558498,0.45795222,0.29929185,0.44482845,0.37628953,0.25213565,0.57162611,0.31170464,0.39476497,0.24538117,0.39040859,0.4303077,0.63517668
4,3,0,0.2120476,0.39638841,0.2769509,0.37996327,0.48322479,0.64297116,0.70662229,0.45277585,0.32792311,0.48833121,0.43033283,0.46917878,0.42621005,0.28509608,0.40489985,0.33633522,0.70224011,0.40222032,0.25402386,0.45065191,0.38786947,0.40904179999999996,0.29472819,0.42019350000000005,0.33847395,0.33307285,0.43074276,0.43977502,0.40654029999999997,0.41915108,0.44796238,0.70536462,0.49995635,0.30067065,0.40050158,0.49046618,0.27590926,0.66236274,0.41683949,0.43975211,0.46133606,0.43621759,0.36715314,0.46729938,0.52577392,0.49864232,0.6520279999999999,0.45257571,0.31068471,0.59821405,0.39156527,0.48315788,0.30691439,0.45837716,0.39696857,0.25816179,0.5916851,0.32759762,0.41480455,0.26826109,0.41053136,0.4546348,0.67781305
5,3,1,0.21852872,0.41180397,0.28413437,0.41009998,0.49135583,0.64665336,0.7619901,0.45591419,0.35073709999999997,0.51385915,0.45267920000000006,0.4813197,0.47136984,0.29024403,0.42109967,0.34242948,0.65785282,0.42004503,0.2662059,0.49508353,0.42265027,0.44330691,0.31433674,0.44719363,0.36383288,0.37532412,0.44456567,0.46559772,0.43023365,0.43530203,0.50904075,0.69924058,0.51285789,0.3154631,0.4117964,0.49857661,0.27876149,0.65766565,0.43068497,0.46156668,0.47911124,0.45492296,0.43353282,0.48586732,0.53084828,0.52466457,0.58512204,0.48408302,0.32407864,0.61410922,0.41489842,0.49096824,0.31374125,0.47114116,0.4013245,0.26278304,0.60457227,0.33280703,0.42955962,0.28877927,0.41816612,0.46897925,0.71747557
6,3,2,0.22081039,0.41465667,0.29311370000000003,0.41460246,0.49430630000000003,0.63844549,0.81804062,0.43856391,0.35638821,0.54706807,0.47822016,0.49131463,0.47721823,0.28808692,0.42290320000000003,0.3411547,0.64867668,0.42931449,0.28755076,0.53117615,0.4258857,0.45606941,0.30797914,0.45565390000000006,0.36655912,0.40922815,0.44642048,0.49190732,0.44203809999999993,0.44699314,0.51939812,0.66401519,0.52356844,0.32813845,0.40184841,0.46586741,0.25976263,0.64353263,0.43997371,0.47787804,0.48438094,0.4649192,0.46134463,0.49176846,0.51996553,0.54908955,0.54979361,0.50996938,0.32481342,0.60820346,0.43308925,0.48276353,0.31232495,0.47923867,0.38834064,0.26638534,0.60880347,0.32840125,0.43435923,0.30284006,0.42355649,0.48661271,0.75246847
7,4,0,0.21653226,0.4113468,0.29625323,0.42180507,0.48856325,0.61796662,0.82522615,0.42772867,0.35371441,0.55378646,0.4834448,0.49727104,0.48099887,0.28450056,0.4176602,0.33756065,0.64529163,0.42744352,0.30122662,0.54744669,0.42670611,0.45788804,0.30322166,0.46075202,0.36931763,0.43070010000000003,0.44094838,0.49240262,0.43904476,0.45023544,0.52257053,0.6476974,0.51980622,0.33525467,0.39204904,0.42496179,0.23532734,0.64260365,0.4432014,0.48132871,0.48031721,0.46994551,0.47371061,0.49923886,0.51013595,0.55547865,0.52044149,0.51709425,0.32435156,0.59813652,0.43206519,0.46436044,0.31054265,0.47993155,0.38466561,0.26733224,0.60521755,0.32312565,0.42052449,0.30829098,0.42346058,0.49179033,0.76412163
8,4,1,0.20737608,0.40215781,0.29476744,0.43966537,0.46040063,0.58310357,0.81575354,0.39738802,0.35252927,0.55125233,0.48550633,0.51702433,0.47860079,0.26221481,0.40607294,0.32774077,0.63443126,0.42937659999999994,0.31552315,0.56203993,0.41624876,0.45529916,0.30455033,0.46347605,0.38896596,0.45924058,0.42350818,0.48614003,0.42635826,0.44701332,0.52895298,0.61746665,0.50480971,0.35956729,0.38163663,0.37809515,0.20556087,0.61281366,0.44323791,0.47749132,0.45702383,0.47147689,0.49391617,0.52838752,0.48224293,0.56479608,0.46372936,0.51367812,0.31737118,0.5506707,0.43020977,0.42631642,0.29972151,0.47094916,0.36405186,0.26317415,0.58823746,0.33619174,0.40742207,0.31542601,0.41924036,0.49143701,0.77036171
9,4,2,0.20424862,0.40272470000000005,0.28487080000000004,0.46587091,0.4384251,0.56084709,0.80612733,0.3759559,0.36211158,0.54812887,0.48423952,0.5390588000000001,0.46711202,0.2591181,0.406855,0.3137758,0.63105451,0.44019874,0.32450714,0.56779166,0.40408126,0.47555014,0.31755125,0.45885138,0.39854815,0.48733705,0.41587914,0.48462055,0.41867317,0.43407103,0.5357116,0.61159576,0.49446578,0.38842828,0.38216608,0.36252388,0.22703867,0.57710534,0.43967431,0.46684184,0.45419529,0.47127959,0.50448559,0.60015035,0.46542414,0.56821691,0.41795585,0.50982647,0.30943559,0.51194076,0.43038595,0.41125437,0.30521961,0.45794307,0.35284022,0.26527378,0.5617441,0.35309634,0.40327561,0.31784753,0.40678112,0.49075609,0.7597944999999999
