,measure_number,beat_number,pid52932-15,pid5667229-06,pid5667249-19,pid5667291-09,pid9048b-01,pid9049-26,pid9050-26,pid9054-26,pid9058-26,pid9059b-01,pid9060-26,pid9061-26,pid9062-26,pid9063b-01,pid9064-07,pid9066-26,pid9070b-01,pid9072b-01,pid9074f-26,pid9075-26,pid9090-13,pid9099b-01,pid9101b-08,pid9104-26,pid9111-26,pid9113-09,pid9114b-10,pid9118b-01,pid9119-06,pid9124-12,pid9129-21,pid9138-26,pid9174-26,pid917520g-09,pid9192-26
0,1,0,0.2548973,0.4226687,0.61063667,0.38282698,0.31781365,0.64126653,0.37413183,0.30506883,0.09299374,0.46538436,0.46914279999999997,0.52455409,0.32060112,0.54470359,0.20809783,0.2320965,0.32264594,0.12570253,0.28883426,0.6732969,0.30480725,0.31692278,0.3479947,0.31626997,0.40292657,0.36085881,0.3187389,0.1796077,0.82358012,0.13316732,0.19089249,0.16308595,0.11048405,0.40452355,0.1775621
1,1,1,0.27385078,0.43521147,0.59023268,0.39865586,0.30090798,0.64862213,0.37035996,0.31655435,0.11782008,0.47764352,0.46063549,0.53292771,0.34726604,0.50791101,0.20341528,0.25335073,0.34744555,0.15512168,0.30447168,0.68359176,0.28315465,0.33879132,0.3515031,0.33880363,0.41966605,0.38307126,0.32689561,0.21487842,0.85652715,0.14532133,0.20362077,0.18929014,0.20219554,0.38216539,0.1894389
2,1,2,0.30147408,0.45135765,0.5540271,0.44020131,0.26464654,0.66139875,0.35928915,0.33991129999999997,0.17681159,0.51093985,0.4415817,0.55016392,0.39629338,0.43931980000000004,0.20445444,0.38165209,0.3921221,0.19817307,0.32334837,0.71168022,0.26166172,0.36960227,0.35690172,0.36872847,0.43441858,0.42419727,0.33550946,0.25690138,0.91619577,0.17476295,0.22761633,0.24231742,0.35386429,0.35794499,0.20592955
3,2,0,0.32305435,0.45477906,0.51047814,0.46175658,0.24063558,0.66831594,0.35034908,0.3589943,0.21505017,0.53626804,0.42528457,0.56153803,0.43209779,0.38564323,0.21675326,0.43225169,0.43468545,0.22686702,0.33646037,0.72858414,0.24465100000000004,0.39593879,0.3603334,0.38735515,0.43987073,0.44775676,0.33036382,0.28600741,0.95484149,0.20544967,0.23586629,0.27763845,0.41835261,0.33908558,0.2218656
4,2,1,0.34057566,0.45315571,0.46701611,0.47952495,0.21627873,0.66768267,0.33772781,0.37550832,0.23943058,0.55744236,0.41221881,0.57242874,0.45132317,0.35199624,0.23844253,0.47451326,0.46492592,0.2544453,0.34892585,0.74078546,0.23332003,0.41636105,0.361003,0.40808801,0.44064277,0.46814383,0.31272432,0.30720419,0.96796284,0.25183412,0.23660473,0.31276573,0.45188978,0.33033870000000004,0.2331229
5,2,2,0.35541428,0.44687341,0.41966249,0.49540293,0.20252937,0.65839248,0.32698341,0.39115834,0.25838264,0.56563255,0.40216324,0.57987442,0.45628286,0.32820272,0.25740084,0.50309678,0.48439802,0.27156405,0.36323658,0.7434545,0.22591811,0.42245609999999995,0.35864546,0.42269809,0.43380214,0.48608423,0.28203937,0.31815059,0.95383584,0.28138109,0.22990313,0.33458371,0.4754880999999999,0.32490999,0.23834445
6,3,0,0.36229565,0.43550266,0.37905395,0.48415884,0.19491245,0.64135699,0.31747212,0.40501699,0.27120316,0.56859121,0.39676862,0.58409735,0.44814231,0.31971367,0.28222659,0.51554035,0.49644563,0.28071264,0.37628123,0.74142095,0.22340899,0.42267562,0.35499756,0.43154557,0.42431624,0.49228062,0.23153123,0.32382717,0.91600421,0.30904128,0.21987454,0.34966363,0.48027702,0.32335248,0.24084017
7,3,1,0.3583834,0.42261775,0.33537203,0.44407414,0.19210204,0.6172373000000001,0.30738054,0.41746443,0.24287797,0.56715433,0.39482656,0.5825971,0.43121276,0.32727517,0.29607147,0.50642635,0.49676949,0.28566348,0.37745303,0.73404931,0.22843294,0.41836906,0.34906187,0.43964140000000007,0.41158657,0.47135474,0.18610072,0.32382717,0.86768509,0.31844651,0.20343815,0.36348959,0.47398512,0.32985339,0.2446339
8,3,2,0.36345536,0.38837446,0.27264638,0.41042779,0.19943792,0.59300626,0.28863904,0.40493635,0.20286425,0.54640455,0.39471328,0.5775406999999999,0.39844024,0.31315365,0.29418958,0.47428047,0.45102421,0.28266509,0.36478551,0.70907473,0.22340328,0.39925103,0.32660947,0.41984028,0.37837692,0.45406312,0.16696891,0.31379373,0.80289244,0.29954985,0.18359536,0.36320973,0.42572755,0.35136508,0.23744174
9,4,0,0.37436775,0.35191818,0.22180516,0.41345977,0.20668012,0.54290188,0.26628887,0.37466736,0.17187205,0.47934165,0.40566435,0.57315108,0.34201717,0.29259981,0.27376125,0.45126975,0.39112622,0.26000976,0.34027881,0.67113625,0.20896442,0.34996772,0.29648462,0.38568744,0.33986474,0.45037387,0.16580906,0.28009581,0.69768221,0.24076238,0.19350484,0.34346375,0.33971856,0.36541652,0.19129742
