,measure_number,beat_number,pid52932-12,pid5667271-08,pid5667291-10,pid610003b-02,pid9048b-02,pid9049-27,pid9050-27,pid9054-27,pid9058-27,pid9059b-02,pid9060-27,pid9061-27,pid9062b-01,pid9063b-02,pid9064-08,pid9066-27,pid9067-25,pid9070b-10,pid9072b-02,pid9073b-02,pid9074f-27,pid9075-27,pid9090-14,pid9099b-02,pid9100b-22,pid9101b-09,pid9103-14,pid9104-27,pid9111-27,pid9113-10,pid9114-28,pid9116-13,pid9118b-02,pid9119-07,pid9121-06,pid9130-08,pid9138-27,pid9152-14,pid9174-27,pid917520g-10,pid918904-10,pid9192-27
0,1,0,0.11669818,0.11022187,0.24592516,0.26529677,0.15339752,0.21526701,0.17704859,0.13551764,0.059883752,0.15294403,0.4775798,0.26756503,0.28552512,0.27964365,0.16153313,0.21335895,0.20899094,0.38637393,0.2261016,0.19963162,0.18591529,0.30480013,0.2149488,0.16340713,0.19321982,0.203214,0.24533251,0.16474061,0.24725961,0.141505,0.19572278,0.25422134,0.24223216,0.12032673,0.20138494,0.34009653,0.1064242,0.13930720000000002,0.19526311,0.19342041,0.14627469,0.16992929999999998
1,1,1,0.27941466,0.19366086,0.7910510999999999,0.56918793,0.31467217,0.43638378,0.37559796,0.39759977,0.27083073,0.30304794,0.7409190999999999,0.53789564,0.57707586,0.5354045999999999,0.43773219,0.44327251,0.55577981,0.74586427,0.46247008,0.35777802,0.41945969,0.65430147,0.44570772,0.42038557,0.44224879,0.45973406,0.65002632,0.3458195,0.52213425,0.82130377,0.62026725,0.6194462,0.49881742,0.5745007,0.46436202,0.62381944,0.28978436,0.42251612,0.41550433,0.43520481,0.40962426,0.36242215
2,1,2,0.37428723,0.25224842,0.9896464,0.67883829,0.39141678,0.52483935,0.44809040000000006,0.49731058,0.37701869,0.36399972,0.77806824,0.65291445,0.68053799,0.62975501,0.53601331,0.51011962,0.65884997,0.7982204,0.57232024,0.45406863,0.49793162,0.76325306,0.52177242,0.52990031,0.53815464,0.57269496,0.75935252,0.37577301,0.63106361,0.99186649,0.7026405,0.7740476,0.51246773,0.72683076,0.56394868,0.70528059,0.36983585,0.577194,0.45325357,0.56478334,0.50645678,0.41087359
3,2,0,0.40699539,0.26197504,1.0,0.62366065,0.38205409999999995,0.49253268,0.39574121,0.47227877,0.39540374,0.35284705,0.69695927,0.6147916,0.6122029999999999,0.60657758,0.48339340000000003,0.37604994,0.65172338,0.7223714,0.49530100000000005,0.41219307,0.50016885,0.6666991,0.51948512,0.57480575,0.53448175,0.57018971,0.7108791,0.38723341,0.63192575,1.0,0.62833578,0.71311194,0.45858279999999996,0.66415557,0.56682592,0.62527681,0.39036369,0.59467353,0.40329734,0.60261952,0.50932932,0.33774617
4,2,1,0.42054753,0.20189184,0.71385323,0.4531228,0.30763870000000004,0.36411109,0.30189021,0.37150954,0.31156219,0.25475894,0.68829114,0.54165622,0.49593085,0.49429102,0.36383421,0.23048110000000002,0.60629012,0.72560417,0.24465821,0.32788085,0.43649219,0.51145707,0.45098096,0.52479109,0.43073728,0.49624213,0.54036673,0.30655302,0.58840503,0.70189179,0.42383479,0.45101801,0.34258221,0.47271374,0.43796232,0.52513485,0.33301577,0.4712298,0.2876763,0.50773895,0.40693126,0.28468271
5,2,2,0.42004840000000004,0.17962559,0.418473,0.28147469,0.24421825,0.27764975,0.1893957,0.326524,0.21645355,0.19515101,0.71539626,0.42484331,0.35106304,0.37499629,0.37277516,0.26134637,0.58901986,0.73158532,0.18076071,0.23495688,0.35077388,0.36834509,0.36873385,0.40009529,0.29041646,0.3821892,0.34549921,0.20245,0.48732295,0.41632727,0.33084202,0.52912859,0.33281075,0.33371584,0.33007676,0.44330463,0.27974895,0.33642293,0.23327497,0.38412894,0.26961399999999996,0.16951692
6,3,0,0.44529229,0.20273376,0.35241584,0.31310799,0.25258138,0.29924662,0.21305562,0.40407750000000003,0.22778324,0.28451787,0.64586544,0.34891883,0.37805186,0.3737268,0.41618381,0.29923164,0.5339527,0.7327647,0.26020037,0.24698406,0.29005206,0.3563772,0.40740741,0.34024337,0.31062322,0.37578690000000003,0.45343043,0.23085381,0.37390692,0.37588264,0.36083371,0.70543842,0.43952643,0.42590662,0.42469268,0.40386108,0.32769874,0.33664758,0.29175178,0.39562782,0.33090536,0.18266285
7,3,1,0.55396657,0.23893621,0.44901913,0.47615607,0.3147547,0.37667479,0.3165516,0.53752458,0.26606456,0.43947769,0.51007155,0.29753996,0.49297011,0.41527840000000005,0.40623094,0.36113682,0.44783029,0.75084505,0.41906197,0.3287957,0.32032503,0.42001946,0.50413437,0.40587157,0.40514439,0.47357715,0.63915599,0.40393329,0.39509105,0.49117364,0.46758519,0.83548095,0.51091349,0.57782936,0.56249933,0.46776758,0.40388799,0.43292268,0.47477872,0.46520138,0.47630803,0.30072378
8,3,2,0.68361945,0.27040412,0.52124606,0.62464754,0.35489225,0.4781003,0.43134745,0.66096009,0.29448270000000004,0.52161956,0.42275041,0.30300063,0.60250249,0.46139569,0.39092736,0.39283157,0.52288309,0.74906545,0.54744215,0.41432771,0.37287885,0.51505716,0.59280314,0.48322827,0.48539645,0.55315618,0.7965608000000001,0.44460925,0.51515791,0.58460658,0.53405792,0.8272825999999999,0.54312011,0.64987737,0.58788985,0.53121984,0.44655938,0.55717081,0.57615991,0.50155726,0.60947679,0.37897659999999994
9,4,0,0.69041821,0.32895206,0.50782877,0.70324616,0.35255387,0.52689268,0.510731,0.66194332,0.28799964,0.50823635,0.45774629,0.36056095,0.50885989,0.46098738,0.42906155,0.39101545,0.6674955,0.68827463,0.58771168,0.45087276,0.42377234,0.5570583,0.65096181,0.51887553,0.49028972,0.56333776,0.7219249,0.41223526,0.59195038,0.57954573,0.4667924,0.64959732,0.46904353,0.5168185000000001,0.62405926,0.55185956,0.41392984,0.60136242,0.59516584,0.47859503,0.65055142,0.38916007
