,,pid1263-27,pid52932-13,pid610003b-03,pid9048b-03,pid9049-28,pid9050-28,pid9054-28,pid9055-27,pid9058-28,pid9059b-03,pid9060-28,pid9061-28,pid9062b-02,pid9063b-03,pid9066-28,pid9070b-11,pid9071b-06,pid9072b-03,pid9073b-03,pid9074f-28,pid9075-28,pid9093b-02,pid9094-27,pid9099b-03,pid9101b-10,pid9104-28,pid9105b-10,pid9111b-01,pid9118b-03,pid9137-15,pid9138-28,pid9139-27,pid9153-27,pid9166h-04,pid9170-27,pid9174-28,pid917520g-11,pid9176-10,pid9192-28
1,0,0.40227525,0.22628773,0.2303109,0.16373564,0.16101007,0.11891573,0.29016406,0.50857538,0.22632743,0.24604333,0.384921,0.33849902,0.33096257,0.23315012,0.28522913,0.22847961,0.58270621,0.19392313,0.094502067,0.16302001,0.18867095,0.24439533,0.49089079,0.36882274,0.22573948,0.18995741,0.3562098,0.35895239,0.23796171,0.53973025,0.53573956,0.6226745,0.20680331,0.51423031,0.39372235,0.22165947,0.22250591,0.24026091,0.15090455
1,1,0.39346975,0.3302598,0.33832094,0.30444952,0.23770285,0.17455068,0.51506152,0.56533541,0.34989419,0.41773202,0.6129763,0.51717418,0.47275066,0.35337982,0.39913243,0.36099516,0.5677586,0.30799855,0.1695703,0.26412474,0.2700511,0.38616198,0.57391726,0.50640488,0.37284168,0.27983239,0.48630842,0.39532822,0.35667182,0.52577264,0.80871499,0.62089417,0.20662887,0.5503138,0.33130469,0.3872518,0.3431773,0.37383416,0.21054939
1,2,0.3867105,0.35485058,0.38137264,0.37031212,0.23426133,0.19964643,0.48829561,0.60937068,0.44927857,0.48425015,0.76446329,0.64784971,0.58052346,0.35321575,0.48126946,0.42507947,0.56072008,0.34394489,0.18512829,0.29313175,0.29608263,0.51225924,0.60107343,0.63221439,0.43656914,0.34001236,0.41174789,0.45443708,0.45720364,0.51887476,1,0.64508143,0.21243536,0.59122065,0.29205093,0.47236451,0.45570686,0.46232569,0.2518535
2,0,0.38354141,0.30406968,0.36769779,0.43724228,0.22905708,0.18898055,0.47885463,0.60950035,0.44527703,0.45557775,0.77067844,0.69663637,0.59239789,0.28378179,0.46809284,0.4040774,0.55722296,0.34054387,0.18069095,0.32768765,0.29468711,0.51764288,0.58093925,0.64804845,0.43967134,0.32146586,0.3479777,0.40929886,0.49420808,0.52386127,0.94793246,0.72308956,0.22394243,0.60507722,0.28728739,0.48323261,0.44873759,0.47045284,0.25941731
2,1,0.38371131,0.2894804,0.35780844,0.46162497,0.24841914,0.18635091,0.49012608,0.61411653,0.42473067,0.43650123,0.74500465,0.7121709,0.63611063,0.2678589,0.48065401,0.39539737,0.55520142,0.32930384,0.17905326,0.37003977,0.30493929,0.53275182,0.55612374,0.61923046,0.44845691,0.29335073,0.44341146,0.40373296,0.53088377,0.53587669,0.8339905,0.84477382,0.24363591,0.63989846,0.31664045,0.49279616,0.45036407,0.48984855,0.26214206
2,2,0.40047278,0.32005556,0.36116835,0.47988754,0.27418159,0.18634355,0.49876196,0.60969053,0.45008657,0.44956976,0.76835502,0.7368781,0.70118497,0.27157506,0.56383657,0.37633034,0.58440313,0.32073967,0.18223505,0.37105612,0.30869183,0.56254342,0.49575102,0.62650621,0.48248497,0.30521363,0.21813634,0.44474331,0.5767163,0.54452408,0.75705187,0.91991657,0.25972214,0.71285523,0.34983286,0.50376019,0.45473286,0.6019868,0.27660932
3,0,0.41831277,0.37486109,0.351615,0.49457257,0.26967683,0.17949322,0.50833207,0.62706604,0.45134667,0.45337277,0.78310874,0.7145601,0.72323924,0.26945037,0.59074596,0.35454734,0.57428066,0.30277737,0.18228964,0.38054416,0.30257129,0.54823966,0.45380544,0.62354525,0.52493788,0.3193914,0.30629556,0.4579316,0.58454844,0.55716378,0.78389445,0.91496534,0.26678712,0.72279811,0.34937076,0.47991367,0.48982506,0.61411006,0.2731465
3,1,0.44663515,0.43568103,0.33234029,0.52196235,0.25821908,0.17087507,0.53087498,0.7142462,0.41792997,0.47837277,0.7183434,0.68573972,0.72471118,0.26424938,0.56815216,0.34714582,0.53733215,0.28791153,0.17487327,0.38876334,0.28396791,0.50820177,0.41117406,0.59725279,0.53551904,0.32975683,0.37497499,0.44174056,0.58759428,0.58127168,0.85724396,0.88641679,0.26478724,0.72308018,0.34000098,0.49663309,0.56755556,0.60332883,0.26855716
3,2,0.47574795,0.43103319,0.32352612,0.60076603,0.26896335,0.16863583,0.56367158,0.75886065,0.39348788,0.47801168,0.69934944,0.71592804,0.72503278,0.25603774,0.54391962,0.34310297,0.58092076,0.29468455,0.16912579,0.41702544,0.29979122,0.57301863,0.41009318,0.63112184,0.51613627,0.32926913,0.32604688,0.4313464,0.60927287,0.61360308,0.93524416,0.84605904,0.2571927,0.76052465,0.33716449,0.50894005,0.56250591,0.56645674,0.27287458
4,0,0.45465761,0.39680132,0.31126243,0.66097303,0.27142557,0.16632292,0.5730442,0.7759509,0.36352443,0.45387984,0.69545771,0.75780006,0.74998145,0.26701395,0.50361857,0.35455425,0.58775269,0.29506164,0.16262965,0.50062496,0.32195484,0.63379381,0.41893403,0.65775473,0.49536673,0.32663141,0.20502358,0.42447657,0.62882421,0.58154913,0.93898494,0.8430883,0.24896268,0.76708272,0.33590601,0.48801918,0.54439716,0.55278902,0.27359046
