,,pid1263-28,pid610003b-04,pid9048b-04,pid9049-29,pid9050-29,pid9054-29,pid9055-28,pid9058-29,pid9059b-04,pid9060-29,pid9061-29,pid9062b-03,pid9063b-04,pid9066-29,pid9070b-12,pid9072b-04,pid9073b-04,pid9074f-29,pid9093b-03,pid9094-28,pid9097-19,pid9098-08,pid9099b-04,pid9101b-11,pid9104-29,pid9118b-04,pid9130-03,pid9138-29,pid9139-28,pid9153-28,pid9170-28,pid9174-29,pid9192-29
1,2,0.16319719,0.24351064,0.19038123,0.31177167,0.18185318,0.16327041,0.251244,0.45212709,0.29016138,0.28484321,0.16543142,0.21351282,0.16724358,0.28112569,0.42795799,0.19467475,0.22885667,0.2209992,0.25843577,0.36685423,0.097419628,0.18525983,0.31074632,0.39841555,0.16009163,0.23055673,0.43087501,0.32155115,0.16108231,0.16014397,0.10523779,0.19551737,0.078723128
2,0,0.30392108,0.42286396,0.40814367,0.6811453,0.34443915,0.36387816,0.58142883,0.74672687,0.48714758,0.59624095,0.25187338,0.47965299,0.39347674,0.53007829,0.68898111,0.34142222,0.40250428,0.37792166,0.44249603,0.6622901,0.70165579,0.44269766,0.57829835,0.74998416,0.37091549,0.48463582,0.69577521,0.68615369,0.33125668,0.32048607,0.26606543,0.4113173,0.20161434
2,1,0.42065121,0.60854539,0.71493991,0.85280408,0.51601041,0.55690691,0.73202417,0.87758068,0.66848143,0.71428571,0.44394229,0.61916574,0.57456628,0.71614473,0.7546879,0.48083232,0.57113614,0.48422062,0.60360825,0.91237942,1,0.62366892,0.75668379,0.93692828,0.51498814,0.61748248,0.85750535,0.85537506,0.44998218,0.42313433,0.39517387,0.56177931,0.34902247
2,2,0.4808396,0.71168145,0.90253553,0.87786781,0.61543604,0.64311454,0.80202595,0.91460669,0.71530235,0.78383811,0.48302338,0.74277631,0.69084559,0.76870504,0.74349115,0.59191919,0.66550151,0.57652278,0.69625297,0.98106467,0.92881315,0.74785851,0.79011582,0.97071934,0.65797267,0.70809235,0.91634608,0.95432092,0.55044311,0.51244221,0.48611743,0.60677358,0.44129147
3,0,0.53482249,0.78688864,1,0.84039512,0.71543908,0.65912341,0.81209348,0.91753732,0.6806922,0.79382203,0.41750991,0.77450021,0.76340298,0.79531316,0.66902685,0.61794747,0.79235548,0.70119904,0.73868953,1,0.81907179,0.75206871,0.74504049,0.90867223,0.73821484,0.76167301,0.98535998,1,0.62461637,0.5603553,0.52505687,0.61886216,0.48079014
3,1,0.54893938,0.83713629,0.96906292,0.75666424,0.78591327,0.62676248,0.75231918,0.86640617,0.5675384,0.73780488,0.38108847,0.70479076,0.79430914,0.75451756,0.63973067,0.54899394,0.88517663,0.78833733,0.75390563,0.93854948,0.74667634,0.61512535,0.64140033,0.74925531,0.70972756,0.73685757,0.97333926,0.9876254,0.61583466,0.54720645,0.55064457,0.5818404,0.46937617
3,2,0.56060868,0.85189783,0.87694808,0.70167516,0.81138001,0.56106106,0.66932646,0.80749574,0.52105775,0.64500134,0.41265554,0.61999705,0.78931265,0.68931443,0.5979419,0.47372929,0.90763374,0.83117506,0.76616772,0.82712576,0.70219966,0.51087821,0.56828355,0.59952466,0.62448662,0.72920487,0.93024942,0.92605795,0.57817906,0.50278695,0.62192612,0.55902253,0.46196966
4,0,0.59907783,0.8363331,0.83069018,0.70119264,0.78962084,0.56284141,0.62902968,0.81432196,0.59048221,0.68292683,0.47242582,0.67794747,0.77098529,0.57812103,0.53927331,0.52150303,0.86999773,0.82917666,0.79447859,0.74682922,0.75205463,0.54860201,0.56837063,0.61853808,0.57647877,0.81014012,0.89103006,0.85787035,0.60334027,0.46647735,0.70035749,0.59780832,0.52435305
4,1,0.64214547,0.7735996,0.84344697,0.73739075,0.71336244,0.62195052,0.72549316,0.82971373,0.68457126,0.69967837,0.4822166,0.7536638,0.74945399,0.46161659,0.46912848,0.60371717,0.74748914,0.75356515,0.82649683,0.72167738,0.81284747,0.67226533,0.67018201,0.71565438,0.60611143,0.83614285,0.82755879,0.81988084,0.66846745,0.47256637,0.74569386,0.65906071,0.58198264
4,2,0.66861155,0.73765105,0.92145442,0.78724508,0.67929536,0.68643644,0.8148836,0.85351616,0.81143302,0.71984723,0.50482702,0.83042598,0.72664524,0.42015446,0.39458796,0.68230303,0.65927673,0.62583533,0.84350714,0.72473205,0.80879865,0.77300771,0.76461726,0.83438259,0.68073304,0.83298067,0.83810615,0.79014106,0.77622731,0.52737419,0.739844,0.71011073,0.61960737
5,0,0.66142949,0.74725275,0.98436263,0.78703569,0.70440755,0.71092521,0.82458681,0.85512443,0.88340463,0.7054409,0.52716395,0.82617557,0.68683809,0.52926365,0.32977894,0.69944242,0.66675844,0.51082334,0.82613997,0.74698106,0.66443075,0.75353556,0.78873117,0.87055033,0.75991164,0.7977853,0.90110969,0.79416408,0.85075691,0.56295073,0.68481205,0.70162658,0.60022714
5,1,0.596964,0.77263821,0.94391863,0.63850146,0.73492914,0.70882311,0.77336058,0.8039218,0.81263854,0.63924551,0.51134965,0.7401483,0.60855277,0.60359712,0.29530787,0.62249697,0.71873541,0.44067146,0.7836142,0.75212576,0.51258762,0.66306113,0.74930767,0.79125383,0.75973165,0.65780317,0.8944679,0.81122371,0.83512454,0.54471008,0.59646842,0.64911798,0.51501582
5,2,0.46940516,0.79117228,0.7742817,0.47421704,0.75157268,0.68497783,0.65662875,0.63096699,0.68302547,0.51918386,0.4703063,0.5836339,0.5220361,0.6926788,0.27689506,0.46851717,0.75117613,0.41123102,0.7337728,0.72194534,0.52401499,0.49564984,0.65870417,0.62073519,0.70256893,0.49922415,0.85203288,0.82431125,0.7254796,0.44021265,0.37059365,0.57547155,0.29337227
6,0,0.43469393,0.83355847,0.7193399,0.47840495,0.79833261,0.71614472,0.51846455,0.47342776,0.52561734,0.54679711,0.45386298,0.53197195,0.57344336,0.75851672,0.29784873,0.48652121,0.82186337,0.52365308,0.77842982,0.64918721,0.6687213,0.54805334,0.6192023,0.65484314,0.6769042,0.65444115,0.84626808,0.80516372,0.60002989,0.38040549,0.35636984,0.55791523,0.37722885
6,1,0.48092613,0.83970404,0.72376099,0.56112527,0.80313421,0.79372229,0.48884841,0.42814596,0.45808866,0.56592066,0.45081362,0.51753127,0.69686199,0.77105375,0.31428813,0.58850909,0.82472437,0.59334133,0.83825337,0.57673276,0.75006043,0.6694548,0.60761125,0.76469843,0.6402029,0.81354916,0.81020592,0.7677853,0.53548891,0.40906089,0.40723107,0.58283314,0.51822017
6,2,0.55005192,0.8329865,0.74530721,0.65751092,0.79489855,0.82489632,0.51844677,0.41619709,0.49130857,0.55569552,0.47302749,0.51303951,0.79001319,0.75417901,0.3423647,0.71501414,0.80616972,0.64490008,0.86196471,0.5271079,0.76226734,0.79506646,0.59025516,0.877955,0.62450299,0.87942587,0.82014523,0.7344299,0.49036196,0.46271959,0.4713953,0.62380298,0.60086801
7,0,0.59242731,0.81650907,0.75679782,0.71537691,0.77922749,0.81645932,0.56427048,0.41985442,0.49813339,0.52749263,0.49960345,0.52074925,0.80603288,0.71069615,0.36590158,0.78179394,0.79085914,0.67993605,0.85347938,0.52616113,0.68485618,0.80082188,0.53472089,0.88561318,0.63818212,0.8283726,0.84383587,0.71248154,0.48855734,0.48763704,0.50965226,0.64552119,0.60934534
7,1,0.57554144,0.77675149,0.68891984,0.65222141,0.72637945,0.8035178,0.53868847,0.45007803,0.49062804,0.45,0.50843019,0.50239337,0.71532328,0.66640923,0.38617769,0.73861818,0.76271592,0.69979217,0.82279937,0.6257324,0.61324631,0.69898216,0.44086911,0.76513151,0.6641741,0.65337142,0.78770799,0.70657432,0.47993655,0.45186237,0.53884736,0.6407942,0.47636083
7,2,0.58258752,0.77760335,0.59172971,0.58855608,0.70744654,0.7995853,0.48471655,0.57739365,0.59542096,0.48423345,0.56906194,0.52699749,0.65468538,0.68664833,0.48470399,0.6663596,0.75509056,0.73366107,0.76342189,0.77920686,0.68159294,0.59686251,0.49649917,0.5820957,0.7552483,0.44951098,0.66055496,0.7184906,0.4806607,0.41507727,0.64196728,0.6635357,0.37062546
8,0,0.66360512,0.88482835,0.69583109,0.58732702,0.84326914,0.80652081,0.52905634,0.73370582,0.75409294,0.59495444,0.6620949,0.59913383,0.77535336,0.72923191,0.64171254,0.76752323,0.86052887,0.79624301,0.73140365,0.89871383,0.75132947,0.64158465,0.6291126,0.63233337,0.88423464,0.60157756,0.6232767,0.74074451,0.59801837,0.55981376,0.77629726,0.73347079,0.48594143
8,1,0.76185473,1,0.8256993,0.58619811,1,0.82017732,0.57014395,0.84136477,0.83868365,0.72205843,0.74654724,0.60849278,0.97739729,0.74552476,0.79525705,0.88331313,1,0.84876099,0.74256542,0.9422115,0.76534929,0.72328037,0.76025429,0.78766241,0.90026998,0.76443551,0.68747296,0.73794368,0.69752526,0.70116233,0.90033582,0.80259641,0.62969092
8,2,0.80647992,0.97598968,0.90383337,0.5796158,0.97867642,0.76941227,0.58371246,0.85843628,0.82126191,0.75636559,0.80644059,0.60212387,1,0.70951121,0.84346574,0.96525253,0.99055508,0.85131894,0.75627478,0.91622008,0.7086657,0.77548233,0.76288426,0.85463188,0.83359241,0.8360253,0.77816626,0.68294546,0.77167554,0.79084665,0.92741848,0.86208477,0.67699359
9,0,0.8153926,0.89836078,0.89895856,0.54987254,0.8885501,0.64796225,0.58277946,0.76727702,0.72799922,0.74296435,0.85881307,0.57664821,0.92405324,0.61242065,0.84410096,0.97365657,0.91488801,0.79102318,0.71407613,0.85202751,0.60907663,0.78054352,0.67103544,0.79453892,0.76806021,0.79563408,0.86885955,0.61440139,0.81585995,0.80273412,0.86702416,0.87995418,0.68325627
9,1,0.72342267,0.70021783,0.76474312,0.3675346,0.64245267,0.51977692,0.49415319,0.60625916,0.47768812,0.68701421,0.85354848,0.44461726,0.65728149,0.53511426,0.74545609,0.78467071,0.70219184,0.61198241,0.59955393,0.74329225,0.54091129,0.67437043,0.44702604,0.60944333,0.69676839,0.60026097,0.88928776,0.54147782,0.79679077,0.72922996,0.67267902,0.83955708,0.53678105
9,2,0.57535601,0.54651771,0.63380921,0.33601602,0.4396102,0.40689261,0.41300871,0.54378671,0.34719036,0.69961136,0.83543006,0.48637052,0.43198582,0.6008887,0.71659185,0.49611313,0.50915163,0.40467626,0.46557296,0.72885852,0.63880832,0.64718331,0.42141426,0.43498468,0.72858545,0.38823059,0.88596686,0.58690228,0.72251405,0.6785101,0.44339725,0.78029782,0.40100592
10,0,0.53363578,0.5048982,0.6710561,0.50180262,0.40771093,0.42377377,0.56087613,0.63566076,0.43464904,0.82558295,0.85354848,0.61350746,0.43811555,0.71986881,0.8166342,0.41928889,0.44764595,0.40441247,0.4510904,0.76829225,0.77489727,0.70655156,0.59994775,0.44260061,0.85862718,0.43454648,0.87486991,0.72903193,0.72329567,0.73378682,0.47176362,0.78969072,0.45620183
10,1,0.51089053,0.51513271,0.776698,0.77445375,0.44153489,0.49648935,0.71152479,0.73363434,0.5608497,0.95644599,0.82797757,0.72631099,0.53716982,0.82342361,0.90141442,0.56549495,0.45050696,0.40522782,0.50835646,0.77253483,0.86910805,0.79034118,0.80097535,0.49722193,0.95467561,0.55222881,0.86459149,0.83388501,0.77556064,0.78411042,0.5811938,0.82985872,0.55124523
10,2,0.52501978,0.5460431,0.86032942,0.90039148,0.48198385,0.54882025,0.78162431,0.81840817,0.63520319,1,0.81683304,0.80887894,0.64672189,0.87172027,0.94782756,0.70583434,0.47316758,0.45143086,0.57207573,0.75074134,0.83756345,0.84239757,0.85455891,0.53618887,1,0.65059717,0.92833172,0.89117482,0.84833159,0.82102761,0.70777814,0.83512791,0.64894946
11,0,0.55442791,0.59745902,0.87533369,0.96922797,0.53979558,0.55561991,0.81310645,0.88270333,0.59028777,0.98499062,0.83283194,0.80171894,0.70682408,0.85097334,0.94664182,0.76071919,0.56128422,0.52243805,0.66266852,0.71008396,0.7330191,0.83958704,0.79306801,0.51854864,0.97930132,0.69452673,1,0.90283648,0.8640674,0.81600845,0.78073881,0.84062619,0.6846029
11,1,0.58277294,0.6496051,0.80709696,0.95994173,0.59172179,0.54320749,0.8229163,0.88728988,0.54100719,0.88890378,0.83228497,0.69429211,0.72061854,0.76740372,0.90581858,0.69285657,0.64657577,0.57890488,0.74132633,0.67872454,0.64587866,0.76976049,0.69303318,0.47522975,0.89994273,0.68507547,0.99132357,0.88358711,0.835205,0.76205257,0.81822121,0.83512791,0.68438387
11,2,0.62504945,0.69649398,0.68818123,0.94664967,0.63326479,0.52541113,0.83724009,0.85344468,0.57325491,0.7477888,0.79427048,0.5878575,0.7094202,0.65827338,0.79396968,0.56793535,0.68836563,0.63695444,0.83228588,0.65488567,0.61832246,0.68908372,0.61156492,0.48204289,0.71719709,0.68287723,0.95323846,0.81972806,0.78385958,0.62207766,0.88083631,0.83634975,0.68631459
