,,pid1263b-01,pid52932-16,pid610003b-05,pid9048b-05,pid9049b-01,pid9050b-01,pid9054b-01,pid9055b-01,pid9056-10,pid9058b-01,pid9059b-05,pid9060-30,pid9061-30,pid9062b-04,pid9063b-05,pid9064-12,pid9066b-01,pid9069-01,pid9070b-13,pid9072b-05,pid9073b-05,pid9074g-01,pid9075b-01,pid9085-03,pid9088-17,pid9093b-07,pid9094b-01,pid9099b-05,pid9101b-12,pid9104b-01,pid9111b-03,pid9112-09,pid9117-05,pid9118b-05,pid9120-09,pid9121-09,pid9134-07,pid9138b-01,pid9139b-01,pid9153b-01,pid9166j-01,pid9170b-01,pid9174b-01,pid917509-08,pid9192b-01
1,0,0.48722042,0.4492736,0.45244517,0.53835686,0.58508897,0.50553872,0.10011928,0.66401853,0.78032475,0.22007859,0.59723696,0.46997956,0.52881973,0.61963416,0.48309183,0.26936284,0.43331706,0.432811,0.44103921,0.46383363,0.50364606,0.48613698,0.59941046,0.3793697,0.45730314,0.43373613,0.41715257,0.49055217,0.4415576,0.41472616,0.5525822,0.45785089,0.56302765,0.52232303,0.48867368,0.55785427,0.40907745,0.4045658,0.54533352,0.34320244,0.43175609,0.30583599,0.36106265,0.51986356,0.49124543
1,1,0.78803079,0.71684117,0.66517083,0.79112441,0.85819828,0.67372019,0.45170502,0.84449336,0.90066031,0.48640213,0.78384134,0.76936027,0.86398482,0.87559093,0.6940817,0.46977785,0.63016393,0.77326543,0.67084436,0.77469176,0.70058582,0.7685667,0.86804225,0.63755297,0.7620699,0.71037402,0.63861563,0.64926907,0.77204121,0.73524731,0.76121748,0.71210576,0.86561203,0.7786848,0.707895,0.84755476,0.61578588,0.69284649,0.77580553,0.63825942,0.5530291,0.4746658,0.71410089,0.78078652,0.74252527
1,2,0.93014587,0.81641101,0.80800174,0.93664611,0.93938672,0.79243378,0.58787539,0.95286079,0.95252138,0.5986939,0.88417386,0.88329726,0.96948767,0.96952132,0.8033956,0.55653023,0.70603418,0.88839558,0.7964638,0.8961039,0.83896127,0.89313376,0.96344878,0.77092161,0.85944512,0.81883272,0.7720533,0.73198563,0.89456976,0.82131017,0.86314746,0.83509309,0.94087243,0.92679482,0.81648805,0.95046938,0.71479499,0.81996238,0.88915827,0.74530014,0.67456939,0.54893256,0.83733101,0.93057785,0.83752778
2,0,0.98290113,0.86153721,0.86395198,0.98934022,0.99332698,0.85271498,0.66790626,1,0.98472601,0.73631081,0.94355158,0.94907407,1,1,0.89507682,0.62328098,0.73326822,0.92948551,0.86208003,0.95742232,0.91352627,0.94160647,1,0.8625,0.93914049,0.89321825,0.79716509,0.7939437,0.95451592,0.85134598,0.91761385,0.91039701,0.98793954,0.99219592,0.89107266,1,0.78690205,0.90025293,0.96563592,0.81773971,0.73534944,0.60654429,0.89344381,0.99261637,0.91231089
2,1,0.93573744,0.88320753,0.90175712,1,0.95797585,0.90732541,0.74866685,0.92133531,1,0.84290221,1,1,0.92796964,0.92147523,0.94972067,0.70208316,0.72997558,0.89466353,0.89126774,1,0.93407362,0.92054651,0.86853353,0.98296257,1,0.9701603,0.80330889,0.84378916,0.99508029,0.85631879,0.98466702,0.96361472,1,1,0.96588339,0.98024139,0.88022779,0.97976522,1,0.87435581,0.71268066,0.64126097,0.97056258,1,0.9897469
2,2,0.86312804,0.8263128,0.86854277,0.98671577,0.8623292,0.86110464,0.77764524,0.80163015,0.97841667,0.90244064,0.97791149,0.97546898,0.88645161,0.78023518,0.91279679,0.72189763,0.7192466,0.78065639,0.84548152,0.95997041,0.89770045,0.84951701,0.74350282,1,0.97742418,0.95807645,0.83197102,0.83478406,0.9536805,0.86659594,1,0.96063929,0.92035398,0.95825054,0.95078163,0.91041574,0.9005467,1,0.9348652,0.8644117,0.66158186,0.62245611,0.98386393,0.93707865,1
3,0,0.80855754,0.80923626,0.84961724,0.99012863,0.83293613,0.8350035,0.78325849,0.74335959,0.91003619,0.91234711,0.88995329,0.90536316,0.86444023,0.73515857,0.85402409,0.76441533,0.72104639,0.65945852,0.81388822,0.92610554,0.87461747,0.8045949,0.68631786,0.98764124,0.94220046,0.9324291,0.87662314,0.84938602,0.93390885,0.90598064,0.99366847,0.97398623,0.88190148,0.94579034,0.94052699,0.88267322,0.90856492,0.98683443,0.85730521,0.84532191,0.66843199,0.6082901,0.98422736,0.91661316,0.9668746
3,1,0.80048622,0.8604821,0.90377707,0.98317331,0.83428662,0.89427484,0.79181869,0.76946269,0.8954319,0.89403952,0.87942364,0.8265392,0.8456167,0.78793206,0.79883904,0.78783465,0.73773282,0.71344128,0.76763692,0.90161105,0.91396345,0.79792881,0.69457136,0.95215395,0.90990072,0.93020962,0.95975675,0.88254949,0.90928247,0.9668479,0.94469448,0.99370909,0.88010024,0.96653341,0.96056435,0.85315154,0.95192483,0.98521305,0.81001807,0.82187704,0.73179568,0.59013368,0.97703155,0.89542536,0.9511723
3,2,0.84189627,0.93044396,0.94794046,0.97454396,0.84207181,0.94026257,0.79195902,0.80612397,0.91890685,0.86750789,0.8814029,0.75919913,0.83157495,0.86267965,0.76101606,0.76198226,0.7540286,0.80859232,0.79789913,0.89265165,0.9492874,0.79511792,0.70881847,0.90474929,0.90160479,0.94106042,0.99463423,0.88889817,0.89910888,0.99887283,0.87703105,0.98537788,0.8985825,0.98306322,0.98712024,0.83286544,0.98970387,0.97451197,0.79739807,0.80358569,0.79710948,0.57736433,0.97550516,0.88483146,0.9532516
4,0,0.90526742,0.9963477,1,0.97725481,0.8151414,1,0.7671204,0.83108069,0.93912727,0.82166141,0.83603832,0.69155844,0.80690702,0.91876707,0.7286662,0.67776874,0.77640739,0.88865674,0.91203592,0.8871445,1,0.76773127,0.70557603,0.83825918,0.88229294,0.95281545,1,0.84387269,0.88965005,1,0.810817,0.95613364,0.90523925,0.97884997,1,0.80280733,1,0.95207212,0.79240852,0.77542281,0.8550584,0.56509377,0.96438436,0.8529695,0.94687029
4,1,0.90940032,1,0.99235634,0.96059012,0.7205116,0.98221083,0.71751333,0.8397588,0.94162985,0.74218828,0.72057636,0.6715368,0.7654649,0.92098824,0.71682961,0.48108064,0.82285316,0.82768347,0.98604763,0.87407529,0.99833873,0.71476808,0.67909605,0.75265713,0.82952536,0.92453761,0.92604185,0.7037925,0.85793187,0.91048933,0.76104966,0.91702797,0.83522594,0.94067939,0.96624717,0.76887796,0.92238041,0.91815293,0.74724276,0.73789649,0.88653732,0.57282522,0.90252944,0.77011236,0.90714849
4,2,0.87463533,0.93247301,0.90805798,0.872223,0.67763743,0.8690282,0.65906539,0.81515746,0.8985102,0.68678953,0.6752197,0.69943482,0.73604554,0.8638912,0.70273219,0.35517129,0.83995814,0.64433708,0.95734103,0.83281276,0.9103786,0.62864851,0.66784574,0.70145657,0.77974976,0.83715577,0.84665534,0.5913374,0.80284972,0.79167219,0.7474712,0.85539403,0.78314668,0.85836545,0.86104611,0.77951721,0.7751139,0.87255983,0.67730239,0.65414096,0.83249852,0.57472067,0.80345981,0.70296148,0.87180039
5,0,0.84205835,0.85975164,0.81422226,0.82732663,0.71012075,0.75917036,0.61603284,0.76069287,0.86474293,0.63787703,0.70575568,0.72919673,0.7177685,0.82773489,0.72468575,0.42131174,0.83363795,0.6804997,0.92454494,0.81825579,0.82913351,0.62570708,0.70267747,0.68993644,0.7622739,0.82457871,0.83944733,0.58331802,0.78227049,0.75056359,0.76367381,0.84174105,0.82293053,0.79438872,0.788772,0.81221278,0.68870159,0.84726636,0.65507127,0.60965377,0.78495347,0.5721269,0.78354412,0.67808186,0.81730838
5,1,0.83776337,0.79142115,0.75080052,0.85877677,0.80052431,0.70445895,0.59992282,0.70628561,0.82747439,0.64666556,0.77194996,0.78787879,0.72497154,0.81575009,0.77467703,0.55950037,0.7970422,0.8562549,0.9287948,0.83815552,0.794238,0.66510312,0.7871776,0.71675494,0.77743778,0.832388,0.87961903,0.64567705,0.80289613,0.74539186,0.7831261,0.83483805,0.86435899,0.77504608,0.72830597,0.86541797,0.63881549,0.8156171,0.67102486,0.68469188,0.69302118,0.58100559,0.83296991,0.70661316,0.75944648
5,2,0.85615883,0.7522766,0.72540198,0.87537666,0.8615348,0.68974598,0.60778838,0.68292236,0.79967572,0.66293652,0.82178767,0.83038721,0.76667932,0.81425347,0.81196753,0.66060705,0.77685385,0.96282754,0.95485526,0.85829361,0.7753257,0.7102602,0.83050847,0.75447564,0.79253366,0.83148376,0.90493651,0.69832094,0.8336675,0.75182337,0.78961019,0.84535408,0.87140731,0.76543461,0.69943958,0.88725972,0.60769932,0.81749789,0.68430509,0.75829281,0.65112849,0.5905826,0.87905219,0.73760032,0.73470997
6,0,0.88606159,0.73384466,0.71500384,0.87672668,0.8941055,0.68616484,0.64172046,0.67494354,0.7711956,0.69478112,0.84363867,0.86020924,0.80440228,0.80582017,0.8463949,0.76033038,0.7607534,1,0.98027424,0.87037646,0.75533794,0.74741102,0.83925325,0.80067973,0.80463756,0.83337443,0.90878197,0.74052293,0.86325072,0.76594616,0.79197498,0.8599847,0.88440755,0.76015608,0.66655196,0.89050514,0.58281321,0.83727868,0.69591852,0.832547,0.6234904,0.59956105,0.91285071,0.76755217,0.71241127
6,1,0.90583468,0.75429754,0.71231823,0.85498591,0.92341913,0.69140061,0.706778,0.67778657,0.72905113,0.76149206,0.8174333,0.85816498,0.81624288,0.77040029,0.88128492,0.89942225,0.73223579,0.95795247,1,0.88007562,0.73815686,0.76871465,0.78079096,0.85647952,0.80218958,0.86806412,0.88617421,0.7402222,0.88333797,0.79909826,0.79540774,0.87902746,0.89098598,0.77752376,0.66048569,0.88214573,0.59504556,0.86964135,0.69944693,0.93852072,0.61003762,0.60290303,0.97645007,0.7741573,0.68937406
6,2,0.88776337,0.77470984,0.69420757,0.79508808,0.9134096,0.67114115,0.73687903,0.64446126,0.66791992,0.8249156,0.75716887,0.82227032,0.81335863,0.72028745,0.85530726,0.96321914,0.73024067,0.8122051,0.95269024,0.86108828,0.70382968,0.74856844,0.69486613,0.86875,0.74003808,0.90415125,0.83807906,0.70821151,0.86799406,0.80964063,0.7932718,0.88446825,0.8446237,0.78900247,0.6694327,0.86437193,0.60930524,0.88786562,0.66588378,0.94352907,0.58845773,0.59182961,0.99062364,0.73638042,0.69011974
7,0,0.8780389,0.79106404,0.66852211,0.67002192,0.89577375,0.62738289,0.73568622,0.56408845,0.62316712,0.84317893,0.73186604,0.7778379,0.80189753,0.68775389,0.79335719,0.96297502,0.73093826,0.71697571,0.84884933,0.82286701,0.65998076,0.7120007,0.63502825,0.84494174,0.69563443,0.91385121,0.82284028,0.71404227,0.83821591,0.78245591,0.77603173,0.87384171,0.79528546,0.77435185,0.65722151,0.84735807,0.61817768,0.88604968,0.60098709,0.89359077,0.56559097,0.56319832,0.96663759,0.70117978,0.69833656
7,1,0.87034036,0.82363445,0.66744328,0.56878098,0.85351128,0.61627437,0.70684816,0.50399514,0.60038537,0.79735459,0.73985433,0.72486772,0.74913093,0.6582492,0.68632158,0.91724306,0.71831182,0.63267172,0.72744768,0.75821141,0.63264842,0.68606736,0.58968312,0.746875,0.57686659,0.88565557,0.84364157,0.75501629,0.77181843,0.72298104,0.70375315,0.84646774,0.73266505,0.74518229,0.63496215,0.84092088,0.64181093,0.86348012,0.52912017,0.78318937,0.54662443,0.49551576,0.90093037,0.63939005,0.69599914
