,measure_number,beat_number,pid1263b-02,pid52932-17,pid610003b-06,pid9048b-06,pid9050b-02,pid9054b-02,pid9055b-02,pid9058b-02,pid9059b-06,pid9060-31,pid9063b-06,pid9064-13,pid9065-20,pid9066b-02,pid9069-02,pid9072b-06,pid9073b-06,pid9075b-02,pid9085-04,pid9088-18,pid9090-15,pid9093b-08,pid9094b-02,pid9097-20,pid9098-16,pid9099b-06,pid9101b-13,pid9104b-02,pid9111b-04,pid9118b-06,pid9121-10,pid9134-08,pid9138b-02,pid9139b-02,pid9153b-02,pid915406-14,pid9166j-02,pid9170b-02,pid9174b-02,pid9192b-02
0,1,0,0.13581888,0.21206429,0.27227413,0.19852701,0.20248059,0.22343979999999997,0.16068138,0.16097961,0.35869963,0.34040749,0.32553466,0.51758798,0.14358383,0.27365252,0.30059931,0.15952984,0.21870782,0.25860153,0.19613645,0.1890721,0.25078248,0.13404359,0.33996536,0.17091038,0.33100213,0.41612703,0.22003532,0.26145297,0.25145895,0.38028232,0.29800553,0.21664320000000004,0.13937518,0.36253761,0.10284794,0.15489796,0.24936694,0.27439348,0.30317252,0.14224296
1,1,1,0.19872832,0.38124474,0.38972386,0.29146318,0.32610772,0.33238674,0.2321032,0.38297989,0.37739194,0.47551101,0.49431215,0.65280227,0.19568414,0.54099363,0.3681942,0.24717429,0.34171938,0.34467485,0.29096422,0.26099132,0.34653384,0.23547383,0.60521455,0.27864683,0.55460157,0.57350108,0.43986091,0.42311175,0.32577481,0.50162187,0.48862881,0.41031679,0.21598649,0.50241096,0.18170999,0.23466296,0.37756029,0.3996377,0.45101523,0.26690085
2,1,2,0.24067437,0.49596299,0.49964938,0.34977386,0.40474754,0.43043565,0.29776024,0.46552196,0.393148,0.53758133,0.58739067,0.75645174,0.24539999,0.63361707,0.41156244,0.30573848,0.43855377,0.39533013,0.34794840000000005,0.32424627,0.37076237,0.29706169,0.74329421,0.35044279,0.70745658,0.66554205,0.61961585,0.52272072,0.35878668,0.61770536,0.5679765,0.50156799,0.26564875,0.59641944,0.23015368,0.29139765,0.44597352,0.45121304,0.54713444,0.35015991
3,2,0,0.27549133,0.57060088,0.5547069,0.39479828,0.46367086,0.48169183,0.35324623,0.56362019,0.40557999,0.60836674,0.61269528,0.77183163,0.26884712,0.6694225,0.44140686,0.33779484,0.47775337,0.48701891,0.38563569,0.36419163,0.35955,0.34021209999999996,0.83209544,0.39868225,0.79273939,0.72564022,0.67439011,0.64975304,0.39179031,0.69950443,0.63400049,0.5651752,0.29837461,0.64412242,0.26916921,0.3207483,0.50963213,0.52136249,0.60634504,0.39323651
4,2,1,0.29555877,0.62054014,0.58372344,0.425183,0.5043605,0.50219832,0.41524122,0.6504857,0.41125306,0.66118962,0.60130694,0.83516062,0.30158036,0.73084035,0.45480961,0.35613424,0.51271803,0.54956038,0.42447955,0.43272514,0.33610081,0.36575209,0.96690398,0.42935884,0.85482449,0.75959644,0.7949001,0.74086232,0.41850478,0.76002403,0.65558884,0.62030934,0.3063186,0.68696572,0.30277818,0.33996289,0.55521246,0.57265317,0.67961082,0.45804016
5,2,2,0.32263969,0.63922063,0.57870098,0.44046558,0.51426274,0.55535213,0.45735482,0.73503899,0.41267133,0.66579034,0.61691693,0.87855555,0.33045874,0.81243028,0.44957927,0.35360931,0.50633917,0.60256304,0.44359931,0.49711191,0.34694865,0.39319907,0.99653646,0.44068721,0.87143277,0.75361057,0.88476653,0.82504631,0.44343059999999995,0.78909746,0.66787509,0.679538,0.33256403,0.69142253,0.32842604,0.36043908,0.55648393,0.59654525,0.73423848,0.49919782
6,3,0,0.34517341,0.63894963,0.58050149,0.44277771,0.52284551,0.61096485,0.53308841,0.74837871,0.43887602,0.65597765,0.63688761,0.89013264,0.36331121,0.86308969,0.43933652,0.37043692,0.50766258,0.65766423,0.44543314,0.52994438,0.3870027,0.41484725,1.0,0.43263904,0.85712711,0.74654724,0.92649299,0.86861494,0.47674744,0.82482355,0.69187639,0.72634108,0.36927245,0.69711315,0.37708517,0.37763142,0.55911233,0.61074594,0.77876898,0.53946416
7,3,1,0.37063584,0.64062237,0.59888558,0.45107879999999995,0.54354219,0.67038621,0.63022728,0.80664934,0.48378411,0.68149852,0.66547854,0.90109637,0.41325226,0.87175451,0.47521036,0.40112395,0.51675445,0.72488388,0.46509471,0.6094741,0.47299353,0.44779140000000006,0.9866269,0.40927382,0.74849962,0.73191994,0.98373993,0.94352747,0.52056545,0.84758973,0.71684521,0.769949,0.40536167,0.74096363,0.43386954,0.39615337,0.57376086,0.60590671,0.82688985,0.61233157
8,3,2,0.38127168,0.65100458,0.61412353,0.46621477,0.56293197,0.68007484,0.70370458,0.82973047,0.52075877,0.70844561,0.68451388,0.8889826,0.46808144,0.82526705,0.51994673,0.41552952,0.52345094,0.76706204,0.49044533,0.68266172,0.54060713,0.48917104,0.96344045,0.39895147,0.63850036,0.69223904,1.0,0.98472937,0.5293850999999999,0.88104821,0.71368622,0.78472954,0.42359977,0.77860731,0.47532675,0.40739641,0.57945573,0.61099178,0.85093191,0.66555864
9,4,0,0.38757225,0.66816185,0.62684078,0.47970405,0.57651612,0.6651744,0.74540472,0.82688466,0.53981673,0.71712126,0.69691339,0.88361573,0.48661394,0.78519798,0.58222653,0.42948393,0.52690506,0.7982996,0.50493884,0.72916382,0.57519955,0.53117338,0.95187608,0.4048955,0.56915219,0.64612605,0.996865,1.0,0.51737554,0.91347049,0.70355648,0.77966463,0.41593019999999997,0.81494165,0.4942241,0.41545455,0.5704807,0.61374135,0.85149558,0.7302784000000001
