,measure_number,beat_number,pid1263b-03,pid510262-04,pid52932-18,pid5667249-20,pid5667271-04,pid5667291-18,pid610003b-07,pid9048b-07,pid9049b-03,pid9050b-03,pid9052b-10,pid9054b-03,pid9055b-03,pid9056-11,pid9057f-13,pid9058b-03,pid9059b-07,pid9060b-01,pid9061-32,pid9062b-06,pid9063b-07,pid9064-14,pid9065-21,pid9066b-03,pid9069-03,pid9070b-15,pid9072b-07,pid9073b-07,pid9074g-03,pid9075b-03,pid9085-05,pid9088-19,pid9089-17,pid9090-16,pid9093b-09,pid9094b-03,pid9099b-07,pid9101b-14,pid9103-15,pid9104b-03,pid9111b-05,pid9113-18,pid9114b-12,pid9117-07,pid9118b-07,pid9119-08,pid9120-10,pid9121-11,pid9129-23,pid9130-09,pid9134-09,pid9137-16,pid9138b-03,pid9139b-03,pid9153b-03,pid9161-09,pid9166j-03,pid9170b-03,pid9174b-03,pid917509-09,pid917520-19,pid917525-03,pid9176-11,pid918713-09,pid918819-07,pid918904-11,pid9192b-03
0,1,2,0.044038545,0.017644157,0.15860613,0.25596174,0.09703770199999999,0.25747691,0.39021502,0.14294637,0.18383557,0.17351606,0.14924478,0.10842779,0.20794713,0.077605233,0.20950584,0.34385378,0.14915268,0.16650834,0.13850419,0.16778139,0.10771956,0.048332557000000005,0.17101244,0.18999354,0.099159469,0.12869835,0.094076879,0.15722276,0.12561705,0.10173394,0.15597192,0.08727181,0.21907427,0.17919101,0.070972082,0.10783699,0.21260721,0.11789155,0.1012865,0.12620689,0.33894696,0.15496183,0.32086378,0.046206548,0.19387200000000002,0.1160123,0.06591423,0.10732950000000001,0.14353834,0.12394059,0.064725301,0.046823558,0.16161516,0.14755031,0.094360575,0.19995734,0.083851523,0.094381701,0.20253683,0.14722364,0.28244314,0.14452979,0.17946393,0.071291,0.14386098,0.062484081,0.024641913999999997
1,2,0,0.17023668,0.27043715,0.30727946,0.33325362,0.17360444,0.37264255,0.400117,0.20115991,0.31178334,0.21632108,0.20942074,0.19468571,0.33610875,0.15043538,0.2946562,0.36866928,0.26883843,0.28218244,0.21010018,0.26229592,0.16483979999999998,0.21648045,0.22124339999999998,0.22777045,0.15448026,0.21641941,0.14365533,0.22414757,0.18984921,0.17491751,0.2642738,0.26080176,0.32471782,0.25323670000000004,0.12595863,0.16048365,0.27296195,0.27385081,0.19603893,0.31920918,0.45246490000000006,0.26050300000000004,0.43768788,0.07676568,0.37341911,0.30185475,0.0929979,0.23667579,0.236946,0.23909131,0.11766285,0.084705125,0.17380879999999999,0.24401395,0.12030048,0.27564706,0.25153285,0.16646652,0.26673757,0.24574178,0.30319607,0.25096478,0.25150893,0.14138815,0.23843306,0.15313729999999998,0.15680828
2,2,1,0.19949037,0.31437319,0.32543935,0.37211024,0.21963592,0.46464458,0.40346997,0.24372955,0.39603616,0.25245172,0.35670352,0.23349772,0.4305045,0.24351618,0.31656163,0.36958026,0.38515137,0.36811594,0.26474702,0.34807487,0.26103279,0.23306176,0.31171698,0.23205211,0.22833899,0.28669013,0.18724636,0.27819727,0.22919720000000002,0.28495612,0.29331286,0.2872764,0.40844162,0.33773241,0.21555668,0.19320197,0.33285036,0.30456923,0.37535336,0.36500345,0.47377535,0.33019357,0.49822967,0.17606217,0.41480856,0.42551787,0.15688903,0.34089237,0.30437079,0.29754478,0.24530986,0.17283772,0.17380879999999999,0.31518111,0.15832487,0.34570364,0.27642041,0.22184894,0.28226582,0.31242548,0.30435906,0.37970214,0.28502978,0.22646509999999997,0.37891946,0.25831724,0.17721528
3,2,2,0.23263862,0.35879401,0.35972605,0.41133698,0.23862260000000002,0.50412607,0.40161514,0.26922772,0.44880235,0.26599626,0.43814232,0.26338142,0.47075334,0.28758878,0.32795246,0.39712869,0.45347976,0.42194008,0.30695608,0.39736026,0.29272522,0.26751241,0.3388312,0.30060084,0.25610734,0.30573296,0.22532152,0.29921479999999995,0.27135877,0.31103545,0.34211496,0.31876892,0.48846628,0.38024588,0.25470905,0.21581729,0.37916563,0.32773649,0.4340584,0.39456912,0.48783151,0.37926663,0.53243629,0.21234136,0.44939426,0.5297111999999999,0.18127928,0.38352986,0.35974253,0.33726518,0.30797928,0.18457639,0.20796925,0.35436544,0.16990129,0.38728092,0.32382774,0.26673338,0.30397069,0.35556123,0.32431943,0.43791682,0.31727333,0.26601119,0.41907767,0.29738857,0.22237058
4,3,0,0.25854299,0.38946249,0.38341661,0.42996242,0.25328796,0.51712277,0.39896129,0.28170913,0.47660331,0.27393432,0.48836811,0.27994259,0.48469329,0.31118334,0.33479369999999997,0.42962408,0.49058078,0.44576178,0.33353286,0.42373226,0.32003769,0.28937772,0.34305372,0.33498049,0.27712832,0.31368703,0.24632752,0.31013229999999997,0.29472664,0.33724114,0.37155770000000005,0.33475828,0.5206962,0.39231995,0.27790952,0.23282579,0.40062453,0.34832553,0.45354211,0.4254755,0.49375195,0.39924346,0.53033921,0.22686224,0.471599,0.57240058,0.20031497,0.40195265,0.39034088,0.35594583,0.33734131,0.1994368,0.22501142,0.38148645,0.17620119,0.41162006,0.35107274,0.28842507,0.31888442,0.37370976,0.35612509,0.46399401,0.3371542,0.29044769,0.43812169,0.31642699,0.25019636
5,3,1,0.28154314,0.42458751,0.41115609999999997,0.44257488,0.26846478,0.51223418,0.39419579,0.28542679,0.50055633,0.27944291,0.54565556,0.302797,0.48935390000000006,0.34139882,0.33924218,0.47073339,0.52856203,0.46946170000000004,0.35968118,0.45138854,0.34021862,0.3211825,0.34024585,0.36653845,0.30153455,0.32304082,0.26641898,0.31904916,0.31642659,0.36450684,0.40100044,0.35087607,0.53167979,0.40041739,0.30400269,0.25033587,0.42193355,0.36550142,0.47726619,0.45687214,0.50106084,0.41527399,0.51321214,0.24280853,0.51003784,0.61171312,0.22425295,0.42545043,0.43162987,0.37232853,0.38051209,0.2185212,0.24487745,0.41092568,0.18806068,0.44190598,0.38018922,0.31153205,0.33461751,0.3850281,0.38348553,0.48827276,0.35806089,0.31673403,0.46220651,0.33402018,0.28134952
6,3,2,0.2988461,0.43538017,0.42700724,0.43065141,0.28042670000000003,0.49092604,0.38810336,0.27821949,0.50799722,0.28074219,0.55999689,0.33693508,0.48504938,0.36479275,0.32832317,0.50101476,0.55346331,0.48579954,0.37079579,0.47937541,0.35444403,0.34392458,0.33310827,0.39833506,0.32772209,0.33334171,0.28138754,0.32100678,0.33159801,0.39811162,0.41565599,0.35834327,0.51771792,0.40189725,0.33155903,0.26056426,0.44501624,0.37635563,0.49985612,0.47745305,0.49553822,0.42450245,0.49480782,0.25944455,0.53429064,0.63681266,0.25100145,0.42375248,0.45089807,0.38703364,0.42493089,0.2317966,0.26063328,0.43492353,0.20381042,0.46349756,0.39387892,0.32231117,0.34613567,0.38451712,0.40707271,0.50135819,0.36477167,0.33126069,0.48860557,0.34225513,0.30784720000000004
7,4,0,0.32466145,0.43144242,0.44090283,0.40272179,0.28192977,0.45829874,0.37937135,0.26880143,0.49350178,0.27602563,0.58649175,0.38154718,0.46852253,0.38912296,0.2966333,0.51346863,0.56884666,0.48568384,0.37126205,0.49530797,0.36329438,0.36209652,0.31251005,0.41884493,0.35680907,0.31910988,0.29718491,0.31247714,0.33728414,0.42424008,0.408767,0.35646271,0.48995542,0.38275025,0.34370165,0.28096731,0.46463486,0.3793559,0.52045705,0.49102024,0.44891576,0.42439340000000003,0.45468425,0.27602538,0.55051317,0.65117686,0.2830399,0.40033016,0.46233943,0.40615116,0.48297056,0.23031620000000003,0.26408129,0.45004561,0.21122804,0.47777485,0.4121491,0.320934,0.35102025,0.36204224,0.42484493,0.49252529,0.36573792,0.33098865,0.49227468,0.34961723,0.33238129
8,4,1,0.33050329,0.38051539,0.44482254,0.36471928,0.26272389,0.40880285,0.3646468,0.25565579,0.45925668,0.25728397,0.56881813,0.39949948,0.4179575,0.37760657,0.28064795,0.46665129,0.57093616,0.47357813,0.36699011,0.49692284,0.34531474,0.36398976,0.27502170000000004,0.39607491,0.37210056,0.24731372,0.30359388,0.28133807,0.33509393,0.43192699,0.38289601,0.30806348,0.38271839,0.31844881,0.3288261,0.29514554,0.47839953,0.35131663,0.49035971,0.46110439,0.39808112,0.37999591,0.37318363,0.2808902,0.55338278,0.64749761,0.30970764,0.3613244,0.45829394,0.40263871,0.51866663,0.22446697,0.25387426,0.4578374,0.19078966,0.48247958,0.41020524,0.30295449,0.34870401,0.32691194,0.42896278,0.44644998,0.35892124,0.30945127,0.43058149999999995,0.34420119,0.34719029
9,4,2,0.31535902,0.33488689,0.43948139,0.33771211,0.23830947,0.33740574,0.3491375,0.23193219,0.41306599,0.23630862,0.54215976,0.40418813,0.358951,0.35674063,0.28337771,0.42401983,0.55899144,0.4592437,0.3543696,0.46254005,0.31580852,0.35734792,0.24250608,0.37046916,0.36177514,0.2143827,0.29625607,0.25742713,0.32798416,0.40659881,0.35226854,0.25013302,0.2925543,0.27573044,0.30575177,0.310721,0.46570072,0.31296449,0.42765975,0.41663081,0.38367395,0.34064204,0.28703737,0.26453927,0.54401028,0.62194446,0.31910031,0.32796906,0.44425291,0.38153779,0.51257414,0.22634967,0.25465824,0.44671854,0.16608361,0.47660808,0.3849558,0.28176316,0.33999842,0.29953159999999995,0.42180393,0.38891907,0.33641959,0.29238303,0.34114281,0.31114688,0.34564798
