,,pid1263b-04,pid52932-19,pid9048b-08,pid9049b-04,pid9054b-04,pid9055b-04,pid9058b-04,pid9059b-08,pid9060b-02,pid9062b-07,pid9063b-08,pid9064-15,pid9066b-04,pid9069-04,pid9070b-16,pid9072b-08,pid9074g-04,pid9075b-04,pid9076-14,pid9077-02,pid9093b-10,pid9094b-04,pid9099b-08,pid9101b-15,pid9104b-04,pid9111b-06,pid9118b-08,pid9119-09,pid9139b-04,pid9158-10,pid9166k-05,pid9170b-04,pid9174b-04,pid9192b-04
1,0,0.12642973,0.22917353,0.10747914,0.23523504,0.21237246,0.16144288,0.19628947,0.27688918,0.41382203,0.24926002,0.24737528,0.21660097,0.26665326,0.37037846,0.40905039,0.18645266,0.22483258,0.22611796,0.23164549,0.20349747,0.18834318,0.20222692,0.41925627,0.23155568,0.19359245,0.42926429,0.31968502,0.20160483,0.21157963,0.1677623,0.30826569,0.25075663,0.18690048,0.18669674
1,1,0.174779,0.34672318,0.17122567,0.31797975,0.33437405,0.25282826,0.27592105,0.36284496,0.45897885,0.32280282,0.35182825,0.27491662,0.60575134,0.39876299,0.49905403,0.26322338,0.2699891,0.29665395,0.32699918,0.2953585,0.26980866,0.32137516,0.43721908,0.30828289,0.3702566,0.47053322,0.41420643,0.28939891,0.29995153,0.25605962,0.43269515,0.29235993,0.29444765,0.25873691
1,2,0.22022371,0.43139471,0.2049563,0.37849675,0.41868394,0.3068342,0.37285965,0.43768242,0.50984683,0.35650046,0.45153863,0.33313372,0.69307727,0.41875517,0.58603784,0.31626417,0.31893007,0.34657577,0.4116948,0.38566692,0.31901949,0.36605982,0.44367825,0.37310464,0.44662642,0.52348857,0.48480858,0.34955997,0.33832142,0.34317235,0.51356512,0.31982727,0.38340055,0.33777343
2,0,0.25488905,0.4723805,0.23683949,0.42198897,0.47868272,0.34044881,0.43437719,0.48342725,0.53568198,0.38222905,0.51731229,0.37140691,0.75813182,0.43587326,0.6326087,0.34838021,0.36305871,0.38248171,0.46708389,0.44003175,0.35415748,0.39570871,0.44792239,0.41006054,0.4964,0.54251278,0.53454184,0.38892148,0.38053839,0.38359802,0.57511615,0.33674614,0.4408685,0.38297727
2,1,0.28258163,0.50761322,0.24925507,0.46871656,0.54443087,0.38258531,0.49318421,0.5354573,0.56005835,0.4059227,0.58890015,0.41226501,0.86326479,0.44941598,0.66075132,0.39312325,0.41481856,0.41051973,0.53318162,0.50323364,0.39651706,0.43613459,0.45197251,0.44603632,0.54748679,0.55496095,0.59253934,0.43179753,0.43471061,0.42039833,0.64079236,0.35053517,0.50904508,0.43360286
2,2,0.30036082,0.52340476,0.26776917,0.48155923,0.55122503,0.41523553,0.52736842,0.56306892,0.56768782,0.42566029,0.61798566,0.42931322,0.90881303,0.46079739,0.66466254,0.42677073,0.43337486,0.42194008,0.57729313,0.5519717,0.38939247,0.44714727,0.45254648,0.46448544,0.57816604,0.54842349,0.6088125,0.45502445,0.46343754,0.4352252,0.68041048,0.3552078,0.5562581,0.47172525
3,0,0.30828973,0.52301232,0.30749901,0.49232732,0.5412904,0.42793027,0.55164035,0.58256755,0.56548505,0.42963058,0.63440012,0.4387356,0.93643356,0.46816656,0.64931781,0.43729937,0.44023517,0.42871349,0.59206018,0.57112839,0.38178291,0.4461801,0.44955538,0.47695782,0.59761509,0.53712275,0.60136797,0.47059534,0.47389838,0.44098542,0.70331342,0.35489776,0.59172548,0.48117287
3,1,0.30766733,0.52242367,0.34629519,0.5281798,0.52192216,0.45492396,0.57246491,0.5825242,0.55085339,0.421875,0.63644197,0.44278351,0.93960082,0.47127058,0.64917228,0.45067,0.44995328,0.43292263,0.57362665,0.55643109,0.35583282,0.45892393,0.44282943,0.47172096,0.60913208,0.53233054,0.59130306,0.48053494,0.47897734,0.43829081,0.67908307,0.33378608,0.6562509,0.47187846
3,2,0.30715317,0.52232949,0.36280294,0.56653495,0.50139305,0.46802671,0.58683333,0.57004768,0.5416922,0.40644923,0.63208312,0.44167677,0.92135136,0.47082222,0.65566673,0.46365778,0.45774801,0.42963913,0.54554649,0.53190446,0.33801252,0.46849805,0.44757478,0.47136543,0.61196226,0.52211937,0.58602201,0.484826,0.48387455,0.42839104,0.66714658,0.34240053,0.68903932,0.45191931
4,0,0.30988634,0.51656071,0.3621176,0.59854285,0.47295778,0.47214392,0.58818421,0.55296922,0.54716995,0.3917492,0.62160597,0.44102486,0.89577196,0.47400671,0.66251592,0.4734207,0.46140009,0.41723685,0.51812378,0.50724942,0.31781148,0.47259428,0.45638642,0.47219179,0.59777358,0.51250603,0.58170848,0.47969514,0.48788319,0.40748503,0.64797059,0.37951576,0.73232032,0.43039408
4,1,0.31936677,0.50407346,0.34785459,0.62696962,0.43321928,0.4615727,0.56421053,0.52437509,0.55199125,0.36335952,0.60133951,0.43606731,0.83263788,0.49009013,0.6757686,0.47667501,0.45045164,0.38736006,0.47894304,0.4689594,0.29015078,0.47221229,0.46257074,0.47497838,0.56242264,0.48242214,0.56898289,0.4526891,0.48745911,0.37518224,0.62759994,0.41919982,0.75558116,0.38381139
4,2,0.33112033,0.48359626,0.3200437,0.63002387,0.39414676,0.41384458,0.49044737,0.48420748,0.5466302,0.33613673,0.57790891,0.41869315,0.78099643,0.51099053,0.68539203,0.46267855,0.41882884,0.35919069,0.43240407,0.41822512,0.27017018,0.46477568,0.46064673,0.4778034,0.51301132,0.38205573,0.53323837,0.40900201,0.47235349,0.33856418,0.61306989,0.436318,0.75313265,0.32207847
5,0,0.32708822,0.4542893,0.27149384,0.61513131,0.34058166,0.34532641,0.41802632,0.42734431,0.52465354,0.29274818,0.54986605,0.38636295,0.71871701,0.53317852,0.68747499,0.41971727,0.37984738,0.33796985,0.35043935,0.33838808,0.25092144,0.44838264,0.449135,0.4736043,0.45650566,0.32110693,0.48714675,0.36035663,0.4305707,0.30085915,0.59186195,0.42509043,0.73570503,0.2427696
5,1,0.30742378,0.40746409,0.2192789,0.56696304,0.28613063,0.23339206,0.29368421,0.36034533,0.48947484,0.25589139,0.5114474,0.33291389,0.55287316,0.54487032,0.68028015,0.34010455,0.31627472,0.31757458,0.27942348,0.26750484,0.22880698,0.4022513,0.40946645,0.44071298,0.41112453,0.26454537,0.4370238,0.30239287,0.33319197,0.26770372,0.55421453,0.36355651,0.69752989,0.21744829
5,2,0.30001804,0.34352877,0.18969011,0.51523833,0.2359565,0.19454748,0.23376316,0.29955931,0.45231218,0.25478142,0.48047209,0.28174651,0.47420441,0.55111285,0.67100236,0.28031954,0.26507553,0.29087498,0.2444023,0.23299713,0.2209858,0.36407672,0.35877122,0.41489382,0.38249811,0.23520393,0.41894997,0.22782859,0.27042692,0.24727935,0.53742789,0.30496789,0.66031975,0.22961954
6,0,0.29714956,0.26744369,0.1810588,0.38629291,0.22353516,0.16461424,0.24735965,0.27868805,0.40215171,0.31057889,0.46586779,0.26374318,0.47726107,0.5617125,0.66380753,0.25470476,0.24475938,0.27165551,0.259182,0.24796292,0.25762278,0.35541287,0.31565077,0.41262612,0.40271698,0.32108765,0.46340218,0.18433707,0.22819985,0.26387009,0.52817685,0.29701779,0.6187527,0.26781003
6,1,0.30460942,0.25155011,0.21466031,0.34382975,0.29557646,0.20986647,0.32313158,0.30075134,0.38436178,0.38154599,0.4669394,0.31888266,0.5545322,0.58668261,0.68299072,0.29997055,0.26278617,0.28383889,0.30248435,0.29158787,0.32804867,0.37597529,0.3238076,0.43592774,0.47277736,0.40622891,0.538936,0.22160483,0.23538915,0.31728066,0.54036861,0.34529416,0.60489702,0.3543791
6,2,0.31506404,0.26943725,0.25329758,0.3543838,0.36945072,0.278227,0.38985965,0.32303858,0.38897155,0.44151298,0.48132648,0.35607186,0.6259816,0.60200727,0.71579043,0.36341481,0.3071017,0.30684846,0.34444655,0.33336835,0.3739441,0.43025845,0.33723525,0.46729125,0.52763774,0.47603895,0.60463335,0.27720449,0.26548932,0.36302395,0.55461275,0.40192663,0.59834366,0.41479275
7,0,0.32173011,0.30278628,0.28899484,0.37274224,0.43258386,0.33211239,0.441,0.33625199,0.41051787,0.48354964,0.50768228,0.38477107,0.68200694,0.60177734,0.74586138,0.42583566,0.3671858,0.32317844,0.38127568,0.37204361,0.40442642,0.46270319,0.34803557,0.49481118,0.56417358,0.53255231,0.64134539,0.34263445,0.29531685,0.39916688,0.56586511,0.45537019,0.60499784,0.47227849
7,1,0.31925852,0.35209952,0.31843464,0.39804067,0.49405511,0.37006677,0.47311404,0.34327409,0.45900073,0.52466132,0.54200275,0.3961795,0.73908803,0.58464775,0.76787339,0.48649683,0.43038468,0.33763212,0.41772552,0.40624781,0.43049114,0.49361996,0.35742926,0.51650812,0.58178113,0.57462154,0.66272492,0.41410411,0.32263015,0.42653606,0.56921427,0.49207943,0.61824139,0.52534684
7,2,0.31571351,0.38598226,0.33762416,0.41753519,0.53443514,0.396875,0.49240351,0.34515966,0.51198395,0.55720628,0.57951633,0.39416313,0.76736212,0.5677251,0.78692923,0.54147401,0.49271142,0.34589405,0.43758771,0.42630338,0.44348823,0.51452373,0.36840744,0.52687614,0.57003774,0.60947835,0.66275179,0.47150992,0.34193627,0.44051679,0.56790729,0.50463571,0.64004753,0.55166397
