,,pid1263b-05,pid52932-20,pid5667269b-32,pid5667271-07,pid610003b-09,pid9048b-09,pid9050b-05,pid9054b-05,pid9055b-05,pid9056-06,pid9058b-05,pid9059b-09,pid9060b-03,pid9061b-02,pid9062b-08,pid9063b-09,pid9064-16,pid9066b-05,pid9069-05,pid9072b-09,pid9073b-09,pid9074g-05,pid9075b-05,pid9076-15,pid9077-03,pid9089-12,pid9093b-11,pid9094b-05,pid9099b-09,pid9101b-16,pid9103-16,pid9104b-05,pid9111b-07,pid9116-16,pid9118b-09,pid9124-14,pid9137-17,pid9138b-05,pid9139b-05,pid9153b-05,pid9166k-06,pid9170b-05,pid9174b-05,pid917518-07,pid9176-01,pid9185-03,pid918812-14,pid9192b-05
1,2,0.42622577,0.48260671,0.61776348,0.62419623,0.04852085,0.5788498,0.4916927,0.48918673,0.69527859,0.56316401,1,0.37156642,0.29341291,0.45173868,0.61343862,0.40558339,0.50772976,0.46812494,0.33563647,0.031553042,0.51941547,0.44956214,0.44992369,0.37328935,0.07242444,0.17386175,0.64816432,0.54736624,0.61804895,0.45734369,0.59326023,0.47704227,0.65963033,0.40421508,-0.03340424,0.44393969,0.071215113,0.50579391,0.46619727,0.43340354,0.41190696,0.30438413,0.41477627,0.31081081,0.26881486,0.61231829,0.46267508,0.38091382
2,0,0.62075257,0.7527571,0.83727211,0.90163525,0.84886367,0.84269909,0.73483991,0.68651828,0.93914945,0.74666029,0.95128596,0.59550896,0.72580246,0.6613875,0.89301526,0.56993558,0.8346672,0.6883968,0.4779052,0.58606244,0.74887413,0.67654934,0.68712173,0.54268708,0.41187578,0.67963576,0.90342193,0.77827669,0.7065035,0.70684231,0.77425337,0.74468901,0.73867206,0.66136855,0.02677507,0.63622568,0.41451158,0.75049738,0.58184896,0.65286436,0.60521218,0.49825157,0.54267132,0.49227157,0.39300681,0.86350421,0.65386328,0.59814168
2,1,0.59482136,0.72506962,0.65185727,0.88639135,0.81737447,0.84973587,0.76886958,0.66050094,0.74658811,0.84264716,0.89666402,0.72973953,0.85137201,0.63193321,0.92722307,0.49009485,0.92343604,0.6289675,0.52597477,0.79213125,0.7458297,0.67489054,0.72748803,0.57585428,0.56833917,0.943988,0.94785252,0.72259985,0.74153846,0.70239874,0.80821967,0.82156154,0.78301602,0.73621994,0.15128353,0.65642023,0.58038153,0.67576126,0.6475675,0.66004634,0.62532947,0.60048713,0.56781626,0.59028105,0.43801309,0.89434774,0.66315741,0.72625522
2,2,0.53265868,0.63592081,0.64652432,0.83586475,0.75881432,0.78283664,0.69743264,0.4834617,0.72453773,0.85046831,0.79848441,0.81411884,0.8092292,0.61359959,0.73165708,0.58757158,1,0.56693672,0.50555237,0.83418286,0.68961675,0.56312732,0.80716804,0.62873056,0.61934564,1,0.81198846,0.65804184,0.72769231,0.61059772,0.75688687,0.75739159,0.78952086,0.76850851,0.35968897,0.5789786,0.64618468,0.56661098,0.65467308,0.55052654,0.63091065,0.62818372,0.50020812,0.63304576,0.48763963,0.77910291,0.56797143,0.75254454
3,0,0.67826872,0.7242392,0.84309252,0.94703437,0.85932559,0.81701385,0.83939867,0.54854752,0.8867575,0.95575306,0.76818296,0.88152071,0.79401703,0.8154932,0.68717373,0.82137616,0.92330265,0.64296516,0.54674121,0.74758681,0.83755342,0.59853486,0.85500763,0.66363082,0.65383291,0.98531664,0.85026113,0.79492268,0.66481818,0.66915061,0.87567086,0.75131406,0.86792004,0.85470143,0.65647534,0.68243191,0.74331948,0.64971524,0.79907056,0.62321679,0.71099104,0.71495303,0.58808533,0.63613489,0.60638509,0.79387911,0.65150728,0.8575569
3,1,0.83662106,0.82907489,1,1,0.97010669,0.95607495,0.98301445,0.71101947,1,0.96535175,0.81047764,0.94776174,0.83645098,1,0.71705324,0.94989263,0.80605576,0.71586101,0.63031346,0.7531698,0.97883829,0.61575446,0.95673912,0.73357477,0.72661956,0.99335679,0.98994466,0.94352105,0.69197203,0.70827762,0.95480075,0.79424004,0.92027606,0.89097541,0.766621,0.77286965,0.77805819,0.70686461,0.91935866,0.7064729,0.775369,0.73100209,0.65966999,0.63714587,0.73692908,0.85547054,0.72238197,0.92677521
3,2,0.82534208,0.77560383,0.87188262,0.76761364,0.92505246,0.99440845,0.91949434,0.75523076,0.81027306,0.76872906,0.81081166,0.83523181,0.82051095,0.94870029,0.70109474,0.74622405,0.60784314,0.66729679,0.61935206,0.69803281,0.91396305,0.54076288,0.90063681,0.75676193,0.74638086,0.88538907,1,0.89804019,0.69986014,0.62020252,0.87449407,0.73056286,0.79232112,0.84369089,0.68908038,0.75964981,0.60469121,0.63363961,0.81316312,0.69197557,0.73807327,0.5881263,0.60414747,0.60931006,0.73038535,0.81653596,0.68871162,0.83690222
4,0,0.70553022,0.66396273,0.67346203,0.65022173,0.75718888,0.87564039,0.71533581,0.63139062,0.61378371,0.59901552,0.7563776,0.65554669,0.78069729,0.76600103,0.65350558,0.5343146,0.50949713,0.56140967,0.51590214,0.5934374,0.72450715,0.44283429,0.79553708,0.72275808,0.71278428,0.81156871,0.85922519,0.67527495,0.70118881,0.53883209,0.75713649,0.63704555,0.66941139,0.75763307,0.58243198,0.62875486,0.4807304,0.53047308,0.60782369,0.60197978,0.65499473,0.48892658,0.54256727,0.57142055,0.59209465,0.68245983,0.55836193,0.6844685
4,1,0.61596351,0.57513798,0.63638491,0.65279933,0.66418418,0.72465863,0.59172198,0.47118079,0.63391472,0.6210843,0.62812617,0.66095915,0.70891622,0.69144431,0.55089319,0.51284001,0.60381486,0.46690971,0.4680906,0.57793883,0.5911493,0.49424049,0.71322562,0.63614089,0.62258773,0.75209023,0.62035233,0.50578847,0.75202797,0.55813016,0.72404386,0.60381078,0.59948437,0.57035261,0.71270791,0.51225681,0.54524941,0.5162351,0.54183559,0.57268324,0.57198867,0.54971294,0.56610673,0.57358855,0.4973759,0.55263007,0.47756238,0.63305771
4,2,0.68119536,0.6896653,0.78423516,0.75666574,0.76179921,0.67361706,0.73756345,0.57668749,0.77495453,0.72342927,0.65720638,0.7808895,0.72776039,0.75104149,0.53190599,0.63276664,0.75136721,0.48131245,0.53427943,0.58972603,0.7439341,0.60263557,0.87990106,0.63377437,0.61917938,0.7930774,0.62728973,0.58664517,0.88153846,0.63874361,0.85434608,0.6892247,0.64240838,0.53878006,0.82274541,0.60877432,0.67563836,0.63295618,0.69853575,0.65756108,0.62488139,0.74711204,0.68165601,0.64553706,0.58890211,0.61906083,0.61722475,0.72275168
5,0,0.74357659,0.87999392,0.90551818,0.83672395,0.9185507,0.74566929,0.92051933,0.76372127,0.87091159,0.81454844,0.74717131,0.90401219,0.84562195,0.82093303,0.5365757,0.73499463,0.86381219,0.55042758,0.65064029,0.66038547,0.91019484,0.66595655,0.99463186,0.69299724,0.67463927,0.85618791,0.75993452,0.74474489,1,0.71525757,0.95640546,0.83891809,0.74771537,0.55541745,0.89743775,0.7406323,0.72695962,0.72996431,0.86924222,0.74789385,0.6809436,0.88970077,0.80251226,0.76661949,0.71082028,0.79627008,0.75881644,0.80789362
5,1,0.76020525,0.98547775,0.92995028,0.83173503,0.99926116,0.86182597,1,0.88737947,0.90964481,0.90621453,0.83516346,0.96045854,0.91884417,0.86288518,0.54834908,0.79584825,0.83273309,0.64855523,0.765625,0.77922905,1,0.68976086,1,0.81847084,0.80856244,0.8984375,0.84768883,0.9144133,0.97034965,0.72706449,1,0.88710031,0.85967,0.60857876,0.96251562,0.85128405,0.71976692,0.7739388,0.94460019,0.82125807,0.7469689,0.91997216,0.87096774,0.88395003,0.83488664,0.94649005,0.8952509,0.8546586
5,2,0.74489738,1,0.90271034,0.80541851,0.99360168,0.93614074,0.95856111,0.95645582,0.87769632,0.9766596,0.87720763,0.99281724,0.91651503,0.8928387,0.5686579,0.87892806,0.78831533,0.7021244,0.83839832,0.87981841,0.97284132,0.69492253,0.95537077,0.91901227,0.90776082,0.88929015,0.82890327,0.99148268,0.88356643,0.70505309,0.96041722,0.86235217,0.97405997,0.69143475,0.99072205,0.94559339,0.6811535,0.77234414,0.90753041,0.86836563,0.78228782,0.82748782,0.90240821,0.96398643,0.90105096,0.95992731,0.98033578,0.85994374
6,0,0.7140726,0.93245228,0.86926002,0.74866962,0.95999941,0.9533041,0.87742093,0.92922554,0.8271233,1,0.88315728,1,0.88172356,0.89524875,0.58688517,0.90640659,0.75970388,0.72175713,0.8789182,0.93883402,0.91012591,0.69869485,0.90047892,0.98552595,0.9771035,0.84361548,0.75655156,0.98784421,0.80902098,0.69523201,0.89009539,0.79905826,1,0.73912456,1,0.98142023,0.66241835,0.77644468,0.8603252,0.87945802,0.80225356,0.70070459,0.89267132,0.99929231,0.90514905,0.81052028,0.99879417,0.84780496
