,,pid1263b-06,pid52932-21,pid53576-04,pid610003b-10,pid9048b-10,pid9049b-06,pid9049b-24,pid9050b-06,pid9052b-11,pid9054b-06,pid9055b-06,pid9058b-06,pid9059b-10,pid9060b-04,pid9061b-03,pid9062b-09,pid9063b-10,pid9064-17,pid9065-22,pid9066b-06,pid9069-06,pid9070b-18,pid9072b-10,pid9073b-10,pid9074g-06,pid9075b-06,pid9076-16,pid9077-04,pid9085-20,pid9089-13,pid9090-17,pid9093b-12,pid9094b-06,pid9099b-10,pid9104b-06,pid9111b-08,pid9115-10,pid9116-12,pid9118b-10,pid9119-10,pid9137-18,pid9138b-06,pid9139b-06,pid9153b-06,pid9158-03,pid9166k-07,pid9170b-06,pid9174b-06,pid9179-08,pid9182-06,pid9192b-06
1,2,0.22508917,0.34415721,0.73633687,0.3947752,0.28593778,0.14863707,0.23772057,0.4615945,0.24624207,0.23083546,0.35504463,0.70862428,0.64332472,0.55451761,0.50787071,0.23263161,0.20104436,0.17516969,0.30821464,0.25741682,0.3525072,0.50858386,0.19017154,0.3061389,0.18756468,0.52517898,0.17873818,0.17859545,0.28396789,0.48762103,0.29116915,0.16941679,0.15187483,0.53791445,0.31379798,0.3684593,0.131028,0.34910132,0.31486876,0.27918058,0.25732527,0.17844082,0.2204307,0.19239368,0.41271468,0.20539415,0.48188194,0.45400877,0.50249365,0.33478183,0.41634125
2,0,0.26989863,0.39161572,0.63866724,0.49543191,0.36289185,0.21948988,0.32337287,0.47456671,0.37864516,0.32592484,0.44912129,0.69756569,0.56638913,0.61361239,0.53285245,0.31343446,0.34500794,0.30423047,0.35490952,0.33369451,0.37819482,0.46387602,0.26666901,0.34224303,0.27783797,0.55946687,0.26442466,0.26838332,0.29017941,0.5975874,0.33375622,0.24710903,0.30374039,0.53398296,0.34938086,0.40183363,0.28061011,0.55483403,0.43446446,0.33214639,0.28084677,0.3239102,0.36477587,0.20296476,0.56600247,0.39095487,0.52384722,0.52313679,0.47946269,0.3489628,0.4904107
2,1,0.30314436,0.42717031,0.45031141,0.56033774,0.43284148,0.29252985,0.38908495,0.48595265,0.46152611,0.42844217,0.51723086,0.67501143,0.45836922,0.68504339,0.53533601,0.38399739,0.46036427,0.38345699,0.39430881,0.44476939,0.39615728,0.40146223,0.3429626,0.38101886,0.35827135,0.57083778,0.35748951,0.36611611,0.2928997,0.70603038,0.38689884,0.33161242,0.4073882,0.52139543,0.37222714,0.41692755,0.37952361,0.76402377,0.51621463,0.36791947,0.30038402,0.42999184,0.50317206,0.20394492,0.69827308,0.49923494,0.54011806,0.56432818,0.45376164,0.35753755,0.53292296
2,2,0.30710531,0.43599127,0.40207314,0.58175651,0.44744296,0.3068406,0.41462733,0.48823218,0.48798838,0.45378329,0.52040998,0.66161508,0.41941813,0.70531734,0.52904492,0.41296059,0.48541232,0.40904499,0.40869469,0.47848308,0.40029789,0.3793494,0.36481299,0.39239166,0.39733991,0.56907083,0.37675746,0.38590432,0.29350544,0.74535647,0.40039801,0.34291691,0.44299602,0.51214039,0.37156377,0.40997317,0.42838487,0.80402957,0.53839946,0.38269909,0.30349462,0.45511837,0.54936998,0.20230863,0.7284657,0.53616115,0.53319444,0.57179232,0.44027007,0.35969242,0.54264692
3,0,0.31574995,0.44270742,0.35617728,0.59984124,0.45952,0.31103972,0.42910038,0.49124023,0.50548972,0.4647209,0.51687479,0.64546425,0.38155804,0.72624638,0.51676406,0.44668972,0.50022558,0.43293607,0.41837476,0.49945345,0.40344554,0.35814485,0.3837739,0.4062075,0.42836352,0.56331302,0.38520116,0.39340469,0.29331821,0.77166039,0.40902985,0.34725128,0.46259606,0.50213448,0.36563771,0.4004025,0.45818011,0.82243803,0.55351306,0.39531022,0.30333141,0.48258776,0.58512974,0.19960308,0.74329633,0.56380012,0.52089583,0.57595047,0.42506116,0.36170422,0.54733096
3,1,0.32108128,0.44774672,0.30467715,0.60850112,0.46742519,0.30519211,0.3849002,0.49435403,0.51913755,0.46457497,0.50319184,0.6282665,0.34540147,0.74407861,0.49829255,0.47008361,0.51036845,0.44794002,0.42734422,0.51117077,0.4042399,0.33299319,0.39399606,0.41892819,0.45108344,0.55303123,0.38467508,0.39191145,0.29227194,0.78450202,0.41478441,0.34605472,0.46910471,0.49032312,0.34958429,0.38914356,0.47895947,0.82598927,0.55819075,0.40699939,0.30121928,0.50457959,0.62338104,0.1963386,0.74815447,0.5843405,0.49793056,0.57476976,0.4080526,0.36267883,0.54271424
3,2,0.32132532,0.44793013,0.25908777,0.60395468,0.46819556,0.28627985,0.33734452,0.49622231,0.52073553,0.44808464,0.47403291,0.61123139,0.3183941,0.75548749,0.47509131,0.49221112,0.50613251,0.45610103,0.42835486,0.50848595,0.40261146,0.30475785,0.39379921,0.42784591,0.46453752,0.5424067,0.37515289,0.38140182,0.2904217,0.78134239,0.41358209,0.33916827,0.46267938,0.47979414,0.33529984,0.36801208,0.48702466,0.81497318,0.5483293,0.41726328,0.29618856,0.51932245,0.6332704,0.19155124,0.74354303,0.5911195,0.47035417,0.56340414,0.39362002,0.36241953,0.52930653
4,0,0.3154496,0.44115284,0.21879618,0.58273797,0.45788444,0.26031282,0.29443641,0.49725633,0.4864745,0.40996717,0.43499326,0.59281395,0.29662169,0.75776757,0.44691381,0.5104578,0.4797811,0.45782163,0.42361747,0.49858088,0.39814318,0.27654493,0.38192492,0.43374291,0.46502264,0.52748667,0.35349125,0.35585724,0.28788863,0.75106637,0.40597844,0.32327839,0.4499676,0.46821058,0.31796391,0.35429338,0.48597994,0.78547616,0.50669512,0.42465779,0.28893049,0.52453061,0.63197524,0.18458485,0.73043932,0.58711021,0.43998611,0.54983111,0.38163405,0.36076538,0.50549197
4,1,0.29137413,0.42145852,0.17673136,0.51752905,0.43067259,0.22498702,0.23779771,0.49611656,0.44316079,0.38126961,0.37199573,0.57047314,0.27323189,0.75014463,0.41753104,0.52667556,0.41680174,0.44715075,0.40901052,0.46957522,0.38844206,0.25456666,0.32916901,0.43483807,0.44489812,0.49870526,0.30297371,0.30277331,0.27872554,0.67794353,0.37671642,0.29089616,0.40244422,0.45310892,0.28568017,0.32675537,0.45963226,0.72164082,0.42167604,0.42850087,0.27709293,0.51412245,0.60814638,0.16997975,0.70273271,0.56439086,0.37682639,0.52205875,0.36475487,0.35647353,0.45417909
4,2,0.2549465,0.37710917,0.16948522,0.43299415,0.41226667,0.20223261,0.2072317,0.48468363,0.39157428,0.38952207,0.29760421,0.53315038,0.26081922,0.72771822,0.42674397,0.53980228,0.35590275,0.38650355,0.3719957,0.45942085,0.36619998,0.26038641,0.26809618,0.41565475,0.40713939,0.44792079,0.24666921,0.2450501,0.25520105,0.6233158,0.37385572,0.23940256,0.32676604,0.42396018,0.27688838,0.25967129,0.39351233,0.64905059,0.36808775,0.4200715,0.24713902,0.48812245,0.54877728,0.15933576,0.62664389,0.51731551,0.27604861,0.45045637,0.34219441,0.34577969,0.38121574
