,,pid5667203-03,pid58917-01,pid610003b-11,pid9048b-11,pid9050b-07,pid9054b-07,pid9055b-07,pid9058b-07,pid9059b-11,pid9062b-10,pid9063b-11,pid9064-18,pid9065-23,pid9068-16,pid9072b-11,pid9073b-11,pid9079-06,pid9081-07,pid9085-21,pid9090-18,pid9093b-13,pid9094b-07,pid9099b-11,pid9101c-01,pid9111b-09,pid9115-09,pid9118b-11,pid9133-07,pid9138b-07,pid9139b-07,pid9149-12,pid9153b-07,pid9157-10,pid9158-09,pid9174b-07,pid917506-05,pid9179-09,pid918807-12,pid918821-09,pid918824-05,pid9192b-07
1,0,0.081194205,0.093352052,0.22777674,0.15904929,0.12533398,0.19161987,0.17281607,0.35384615,0.36396081,0.14954609,0.1373434,0.28599368,0.14082535,0.50476687,0.13212405,0.1109025,0.094932383,0.15871979,0.11215183,0.30169229,0.11450274,0.16030995,0.31721566,0.11248844,0.37342702,0.16178821,0.20859503,0.15147932,0.10254893,0.13890531,0.12173435,0.18075671,0.17320542,0.225,0.34098279,0.094688757,0.24146569,0.12697099,0.25762603,0.15157732,0.13440295
1,1,0.11600322,0.11497233,0.2634062,0.19360023,0.12975799,0.26333333,0.19934738,0.30211966,0.36533415,0.21175849,0.17769057,0.32324707,0.19179315,0.48297334,0.154533,0.13320623,0.12244108,0.20217273,0.16444193,0.36598126,0.14390913,0.19800483,0.37485968,0.17307526,0.40292239,0.21996004,0.28549724,0.19265056,0.16380519,0.20614945,0.12774555,0.19294325,0.18169955,0.26302115,0.3968812,0.1524579,0.21597358,0.15404906,0.29574811,0.19588736,0.18173768
1,2,0.14160691,0.13230655,0.29725144,0.21987142,0.1328364,0.32043916,0.22155989,0.26035897,0.37234955,0.27615354,0.21781887,0.36028696,0.21651592,0.47064651,0.16999639,0.15042375,0.14433583,0.23710645,0.20560394,0.42667637,0.17004501,0.2188196,0.40533973,0.21245762,0.43024593,0.24559441,0.33442761,0.22610301,0.23337278,0.26003504,0.1354971,0.20804223,0.18963788,0.29452417,0.45494705,0.17938229,0.19237675,0.18227565,0.32739572,0.22696923,0.23139576
2,0,0.15325626,0.15011149,0.29734996,0.23085915,0.13349468,0.36512599,0.23686231,0.23349573,0.38491952,0.34052078,0.25304906,0.38905116,0.22869397,0.46703411,0.18206996,0.16310729,0.16360429,0.26806059,0.23944027,0.45498135,0.1946617,0.23078137,0.43904727,0.24302533,0.44835516,0.2604995,0.38208283,0.24925934,0.29925353,0.29887479,0.14784957,0.23028597,0.19956986,0.32048338,0.48888154,0.19092521,0.17935361,0.1989488,0.35534708,0.23553319,0.26707873
2,1,0.13989463,0.16597572,0.25480259,0.22341711,0.13026137,0.40698344,0.24286598,0.22335897,0.40225682,0.38053134,0.2757283,0.41297293,0.20588235,0.47402056,0.19002524,0.16228187,0.18330148,0.29907892,0.26256066,0.45398053,0.21509354,0.22903675,0.47485229,0.26829193,0.4629192,0.23722278,0.42910048,0.26893492,0.35023213,0.33578007,0.16017203,0.26030796,0.21348912,0.34356495,0.52691099,0.19215245,0.17084146,0.19642788,0.37418264,0.22484033,0.2990356
2,2,0.1490341,0.17580312,0.2132732,0.20140269,0.11975799,0.42526278,0.23115723,0.22686325,0.42437019,0.41361861,0.29634717,0.43413613,0.20903798,0.48245941,0.1762207,0.14154179,0.19718017,0.31687474,0.28648541,0.46730052,0.22719792,0.18120824,0.50027326,0.29222709,0.47932769,0.21665335,0.49127067,0.26456404,0.41279017,0.35507098,0.17739548,0.2899868,0.22673175,0.36354985,0.55968729,0.18900934,0.16936735,0.16325676,0.37874054,0.21693439,0.33049272
3,0,0.16663252,0.2205467,0.23536237,0.26009156,0.13113262,0.42953924,0.27871737,0.25806838,0.46644507,0.44633051,0.33288302,0.44120762,0.28847308,0.49543423,0.22041111,0.16488601,0.25197217,0.33338682,0.28727647,0.52625785,0.25163877,0.24949889,0.51465288,0.30926462,0.49528905,0.26813187,0.54294125,0.32271393,0.46319527,0.36004686,0.22220444,0.32427629,0.26348731,0.36663142,0.58597783,0.18849799,0.17765783,0.17819739,0.39267998,0.26302497,0.35149044
3,1,0.18728231,0.25157321,0.27463686,0.34640561,0.15050339,0.44101512,0.31090044,0.3137265,0.50006123,0.46690578,0.35950189,0.44698095,0.33537412,0.51316848,0.26913091,0.19408954,0.29119506,0.36174139,0.27410091,0.56284233,0.27916022,0.2797049,0.5251551,0.31912717,0.50071064,0.31267732,0.55972164,0.35183537,0.51979062,0.37245967,0.24526905,0.37338319,0.30385559,0.39731118,0.62028458,0.18836845,0.20987764,0.19653494,0.43537607,0.29234566,0.37326846
3,2,0.22873555,0.26706582,0.32226321,0.3912819,0.17203291,0.47239741,0.35018555,0.3735641,0.50220434,0.48825958,0.37287547,0.46336152,0.37804173,0.55582452,0.31533357,0.22400223,0.32386447,0.39524696,0.24279731,0.57777272,0.30894641,0.30514105,0.54149188,0.32670899,0.50548547,0.34762238,0.56665355,0.38883501,0.57065089,0.39088007,0.27330466,0.43884734,0.34003117,0.42627644,0.66384844,0.18836845,0.25320314,0.22244501,0.49062651,0.3335688,0.39616868
4,0,0.28821162,0.2617392,0.3570936,0.41896552,0.18778316,0.51318215,0.39322428,0.43146154,0.49894157,0.49796333,0.37144151,0.48332906,0.39066424,0.60075972,0.35549225,0.23995257,0.34557058,0.439905,0.21233132,0.58868165,0.33385849,0.32473088,0.55221566,0.33360661,0.51247205,0.37753247,0.56996351,0.43116207,0.58730997,0.41718879,0.29389878,0.49629564,0.37690756,0.44877644,0.68753309,0.18811618,0.29139697,0.25332879,0.54507972,0.36778595,0.40704892
4,1,0.37945997,0.23233958,0.39805379,0.43238847,0.21936108,0.56154788,0.45329295,0.48475214,0.50537964,0.49710139,0.36716226,0.49891536,0.39470877,0.66446447,0.39483592,0.26533127,0.35876329,0.48374466,0.18808748,0.60492221,0.37005908,0.3549833,0.5566839,0.34687789,0.52893644,0.42897103,0.55353582,0.47841798,0.58281293,0.45845737,0.31035207,0.54987242,0.42145645,0.46866314,0.69801456,0.18798664,0.33000089,0.29102589,0.58846835,0.40378363,0.42081361
4,2,0.43069662,0.20455859,0.44748624,0.41964738,0.27178122,0.59830814,0.52055963,0.53406838,0.52540238,0.49126246,0.36424906,0.49586643,0.40362008,0.70965291,0.41376848,0.31385656,0.35447597,0.52477615,0.18644552,0.61788736,0.399367,0.39222346,0.54956425,0.37101029,0.55185244,0.47772228,0.51658369,0.5068353,0.55375512,0.49400853,0.32522505,0.57344479,0.49588584,0.4902719,0.687682,0.18798664,0.37372539,0.29710921,0.62800773,0.42970776,0.43167631
5,0,0.46979365,0.20732513,0.47638386,0.38270018,0.31360116,0.61557955,0.53790949,0.5562906,0.57364416,0.47961241,0.3516,0.45745153,0.41593147,0.72815433,0.39423008,0.35835939,0.33073644,0.56306364,0.19898292,0.6071695,0.40357997,0.42127877,0.51603397,0.3788017,0.57535931,0.50235764,0.51199859,0.50324826,0.47437415,0.51813561,0.33039608,0.54231412,0.5251018,0.50941843,0.63936962,0.18798664,0.40078028,0.29710921,0.63855693,0.42111477,0.43378923
5,1,0.49519977,0.22196713,0.47203827,0.3580265,0.32757018,0.6212527,0.52720312,0.55239316,0.60921973,0.4777078,0.34570566,0.43029294,0.43485411,0.71868762,0.36447169,0.37594894,0.31771522,0.56372156,0.21579472,0.57638977,0.39049093,0.4455735,0.4732127,0.37518338,0.60319387,0.50508492,0.55083631,0.49665874,0.41028675,0.52619588,0.33689738,0.4833612,0.51166584,0.50884441,0.55962111,0.18786391,0.42057546,0.29710921,0.62651796,0.40568996,0.43053656
5,2,0.51059564,0.25304319,0.44937991,0.3338496,0.32032914,0.6312599,0.50172752,0.56250427,0.62780791,0.48738374,0.35581887,0.41262277,0.45231005,0.71784597,0.33795889,0.36958973,0.32297026,0.54695273,0.22759423,0.55005004,0.37465888,0.45502042,0.44435746,0.37661345,0.63643405,0.49726274,0.60471804,0.48725273,0.35571234,0.51707165,0.35103021,0.40842059,0.48579679,0.50537009,0.49144606,0.18786391,0.44571289,0.29793654,0.62308745,0.39012967,0.43362265
