,measure_number,beat_number,pid1263b-08,pid5667203-04,pid5667207-03,pid58917-02,pid6100022-02,pid6100022-05,pid610003b-12,pid9048b-12,pid9049b-08,pid9050b-08,pid9054b-08,pid9055b-08,pid9058b-08,pid9059b-12,pid9060b-06,pid9061b-05,pid9062b-11,pid9063b-12,pid9064-19,pid9065-24,pid9066b-08,pid9068-17,pid9069-08,pid9070b-20,pid9072b-12,pid9073b-12,pid9074g-08,pid9075b-08,pid9079-07,pid9089-03,pid9090-19,pid9093b-14,pid9094b-08,pid9099b-12,pid9101c-02,pid9103-18,pid9104b-08,pid9111b-10,pid9118b-12,pid9119-12,pid9129-22,pid9133-08,pid9138b-08,pid9139b-08,pid9149-13,pid9153b-08,pid9157-11,pid9166l-02,pid9170b-08,pid9174b-08,pid917506-06,pid9179-10,pid918807-13,pid918821-10,pid918824-06,pid9192b-08
0,1,0,0.10332924,0.052254826,0.11262768,0.10070351,0.14472861,0.14216204,0.13735305,0.22062574,0.18687809,0.1000899,0.11627564,0.068634992,0.030180452000000003,0.19634979,0.23266573,0.094482186,0.08062026,0.12458454,0.034159563999999996,0.05337780599999999,0.29014381,0.09280954599999999,0.1513519,0.12868944,0.10883894,0.16161973,0.11892422,0.15241273,0.11927709,0.22803244,0.073080518,0.13479295,0.09001666800000001,0.082371007,0.069698101,0.077604067,0.10992169,0.059491863,0.13409622,0.055750265,0.11010264,0.09714633199999999,0.14147509,0.15586338,0.09763030800000001,0.071635056,0.17579193,0.14806592,0.14359177,0.078086712,0.11287406,0.019340298,0.21205349,0.23102794,0.10903167,0.12541927
1,1,1,0.27425968,0.11626953,0.25746293,0.12775656,0.50238755,0.40814062,0.33038228,0.39734739,0.36074335,0.25586622,0.25123341,0.14509804,0.28273294,0.39758768,0.48089993,0.20753321,0.2269301,0.30735476,0.22513638,0.15669889,0.59055601,0.32405858,0.28569234,0.33616793,0.24599421,0.28705299,0.23703600000000002,0.33754093,0.32130981,0.50721086,0.27622769,0.28960352,0.25143434,0.39779638,0.28843448,0.39975214,0.24123569,0.46220559,0.35535868,0.31606772,0.30257572,0.25040232,0.34323235,0.35202737,0.2573554,0.2051047,0.21417837,0.27430926,0.32738779999999995,0.30499909,0.26823566,0.31529808,0.28831449,0.58597067,0.21075723,0.30250866
2,1,2,0.38224111,0.19334653,0.29136738,0.17985409,0.63823661,0.56652957,0.53123277,0.57200306,0.53464217,0.35821271,0.39633999,0.20530732,0.42930167,0.47481352,0.63084318,0.23604318,0.3248773,0.46382365,0.44799693,0.27212591,0.75400751,0.46637223,0.36225932,0.47421054,0.3694636,0.38049231,0.33571929,0.46552981,0.44533988,0.65083745,0.42460737,0.49732159,0.34920607,0.50500614,0.41978836,0.55488402,0.34404957,0.70837053,0.59830196,0.46742857,0.39288044,0.33576909,0.4880456,0.49510403,0.32864322,0.33260241,0.31057047,0.40820165,0.45702675,0.42908562,0.42218672,0.47441848,0.24535092,0.73823594,0.29775126,0.40774775
3,2,0,0.44579464,0.24565509,0.34104613,0.24664634,0.71202718,0.63466553,0.63726742,0.6373916000000001,0.59764242,0.40576283,0.49526076,0.26663839,0.50937814,0.51801301,0.68555978,0.23556763,0.38282268,0.55151765,0.5125554,0.3769114,0.84476505,0.53179916,0.44499181,0.53263496,0.43156371,0.42439966,0.37910071,0.50963238,0.51381108,0.73325987,0.48210373,0.62488987,0.41665936,0.57698864,0.48491130000000005,0.61041627,0.41018845,0.82805741,0.76344284,0.54006349,0.43918849,0.39604229,0.59210178,0.57511076,0.3641344,0.3948812,0.36617402,0.46091129,0.53077532,0.49557353,0.49487219,0.55031367,0.21832705,0.78726198,0.33550252,0.47162162
4,2,1,0.48615735,0.28484056,0.37270181,0.29186483,0.76359653,0.68915878,0.70048765,0.65119878,0.61585703,0.42642273,0.53779327,0.29661576,0.56240021,0.53938264,0.69564056,0.23663194,0.42461545,0.59519984,0.57366178,0.43159703,0.86049281,0.59604835,0.47665916,0.55722621,0.48863762,0.42024865,0.41778961,0.54102564,0.56477126,0.7676480999999999,0.49853673,0.71726872,0.45685586,0.61240018,0.54124494,0.66120114,0.44405817,0.8952139000000001,0.83718469,0.61790476,0.44548190000000004,0.43181138,0.65245323,0.59015198,0.37798798,0.43281393,0.4041108,0.49525933,0.58327819,0.53681149,0.50702151,0.60179773,0.21317537,0.81717371,0.35971547,0.52305613
5,2,2,0.523331,0.29867072,0.37675453,0.33901903,0.7504784000000001,0.74031507,0.69867348,0.63507907,0.59853176,0.41109413,0.55266121,0.34484351,0.5900114000000001,0.5278924,0.62156352,0.26355676,0.45447229,0.5908529,0.58835663,0.48876728,0.83481726,0.66379203,0.48989144,0.55979453,0.54389134,0.39332932,0.46329318,0.55865925,0.58824411,0.75647038,0.46606144,0.76490749,0.46615493,0.61581695,0.60598817,0.66685732,0.45913433,0.95543501,0.87288052,0.66637037,0.43339856,0.45612837,0.68677962,0.58805451,0.38208691,0.45567228,0.42415601,0.51703345,0.60120829,0.54815488,0.47340243,0.60923476,0.24203016,0.79601663,0.39237265,0.53960499
6,3,0,0.55158577,0.27872446,0.35130148,0.35102873,0.68699812,0.76770138,0.65474152,0.6039024000000001,0.58000671,0.40085409,0.53793404,0.38726433,0.60770108,0.51030789,0.60232325,0.28983998,0.46099001,0.54554319,0.56420048,0.50335544,0.78195475,0.70983264,0.51686809,0.54463735,0.59624931,0.38843112,0.50806135,0.56540006,0.59064082,0.7281823000000001,0.41586608,0.7664141,0.45513642,0.58690111,0.63168378,0.62123928,0.47404698,0.95557234,0.86936139,0.6946455,0.43892531,0.47233346,0.68854318,0.6267063,0.38683614,0.45185081,0.41461856,0.51303926,0.60324367,0.55908017,0.41052837,0.56244566,0.32376593,0.78390603,0.41394218,0.50322245
7,3,1,0.58974943,0.2620519,0.31647446,0.3434212,0.61048019,0.78860779,0.59156483,0.5882418,0.56789999,0.40368606,0.50958574,0.41098228,0.60782183,0.52155213,0.6252153,0.30639342,0.44863468,0.51490867,0.50975111,0.49202684,0.72830448,0.75948396,0.54923187,0.50913577,0.64131274,0.40515971,0.55546295,0.57250541,0.57789329,0.70973202,0.36556347,0.72895154,0.42921309,0.54880221,0.63591659,0.58392755,0.50054212,0.93339284,0.82513843,0.70819048,0.45091712,0.49900823,0.69591233,0.69161573,0.39029461,0.42109568,0.40046622,0.49731459,0.5995397,0.57575895,0.33393859,0.50436725,0.43005744,0.81403662,0.43125287,0.45376299
8,3,2,0.60091116,0.26095595,0.26610379,0.31089927,0.56909595,0.79978271,0.52004296,0.60517769,0.54850239,0.41847523,0.49719802,0.41391403,0.57705776,0.52686082,0.64715936,0.32924215,0.42506886,0.51146134,0.46780600000000006,0.5124231,0.65859668,0.76278475,0.57695617,0.42773795,0.66400303,0.43605363,0.5835271,0.57332098,0.53986039,0.68433533,0.34590516,0.66132159,0.40566716,0.5084613,0.60977902,0.56055291,0.52328543,0.86905171,0.7245478,0.68575661,0.45758814,0.50635292,0.70466713,0.74178678,0.38550596,0.36019883,0.39544901,0.45546292,0.57919304,0.57180513,0.28014339,0.43248485,0.52754443,0.8284818000000002,0.43777879999999997,0.41041579999999994
9,4,0,0.56872262,0.24324401,0.20731466,0.27231005,0.52404543,0.77214807,0.45608255,0.61803265,0.50672875,0.41556235,0.48982437,0.4076546,0.50833836,0.50523726,0.65673276,0.33032911,0.41245282,0.49169757,0.42640641,0.53429736,0.57382065,0.71785216,0.59731667,0.32659231,0.63520408,0.45019821,0.58219639,0.54141489,0.48452619999999996,0.62752116,0.32557267,0.58140969,0.37483990000000006,0.47715756,0.56953003,0.52373054,0.51075639,0.7948225,0.61727575,0.64245503,0.43738057,0.47059319,0.67122252,0.74730525,0.3638191,0.29105267,0.37203138,0.40826951,0.53360184,0.5360389,0.26557045,0.37122296,0.56869503,0.78857518,0.41817347,0.37990298
