,,pid1263b-09,pid5667203-05,pid5667249-18,pid58917-03,pid59340-11,pid6100022-03,pid6100022-06,pid610003b-13,pid9048b-13,pid9049b-09,pid9050b-09,pid9054b-09,pid9055b-09,pid9056-14,pid9058b-09,pid9059b-13,pid9060b-07,pid9061b-06,pid9062b-12,pid9063b-13,pid9065-25,pid9066b-09,pid9068-18,pid9069-09,pid9070b-21,pid9072b-13,pid9073b-13,pid9074g-09,pid9075b-09,pid9079-08,pid9089-04,pid9093b-15,pid9094b-09,pid9097-21,pid9099b-13,pid9101c-03,pid9104b-09,pid9111b-11,pid9116-14,pid9118b-13,pid9133-09,pid9137-19,pid9138b-09,pid9139b-09,pid9149-14,pid9153b-09,pid9157-12,pid9158-15,pid9166l-03,pid9174b-09,pid917506-07,pid9179-11,pid918807-14,pid918821-11,pid918824-07,pid9192b-09
1,2,0.18112354,0.64082239,0.64222109,0.36702352,0.37596819,0.58870841,0.59420906,0.41256143,0.55505478,0.3882156,0.24286552,0.28836076,0.43654192,0.6837006,0.81381067,0.6484044,0.62354563,0.56772404,0.43623822,0.35524021,0.40349245,0.29380177,0.23766447,0.38936285,0.48796229,0.43662315,0.36322427,0.50814312,0.75137073,0.47488423,0.56795784,0.31869227,0.40902368,0.40126634,0.53525851,0.3674465,0.21655751,0.55675132,0.26603392,0.44118391,0.43018188,0.28850155,0.2597656,0.44541198,0.52113972,0.36894449,0.51268723,0.32544089,0.4481397,0.5757221,0.21089924,0.52576336,0.34039119,0.45594078,0.51025597,0.38893646
2,0,0.34307327,0.77947733,0.81885256,0.64373855,0.53460408,0.85215265,0.76171274,0.62104522,0.72294469,0.5305639,0.43558239,0.46793943,0.68108057,0.78646339,0.85837328,0.69269024,0.77725588,0.76274918,0.60231471,0.50896677,0.55579178,0.49422788,0.34598827,0.66451404,0.70870196,0.62516043,0.57808307,0.71249229,0.77252917,0.66074863,0.69949154,0.56862887,0.676468,0.45978641,0.62495166,0.51855488,0.28136407,0.70166083,0.44582125,0.66677624,0.66116702,0.47286588,0.49887709,0.68782552,0.7137763,0.58910828,0.77602991,0.52731415,0.69341601,0.70670877,0.37224991,0.66358607,0.45027535,0.67822339,0.71372921,0.66237369
2,1,0.51079483,0.93404756,0.947971,0.80300042,0.6748444,0.95144529,0.89227875,0.80388732,0.81702147,0.66541928,0.59500839,0.57354839,0.82771188,0.85359869,0.88436189,0.71981998,0.89726795,0.91801005,0.69226642,0.67882527,0.68410679,0.67184816,0.43483982,0.85589633,0.86503908,0.78726857,0.75824909,0.85487353,0.77618445,0.79153525,0.79360266,0.71427278,0.84357778,0.56841153,0.67904161,0.61615402,0.37433412,0.79340136,0.56272959,0.81816573,0.8074211,0.59671246,0.70331963,0.84662778,0.79144191,0.75170155,0.91457493,0.67903974,0.81803757,0.79604098,0.52342362,0.76041041,0.6405621,0.83293666,0.84851332,0.80023977
2,2,0.59485784,0.99461234,0.99980918,0.87660234,0.75637967,0.99371234,0.95345984,0.89104561,0.91262136,0.75434727,0.68905608,0.6244108,0.89792615,0.89359687,0.89874176,0.73613056,0.93630958,0.97746577,0.75073197,0.75534715,0.72958398,0.79714981,0.46814931,0.93477322,0.95802111,0.87866047,0.84451521,0.92419803,0.76999859,0.88052124,0.86189332,0.82162652,0.92349679,0.6057423,0.7140227,0.67296924,0.4105493,0.85052506,0.62477371,0.89678105,0.88802172,0.66551259,0.80548567,0.95013555,0.82761166,0.83522293,0.97851264,0.76108345,0.9005745,0.82831395,0.60187793,0.8026739,0.72659514,0.91514243,0.91079893,0.86864189
3,0,0.66381355,1,1,0.91681927,0.7923323,1,0.98225094,0.93175685,0.96544046,0.78649901,0.71731084,0.6485451,0.93019297,0.90852343,0.904284,0.74369488,0.95208136,1,0.78651031,0.78760283,0.73211972,0.8400874,0.49019594,0.96936285,0.99194263,0.92653242,0.86802842,0.98149291,0.76184451,0.93004508,0.89243783,0.87769426,0.9693635,0.61297852,0.73387137,0.7062361,0.43683521,0.88739108,0.66921522,0.92971654,0.92144177,0.69780037,0.86353317,0.98406309,0.83723043,0.87196542,1,0.79751076,0.93580157,0.84086883,0.64528711,0.82303371,0.77366122,0.95211769,0.93208653,0.9143689
3,1,0.70598717,0.97832549,0.95833863,0.94168193,0.8269796,0.98253428,1,0.95071111,1,0.79913312,0.75524341,0.65681369,0.94557454,0.91440048,0.90765428,0.74694063,0.95173662,0.99791992,0.80548785,0.80264067,0.71650666,0.85037068,0.52105978,0.98667387,1,0.95596371,0.88547909,1,0.74764516,0.97159956,0.89595082,0.91785908,1,0.60644258,0.75028163,0.73623533,0.45604751,0.92306547,0.7120573,0.95209498,0.94253897,0.71191138,0.90507455,1,0.83089363,0.89509554,0.99880309,0.83081596,0.95002736,0.84441192,0.67968942,0.83466635,0.81353969,0.97891679,0.93630958,0.95881144
3,2,0.74456433,0.88481546,0.87806895,0.94485139,0.84898859,0.89817483,0.99116637,0.9400086,0.97595083,0.76977942,0.79660417,0.62451613,0.93834844,0.90640085,0.90713002,0.73932176,0.91148841,0.94513781,0.81629493,0.80172754,0.66921348,0.83288041,0.54555206,0.98306695,0.98589961,0.95943055,0.87780358,0.94864281,0.71509911,1,0.85153924,0.95969933,0.99251695,0.55136555,0.76429592,0.76068114,0.49175618,0.95873985,0.74197205,0.95959238,0.93377604,0.68419757,0.95256796,0.96812618,0.78373099,0.89694268,0.95577138,0.85359885,0.9365311,0.82138181,0.71347057,0.83081739,0.86142233,0.9762931,0.88959752,0.98921048
4,0,0.77177276,0.80214268,0.85110037,0.93182138,0.84608402,0.80299537,0.94601669,0.91660909,0.91858912,0.75385804,0.80382461,0.59165899,0.92034585,0.88234489,0.90226183,0.72205655,0.88571921,0.89972266,0.79796122,0.79321323,0.64753236,0.81546623,0.54282037,0.96516199,0.95939086,0.93885078,0.86374571,0.90060148,0.67718965,0.9827382,0.80375335,0.94919399,0.95052381,0.52987278,0.76376629,0.75752857,0.52781416,0.97907202,0.7494859,0.95438339,0.90820611,0.64482649,0.96183347,0.89780662,0.7051796,0.85802548,0.91038005,0.84997047,0.88263724,0.78718324,0.72408812,0.81455313,0.87671857,0.93261807,0.81462553,0.98270252
4,1,0.78803878,0.78591776,0.84715685,0.93111706,0.82838866,0.74593485,0.89849501,0.89182777,0.85926784,0.74547249,0.79739296,0.56559579,0.91683722,0.84988988,0.89686938,0.69887262,0.87675601,0.87528168,0.76497279,0.78353899,0.63725653,0.80040003,0.54076087,0.94570194,0.94102006,0.93339234,0.83679798,0.87191548,0.64325882,0.96116863,0.77681427,0.92927006,0.92411304,0.52945845,0.75620008,0.73674158,0.548153,0.98927534,0.75032077,0.94988242,0.88400539,0.61665211,0.95723139,0.84473836,0.63440726,0.8122384,0.87975059,0.83023374,0.83990516,0.77408919,0.73253882,0.79145939,0.88497911,0.91005435,0.76737051,0.9551293
4,2,0.79531914,0.78641318,0.85199084,0.93625863,0.79478734,0.69106628,0.85064616,0.84187405,0.78617618,0.73218608,0.75655806,0.5456682,0.91225304,0.79967819,0.88863092,0.65202291,0.84398862,0.86004507,0.70770292,0.76592629,0.6280105,0.77213731,0.55060069,0.91558315,0.90701797,0.93590027,0.77578319,0.83783159,0.6261001,0.95035308,0.75631876,0.89869589,0.90395281,0.53671802,0.73141656,0.6958963,0.57902367,0.99426529,0.74698128,0.94420563,0.85718035,0.59425872,0.9388231,0.77016348,0.57116413,0.76343949,0.83564736,0.81323095,0.80409447,0.76630979,0.74098953,0.72899691,0.89312571,0.89972826,0.72307162,0.89244734
