,,pid1263b-10,pid52932-22,pid58917-04,pid610003b-14,pid9048b-14,pid9049b-10,pid9049b-25,pid9050b-10,pid9054b-10,pid9055b-10,pid9056-16,pid9057j-06,pid9058b-10,pid9059b-14,pid9060b-08,pid9061b-07,pid9062b-13,pid9063b-14,pid9066b-10,pid9069-10,pid9070b-22,pid9072b-14,pid9073b-14,pid9074g-10,pid9075b-10,pid9088-20,pid9089-05,pid9093b-16,pid9094b-10,pid9099b-14,pid9101c-04,pid9104b-10,pid9111b-12,pid9114-32,pid9118b-14,pid9138b-10,pid9139b-10,pid9153b-10,pid9166l-08,pid9170b-10,pid9174b-10,pid9192b-10
1,0,0.48613355,0.57903749,0.34431928,0.49828325,0.44940881,0.39684733,0.41777731,0.3762597,0.3720292,0.36052913,0.66841954,1,0.89852238,0.6621571,0.55926108,0.35738514,0.40030088,0.55905152,0.38222022,0.41847983,0.35676037,0.40858814,0.39906374,0.40331038,0.48793441,0.45264048,0.55678994,0.50161532,0.52334959,0.41347018,0.34960722,0.53300108,0.5995036,0.44497402,0.54158312,0.42366864,0.47456388,0.33961888,0.36890283,0.45978432,0.2103271,0.44044077
1,1,0.77992281,0.88247718,0.53156737,0.74248686,0.74691867,0.59779065,0.64940413,0.58089717,0.56957825,0.5977374,0.76657424,0.8674669,0.77937129,0.78009294,0.79690359,0.49102662,0.62308248,0.89610088,0.610713,0.62273055,0.84124376,0.71286,0.57454133,0.61015857,0.76335541,0.726228,0.88020757,0.70650291,0.7765459,0.59379082,0.55618272,0.74418173,0.69831655,0.74569201,0.8533061,0.69340108,0.71539349,0.57546348,0.6182719,0.86092408,0.37607477,0.73409091
1,2,0.88471549,0.96183149,0.59493092,0.7946637,0.81998388,0.66249069,0.70827163,0.65235887,0.62635421,0.66008373,0.81620614,0.85398941,0.75170216,0.82019188,0.82751583,0.49203448,0.71229226,0.96565063,0.71944946,0.6721902,0.88487282,0.79780854,0.63842444,0.71956535,0.84042889,0.83818895,0.9338547,0.78530391,0.83290368,0.65605225,0.63741635,0.82722918,0.73798561,0.79096007,0.91744786,0.77218935,0.78953927,0.65724943,0.69307051,0.94476591,0.43257788,0.83774105
2,0,0.90782624,1,0.62819678,0.79800981,0.84953422,0.67945387,0.73422185,0.68927138,0.68711297,0.69050419,0.84381872,0.82137688,0.73468057,0.84664968,0.80063336,0.42541878,0.7728355,0.95002321,0.8016787,0.7210915,0.90519654,0.86214555,0.67328353,0.7785078,0.89713024,0.91905604,1,0.83041632,0.82143355,0.70565782,0.68898749,0.86215423,0.76985612,0.75,0.91321185,0.81824029,0.84361419,0.70822808,0.75397448,1,0.47090343,0.89428375
2,1,0.88796446,0.9642453,0.63166417,0.74141311,0.85091365,0.6903765,0.7285805,0.66058147,0.71233948,0.66939248,0.84221245,0.79133274,0.72816167,0.86763604,0.6591133,0.37852228,0.78417181,0.85463407,0.90370036,0.7457853,0.971705,0.87317687,0.63948364,0.81647609,0.92917061,0.95226382,0.98706329,0.78691923,0.80060965,0.75867334,0.69787605,0.83356514,0.79676259,0.66862008,0.84073591,0.79791613,0.85805203,0.7364798,0.78904969,0.98667368,0.48523364,0.88409091
2,2,0.88953509,0.86218601,0.6875473,0.73312274,0.87252777,0.73605296,0.73408081,0.65138678,0.74238967,0.64145733,0.79135673,0.77823477,0.7627843,0.84829861,0.62051372,0.40820185,0.75048271,0.79227913,0.92319495,0.76209474,0.91803578,0.86281188,0.63882164,0.83296481,0.90356354,0.90029979,0.91645958,0.7037219,0.85132381,0.78170328,0.7323247,0.86802658,0.79467626,0.64228665,0.84589934,0.82936712,0.8383725,0.74806116,0.80801312,0.95844292,0.47464953,0.88209366
3,0,0.9280201,0.7986724,0.78346387,0.79195435,0.85560731,0.79182458,0.76546083,0.68958352,0.81115964,0.64685551,0.7761067,0.83976169,0.82145444,0.93696597,0.68097115,0.43249461,0.70178514,0.79514158,0.90086643,0.80314301,0.81045394,0.81446657,0.66366559,0.86259397,0.91712394,0.85194865,0.85945037,0.6889592,0.90715903,0.82449741,0.77225778,0.9661567,0.77964029,0.65488239,0.94817776,0.90037304,0.89274607,0.76246399,0.8201326,0.93459583,0.45895639,0.875
3,1,0.95270149,0.759825,0.84427528,0.8222816,0.80271408,0.80286305,0.77385234,0.71412646,0.81891663,0.68214858,0.77449087,0.87043248,0.79103288,1,0.76600985,0.43772155,0.67983511,0.82384342,0.7723556,0.86041967,0.774857,0.70866958,0.66881029,0.87478678,0.92671082,0.82550542,0.80901915,0.72610325,0.92736457,0.84745101,0.78971487,0.98864163,0.7942446,0.68077817,1,0.93291742,0.92527753,0.75411773,0.77878377,0.93415746,0.47383178,0.8338843
3,2,0.9548555,0.73091197,0.84592977,0.80774849,0.76955392,0.79192387,0.7687046,0.70948899,0.80861743,0.67781044,0.74118941,0.85281553,0.74424163,0.98823265,0.75862069,0.43742962,0.66184153,0.83428748,0.66962094,0.86986671,0.77443106,0.66827571,0.65877624,0.85482343,0.91201514,0.82650473,0.7827803,0.72680266,0.96054694,0.85376198,0.79444283,0.94676248,0.80805755,0.69262856,0.98821937,0.92391304,0.89986201,0.73993648,0.73978755,0.9288094,0.49919003,0.79187328
4,0,0.94938072,0.69825752,0.83298425,0.76623425,0.73990505,0.75704592,0.75093435,0.68466066,0.80327228,0.65379476,0.68400421,0.80561342,0.70483123,0.93801529,0.70809289,0.43651213,0.64276999,0.81146526,0.75577617,0.85087356,0.8374711,0.67060043,0.63437677,0.82121423,0.90791548,0.83349988,0.75347171,0.69995837,0.96455321,0.84503351,0.81008147,0.9097512,0.81856115,0.70227024,0.94688691,0.90069462,0.86646551,0.72167073,0.71946959,0.91434333,0.52094237,0.75206612
