,measure_number,beat_number,pid1263b-11,pid51495-01,pid52932-23,pid5667249-23,pid5667271-02,pid5667291-11,pid58917-05,pid610003b-15,pid9048b-15,pid9049b-11,pid9050b-11,pid9054b-11,pid9055b-11,pid9056-05,pid9058b-11,pid9059b-15,pid9060b-09,pid9061b-08,pid9062b-14,pid9063b-15,pid9064-20,pid9065-26,pid9066b-11,pid9068-19,pid9069-11,pid9070b-23,pid9072b-15,pid9073b-15,pid9074g-11,pid9075b-11,pid9088-21,pid9089-06,pid9090-20,pid9093b-17,pid9094b-11,pid9097-23,pid9099b-15,pid9101c-05,pid9103-19,pid9104b-11,pid9111b-13,pid9112-10,pid9113-11,pid9114-33,pid9116-18,pid9118b-15,pid9119-13,pid9127-07,pid9130-10,pid9138b-11,pid9139b-11,pid9153b-11,pid9158-13,pid9166l-09,pid9170b-11,pid9174b-11,pid9176-04,pid9185-04,pid9190-10,pid9192b-11
0,1,0,0.08839278099999999,0.15793789,0.099250826,0.1770906,0.20871788,0.18000365,0.14700706,0.15761892,0.13816228,0.2032684,0.14313489999999998,0.10910072,0.35953908,0.13389204,0.051055718,0.14747857,0.29155291,0.26527363,0.12411792,0.15762498,0.11352753,0.13661368,0.14704209,0.047632151,0.21556284,0.20579842,0.089417309,0.17751692,0.20744749999999998,0.14598467,0.051872387,0.1904817,0.13386457,0.17998312,0.061952291,0.06561600599999999,0.37711869,0.09499603400000001,0.11703576,0.075653903,0.057953497,0.071925426,0.1736146,0.18734144,0.24603175,0.047744992,0.10888821,0.13127318,0.40845955,0.13082928,0.15473888,0.078579275,0.15019581,0.24035415,0.09827676699999999,0.11873482,0.23359522,0.1524573,0.083242097,0.079226933
1,1,1,0.29263747,0.41109251,0.29083609,0.54259497,0.44176842,0.62564968,0.29610803,0.42049419,0.44276301,0.35084937,0.33476003,0.21743020000000002,0.67536239,0.38309563,0.25810895,0.3069373,0.5060079000000001,0.6277726,0.25198535,0.54288076,0.26766052,0.29155919,0.34364598,0.38023586,0.48251437,0.53561163,0.44061697,0.3008774,0.52250904,0.43981661,0.16708143,0.54001425,0.47437612,0.39757115,0.18635997,0.12228136,0.66825493,0.19026606,0.55476542,0.21683809999999998,0.42690806,0.19681131,0.61572632,0.52471903,0.61439786,0.24942550000000002,0.4778254,0.37156297,0.6654207,0.38450435,0.36898536,0.22957758,0.47600783,0.59906384,0.34463786,0.28541348,0.40341766,0.36864311,0.43037596,0.2477355
2,1,2,0.30240617,0.39348535,0.31915629,0.36442772,0.41401036,0.39733747,0.2752257,0.36801677,0.33577941,0.30884589,0.26562622,0.16085917,0.45405194,0.38619359,0.19908469,0.31000451,0.44082184,0.55539309,0.31749284,0.46248784,0.23488638,0.29591514,0.32376859,0.37217297,0.46695381,0.38226476,0.33722365,0.21560759,0.41062739,0.45053371,0.13390404,0.46438429,0.42651015,0.27127585,0.23731504,0.13462777,0.6604028000000001,0.16217463,0.53316929,0.17806206,0.27017217,0.20739955,0.4089164,0.32863621,0.49422015,0.23810464,0.55548752,0.29736987,0.53451862,0.35181912,0.34226425,0.13313141,0.42500576,0.5744345000000001,0.38479706,0.28458562,0.44780013,0.34599033,0.50205125,0.22841284
3,2,0,0.26776243,0.28968946,0.31209149,0.24318835,0.31332529,0.37703109,0.21766179,0.31156226,0.26723079,0.35844062,0.20473941,0.13524603,0.2858225,0.32907119,0.1798276,0.35193505,0.56475643,0.36972749,0.37444247,0.37044349,0.23371969,0.3745065,0.36676779,0.38668451,0.46077299999999993,0.24996652,0.28341045,0.20738755,0.29930521,0.41624758,0.12084412,0.46569317,0.31033196,0.20638158,0.19138194,0.20643275,0.63085694,0.22342635,0.40319882,0.15387674,0.26928470000000004,0.20543877,0.40830335,0.31948735,0.30320911,0.2808786,0.54308893,0.22836149,0.42879586,0.27144646,0.25197603,0.11503110000000001,0.33949551,0.48254087,0.32745801,0.35489967,0.37123664,0.37734073,0.3476526,0.19506878
4,2,1,0.42092688,0.41378537,0.57400762,0.50883954,0.45428085,0.65598614,0.28781959,0.5619894,0.58395656,0.64186565,0.42238432,0.40560697,0.46832929999999995,0.38267185,0.24844042,0.63817772,0.6689973000000001,0.50750563,0.60120753,0.54492317,0.44589751,0.53429489,0.66414908,0.61643526,0.79070936,0.33902391,0.39418166,0.43500329,0.45170314,0.66698188,0.36552857,0.68119491,0.4147866,0.42697051,0.32048247,0.39071555,0.80397444,0.48529815,0.72161253,0.42948397,0.62963259,0.34701382,0.66962473,0.56833388,0.52492236,0.63737999,0.74748712,0.47491416,0.55481159,0.56217411,0.42929293,0.16364591,0.58093757,0.66642748,0.47271693,0.53846846,0.5157841,0.64284555,0.63089968,0.43645724
5,2,2,0.49181564,0.45227944,0.88080305,0.5196611,0.49898836,0.70827027,0.44162051,0.7241310000000001,0.79568835,0.73014953,0.56709815,0.59146229,0.60425107,0.48145604,0.28092064,0.82311231,0.65500658,0.62243081,0.78637995,0.68828049,0.52456154,0.6259541000000001,0.75929086,0.72234861,0.96726799,0.39475175,0.45561268,0.57073127,0.53123943,0.77992693,0.47624925,0.84321076,0.53133017,0.49422094,0.49381221,0.50946186,0.90222391,0.64670128,0.79953248,0.63942432,0.72936635,0.39724204,0.70647826,0.59226421,0.72721705,0.8992824,0.9172916999999999,0.62693998,0.64122733,0.67219767,0.54158607,0.1913658,0.77998157,0.74363843,0.61602519,0.64593719,0.68682432,0.78517725,0.7957728000000001,0.57657469
6,3,0,0.49599254,0.43487943,0.98375604,0.43529700000000005,0.47490416,0.61715145,0.5702716,0.7779724,0.83406482,0.68601306,0.61526216,0.63196051,0.6396231,0.5621639,0.29529014,0.78563825,0.61515487,0.71067061,0.79649708,0.7579751,0.51544914,0.62044007,0.76000716,0.74111743,1.0,0.38488167,0.47501285,0.62351021,0.56273908,0.67769181,0.48562612,0.80040958,0.57235482,0.43923196,0.55604878,0.50067679,0.84413045,0.65239022,0.75383038,0.70850549,0.71071175,0.47373835,0.59017909,0.51821886,0.84520359,1.0,0.94902801,0.7310809,0.65181261,0.6600383000000001,0.54619481,0.24748405,0.87732089,0.78680326,0.66906053,0.61203995,0.69916719,0.75945218,0.80864144,0.60016893
7,3,1,0.45556215,0.37584368,0.82842186,0.29852572,0.40671589,0.48674204,0.58601396,0.71946474,0.7712276,0.56717822,0.55598037,0.49296622,0.54675144,0.60202829,0.33526171,0.55630131,0.49993763,0.6818155,0.67510969,0.70926862,0.39662193,0.52808338,0.57274681,0.66885246,0.80249974,0.31375115,0.43395887,0.56454752,0.52258711,0.47289204,0.36959984,0.66084943,0.48159838,0.32315844,0.48475473,0.42898351,0.68372251,0.54678059,0.5683399,0.508566,0.62558573,0.53084539,0.44261422,0.43371673,0.89484127,0.95091004,0.7807031,0.66039006,0.63890875,0.6173295,0.52041694,0.28020354,0.94041695,0.76030823,0.61410952,0.49412399999999995,0.62564425,0.57978775,0.80190785,0.55387338
8,3,2,0.39428111,0.3865288,0.76679034,0.17604453,0.41518174,0.48589405,0.5925385,0.57580152,0.69699098,0.46720119,0.41722995,0.50341663,0.5492649000000001,0.5835574,0.31195237,0.47032927,0.41823158,0.62322088,0.54815607,0.621844,0.27090895,0.45392694,0.49610247,0.66554031,0.73424808,0.22146897,0.44545844,0.41607774,0.48371022,0.39360986,0.27062512,0.53859852,0.36521029,0.26216767,0.41185544,0.38924371,0.6169741999999999,0.49646694,0.51934875,0.32236148,0.6484558000000001,0.57885567,0.45405117,0.4972067,0.87275707,0.82363142,0.62161335,0.54974591,0.64937485,0.61204154,0.55094682,0.28233584,0.91067726,0.70598236,0.58435969,0.42192927,0.51250786,0.38863467,0.8558763,0.47786179999999995
9,4,0,0.39529781,0.53477413,0.81743329,0.22690402,0.5768671,0.60765022,0.48378348,0.54926847,0.7125335,0.49939292,0.41391549,0.71999846,0.70963262,0.61029928,0.34126011,0.57375733,0.49708959999999996,0.66214639,0.59235958,0.5940673000000001,0.36107976,0.5169632000000001,0.51852905,0.71579123,0.81800318,0.21488548,0.58417309,0.40372522,0.58558641,0.43350527,0.19509257,0.53658623,0.31038638,0.29978431,0.40381132,0.35504961,0.83318068,0.50567453,0.58692585,0.35347913,0.73131878,0.57652202,0.61045004,0.71817286,0.84070048,0.74767027,0.72177152,0.51673534,0.71776203,0.67823685,0.65085847,0.47662547,0.93830915,0.71154632,0.63310007,0.50872852,0.54064268,0.31376367,0.90061725,0.42447912
