,,pid1263b-12,pid52932-24,pid5667249-22,pid5667271-05,pid5667274b-06,pid58917-06,pid9048b-16,pid9049b-12,pid9050b-12,pid9054b-12,pid9055b-12,pid9056-07,pid9058b-12,pid9059b-16,pid9060b-10,pid9061b-09,pid9062b-15,pid9063b-16,pid9064-21,pid9066b-12,pid9068-20,pid9069-12,pid9070b-24,pid9072b-16,pid9074g-12,pid9075b-12,pid9085-16,pid9086-13,pid9088-22,pid9089-07,pid9090-21,pid9093b-18,pid9094b-12,pid9097-24,pid9099b-16,pid9101c-06,pid9102-07,pid9103-20,pid9104b-12,pid9111b-14,pid9116-20,pid9118b-16,pid9119-14,pid9121-07,pid9124-13,pid9127-06,pid9129-17,pid9130-11,pid9138b-12,pid9139b-12,pid9153b-12,pid915412b-21,pid9166l-10,pid9170b-12,pid9172-10,pid9174b-12,pid918713-20,pid918805-02,pid918812-13,pid918904-12,pid9190-09,pid9192b-12
1,2,0.24117927,0.29816811,0.13820007,0.28297388,0.44762968,0.47352235,0.20219932,0.62798098,0.45827567,0.33253012,0.24930416,0.26953379,0.059768731,0.39204925,0.68039879,0.37029979,0.13240288,0.32728059,0.36470896,0.58514658,0.30020106,0.64789923,0.26771493,0.2241263,0.19383174,0.34004627,0.14907215,0.18031571,0.45120507,0.4641151,0.42283664,0.32488535,0.39311652,0.36315441,0.69884923,0.22007286,0.14274562,0.2748363,0.32664146,0.51462422,0.084411201,0.19745097,0.10428354,0.43494605,0.15618368,0.19326615,0.23836703,0.38063154,0.33766016,0.2240099,0.19289937,0.48152813,0.28268557,0.28293503,0.40384821,0.53436136,0.074713108,0.44547419,0.21382561,0.36025995,0.34097504,0.11122718
2,0,0.24840092,0.31814866,0.27522355,0.16568112,0.4156657,0.43231921,0.30755424,0.58374406,0.52304179,0.38209693,0.27462403,0.22662957,0.25571836,0.47913808,0.53731417,0.33185375,0.23769199,0.35010093,0.32061194,0.35627579,0.38139837,0.72085397,0.24071486,0.33977871,0.21052787,0.3501388,0.19136527,0.27471192,0.3669622,0.57337784,0.42225521,0.32374146,0.3504359,0.32203984,0.61349717,0.22761793,0.21428027,0.43810103,0.35260974,0.52942688,0.1366168,0.30883811,0.28246582,0.34761189,0.16826341,0.20620672,0.3596301,0.429772,0.31196082,0.29418812,0.26951413,0.53933813,0.34028349,0.40902166,0.37867104,0.50491407,0.18691674,0.5038558,0.18656716,0.36930729,0.3765622,0.19949045
2,1,0.2683914,0.37058442,0.39925744,0.12166105,0.37628935,0.40556697,0.40904074,0.55343709,0.55161915,0.40016922,0.29479794,0.25707184,0.35952004,0.53453826,0.45222997,0.27673716,0.28730746,0.40409497,0.31036567,0.22505972,0.49605007,0.72210077,0.21838829,0.42223721,0.24161659,0.35981494,0.24432873,0.33853986,0.37358768,0.58971224,0.43343849,0.33907377,0.37733303,0.26996492,0.52613614,0.27902569,0.27781797,0.58844715,0.37829214,0.57164371,0.16131952,0.36822163,0.40948354,0.36899876,0.17474958,0.23807235,0.45008333,0.45419733,0.31071309,0.3460198,0.29174596,0.6119779,0.40789514,0.49080657,0.39615179,0.46461681,0.27287716,0.54385753,0.18125491,0.41386872,0.40405301,0.28281104
2,2,0.30308706,0.47315393,0.49786644,0.22246098,0.33537992,0.36880423,0.48416014,0.51315175,0.55826183,0.40871802,0.32530692,0.39181593,0.45605101,0.5800088,0.43192419,0.22772484,0.28269538,0.53777756,0.39891045,0.49262758,0.63717733,0.68874466,0.19191963,0.52249359,0.30226228,0.36833443,0.3007953,0.38207577,0.48376703,0.6418281,0.46020288,0.45754494,0.45814571,0.22460123,0.46099733,0.36236725,0.35026657,0.73340505,0.41251383,0.67359931,0.19470656,0.47450444,0.58359494,0.49395011,0.19021125,0.34228424,0.54914974,0.44014241,0.37988193,0.38068317,0.30439735,0.67698889,0.46137784,0.54278566,0.50974625,0.44500697,0.35610882,0.56077635,0.2048802,0.53900668,0.44994196,0.38801699
3,0,0.3531307,0.55697495,0.49235999,0.29167124,0.30139912,0.34992861,0.52262763,0.48398617,0.53504013,0.41782185,0.3273351,0.44764956,0.45334231,0.60263852,0.48518988,0.25669688,0.25879144,0.6265981,0.43703731,0.68306189,0.65287327,0.61739539,0.17084516,0.5375253,0.34867444,0.36533377,0.35013255,0.39399369,0.54354575,0.65775813,0.47581493,0.5103842,0.5308013,0.21173473,0.43519927,0.45939738,0.38721439,0.72231993,0.43582626,0.71472415,0.25215957,0.53410716,0.66065823,0.57617194,0.21047307,0.3994677,0.59961949,0.4204055,0.42952304,0.38531683,0.29697232,0.7283465,0.49241731,0.55013443,0.56629582,0.39762192,0.3644188,0.5582865,0.23072467,0.57383822,0.5011124,0.4366879
3,1,0.36621697,0.53906947,0.37436595,0.30276057,0.27601399,0.33116282,0.46110441,0.43006485,0.48203709,0.3904359,0.2977539,0.41990947,0.3712102,0.5430343,0.48666948,0.22631497,0.26546307,0.59871191,0.42398507,0.80997828,0.56602672,0.5210333,0.14685885,0.42371475,0.34119241,0.32469266,0.3548665,0.34499605,0.52376532,0.55704345,0.44092287,0.49957498,0.47073004,0.19235555,0.37952019,0.47538281,0.39317403,0.58686623,0.40090373,0.63532938,0.27133103,0.51324099,0.63539241,0.58532638,0.19226421,0.38727132,0.55469522,0.37474255,0.39546522,0.35730693,0.24129181,0.64564197,0.48850023,0.48551904,0.51191801,0.33267069,0.3100742,0.48387655,0.21207777,0.50790009,0.4872219,0.4068535
3,2,0.29143719,0.41652752,0.24012446,0.17627637,0.29997767,0.28329123,0.33803732,0.36627756,0.37529754,0.31191959,0.27491531,0.32118303,0.3039284,0.38513632,0.41898119,0.16878147,0.27618808,0.43537441,0.25646269,0.82134636,0.41840057,0.4117421,0.127597,0.26357442,0.27881466,0.25837409,0.29517137,0.21131807,0.39057282,0.449022,0.2876786,0.40139995,0.26513532,0.13238467,0.34131721,0.35649543,0.40035225,0.34445276,0.29414423,0.31523089,0.22651323,0.43436916,0.46861266,0.4866531,0.10292572,0.21471318,0.32955769,0.3545606,0.30350842,0.33067327,0.1674308,0.43961737,0.4501829,0.41149365,0.3626686,0.26700418,0.2073784,0.3893663,0.11545562,0.37725821,0.31875605,0.24989384
4,0,0.24790096,0.40049445,0.28128432,0.15979139,0.35509414,0.26723989,0.35375855,0.36418504,0.31421257,0.29118045,0.30490647,0.29654418,0.2681451,0.31132806,0.39932361,0.2165311,0.27037094,0.37841969,0.21273134,0.77731813,0.38685303,0.41011956,0.16971682,0.24682904,0.30276305,0.2403503,0.30475289,0.20959747,0.39437101,0.46419974,0.25436383,0.3837169,0.25211129,0.15018863,0.37499512,0.24712892,0.42507616,0.34566885,0.28746772,0.33091856,0.26986575,0.45115395,0.46203038,0.42221829,0.11136566,0.22667183,0.27945666,0.35973546,0.35506809,0.343,0.20982555,0.33119838,0.40932023,0.39606423,0.31554523,0.30967952,0.19190437,0.41136855,0.11954046,0.33576823,0.23112788,0.17259448
4,1,0.28908023,0.4731134,0.45840611,0.22256294,0.45610627,0.31876736,0.52943604,0.43165586,0.43429283,0.3254975,0.42062054,0.35620874,0.33717725,0.37699208,0.45914183,0.30560849,0.27324116,0.47367106,0.23088806,0.76815418,0.4479245,0.49126388,0.30904855,0.34553367,0.41976552,0.32296761,0.39683772,0.34061563,0.50660948,0.60016927,0.3560339,0.42401536,0.3709044,0.24881858,0.4604252,0.37099284,0.57134425,0.46905519,0.40958134,0.50761545,0.44828539,0.56264548,0.54101266,0.44318061,0.26189626,0.45168475,0.37824285,0.41725919,0.54098075,0.38345545,0.34168108,0.35219535,0.42080476,0.47073189,0.35008763,0.43080353,0.31857378,0.49406069,0.26940299,0.40246152,0.29995163,0.23576221
4,2,0.42156972,0.71082111,0.69283062,0.32889969,0.50762075,0.42604302,0.7824405,0.53380891,0.65716856,0.40178692,0.59973677,0.55363882,0.52127356,0.54146878,0.61951666,0.40378031,0.30635832,0.66988369,0.40755224,0.8520304,0.61521598,0.60016225,0.42081968,0.52811361,0.56428656,0.47272307,0.4879947,0.57167324,0.62859947,0.76869475,0.56820066,0.59515789,0.52316731,0.36722483,0.5795722,0.5645221,0.77171554,0.62007484,0.64236444,0.78209978,0.60861527,0.69469003,0.69589873,0.53687423,0.38340772,0.66713178,0.57354394,0.51436023,0.79197692,0.48408911,0.46459775,0.51197196,0.56212468,0.60171023,0.51906576,0.60125406,0.65538335,0.58718769,0.39683818,0.57692419,0.48766686,0.39954989
5,0,0.4673518,0.7735349,0.78737646,0.3986354,0.48443105,0.46203694,0.87996575,0.53098141,0.77132577,0.39586436,0.66799361,0.64543309,0.58339933,0.61722955,0.67574156,0.4289333,0.30639118,0.69752956,0.46426866,0.83628664,0.66279673,0.62741247,0.40644973,0.65460127,0.56290798,0.51074686,0.50036925,0.64391476,0.66701875,0.76283619,0.6629554,0.67780122,0.57718141,0.39085313,0.60956375,0.62472215,0.88205446,0.63046773,0.69619144,0.88937264,0.65527426,0.71648521,0.75321519,0.60233504,0.42563721,0.82139535,0.62898397,0.5484729,0.93935735,0.49155446,0.46725058,0.64156616,0.65655388,0.65103809,0.61483655,0.6427961,0.78856554,0.58897726,0.43491752,0.62653936,0.6455117,0.48921444
5,1,0.47525593,0.68442085,0.71787899,0.41853972,0.41579222,0.44982976,0.77122727,0.47317769,0.80278162,0.36756464,0.63670788,0.6412145,0.55840329,0.59413369,0.67001339,0.3780928,0.27413948,0.58601365,0.45904478,0.69798046,0.63752108,0.59151153,0.29025988,0.60565376,0.4424944,0.49796431,0.39461276,0.5980663,0.63444612,0.60360166,0.62324488,0.67765429,0.51284209,0.34669402,0.56981991,0.57550012,0.91398515,0.55046773,0.65515492,0.86539148,0.59153817,0.61760316,0.64511392,0.65605873,0.33748884,0.81142119,0.58503311,0.53887871,0.93781445,0.45689109,0.40103806,0.71647555,0.66827465,0.57926064,0.57730702,0.5860288,0.75166529,0.50125357,0.34851728,0.5702585,0.70120913,0.48442463
5,2,0.4241092,0.56468347,0.64294305,0.40243118,0.36894396,0.37134608,0.47586627,0.43257242,0.66231663,0.35024367,0.52875051,0.53333257,0.49005227,0.48823219,0.66906926,0.25102642,0.2442212,0.48065943,0.32376866,0.54054289,0.56090284,0.53231426,0.18196841,0.42927405,0.28300931,0.45111699,0.28063814,0.45704025,0.52964397,0.5034606,0.40901219,0.54695715,0.39685392,0.21723476,0.48492946,0.45156211,0.77320069,0.45402245,0.54083364,0.75526372,0.46003069,0.48371103,0.56268354,0.68960729,0.25613409,0.70826873,0.40595549,0.52444086,0.84718589,0.43585149,0.347203,0.75770899,0.59135802,0.52145631,0.50310142,0.45122155,0.47417148,0.46298954,0.26532797,0.48909381,0.65271813,0.35927813
6,0,0.43586223,0.50387452,0.63285049,0.38210336,0.35402992,0.30331226,0.28403429,0.41446606,0.49061722,0.34465954,0.4978963,0.37798579,0.41031205,0.37966579,0.6548228,0.18186537,0.2338139,0.41616841,0.27136567,0.41916395,0.51253081,0.51818958,0.20385819,0.29329375,0.23917167,0.40837409,0.27508048,0.37970008,0.44744956,0.46847847,0.31221624,0.46591947,0.35717535,0.18807995,0.4165919,0.36662756,0.48130236,0.47463985,0.46320546,0.66558418,0.42803989,0.42637342,0.57746835,0.65459048,0.27141724,0.59834625,0.30256773,0.53380735,0.67827195,0.41876238,0.32840254,0.70901313,0.50623381,0.49699029,0.41365541,0.40274036,0.2124155,0.54726377,0.27916339,0.48855649,0.55400464,0.27707006
6,1,0.52103008,0.58682824,0.76682529,0.37879382,0.37823919,0.3209954,0.33567501,0.50281885,0.62042624,0.39776635,0.62191728,0.35869429,0.37231902,0.41181179,0.64125978,0.21568673,0.30868079,0.44897626,0.31514925,0.49442997,0.59974056,0.61760034,0.37968261,0.44811092,0.34848003,0.41425644,0.36091649,0.50786109,0.51749192,0.56576077,0.36116781,0.42913663,0.43036161,0.30632735,0.4761784,0.42422203,0.21723153,0.54003742,0.44422722,0.71707944,0.55054852,0.4198286,0.66531646,0.54232266,0.41286324,0.50509044,0.3984042,0.54807961,0.3913866,0.42536634,0.34904844,0.64110273,0.48173297,0.56684093,0.4050903,0.47662796,0.20320692,0.77367511,0.43129419,0.57689515,0.55755465,0.35058174
6,2,0.59468296,0.78443706,0.86837839,0.41519881,0.40034978,0.35118385,0.51291018,0.58788586,0.75589538,0.49487613,0.70642113,0.36700605,0.46041502,0.52885664,0.65894455,0.23648617,0.40150303,0.5159281,0.41691791,0.53908795,0.70767934,0.67783945,0.44055471,0.51356767,0.36472252,0.46870456,0.58362053,0.61439621,0.63437143,0.63462479,0.48906414,0.3564105,0.52751876,0.42810907,0.52284637,0.51874537,0.19090823,0.64768007,0.49362781,0.85775462,0.62126582,0.47466102,0.8283038,0.53691845,0.56401865,0.48283721,0.47739776,0.57347782,0.28275307,0.49594059,0.40821799,0.60487196,0.52072855,0.63208364,0.43669131,0.5291686,0.27673537,0.88415319,0.58441673,0.61349114,0.65026117,0.47016561
7,0,0.55696373,0.85977142,0.87062699,0.36822994,0.37261293,0.36678016,0.66626435,0.54663208,0.82313867,0.52428591,0.62976029,0.33967642,0.49014732,0.56972735,0.60417107,0.23547912,0.43512412,0.53642219,0.4615,0.52067318,0.68471916,0.68853971,0.40090995,0.5872217,0.33603158,0.52863186,0.68641356,0.61760063,0.66995274,0.71391762,0.52295417,0.37369476,0.54152831,0.43427096,0.50650803,0.53351445,0.22923648,0.65302152,0.55802287,0.87359931,0.63373226,0.55332408,0.82956962,0.55797806,0.6102648,0.48660465,0.42735572,0.54954927,0.318924,0.56523762,0.41929066,0.55084071,0.58910989,0.58326363,0.42648023,0.53645146,0.34436109,0.82796749,0.63020424,0.61514667,0.69150706,0.51753715
7,1,0.46293151,0.79000567,0.73199812,0.28711474,0.3581603,0.37175404,0.8072396,0.45570255,0.82715195,0.52616759,0.60283298,0.35741731,0.46717884,0.58293755,0.55998027,0.24758695,0.46826318,0.55857926,0.49979851,0.41955483,0.61459333,0.65595218,0.32943146,0.6311294,0.31264287,0.56065433,0.66463738,0.5946251,0.65941171,0.76574196,0.54894538,0.35644198,0.55122432,0.3794361,0.49046876,0.50300692,0.30901561,0.68641721,0.63952416,0.82577974,0.5306636,0.61972213,0.73098734,0.59770034,0.56126153,0.5521447,0.38318363,0.56630546,0.34802442,0.5989802,0.41725058,0.47292496,0.63455266,0.48262136,0.42414082,0.59583837,0.44227535,0.61771419,0.58320896,0.61375254,0.67516928,0.51866667
