,measure_number,beat_number,pid1263b-13,pid610003b-17,pid9048b-27,pid9049b-13,pid9050b-15,pid9054b-15,pid9055b-13,pid9058b-13,pid9059b-17,pid9060b-11,pid9061b-10,pid9062b-16,pid9063b-19,pid9066b-13,pid9069-13,pid9070b-25,pid9072b-17,pid9073b-19,pid9074g-13,pid9075b-13,pid9085-06,pid9094b-18,pid9097-03,pid9099b-19,pid9104b-13,pid9111b-15,pid9112-12,pid9118b-19,pid9137-20,pid9139b-15,pid9153b-15,pid9166e-16,pid9170b-15,pid9174b-13,pid9192b-15
0,1,0,0.18457837,0.17995771,0.10471332,0.21273247,0.12372656,0.16027974,0.10112498,0.21052270000000003,0.20993578,0.27301035,0.29753521,0.19410775,0.22059731,0.41304628,0.2044842,0.1220181,0.15180451,0.14789595,0.36143752,0.14738254,0.24109936,0.53523132,0.18781726,0.22375868,0.21164223,0.39109709,0.14545026,0.35760653,0.22821374,0.17416268,0.1503545,0.33322721,0.27359108,0.12405948,0.20822298
1,1,1,0.32196523,0.31180387,0.33878104,0.35545516,0.2618218,0.35989215,0.17602391,0.37888591,0.37569204,0.50489759,0.50967834,0.32659692,0.38325456,0.60267947,0.33279425,0.23707281,0.29741507,0.28628374,0.6838554,0.29034158,0.45507568,0.82469203,0.27691942,0.37358922,0.37635371,0.60927545,0.25667138,0.57634395,0.3938005,0.37777561,0.24844809,0.5347917,0.55421561,0.22266213,0.39387726
2,1,2,0.4210170999999999,0.4785822,0.51743567,0.45839169,0.43635308,0.61245927,0.33038027,0.54562127,0.49348195,0.71540322,0.68890369,0.46775048,0.56253985,0.75483594,0.39999183,0.33824125,0.42642136,0.43756214,0.78813918,0.43606858,0.6634791999999999,1.0,0.2751269,0.5034062,0.47848029,0.80954915,0.33340995,0.70497539,0.53742101,0.57249292,0.3219395,0.66353466,0.7527881,0.35420996,0.58942048
3,2,0,0.51631231,0.57367473,0.53354402,0.62106769,0.55886843,0.71284125,0.51197047,0.67759462,0.55765114,0.84415388,0.76834793,0.60889252,0.70069528,0.93072073,0.43003349,0.43095367,0.49543047,0.56520774,0.79379445,0.53848318,0.73896523,0.9434254999999999,0.28635787,0.60384681,0.51936774,0.90154337,0.33959807,0.82047948,0.66230702,0.70756762,0.38124311,0.66238858,0.82765799,0.55717485,0.75380891
4,2,1,0.54284586,0.57662675,0.54447856,0.71862812,0.54630828,0.64374789,0.50243159,0.73205577,0.56461209,0.84687476,0.68880853,0.64814729,0.68407736,0.76909299,0.47387078,0.40137782,0.51634296,0.56656605,0.75722147,0.61465777,0.76201634,0.83246647,0.28271732,0.57554652,0.52152606,0.82886034,0.41399104,0.72926922,0.73632509,0.70235329,0.39491098,0.69891759,0.8263197,0.59960588,0.85889221
5,2,2,0.59244361,0.62195377,0.58859594,0.77689933,0.56382114,0.66616111,0.48635378,0.75643932,0.57703551,0.82412516,0.70434907,0.62829523,0.7066664,0.5544418999999999,0.47302949,0.38822099,0.49924430000000003,0.62333984,0.72792076,0.71960476,0.77157875,0.83206497,0.26766339,0.568929,0.54830191,0.77594465,0.53729373,0.77073594,0.80785537,0.72719461,0.44364267,0.6991268,0.79784387,0.54833393,0.87071052
6,3,0,0.65404396,0.71685788,0.67856433,0.82004367,0.64734528,0.70559488,0.53396613,0.77587746,0.61043774,0.87279873,0.82044157,0.62543783,0.75096398,0.6380427,0.50538267,0.40784142,0.52694399,0.73752663,0.7491788,0.76357807,0.8282565999999999,0.83549594,0.23516022,0.62117438,0.57065956,0.81015738,0.59783121,0.8300257,0.86993041,0.78726687,0.46161966,0.71659087,0.84728625,0.66173415,0.89107219
7,3,1,0.62628933,0.74092413,0.80836117,0.94849785,0.68066202,0.66189192,0.61787074,0.82375163,0.64179523,0.86735696,0.79769699,0.7160683000000001,0.73507474,0.86344749,0.57276811,0.38976091,0.58188431,0.77300249,0.78035049,0.78386337,0.8524476000000001,0.79975363,0.20076935,0.60455008,0.57060242,0.81053752,0.62169967,0.79476145,0.91144708,0.83093448,0.48184969,0.74347826,0.86535316,0.72377284,0.89961555
8,3,2,0.5884212,0.74465078,0.93706546,1.0,0.71398706,0.72295248,0.72630222,0.88701147,0.69171772,0.89056005,0.82383898,0.85991796,0.82018844,0.98739074,0.60487626,0.4101648,0.6100784,0.79391868,0.77946156,0.82888365,0.81654107,0.82008395,0.16985247,0.5219878,0.59804482,0.75540181,0.65057756,0.78135546,0.91096712,0.88504052,0.60660154,0.77369474,0.82862454,0.72234862,0.93720632
9,4,0,0.6065005,0.80689431,1.0,0.97891725,0.81723909,0.8143467,0.80296479,0.91695858,0.72709825,1.0,1.0,0.89702968,0.92495623,1.0,0.62253533,0.41972849,0.61918215,0.89417614,0.80327633,0.88476639,0.75682351,0.83566931,0.15088039,0.52754618,0.65981083,0.69497453,0.66519331,0.81758981,0.92688585,0.92582756,0.68508744,0.8028652,0.7598513000000001,0.77475815,0.99423323
10,4,1,0.58995116,0.84317687,0.99683973,0.89428507,0.88377302,0.75480283,0.80728892,0.88247819,0.72948992,0.96802963,0.98762847,0.86403125,0.85941564,0.93573578,0.72683983,0.42137647,0.61049509,0.9395419,0.84947511,0.83438032,0.67196504,0.79426955,0.14033947,0.43940857,0.70799213,0.60593021,0.69961103,0.67047483,0.93336533,0.84916512,0.72902159,0.83682008,0.66860223,0.80917234,1.0
11,4,2,0.61419336,0.80159744,0.96297968,0.828025,0.83781317,0.59527019,0.60813265,0.89848204,0.63563151,0.81399743,0.70347354,0.85897318,0.75168254,0.7933085,0.8047373999999999,0.46004998,0.61060809,0.89737216,0.78648832,0.63903939,0.56430878,0.67320923,0.093742069,0.37580071,0.71110265,0.5440812,0.74752475,0.67039227,0.97520198,0.78777463,0.79084607,0.83990358,0.57156877,0.76091903,0.90217856
12,5,0,0.64750754,0.80611967,0.88856885,0.8650704,0.8217853,0.55933041,0.52228277,0.98509513,0.62227061,0.74840904,0.62716026,0.87731588,0.90914795,0.63431007,0.77646002,0.63643793,0.60840455,0.92089844,0.77958855,0.73380448,0.5951998000000001,0.73861666,0.13649270000000002,0.51844603,0.69796229,0.67165666,0.89827911,0.81309019,0.93920486,0.96315789,1.0,0.76699109,0.59288476,0.79292368,0.86366225
13,5,1,0.52430685,0.79269952,0.66388262,0.83035916,0.78016426,0.57072239,0.52066561,0.85960574,0.60761054,0.80795102,0.71351351,0.77164946,0.94756551,0.73413096,0.88989627,0.65461299,0.57088071,0.87689098,0.9229596999999999,0.76043712,0.77784814,0.80411534,0.15129283,0.64217929,0.55604647,0.74237816,0.86067893,0.61235126,0.72842173,0.75001465,0.75781472,0.75915045,0.7595539000000001,0.87157829,0.88288481
14,5,2,0.48867259999999996,0.78155096,0.69297517,0.78962428,0.75284553,0.61627907,0.5814613000000001,0.80163473,0.56193253,0.77469579,0.67244956,0.64155683,0.85997227,0.80778048,1.0,0.64387411,0.62010029,0.81825284,0.99051812,0.77228112,0.89297701,0.85825349,0.12602316,0.73607863,0.53495842,0.87706227,0.79408298,0.61785195,0.75281977,0.68250171,0.7077832,0.90712207,0.88096654,0.86680401,0.88772604
15,6,0,0.48030455,0.77752073,0.72743115,0.78902191,0.73980421,0.66649815,0.70904084,0.8194931000000001,0.47940503,0.7541758000000001,0.69324324,0.51836575,0.74110658,0.73176673,0.95385118,0.72281507,0.6589519,0.77855114,1.0,0.73112158,0.91463492,0.86417556,0.16871034,0.73263006,0.5852663,0.970425,0.74057049,0.67233248,0.82521398,0.65884191,0.6949031,0.97980717,0.90527881,0.84218022,0.90773174
16,6,1,0.48746588,0.78444016,0.77295711,0.84240645,0.75298656,0.72475003,0.67456495,0.94079264,0.42190153,0.68378052,0.66922345,0.48998756,0.7748282,0.64390314,0.78156498,0.78279076,0.66207359,0.78259943,0.9492041999999999,0.6495354,0.80514217,0.84831645,0.18771415,0.67946111,0.63445693,0.8569908000000002,0.67580151,0.68596551,0.84697224,0.7189044,0.62560265,0.9566127000000001,0.79107807,0.78124328,0.93193792
17,6,2,0.45948858,0.75378946,0.74548984,0.86303742,0.71896466,0.67537355,0.48761938,0.93495432,0.36963165,0.54735848,0.53289874,0.49932021,0.79726543,0.53564981,0.60213183,0.70552479,0.58181369,0.74640447,0.84212665,0.45202853,0.69628269,0.69473492,0.17996510000000002,0.56779359,0.57775027,0.70066145,0.69336398,0.66132078,0.69927206,0.9241578000000001,0.45775957,0.82935237,0.67724164,0.69201003,0.86807632
18,7,0,0.5355265,0.78362365,0.67330926,0.76304495,0.75806371,0.62695203,0.51736099,0.8499896999999998,0.37403853,0.49755876,0.49146365,0.6025901,0.83125019,0.50792377,0.67039941,0.66073214,0.44936789,0.84721236,0.83520149,0.56872137,0.79051358,0.57920431,0.25379918,0.54855109,0.51556529,0.73480575,0.7585455,0.64818312,0.60691945,0.96689776,0.499291,0.72464981,0.78832714,0.87043174,0.7486116999999999
19,7,1,0.63725758,0.81497571,0.75715576,0.74538815,0.80318566,0.6699809,0.57679733,0.80101655,0.44204621,0.59507218,0.64099734,0.59814269,0.88986833,0.66624158,0.8399902,0.73618803,0.61923865,0.90287642,0.91703353,0.75507133,1.0,0.58519025,0.25846288,0.61963227,0.57744557,0.88694594,0.77604903,0.64613972,0.62238221,0.73796504,0.67731212,0.84285065,1.0,0.95646722,0.70644312
20,7,2,0.61152852,0.81956076,0.87880813,0.74440931,0.8136884,0.74530952,0.68540458,0.73590219,0.49218277,0.66935228,0.68917016,0.54087934,0.87066968,0.79481301,0.92330311,0.91098203,0.77526661,0.87462713,0.95292922,0.83451119,0.97112279,0.66972351,0.27158947,0.67530927,0.59531518,0.97886414,0.76408534,0.69202349,0.65075594,0.67410409,0.76341579,0.90174641,0.95747212,1.0,0.71223124
21,8,0,0.50030168,0.87452893,0.9614447,0.68290038,0.87083126,0.74570273,0.78609012,0.75149392,0.51048203,0.68925251,0.69798249,0.47840815,0.79904665,0.74065052,0.90018786,1.0,0.79588954,0.87440518,0.90636641,0.82535009,0.86118675,0.70355872,0.26184169,0.66776817,0.57360503,0.9728578999999999,0.74840877,0.6123719,0.69890409,0.61963675,0.73901843,0.88608332,0.83494424,0.9527947,0.68744838
22,8,1,0.41244074,0.86058538,0.85277652,0.59341917,0.8242658000000002,0.63588361,0.65678795,0.69173707,0.43130582,0.6583326999999999,0.65490103,0.42157111,0.64994079,0.56272389,0.70340603,0.8200054,0.57802811,0.84129084,0.75432611,0.7189504,0.68273067,0.68661374,0.25081694,0.59572954,0.42155145,0.88732609,0.71687883,0.44439972,0.66462683,0.44099209,0.57931306,0.78365472,0.65087732,0.8546219999999999,0.61719351
23,8,2,0.41695159,0.77464199,0.66717833,0.51505158,0.70641281,0.53743961,0.49530673,0.59268494,0.36658301,0.63200816,0.66500761,0.40921974,0.53170258,0.52683766,0.55863759,0.51609483,0.34634508,0.78713601,0.49993227,0.54030232,0.54807802,0.7005475,0.24371827,0.49728859999999997,0.32226877,0.76347601,0.79337577,0.38045554,0.59568035,0.43887316,0.45764928,0.69898126,0.55007435,0.72231279,0.60595899
24,9,0,0.46426519,0.66142911,0.58774718,0.60905805,0.58212212,0.50718459,0.48329525,0.54814891,0.43583819,0.6066057,0.7069565999999999,0.43465988,0.51308079,0.65381143,0.51152495,0.5431109000000001,0.37999859,0.70431463,0.47631222,0.61323125,0.68786017,0.69173282,0.26184169,0.54259448,0.34653717,0.70935908,0.83026874,0.50820975,0.56188305,0.60137682,0.54742398,0.70611242,0.67689963,0.68248836,0.59911719
25,9,1,0.57830053,0.58171426,0.63141309,0.71973496,0.50615563,0.53556342,0.68711549,0.54038739,0.52366576,0.74246845,0.78002474,0.47716379,0.56878422,0.82282562,0.56877399,0.66619614,0.53010806,0.59733665,0.69253302,0.73393535,0.91754797,0.66352769,0.32354061,0.72556346,0.49887006,0.8464988999999999,0.84123055,0.6072736999999999,0.68905688,0.71281125,0.70190641,0.79312352,0.92111524,0.71202974,0.65457782
26,9,2,0.6228199999999999,0.65672892,0.69370655,0.72788194,0.59410154,0.56898101,0.8155036,0.62138883,0.52841219,0.81694505,0.86337077,0.51063462,0.65093261,0.84532168,0.65152332,0.67013373,0.66518822,0.66643288,0.80172706,0.78327444,0.99012095,0.69576604,0.35860565,0.84612777,0.60244398,0.95651182,0.83250825,0.54861348,0.83729302,0.68845816,0.84803844,0.95106422,0.99360595,0.74493013,0.677175
