,,pid1263b-14,pid5667269b-31,pid9048b-30,pid9050b-16,pid9054b-16,pid9055b-14,pid9058b-14,pid9059b-18,pid9060b-12,pid9062b-17,pid9063b-20,pid9066b-14,pid9069-14,pid9072b-18,pid9073b-20,pid9075b-14,pid9085-07,pid9094b-19,pid9097-22,pid9098-17,pid9099b-20,pid9104b-14,pid9112-13,pid9118b-20,pid9139b-16,pid9153b-16,pid9166l-16,pid9170b-16,pid9173-05,pid9174b-14,pid9192b-16
1,2,0.12724074,0.16952151,0.17174794,0.30356862,0.21417177,0.43513681,0.37611877,0.28097638,0.22470909,0.19450625,0.19163228,0.27821959,0.20223783,0.22824061,0.41907129,0.24531194,0.21692876,0.076539443,0.17683837,0.091784419,0.40175877,0.1905941,0.384686,0.063846898,0.16234322,0.06959724,0.36016557,0.18245813,0.12014167,0.15806147,0.24971214
2,0,0.26588498,0.42588225,0.32976325,0.61897365,0.43078798,0.84671892,0.66374019,0.38239945,0.48190909,0.38874188,0.37331388,0.51171036,0.37211413,0.36513055,0.70181566,0.47885864,0.47473576,0.23632261,0.29853432,0.38652855,0.54236357,0.54384938,0.68317605,0.24515014,0.40996091,0.18543527,0.75088822,0.4411581,0.31754124,0.51238829,0.61126748
2,1,0.40756514,0.69571627,0.56555686,0.7986335,0.48320656,0.84999157,0.79554198,0.42001186,0.58176364,0.56439439,0.48660359,0.75587339,0.52105427,0.49397882,0.92063942,0.5309863,0.58697259,0.45830063,0.35178626,0.5182237,0.59882317,0.65240092,0.75262526,0.42840601,0.52820085,0.29810366,0.83520749,0.55055351,0.41144561,0.63090169,0.85430869
2,2,0.40031325,0.59888263,0.53151911,0.77169681,0.41512444,0.70308725,0.6687527,0.42078269,0.55538182,0.54265396,0.50915049,0.80321261,0.52799155,0.51753953,0.79337508,0.49171475,0.59767981,0.47125196,0.33685613,0.43852635,0.55338822,0.54104106,0.55253089,0.51163492,0.46829695,0.30681934,0.74387627,0.57774624,0.29914251,0.55543849,0.70890981
3,0,0.296963,0.43792565,0.42655137,0.5862269,0.46927849,0.47869262,0.38466716,0.45300919,0.51118182,0.48134171,0.40385181,0.80108787,0.49538136,0.51779146,0.58512435,0.40303823,0.54646387,0.36108713,0.36504231,0.47381612,0.57611648,0.41017325,0.39153226,0.47889536,0.3282599,0.27684783,0.65321342,0.55212414,0.14925902,0.37924144,0.65220689
3,1,0.39468123,0.49155341,0.47356617,0.55198584,0.62686655,0.53338671,0.43890066,0.58617452,0.65645455,0.55129901,0.47994077,0.8113109,0.55063094,0.5678353,0.51295929,0.54438334,0.60971041,0.34412284,0.47736565,0.68843088,0.73956807,0.59516652,0.4280628,0.55815872,0.39445553,0.36407277,0.6827621,0.6288769,0.30987977,0.41449539,0.76285297
3,2,0.56988532,0.71611781,0.73129603,0.69285293,0.74942766,0.78119557,0.72633123,0.73281945,0.84472727,0.78393373,0.65651639,0.84694584,0.71395537,0.70139974,0.62619969,0.73153624,0.73834322,0.65618132,0.60982359,0.88794873,0.92877619,0.81844791,0.65648593,0.70561363,0.62380885,0.74625782,0.79043889,0.74190557,0.62601361,0.65635399,0.93749429
4,0,0.75326389,0.89912733,0.84245245,0.76577861,0.78022303,0.96918366,1,0.79495009,0.95772727,0.95779709,0.8502934,0.8550927,0.7366072,0.83828968,0.70942027,0.79717815,0.77836212,0.86200942,0.58733159,1,1,1,0.7993394,0.81682344,0.87844111,0.90838317,0.86023006,0.77475636,0.86606394,0.78994405,1
4,1,0.85077829,0.95738377,0.82786826,0.80425678,0.77756443,0.98329962,0.9985736,0.72752248,0.96209091,0.94957301,0.86815891,0.77080728,0.62999938,0.91256941,0.75134523,0.72143887,0.65499699,0.89130691,0.48029245,0.89349819,0.94591129,0.99469979,0.80697495,0.63737449,0.90058438,0.91985655,0.85455484,0.65352446,0.95190605,0.81275885,0.81293978
4,2,0.78857934,0.80003833,0.6531699,0.71471687,0.64578687,0.80868307,0.79903768,0.487647,0.66862727,0.72537287,0.72331878,0.6301616,0.48225275,0.76884706,0.69180906,0.6211053,0.42026295,0.7210263,0.34426995,0.62710044,0.7174972,0.77458271,0.65193034,0.35601098,0.6584236,0.79122076,0.77893601,0.44973034,0.80471619,0.6682482,0.62497487
