,measure_number,beat_number,pid1263b-15,pid9048b-28,pid9049b-15,pid9050b-17,pid9053-20,pid9054b-17,pid9055b-15,pid9058b-15,pid9059b-19,pid9060b-13,pid9061b-12,pid9062b-18,pid9063b-21,pid9064-01,pid9066b-15,pid9068-21,pid9069-15,pid9070b-27,pid9072b-19,pid9073b-21,pid9074g-15,pid9075b-15,pid9085-08,pid9094b-20,pid9099b-21,pid9103-21,pid9104b-15,pid9111b-17,pid9118b-21,pid9124-15,pid9127-03,pid9139b-17,pid9153b-17,pid9166e-15,pid9170b-17,pid9172-11,pid9174b-15,pid918810-15,pid918812-15,pid9192b-17
0,1,2,0.17087246,0.35293913,0.12043469,0.1701456,0.22829986,0.10698343,0.15155909,0.08777214800000001,0.31554828,0.17002442,0.24638075,0.14292645,0.15044387,0.25705652,0.29073421,0.15456768,0.13388452,0.28658083,0.17308458,0.1544781,0.15085379,0.22146411,0.14194737,0.12368879999999999,0.31699598,0.17291095,0.21159373,0.19005447,0.18745242,0.079834001,0.18579731,0.13558381,0.077106909,0.22040654,0.14640762,0.1565906,0.18886445,0.097010134,0.08670948099999999,0.11488312
1,2,0,0.24399672,0.62705739,0.12151780000000001,0.31320456,0.36019548,0.27720893,0.35664866,0.11992332,0.39326241,0.29084249,0.37775073,0.25385531,0.33392516,0.40735054,0.41392890000000004,0.20825183,0.23491909,0.48881259,0.3213837,0.26889877,0.28057897,0.30968404,0.39509103,0.26615229,0.46238566,0.39403954,0.40394577,0.21965571,0.35260274,0.15039206,0.50749549,0.20475303,0.1507064,0.43045038,0.39404190000000006,0.26115476,0.34814407,0.17840426,0.17105895,0.19140909
2,2,1,0.28047224,0.47363058,0.16664019,0.36600836,0.3188307,0.20812816,0.31796986,0.10360126,0.40141844,0.36792158,0.32090083,0.31571348,0.38803606,0.58515191,0.35976433,0.29329851,0.24099389999999998,0.34712446,0.41230463,0.29465592,0.29909857,0.30748227,0.52085944,0.32066685,0.44858214,0.42008226,0.41808882,0.29885684,0.31583611,0.12483317,0.38811544,0.27076962,0.19823575,0.44306497,0.51786667,0.27456665,0.24576574,0.1500408,0.13610238,0.22899351
3,2,2,0.42563588,0.64118262,0.3262546,0.49406804,0.41814024,0.28182237,0.38156573,0.24415309,0.46220222,0.46267128,0.67936136,0.45117767,0.48219749,0.82669062,0.68720919,0.4676317,0.2907861,0.3272866,0.52895342,0.44391961,0.41793331,0.39657918,0.5524508,0.55164876,0.58557446,0.52128734,0.67471787,0.57605406,0.67390518,0.41465632,0.57901663,0.46452512,0.30657904,0.52226983,0.5596800000000001,0.32736626,0.38363349,0.426547,0.45339124,0.35422727
4,3,0,0.50956331,0.82353044,0.35730378,0.60392821,0.48188666,0.41580764,0.49239882,0.38784746,0.54369885,0.50359517,0.71523551,0.54956162,0.60029364,0.90395296,0.75131433,0.64014225,0.36415244,0.34819266,0.65145572,0.55961841,0.45887871,0.42007712,0.65934989,0.66438872,0.68552872,0.58360514,0.82089795,0.72207652,0.78891011,0.54998332,0.78034605,0.52774519,0.47178604,0.60311877,0.64839619,0.36209627,0.46134177,0.55141281,0.62248198,0.40237013
5,3,1,0.45029629,0.76279718,0.29541483,0.61432175,0.45375717,0.42799126,0.5217041,0.38360948,0.46438443,0.44784968,0.54390861,0.5993485,0.53761267,0.79219209,0.70603283,0.61908202,0.40692369,0.28390081,0.68889059,0.55780309,0.45517039,0.33588133,0.65181691,0.66741986,0.59134651,0.56062202,0.79110173,0.68805057,0.76910405,0.50975976,0.75589552,0.41947715,0.47946862,0.61312276,0.63969524,0.36729019,0.35348502,0.51793919,0.56724265,0.37101299
6,3,2,0.33419637,0.49063833,0.24595278,0.49050742,0.29184003,0.32677174,0.45235523,0.29507052,0.29330787,0.26883734,0.45321659,0.55333896,0.31909314,0.52697648,0.55643066,0.49144254,0.42948979,0.16710539,0.52888446,0.50488099,0.44131184,0.2674773,0.51512494,0.5788647,0.43656239,0.41324867,0.5123975000000001,0.36807209,0.50318869,0.37006173,0.54302225,0.34633835,0.27419695,0.49559585,0.51804952,0.37981669,0.28702227,0.40050243,0.40233783,0.39622078
7,4,0,0.30662777,0.31983802,0.25723879,0.48727836,0.2438576,0.25528072,0.36447729999999995,0.26843763,0.23047827,0.26043278,0.46510909,0.49949751,0.22032232,0.45183763,0.58660489,0.46855412,0.43745689,0.19237959,0.45362397,0.56603686,0.44362037,0.30590248,0.52747844,0.45120786,0.41307172,0.37677154,0.35520013,0.44636541,0.41261997,0.38398398,0.35375777,0.37147555,0.23692978,0.44937226,0.5402819000000001,0.36628008,0.37025021,0.41286984,0.43372759,0.48097403
8,4,1,0.36913119,0.38016198,0.41802296,0.5565302,0.34045014,0.36744133,0.41376173,0.27383952,0.3625932,0.39587573,0.47053095,0.50396793,0.38660885,0.56371284,0.70675798,0.54816626,0.48086480000000004,0.36252742,0.5657677,0.58840419,0.52576768,0.43487996,0.70789415,0.39903555,0.52469813,0.48833165,0.487432,0.58606684,0.52451733,0.37127961,0.39967266,0.42448364,0.36397695,0.49185931,0.72144762,0.39563537,0.45581523,0.4032078,0.40564591,0.60316883
9,4,2,0.42127815,0.50001742,0.57992635,0.54392389,0.44743544,0.44653705,0.51076675,0.37196358,0.5022004,0.50043413,0.56523083,0.49413762,0.5006897,0.75386312,0.77531473,0.63619693,0.5043063,0.55255126,0.70044438,0.54606835,0.54960059,0.48508521,0.83238741,0.45952053,0.60322905,0.57395728,0.61230819,0.63588192,0.67504087,0.35317818,0.48905739,0.48666681,0.49360371,0.57608609,0.83558095,0.44523631,0.49606131,0.38247735,0.38868971,0.5903961
