,,pid1263b-16,pid5667250b-05,pid5667269b-33,pid9048b-29,pid9050b-18,pid9054b-18,pid9055b-16,pid9058b-16,pid9059b-20,pid9061b-13,pid9062b-19,pid9063b-22,pid9066b-16,pid9068-22,pid9069-16,pid9072b-20,pid9074g-16,pid9075b-16,pid9085-09,pid9085-17,pid9086-12,pid9094b-21,pid9097-25,pid9099b-22,pid9103-22,pid9104b-16,pid9114-26,pid9116-05,pid9118b-22,pid9124-16,pid9127-01,pid9130-12,pid9139b-18,pid9153b-18,pid9166l-15,pid9170b-18,pid9173-02,pid9174b-16,pid9185-06,pid918812-16,pid918904-13,pid9192b-18
1,2,0.35681128,1,0.70794253,0.92080268,0.40274949,0.84863245,0.98436983,0.43736972,0.98245471,0.21625297,0.32562185,0.29641691,0.55475175,0.306846,0.43587347,0.65387426,0.36467939,0.59634658,0.086524055,0.036988152,0.10709945,0.095669446,0.15476335,0.93958546,1,0.33807115,1,0.46815943,0.49526453,0.038764374,0.53504249,0.54931434,0.36267945,0.66276401,0.8094786,0.10980052,0.22725953,0.46263669,1,0.044622614,0.34695236,0.077607805
2,0,0.50500921,0.97904581,0.82564163,0.76439036,0.42126458,0.71187711,0.8525368,0.33665909,1,0.46971709,0.57302539,0.46405379,0.63019783,0.36823228,0.6007932,0.73924093,0.51144674,0.71963798,0.30366239,0.1846882,0.21524862,0.25987256,0.18566428,0.91767822,0.96848382,0.40516341,0.83330077,0.33085535,0.58961059,0.22532939,0.47669972,0.67720599,0.69046044,0.77660901,0.80934854,0.32751084,0.45576225,0.55668479,0.87556859,0.23755463,0.65541982,0.38306432
2,1,0.69271274,0.95009002,0.88468835,0.74042233,0.44288095,0.68995879,0.84731641,0.44916619,0.99502203,0.64931574,0.68706185,0.60559078,0.68583204,0.48716197,0.72413598,0.78620546,0.66251546,0.82005723,0.45205593,0.26975743,0.30616022,0.42113751,0.21621519,0.8976113,0.95434412,0.49485265,0.68081469,0.36417376,0.73769878,0.35295699,0.54016289,0.7652315,0.86205946,0.84716448,0.83347423,0.48103209,0.6111706,0.64880814,0.81474862,0.36938521,0.76401008,0.5325544
2,2,0.76841216,0.91658332,0.89249019,0.77271185,0.45352712,0.76133383,0.87097875,0.5758954,0.98057777,0.73209046,0.72842343,0.65836695,0.70661365,0.57749787,0.76490085,0.80731667,0.72384738,0.87615625,0.53156318,0.31640441,0.37724678,0.50903346,0.26105616,0.88485919,0.94258944,0.56338232,0.63163036,0.44967309,0.79801551,0.38958923,0.6261119,0.81096826,0.95283955,0.90354232,0.85927766,0.56143972,0.67099819,0.69161784,0.79334063,0.40768245,0.84364294,0.60948366
3,0,0.89007441,0.88882777,0.8817147,0.8824814,0.46880207,0.8250281,0.94445708,0.72714611,0.95430064,0.82571263,0.75381679,0.74083573,0.73708301,0.67416026,0.78990557,0.83572793,0.78888006,0.93332002,0.64572166,0.35589182,0.44616943,0.68215072,0.29583016,0.87978437,0.93321976,0.63381514,0.60457165,0.54816838,0.89142549,0.42384892,0.82252125,0.85863184,0.99239481,1,0.91413596,0.68846487,0.70704174,0.72535375,0.75804557,0.44459961,0.92224161,0.69913274
3,1,0.96113182,0.86737347,0.86037688,0.96587657,0.48736345,0.80448358,0.98096882,0.76131325,0.93194059,0.89563746,0.75159682,0.80477426,0.73073119,0.69427128,0.79805477,0.85864961,0.82970323,0.97471218,0.71675545,0.38103814,0.5051105,0.69944409,0.3134911,0.88655079,0.93339012,0.6137236,0.61399824,0.55093596,0.91266905,0.4441738,0.86983003,0.89261609,1,0.94844504,0.95555931,0.7786817,0.72242287,0.74798536,0.74794405,0.46393717,0.97026695,0.76029872
3,2,0.94755221,0.81216243,0.79434899,0.92855174,0.46377214,0.67796928,0.87300488,0.76366307,0.8695936,0.91467672,0.61539959,0.76762728,0.64977696,0.59758753,0.77315392,0.89211859,0.88491433,1,0.75155652,0.37545983,0.58930018,0.67373348,0.31130726,0.90455433,0.91584327,0.52948687,0.48121032,0.50929691,0.87161359,0.34835424,0.74943343,0.93395833,0.92877022,0.78475802,0.90855649,0.83326973,0.68232305,0.76700015,0.77088835,0.36703578,1,0.68876576
4,0,0.93092411,0.75955191,0.72025281,0.84182797,0.48028143,0.52731985,0.68092541,0.77948645,0.80777705,0.91077892,0.51457911,0.69510086,0.56602017,0.48856391,0.76437205,0.85458018,0.87911146,0.99068344,0.76312635,0.4187686,0.64395028,0.63822897,0.32837468,0.87486755,0.87776831,0.4584839,0.42182768,0.4270309,0.81923704,0.26139221,0.6254745,0.92912436,0.86750158,0.64675703,0.87188024,0.86279271,0.52025408,0.74995241,0.75443071,0.27588473,0.98190162,0.67771621
4,1,0.98425873,0.74309862,0.67415587,0.8489728,0.54954329,0.57737605,0.63225686,0.85377108,0.78824057,0.90954747,0.54458119,0.71402498,0.52746315,0.52124964,0.76404155,0.84511253,0.85599717,0.9723165,0.76989346,0.50204794,0.69349908,0.60427155,0.45009892,0.86808254,0.92870528,0.45605878,0.44880336,0.41475146,0.83383992,0.44063078,0.6579745,0.92371573,0.88278085,0.63756029,0.87405221,0.88421509,0.50046279,0.70920493,0.75573608,0.45258437,0.95132829,0.74623785
4,2,1,0.75635127,0.67498721,0.87594081,0.58941245,0.6486824,0.69165564,0.8826606,0.7902644,0.91402352,0.60470219,0.77159462,0.56246121,0.62226018,0.76899906,0.85773607,0.86589825,0.94589738,0.77678542,0.55965388,0.72629834,0.57241189,0.49774768,0.88060229,0.97112436,0.5116759,0.45744359,0.44958352,0.89244967,0.54937285,0.71975921,0.91894937,0.94108732,0.66744553,0.88231086,0.89366869,0.56816697,0.67579687,0.78454448,0.56098643,0.9225648,0.7931904
