,,pid1263b-17,pid5667269b-35,pid5667285b-08,pid9048b-21,pid9049b-17,pid9050b-19,pid9054b-19,pid9055b-17,pid9058b-17,pid9059b-21,pid9061b-14,pid9062b-20,pid9063b-23,pid9066b-17,pid9069-17,pid9072b-21,pid9073b-23,pid9074g-17,pid9075b-17,pid9085-18,pid9088-23,pid9094b-25,pid9098-19,pid9099b-23,pid9100b-06,pid9104b-17,pid9114-35,pid9118b-23,pid9137-21,pid9139b-19,pid9153b-19,pid9155b-14,pid9161-04,pid9166b-15,pid9170b-19,pid9174b-17,pid9176-05,pid9192b-19
1,0,0.5443147,0.46919122,0.62683979,0.35872668,0.47872058,0.26254262,0.38408023,0.54774623,0.40472657,0.62089661,0.59042686,0.5001205,0.45428096,0.35500181,0.47608862,0.46465559,0.21841639,0.37656331,0.28123225,0.36470976,0.37199937,0.57899871,0.45538943,0.59020364,0.55258033,0.44958095,0.58215641,0.51388225,0.55488768,0.41672944,0.46690302,0.38615292,0.39272664,0.38514341,0.26031509,0.47131478,0.37027174,0.56900937
1,1,0.80284265,0.78015654,0.8165535,0.63613276,0.7043172,0.41422077,0.56943785,0.7250065,0.5171547,0.81409892,0.79599626,0.7274719,0.75888271,0.54808808,0.74500105,0.64537318,0.37628805,0.58262324,0.44259201,0.51116756,0.58342996,0.88265366,0.64438285,0.7546803,0.74024343,0.69474894,0.82773436,0.71629636,0.78041862,0.73381718,0.69064924,0.56252741,0.55449822,0.52819168,0.43152393,0.71142689,0.58960404,0.77590802
1,2,0.98840393,0.92802333,1,0.85581049,0.87454425,0.53167664,0.75175508,0.9232239,0.62197486,0.95687485,1,0.89918498,0.98407827,0.72865169,0.92712325,0.82763305,0.54807319,0.7516544,0.56918755,0.67186001,0.77768725,1,0.81690039,0.86223079,0.95727361,0.87866202,1,0.96520989,0.95721843,0.97023427,0.88418642,0.71699312,0.74252316,0.66465547,0.58417084,0.96218901,0.80551242,0.97845123
2,0,0.89491061,0.84307858,0.91897596,0.89394868,0.8139874,0.55152663,0.74547374,0.95360423,0.67756385,0.9728742,0.93472504,1,0.94717267,0.81769663,0.97840173,0.90594534,0.5682098,0.75849506,0.61946216,0.65901778,0.84644312,0.80502997,0.78132116,0.8564485,0.9554333,0.93992435,0.99501805,1,0.86237829,1,0.85161386,0.76283748,0.81330851,0.68864113,0.65292317,1,0.87220497,1
2,1,0.80511354,0.76525476,0.81459901,0.94027498,0.76639045,0.54620047,0.70715228,0.90723846,0.68759192,0.90692764,0.87178688,0.97121136,0.89233114,0.89348496,0.91123807,0.89092217,0.55185091,0.74979552,0.61019506,0.62053815,0.83547477,0.6945587,0.76643208,0.76573368,0.89498539,0.92086331,0.89217972,0.94777989,0.77405505,0.91952228,0.79717852,0.74179082,0.81384535,0.67133613,0.67123871,0.93852886,0.8806677,0.86164623
2,2,0.73740538,0.76063536,0.7495779,0.98721429,0.73718097,0.51472839,0.65083135,0.90398736,0.68572002,0.87955819,0.88713195,0.93503933,0.8527506,0.96737949,0.80470982,0.85807895,0.49571633,0.76719459,0.60851588,0.63159281,0.83390787,0.61076507,0.79344881,0.72512361,0.81502434,0.90432396,0.81100599,0.82434841,0.76110557,0.82762517,0.73842234,0.70043863,0.79532427,0.68135712,0.66817741,0.88640968,0.88944099,0.76441026
3,0,0.71540506,0.81437999,0.71826023,0.96313162,0.72315214,0.49048413,0.63135392,0.90975932,0.68886215,0.86339641,0.89312977,0.89572333,0.86851248,1,0.80317704,0.86886687,0.46146387,0.75187746,0.59384509,0.65192398,0.82975556,0.54367728,0.83563281,0.71911506,0.7892113,0.84261663,0.73673385,0.76201517,0.80142605,0.7913367,0.73427875,0.65197761,0.72737899,0.7077737,0.6219891,0.86386075,0.89627329,0.68794639
3,1,0.80345466,0.85942296,0.76480088,0.94675541,0.79197879,0.53623759,0.67521774,0.9338175,0.71299639,0.90229838,0.88604144,0.88639003,0.92920477,0.99574121,0.90016025,0.9231261,0.5098069,0.75998215,0.57721735,0.65850974,0.82630837,0.51843342,0.86627649,0.76938741,0.78888023,0.81814136,0.70122035,0.77331671,0.86490838,0.82251723,0.85094911,0.67812902,0.70221664,0.74180658,0.62883596,0.9226866,0.94169255,0.68097921
3,2,0.91190208,0.89218846,0.87258213,0.90813556,0.88879682,0.59589363,0.72092901,0.93914931,0.6897981,0.99382766,0.82956847,0.85964989,1,0.87621421,1,1,0.5740113,0.79098818,0.59553059,0.68815505,0.81361642,0.51055353,0.95999011,0.77295735,0.76279455,0.77935178,0.69431875,0.86083958,0.90577321,0.78315113,0.99689785,0.65136505,0.71647762,0.75341028,0.58230419,0.99144459,1,0.71808422
4,0,0.87671123,0.8538981,0.90536796,0.85936597,0.87653298,0.59546178,0.7567696,0.87420723,0.70537505,1,0.78291011,0.76248275,0.98499478,0.65284523,0.97220093,0.97626658,0.56781347,0.78325526,0.55783726,0.65467118,0.76090567,0.54612763,1,0.73343669,0.58038948,0.79040273,0.67891586,0.90087267,0.84298091,0.69854846,1,0.58833094,0.69477877,0.71613326,0.48647054,0.96901367,0.98074534,0.70752303
4,1,0.79095668,0.71889963,0.86863645,0.8026885,0.82792509,0.54731419,0.79894431,0.82307985,0.74348175,0.95866158,0.76861661,0.63417172,0.91186564,0.47605111,0.84616456,0.85799904,0.5180285,0.76793814,0.49020264,0.56724998,0.68885929,0.54601598,0.95690925,0.65052376,0.49794547,0.81932804,0.58722976,0.85699472,0.7599172,0.53116215,0.93042322,0.61119262,0.69293445,0.62688003,0.44111103,0.84635657,0.89945652,0.63515571
4,2,0.69548236,0.56546961,0.65512938,0.52980997,0.68124793,0.46332298,0.81039852,0.72609687,0.70123011,0.74411597,0.73528587,0.40979997,0.7732485,0.49080283,0.62317982,0.60977305,0.46249262,0.6536025,0.42198725,0.40317998,0.65766217,0.44257257,0.72954426,0.44757395,0.42481986,0.48568568,0.25263495,0.27260017,0.75276393,0.30163528,0.74547603,0.6468275,0.66519179,0.48520462,0.29150302,0.60380568,0.74118789,0.41136069
5,0,0.58965212,0.51073511,0.47605065,0.46060951,0.55702685,0.4427987,0.76241752,0.62636296,0.64654366,0.5312434,0.72019785,0.38246829,0.64277341,0.58355382,0.50459137,0.43265143,0.45972679,0.50587404,0.35139196,0.36740051,0.64447665,0.37121871,0.63964307,0.39925417,0.41110029,0.34314322,0.15315142,0.36964196,0.78080196,0.29084061,0.67767191,0.64781063,0.60062343,0.47432669,0.37709998,0.4703314,0.61876553,0.39119013
5,1,0.56357707,0.47706415,0.40246834,0.44735966,0.51263673,0.45183726,0.72335709,0.46607847,0.56551009,0.44536669,0.71954354,0.38713494,0.57221263,0.72975716,0.50195081,0.33754195,0.48048739,0.45711205,0.34079919,0.39142911,0.56733783,0.36172288,0.59242048,0.42783877,0.43902629,0.37509456,0.17215595,0.46204663,0.83347389,0.33192467,0.66356452,0.73980942,0.57340029,0.51201469,0.49086836,0.39075622,0.52128882,0.42766314
5,2,0.5608391,0.4849294,0.4478987,0.5109204,0.54381008,0.50137132,0.71396147,0.4261849,0.53882872,0.48502396,0.69369061,0.45440703,0.60455698,0.87478253,0.57937713,0.36646156,0.52346741,0.48403599,0.39755697,0.4858124,0.55886869,0.40299095,0.63175032,0.55322216,0.48002921,0.49549803,0.30171854,0.54321966,0.86498505,0.44041341,0.65871187,0.86183166,0.56812711,0.57549843,0.58783693,0.43646376,0.51611801,0.52225691
6,0,0.54822033,0.50150399,0.60501009,0.55077502,0.61798144,0.54968558,0.7003431,0.46909949,0.51438026,0.65083245,0.64816171,0.55792783,0.68945158,0.89534252,0.6820386,0.44927281,0.54198499,0.55044241,0.55644214,0.58309342,0.57944218,0.4745211,0.68579407,0.70600855,0.54358325,0.64513832,0.42113442,0.63222221,0.8236602,0.54339917,0.65436147,0.93261741,0.5790458,0.61329136,0.65927723,0.61627495,0.58381988,0.57070738
