,measure_number,beat_number,pid1263b-18,pid51495-02,pid5667269b-34,pid5667271-03,pid5667285b-09,pid610003b-22,pid9048b-18,pid9049b-18,pid9050b-20,pid9053-21,pid9054b-20,pid9055b-18,pid9057f-03,pid9058b-18,pid9059b-22,pid9061b-15,pid9062b-21,pid9063b-24,pid9066b-18,pid9067-26,pid9068-23,pid9069-18,pid9072b-22,pid9073b-24,pid9074g-18,pid9075b-18,pid9085-19,pid9088-24,pid9098-04,pid9099b-24,pid9101c-14,pid9104b-18,pid9116-15,pid9118b-24,pid9121-08,pid9130-13,pid9139b-20,pid9153b-20,pid9166-11,pid9170b-20,pid9173-01,pid9174b-18,pid918712-15,pid918726-07,pid918904-14,pid9190-12,pid9192b-20
0,1,2,0.16359691,0.2891032,0.23718653,0.31544148,0.3338955,0.25684046,0.30935429999999997,0.31748271,0.18670548,0.12833608,0.25035347,0.17644988,0.3254902,0.17791793,0.50480864,0.22072382,0.1918299,0.24489259,0.33324907,0.25263735,0.23016163,0.5827441999999999,0.35884647,0.15989271,0.19413233,0.37127412,0.17721671,0.13982064,0.29345847,0.27345845,0.20571562,0.19433928,0.087513021,0.2261259,0.28149163,0.18901128,0.22100848,0.2944713,0.22318959,0.21490748,0.28008149,0.42063994,0.17312821,0.21481899,0.24321228,0.31948217,0.1838763
1,2,0,0.31626808,0.50175205,0.35459087,0.51203905,0.4461611,0.43503267,0.55529143,0.44763652,0.34024549,0.22384304,0.40975712,0.29449389,0.39934641,0.30980636,0.55411255,0.42910833,0.33407003,0.41645803,0.50081784,0.36405541,0.31892481,0.70337514,0.58773919,0.31832373,0.29605493,0.4924058,0.27629945,0.2309649,0.5187898,0.45094498,0.48372946,0.35157142,0.14070964,0.36353619,0.42927422,0.35971676,0.36315796,0.54226949,0.41523265,0.41136766,0.43277419,0.68145641,0.3230217,0.34233657,0.36308499,0.51739583,0.28472011
2,2,1,0.39729990000000004,0.58119883,0.48146668,0.59430469,0.46748514,0.55257964,0.69601186,0.46725695,0.45803119,0.2934177,0.50660041,0.33050367,0.43803050000000004,0.36296856,0.5785246999999999,0.60103169,0.40498064,0.56128317,0.61139033,0.39361402,0.37380183,0.76062334,0.73252522,0.39674453,0.41676238,0.56810177,0.36645048,0.30341468,0.70091855,0.54264064,0.65595032,0.45869939,0.17287760000000002,0.43192349,0.51436934,0.43481948,0.45169259,0.62577129,0.47802303,0.52867257,0.58924958,0.80686213,0.42785799,0.42264954,0.43663048,0.57117263,0.34508068
3,2,2,0.43381871,0.60571198,0.52072135,0.6178578,0.50044306,0.62493194,0.73210398,0.47432623,0.52078155,0.33992062,0.49744523,0.30046944,0.45475381,0.37888613,0.58911354,0.74657332,0.44856128,0.61501526,0.57162825,0.3761152,0.41724526,0.75042189,0.77184285,0.45529759,0.46064919,0.57127412,0.41348096,0.32079848,0.76021907,0.56252631,0.7651129,0.50479123,0.22623698,0.43780019,0.52040975,0.47245389,0.46917821,0.65090973,0.50348798,0.5769991999999999,0.61622411,0.83357792,0.47677318,0.45329456,0.45989517,0.53159857,0.34360184
4,3,0,0.44895853,0.5551351999999999,0.50089919,0.55955675,0.52148125,0.60611217,0.66772185,0.52091858,0.51971252,0.39544706,0.44365507,0.27800489,0.45410893,0.42060757,0.60232192,0.8035454000000001,0.43216618,0.59329378,0.56802974,0.3967131,0.45624034,0.72281262,0.73337162,0.45944143,0.48722429999999994,0.52794898,0.38869638,0.35152195,0.78583487,0.54215319,0.80114016,0.51211847,0.25160807,0.45511951,0.54159272,0.48434304,0.4642246,0.62401336,0.46617617,0.56599356,0.57325637,0.81154328,0.49353846,0.43664815,0.45847248,0.54652372,0.33569658
5,3,1,0.40945034,0.4881388,0.44989509,0.49252969,0.48928081,0.47866186,0.55105499,0.51761676,0.43442253,0.44737157,0.37858893,0.27251834,0.44111547,0.44643809,0.55044766,0.73393925,0.39216791,0.51518789,0.55174721,0.43696979,0.47184118,0.68174078,0.67621898,0.40171146,0.46272159999999996,0.47713324,0.32395997,0.37476934,0.72165579,0.52612279,0.72932936,0.50217372,0.27575521,0.44613494,0.55344522,0.46237433,0.41603942,0.55257977,0.43049254,0.54650845,0.46607131,0.73752316,0.46845759,0.3988736,0.40742793,0.61337629,0.29887782
6,3,2,0.36711668,0.42892582,0.36051554,0.43275302,0.43096844,0.38880003,0.47032727,0.44980246,0.32080988,0.46419799,0.33623574,0.26383374,0.39946841,0.42349440000000005,0.46868851,0.55215754,0.35536199,0.41812715,0.56605204,0.4718031,0.45669712,0.62884835,0.6077809000000001,0.30059887,0.4047191,0.44304674,0.27495599,0.382392,0.62938838,0.49905834,0.58796478,0.47496604,0.28430339,0.41618636,0.54389679,0.43234548,0.35352093,0.46016525,0.39896451,0.53638777,0.39268591,0.66023588,0.40058383,0.35130003,0.35397978,0.63403745,0.27422687
7,4,0,0.36029894,0.40551352,0.29990009,0.40965394,0.40657158,0.29585829,0.42464432,0.39496261,0.22704499,0.46725326,0.35827676,0.27150122,0.36938562,0.39880085,0.42862062,0.50083518,0.36722136,0.35651816,0.65851301,0.52842385,0.48598735,0.66581528,0.57626231,0.2229444,0.37137744,0.44224395,0.31662188,0.38862637,0.60769405,0.47798728,0.54525129,0.44577484,0.29720052,0.42678138,0.54663678,0.41705569,0.35471752,0.41540828,0.39013557,0.54704747,0.35119864,0.66689876,0.36531755,0.32401901,0.32205167,0.63322834,0.31411204
8,4,1,0.40969142,0.43036777,0.29349585,0.43307936,0.47100103,0.32638511,0.45549972,0.37998448,0.26327585,0.43311367,0.44064534,0.28499756,0.39125926,0.37143365,0.49283009,0.5611889,0.39546137,0.3552263,0.74816357,0.57244483,0.58598032,0.7722539,0.58387997,0.25830897,0.36958801,0.47232941,0.41328639,0.37851168,0.64454252,0.48495558,0.6449832,0.42812245,0.31942057,0.47214217,0.5386763000000001,0.42083224,0.41594936,0.39462073,0.4040466,0.57217216,0.36137182,0.72289053,0.37416963,0.32943398,0.33478098,0.58715252,0.38797790000000004
9,4,2,0.4172999,0.43736046,0.27976821,0.43936492,0.54703579,0.36393956,0.49937042,0.42046000000000006,0.30257209,0.35445559,0.46896479,0.27750611,0.3711634,0.3185024,0.56264758,0.59711783,0.4296383,0.34284506,0.76792565,0.56771013,0.65493324,0.89684531,0.56041232,0.30203219,0.36570121,0.5081962999999999,0.44581673,0.30331982,0.68096561,0.51717147,0.70974749,0.39668508,0.31503255,0.48765327,0.49356000000000005,0.42216103,0.44910642,0.34512613,0.3915185,0.55736927,0.39831579,0.73537005,0.37954241,0.33723631,0.3804942,0.45876438,0.40941020000000006
