,,pid1263b-19,pid5667285b-10,pid9048b-22,pid9049b-19,pid9050b-21,pid9054b-21,pid9055b-19,pid9058b-19,pid9059b-23,pid9060b-17,pid9061b-16,pid9062b-22,pid9063b-25,pid9064-02,pid9066b-19,pid9067-27,pid9069-19,pid9070b-31,pid9072b-23,pid9074g-19,pid9075b-19,pid9088-25,pid9090-26,pid9094b-27,pid9097-15,pid9098-07,pid9099b-25,pid9100b-08,pid9104b-19,pid9111b-21,pid9112-11,pid9114-34,pid9118b-25,pid9137-22,pid9139b-21,pid9153b-21,pid9166b-09,pid9170b-21,pid9172-12,pid9174b-19,pid9190-11,pid9192b-21
1,0,0.83217456,0.94178425,1,0.84346204,0.82736565,1,0.91460576,0.66369735,0.87244202,1,0.92180198,0.79822792,1,0.73282333,0.66278846,1,1,1,1,0.88630296,1,0.82547057,0.91818117,0.68261316,1,1,0.98248479,0.73637053,0.84150176,1,0.82748756,1,0.89857812,0.90108838,0.94702766,0.84130461,0.90127077,1,0.94143632,1,1,1
1,1,0.90900518,0.95173105,0.97516413,0.70283019,0.91639408,0.88980684,0.99970905,0.62878038,0.95995907,0.83767939,1,0.9521374,0.84860558,0.84071882,0.62625874,0.90676026,0.88564402,0.86622151,0.96793828,0.83845575,0.87995512,0.93394935,0.96487321,0.83387313,0.92018681,0.98083149,1,0.8384356,0.8967388,0.94597833,0.81878109,0.83197773,0.8540314,0.96978668,1,0.95996106,0.81339198,0.94304573,0.83995961,0.96505869,0.95553563,0.86269384
1,2,0.95580621,0.93630966,0.93794129,0.60777753,0.9928933,0.82600297,1,0.65154514,1,0.73639535,0.97321127,1,0.7221817,0.80997402,0.5336451,0.82160842,0.80018445,0.76093714,0.91004317,0.82086385,0.7674431,0.94353183,0.98103585,0.88830081,0.83573818,0.91932186,0.99361734,0.88932906,0.95012638,0.91486914,0.82288557,0.73564461,0.81834059,1,0.96216262,1,0.76786413,0.87529467,0.82645463,0.91580154,0.84379202,0.80963698
2,0,1,0.89420927,0.87532516,0.49766345,1,0.76490342,0.93191737,0.74117453,0.96336971,0.71049887,0.8214888,0.94202153,0.62016722,0.70420035,0.40513112,0.74337454,0.74464597,0.79253972,0.83678958,0.84304196,0.70253232,0.88518138,0.96817757,0.88885378,0.72079325,0.81115181,0.95123942,0.88351315,1,0.887355,0.83967662,0.61734266,0.77067067,0.96203744,0.84486673,0.95235487,0.75518899,0.77378595,0.88684842,0.92699927,0.70013447,0.78432654
2,1,0.92256842,0.77507903,0.77666295,0.34352238,0.91728972,0.67200594,0.69954175,0.90646651,0.83594816,0.61946553,0.70036136,0.76475189,0.54817911,0.56502598,0.3527535,0.69469454,0.63607952,0.81527746,0.74697431,0.92709973,0.57511486,0.69697125,0.89533798,0.76803065,0.54039454,0.7167831,0.80154371,0.80708867,0.83194624,0.75170166,0.84782338,0.47185668,0.63342443,0.77609055,0.69665349,0.79883169,0.76053275,0.60829797,1,0.90518158,0.55858359,0.74743034
2,2,0.55501109,0.59063922,0.51649325,0.29918824,0.6479264,0.52080238,0.45115653,0.75365666,0.6238472,0.4583678,0.56897133,0.63811308,0.40129061,0.45430139,0.24954545,0.5378707,0.42118557,0.62877044,0.66132777,0.69648847,0.41574955,0.53583162,0.65622441,0.5836796,0.42436916,0.58730619,0.65423779,0.57360924,0.56872573,0.58028952,0.68600746,0.27170535,0.49868497,0.56251633,0.5639704,0.58272484,0.53569567,0.45975012,0.8040515,0.74258988,0.46512775,0.60305389
3,0,0.47413092,0.56303493,0.44495231,0.41615292,0.46156542,0.48624071,0.51155077,0.58748488,0.57941337,0.44477215,0.5327391,0.67358553,0.39808092,0.44773383,0.36605769,0.55547078,0.4007634,0.5275213,0.68457782,0.54632761,0.46655626,0.48001369,0.63868975,0.54297338,0.44970724,0.61940705,0.62206472,0.5590526,0.52275445,0.6326335,0.60895522,0.29791661,0.57147407,0.51536787,0.56237282,0.56297919,0.40997882,0.53262612,0.6797299,0.72173514,0.48081578,0.51759254
3,1,0.72630362,0.76934228,0.57087204,0.7418824,0.64677765,0.59482912,0.68302299,0.55240295,0.75375171,0.51375751,0.68980968,0.83284623,0.55564783,0.63705254,0.55686189,0.78584872,0.50230556,0.72380843,0.90048836,0.88883565,0.70776792,0.73495038,0.86351555,0.70582194,0.57869789,0.81600784,0.687962,0.6492414,0.63800012,0.79930016,0.71958955,0.44986084,0.80466631,0.74148019,0.69940301,0.68419131,0.53101988,0.72201792,0.55149565,0.77339508,0.57176154,0.60513338
3,2,0.753652,0.86544838,0.68134522,0.79656648,0.82719042,0.72959881,0.78338667,0.61976245,0.84331514,0.50908175,0.68079981,0.88494865,0.61865215,0.81084007,0.51423951,0.77821863,0.49123373,0.83456136,0.94047703,0.99883633,0.82840047,0.9017796,0.92572373,0.72523106,0.5661857,0.78110411,0.73345703,0.674941,0.6267801,0.85840284,0.77456468,0.47709893,0.83767568,0.77661297,0.74668292,0.81081903,0.64677419,0.78382838,0.69683201,0.81933236,0.64903631,0.69158101
4,0,0.77690459,0.88965996,0.70469466,0.69273804,0.80647391,0.7210104,0.68938755,0.62867041,0.88199181,0.56781642,0.66359913,0.85455986,0.62067224,0.84281178,0.40346154,0.71946691,0.46390511,0.89367948,0.85710241,1,0.72400898,0.91991786,0.90704691,0.68752666,0.52495469,0.75959278,0.73695265,0.73705327,0.56112447,0.80634647,0.8391791,0.48517848,0.7712049,0.73713539,0.74258808,0.84811975,0.66010101,0.68043376,0.87750852,0.79472671,0.6814433,0.7133266
4,1,0.70054549,0.72765826,0.61612783,0.48929355,0.58522196,0.54980684,0.51598051,0.58561531,0.75068213,0.55328562,0.60645628,0.72202441,0.53699568,0.72076357,0.41785839,0.74678264,0.46430474,0.79328805,0.66635997,0.89349031,0.41527941,0.76998631,0.8449824,0.57347342,0.46734281,0.79280968,0.68028796,0.71647842,0.39245423,0.72773464,0.82021144,0.44115978,0.68490589,0.61084893,0.63458337,0.7921991,0.57990388,0.41647808,0.882494,0.7388573,0.58265352,0.62064048
4,2,0.47389978,0.47719176,0.34274743,0.35083918,0.40206386,0.36594354,0.3371254,0.45639503,0.50382674,0.41607021,0.453086,0.57316772,0.39489928,0.64002598,0.38433566,0.55241874,0.33562353,0.56588188,0.46047845,0.77630228,0.28086868,0.55112081,0.70299547,0.50539537,0.38794786,0.68751917,0.4732893,0.47385367,0.33337032,0.51476369,0.62350746,0.29529548,0.45828881,0.41967784,0.46712352,0.51999513,0.41923265,0.2626827,0.69373975,0.61088591,0.37811295,0.5381439
