,measure_number,beat_number,pid1263-01,pid52932-01,pid9048-01,pid9050-01,pid9054-01,pid9055-01,pid9058-01,pid9059-01,pid9062-01,pid9063-01,pid9066-01,pid9067-01,pid9068-01,pid9072-01,pid9075-01,pid9088-01,pid9093-01,pid9097-09,pid9099-01,pid9101-01,pid9103-01,pid9104-01,pid9105-01,pid9118-01,pid9137-01,pid9138-01,pid9139-01,pid9150-15,pid9153-01,pid9166c-03,pid9173-06,pid9174-01,pid9186c-01,pid9192-01
0,1,2,4.435011299999999,3.0418141,3.8777324,1.109002,3.1811338,2.2980270000000003,3.5526531,1.114036,0.849002,1.5080049999999998,0.8070069999999999,2.066576,0.089002,0.88600907,1.111043,0.189002,1.269002,1.389002,1.169002,0.688005,1.2090023,3.8777324,1.749002,1.06102,1.9040363,0.589002,1.1470069999999999,1.149002,0.95201814,0.7860090000000001,0.224014,0.269002,0.4070068,0.5290020000000001
1,2,0,5.13161,3.9706122,4.7600907,1.648594,4.0402721,3.2685939999999998,4.8529705000000005,1.8285939999999998,1.628594,2.368594,1.728594,2.9257142999999997,0.9685940000000001,1.9969161,1.8085939999999998,1.108594,1.8285939999999998,2.288594,1.908594,1.735941,2.9489342,5.0155102,2.6485939999999997,1.8685939999999999,2.6238549,1.7131290000000001,1.928594,1.908594,1.7285941000000002,1.1899440000000001,1.1885940000000002,1.048594,0.78947846,1.248594
2,2,1,5.893083900000001,4.913083900000001,5.553083900000001,2.260771,4.513083900000001,3.9930839999999996,5.673083900000001,2.1110279999999997,2.253084,2.973084,2.333084,3.7330839,1.653084,2.9130839,2.3506169999999997,1.981542,2.553084,3.121542,2.693084,2.573084,3.8730839,6.093083900000001,3.3130839999999995,2.431028,3.0530839,2.433084,2.813084,2.533084,2.3452154,1.573084,1.813084,1.633084,1.130771,2.153084
3,2,2,6.3661451,5.446145099999999,6.066145099999999,2.586145,4.906145099999999,4.4061449999999995,6.3390476,2.446145,2.626145,3.4061449999999995,2.806145,4.0861451,2.126145,3.3861451000000002,2.626145,2.526145,3.006145,3.5061449999999996,3.166145,3.026145,4.3261451,6.5061450999999995,3.826145,2.766145,3.4061451000000003,2.846145,3.286145,2.966145,2.7167347,2.006145,2.2061450000000002,2.046145,1.4251247,2.546145
4,3,0,7.0102268,6.1102267999999995,6.6702268,3.150227,5.410226799999999,4.890226999999999,7.2302268,2.850227,3.170227,4.0102269999999995,3.4902269999999995,4.5502268,2.730227,4.0304535,3.010227,3.190227,3.5102269999999995,4.290227,3.890227,3.6102269999999996,4.910226799999999,7.1502267999999995,4.750454,3.130227,3.7848526,3.410227,3.790227,3.4902269999999995,3.1702267999999996,2.370227,2.670227,2.550227,1.8302268,3.170227
5,3,1,7.5036961,6.5036961,7.1836961,3.5436959999999997,5.743696099999999,5.243696,7.863696099999999,3.203696,3.603696,4.483696,4.003696,4.9236961,3.143696,4.5636961,3.343696,3.783696,3.883696,4.963696,4.463696,4.023696,5.323696099999999,7.543696099999999,5.503696,3.483696,4.1247392,3.803696,4.203696,3.863696,3.4436961000000004,2.703696,3.0436959999999997,2.943696,2.1636961,3.703696
6,3,2,8.155532899999999,7.0555329,7.8155329,4.195533,6.3355329000000005,5.895533,8.5155329,3.695533,4.315533,5.0955330000000005,4.675533000000001,5.575532900000001,3.735533,5.155532900000001,3.9355330000000004,4.395533,4.615533,5.875533,5.175533000000001,4.675533000000001,6.0955329,8.075532899999999,6.175533000000001,3.995533,4.495532900000001,4.395533,4.835533,4.395533,3.9155328999999996,3.155533,3.615533,3.5027660000000003,2.5755329,4.415533
7,4,0,8.6053515,7.5653515,8.4853515,4.585351,6.8776871,6.585350999999999,8.9853515,4.007676,4.785351,5.625351,5.145351,6.0453515,4.365351,5.6453515,4.367676,5.025351000000001,5.245351,6.845350999999999,5.665351,5.125351,6.9053515,8.5653515,6.805350999999999,4.467676,4.7453515,4.805351,5.511406,4.845351,4.3253515,3.505351,3.985351,3.885351,2.8853515,5.005351
8,4,1,9.0554649,8.0118594,9.171859399999999,4.866976999999999,7.1718594,7.071859,9.3572789,4.311858999999999,5.111859,6.071859,5.431858999999999,6.411859400000001,4.811858999999999,6.0718594,4.5813180000000004,5.470619999999999,5.84093,7.511858999999999,6.10093,5.451859,7.4518594,8.9318594,7.411859,4.731859,5.13161,5.111859,6.031859,5.211859,4.6518594,3.8318589999999997,4.271859,4.1718589999999995,3.2118594,5.411859
9,4,2,9.5024717,8.4024717,9.702471699999998,5.282472,7.616235799999999,7.4824720000000005,9.802471699999998,4.682472,5.582472,6.442472,5.862472,6.7824717,5.262472,6.5424717,4.902472,5.742472,6.262472,7.962472,6.542472,5.786236,8.0224717,9.262471699999999,8.122472,5.0624720000000005,5.4224717,5.442472,6.4824720000000005,5.642472,5.0224717000000005,4.242472,4.702472,4.4824720000000005,3.6024717000000006,5.882472
