,measure_number,beat_number,pid1263-02,pid52932-02,pid9048-02,pid9049-02,pid9050-02,pid9054-02,pid9055-02,pid9058-02,pid9059-02,pid9060-02,pid9061-02,pid9062-02,pid9063-02,pid9065-01,pid9067-02,pid9068-02,pid9072-02,pid9074f-02,pid9075-02,pid9088-02,pid9090-01,pid9093-02,pid9094-02,pid9097-10,pid9098-03,pid9101-02,pid9104-02,pid9112-04,pid9118-02,pid9137-02,pid9138-02,pid9139-02,pid9150-16,pid9153-02,pid915406-12,pid9166c-04,pid9170-02,pid9173-07,pid9174-02,pid9176-02,pid9186c-02,pid9192-02
0,1,0,0.75918367,0.75464853,1.7306122,1.8053515,0.65015873,0.91138322,0.67337868,0.30204082,0.31927438,0.75464853,1.0448979999999999,0.87655329,1.7937415,2.2523356,0.6122449000000001,0.13351474,1.1377778,1.7124717,1.4612245000000001,0.60371882,1.4802721,0.85913832,0.88235828,0.83487528,0.45714286,0.52208617,0.6153288,0.66176871,1.7647166,0.71836735,0.5877551,0.87346939,0.48163265,0.82430839,0.68498866,0.83591837,0.34829932,0.26702948,0.31020408,1.1029478000000001,1.4530611999999998,0.50503401
1,1,1,1.755102,1.3467573999999998,2.3673469,2.3626304,1.195102,1.397551,1.3387755,0.91718821,0.94040816,1.561542,1.6137868,1.5557370000000001,2.6006348999999997,2.9469388,1.3469388,0.83591837,1.7008617,2.3428571,2.0408163,1.4396372,2.072381,1.4338322000000001,1.5428571000000002,1.5265306,1.2734694,1.3699773000000002,1.4164172,1.5789568999999999,2.3150112999999997,1.2408163,1.355102,1.4857143,1.355102,1.6897958999999998,1.3119273999999999,1.2538776000000003,1.0448979999999999,1.0681178999999998,0.94693878,1.5673469,1.9836735,1.2153061
2,1,2,2.4571429,1.7995465,3.1102041000000002,2.8386395,1.6253968,1.8343764,1.9969161,1.3583673,1.477551,2.2639456,2.1594558,2.2871655,3.2391837000000003,3.4655782,2.0979592,1.3467573999999998,2.2291156,2.9959184,2.5469388,1.8575964,2.5632653,1.9673468999999997,2.3265306,2.2040816000000003,1.7959183999999997,1.8808163,1.9853061,2.2523356,2.7631745999999997,1.7877551,1.9673468999999997,2.1061224,2.2204082,2.5774150000000002,1.7763265,1.7182766,1.5092971000000002,1.7877551,1.3877551000000001,1.9346938999999999,2.4816327,1.6137868
3,2,0,3.0857143,2.1014058999999996,3.4938776,3.2159637,2.0375509999999997,2.2160544,2.3452154,1.7356916,1.9911111000000001,2.6993197,2.5135601000000003,2.8154195,3.7035828,3.8612245,2.7265306000000002,1.7473016,2.6238549,3.3551019999999996,3.0040816,2.1469388,2.9795917999999997,2.3278005,2.7102041,2.6693877999999995,2.2734693999999998,2.2755556,2.3684354,2.6367347000000003,3.0998639,2.0897959,2.4408163,2.5469388,2.9959184,3.1463039,2.1183673,2.2285714,1.9346938999999999,2.1469388,1.7469388,2.3428571,2.8734694,1.9504761999999998
4,2,1,3.8367347,2.4729252,4.0,3.6397279,2.5077551,2.6557823,2.6819048,2.1826757000000003,2.554195,3.1695238,2.9315192999999997,3.3494785000000005,4.2376417,4.3755102,3.3609524,2.2755556,3.047619,3.8122449,3.4693878,2.644898,3.4204082000000002,2.7399546000000004,3.2244897999999997,3.2653061,2.844898,2.6993197,2.9024943,3.044898,3.4365532999999995,2.4489796000000004,2.9224490000000003,3.0204082000000003,3.8367347,3.6979592000000006,2.4612244999999997,2.6122449,2.5306122,2.5306122,2.1877551,2.7747846000000003,3.2979592,2.4206803
5,2,2,4.544829900000001,2.9257142999999997,4.475646299999999,4.130204099999999,3.0287075,3.0771429,3.1579137999999998,2.6122449,3.2043537,3.7500226999999997,3.3552834000000002,3.9346938999999996,4.8878005,4.9058957,3.9886621,2.7331293,3.564263,4.277551,4.0053288,3.1579137999999998,3.9346938999999996,3.2,3.7500226999999997,3.8725623999999996,3.477551,3.1925624,3.3993197,3.6275282999999994,3.9226757000000005,2.9129932000000003,3.4398638999999998,3.4938776,4.7729252,4.3866213,2.9046258999999996,3.2391837000000003,3.1017914,3.0792062999999996,2.6122449,3.2650567,3.6897959000000005,2.8560543999999997
6,3,0,5.5183672999999995,3.3494785000000005,4.9959184,4.530793599999999,3.4887982,3.4960544000000002,3.6734693999999997,3.0127891,3.9241723,4.667210900000001,3.7964626000000004,4.8408163,5.5553741,5.371428599999999,4.644898,3.2856236000000005,3.9822222000000003,4.7755102,4.4816327000000005,3.5591837,4.2782766,3.7224489999999997,4.155101999999999,4.3755102,4.0938776,3.8196825,3.9558503,4.2530612,4.4117914,3.3469387999999998,4.0489796,4.0163265,5.9265305999999995,5.1432199999999995,3.4897959000000003,3.6816327000000006,3.6163265,3.6326531,3.0040816,3.7268027000000004,4.0979592,3.3030385
7,3,1,6.0897959,3.7151927000000002,5.4693878,4.947301599999999,3.9183672999999994,3.8878912000000003,4.0344671000000005,3.3901133999999997,4.4734694,5.114195,4.1679819,5.2535147,6.0604082,5.7795917999999995,5.2,3.7151927000000002,4.3595464999999995,5.1896599000000005,4.955102,3.9183672999999994,4.6962358,4.0897959,4.742857099999999,4.8489796,4.5877551,4.2492517,4.4015645999999995,4.6204082,4.7600907,3.6571428999999998,4.4816327000000005,4.4979592,6.897959200000001,5.6081633,3.844898,4.0653061,4.0653061,4.0518821,3.3795917999999996,4.109932,4.4244898,3.7558277
8,3,2,6.766576,4.1273469,6.0952380999999995,5.3977551,4.3595464999999995,4.3035147,4.5877551,3.7558277,5.092539700000001,5.793378700000001,4.574331099999999,5.9755101999999995,6.5596372,6.2287528,5.8530612,4.1970068,4.8239456,5.6897959,5.4122449,4.2367347,5.0793650999999995,4.522449,5.2816327,5.428571400000001,5.0163265,4.673015900000001,4.8181405999999996,5.1673469,5.1664399,4.155101999999999,4.938775499999999,4.938775499999999,7.804081599999999,6.1469388,4.2408163,4.4734694,4.465306099999999,4.4734694,3.8040816,4.4489795999999995,4.767346900000001,4.202811799999999
9,4,0,7.6571429,4.5046712,6.4979592,5.8731292999999996,4.8471655,4.6541497000000005,5.0039002,4.138956899999999,5.771428599999999,6.3216327,4.9690703,6.6857143,7.2330159,6.710566900000001,6.4571429,4.6904308,5.2419047999999995,6.118458,5.9265305999999995,4.6122449,5.4741043,4.9342404,5.6897959,5.951020400000001,5.5428571,5.2593197,5.3638095,5.755102,5.5379592,4.5877551,5.4040816,5.5183672999999995,8.6530612,6.7346939,4.6612245,4.9877551,4.8897959,4.9469388,4.2122449,4.8489796,5.1428571,4.7252608
