,measure_number,beat_number,pid1263-03,pid52932-03,pid9048-03,pid9049-03,pid9050-03,pid9054-03,pid9055-03,pid9058-03,pid9059-03,pid9060-03,pid9061-03,pid9062-03,pid9063-03,pid9066-03,pid9067-03,pid9072-03,pid9074f-03,pid9075-03,pid9088-03,pid9091-20,pid9093-03,pid9094-03,pid9097-06,pid9099-03,pid9101-03,pid9104-03,pid9105-03,pid9111-03,pid9112-05,pid9114-27,pid9118-03,pid9137-03,pid9138-03,pid9139-03,pid9150-17,pid9153-03,pid9166c-05,pid9170-03,pid9173-08,pid9174-03,pid9186c-03,pid9192-03
0,1,0,0.7609999999999999,0.8809999999999999,1.7409999999999999,1.281,0.64099773,1.0609977,0.55727891,0.32507937,0.381,0.401,1.5609977,0.841,1.521,0.981,0.601,0.841,2.121,0.6409999999999999,0.31020408,0.501,0.7809999999999999,0.8009999999999999,0.485857,0.381,0.501,0.42100000000000004,1.041,0.18100000000000002,0.741,1.561,1.681,0.361,0.6409999999999999,0.601,0.261,0.701,0.7809999999999999,0.341,0.301,0.321,0.741,0.48100000000000004
1,1,1,1.0834489999999999,1.203449,2.163449,1.823449,0.96344671,1.3834467,1.0681178999999998,0.60371882,0.703449,0.723449,1.9234467,1.123449,1.9034490000000002,1.283449,0.9503469999999999,1.143449,2.463449,0.963449,0.60408163,0.823449,1.0834489999999999,1.183449,0.7634489999999999,0.703449,0.823449,0.743449,1.363449,0.5034489999999999,1.063449,1.8834490000000002,2.1434490000000004,0.683449,1.003449,0.923449,0.583449,1.023449,1.103449,0.703449,0.623449,0.6434489999999999,1.183449,0.843449
2,1,2,1.4899799999999999,1.58998,2.52998,2.16998,1.2699773,1.7099773,1.5092971000000002,0.90997732,1.06994,1.04998,2.2499773,1.4499799999999998,2.24998,1.60998,1.28998,1.42998,2.84998,1.30998,0.89795918,1.14998,1.38998,1.5099799999999999,1.08998,1.04998,1.14998,1.06998,1.68998,0.76998,1.36999,2.28992,2.48998,0.94999,1.40994,1.2499799999999999,0.9099799999999999,1.36996,1.36998,1.04998,1.58998,0.96998,1.5099799999999999,1.16998
3,2,0,1.8083470000000001,1.908347,2.968347,2.488347,1.5883447,2.0283447,1.9272561999999998,1.2283447,1.388347,1.368347,2.6083447,1.7883470000000001,2.683388,1.909173,1.648347,1.7094490000000002,3.388347,1.628347,1.1591837,1.4683469999999998,1.6694490000000002,1.8683470000000002,1.408347,1.4683469999999998,1.4683469999999998,1.4483469999999998,2.008347,1.088347,1.688347,2.608347,2.808347,1.388347,1.728347,1.568347,1.2283469999999999,1.688347,1.6494490000000002,1.428347,1.908347,1.288347,1.8283470000000002,1.4883469999999999
4,2,1,2.122224,2.3222240000000003,3.2622240000000002,2.8022240000000003,1.8822221999999997,2.3222222,2.2755556,1.4822222,1.7022240000000002,1.6622240000000001,2.9622222000000002,2.082224,3.002224,2.102224,1.9422240000000002,2.002224,3.6822239999999997,1.934448,1.4530611999999998,1.8022240000000003,1.9622240000000002,2.162224,1.7022240000000002,1.7822240000000003,1.7022240000000002,1.7422240000000002,2.4022240000000004,1.382224,1.9822240000000002,2.9022240000000004,3.222224,1.6822240000000002,2.142224,1.862224,1.582224,2.082224,1.8822240000000001,1.7222240000000002,2.4022240000000004,1.562224,2.122224,1.7822240000000003
5,2,2,2.448755,2.648755,3.7287550000000005,3.128755,2.2087527999999996,2.5887528,2.6702947999999997,1.7287528000000003,2.08502,1.9887549999999998,3.2887527999999997,2.4087549999999998,3.328755,2.4287549999999998,2.268755,2.328755,4.008755000000001,2.268755,1.7632653000000003,2.128755,2.248755,2.56751,2.028755,2.108755,1.9887549999999998,2.068755,2.728755,1.568755,2.2693779999999997,3.228755,3.7087550000000005,2.048755,2.488755,2.188755,1.908755,2.42751,2.128755,2.048755,2.8887549999999997,1.868755,2.508755,2.108755
6,3,0,2.771204,3.0512040000000002,4.151204,3.451204,2.5312018,2.9112017999999997,3.0418141,2.0112018,2.431204,2.331204,3.6112017999999995,2.731204,3.651204,2.651204,2.671204,2.651204,4.491204,2.6112040000000003,2.0734694,2.451204,2.5312040000000002,2.891204,2.331204,2.431204,2.251204,2.371204,3.151204,1.891204,2.5712040000000003,3.5502010000000004,4.151204,2.331204,2.811204,2.511204,2.231204,2.751204,2.420301,2.371204,3.391204,2.191204,2.851204,2.451204
7,3,1,3.141,3.341,4.441,3.741,2.7809977000000003,3.1809977000000003,3.2972336,2.2409977000000003,2.781,2.6210000000000004,3.9009977,3.0210000000000004,4.041,2.9410000000000003,2.9210000000000003,2.8810000000000002,4.7410000000000005,2.9010000000000002,2.3836735,2.741,2.781,3.341,2.6210000000000004,2.781,2.541,2.661,3.4410000000000003,2.081,2.841,3.821,4.461,2.5810000000000004,3.181,2.801,2.541,3.1210000000000004,2.6010000000000004,2.661,3.681,2.441,3.141,2.741
8,3,2,3.4675309999999997,3.687531,4.767531,4.067531,3.1075283,3.4875282999999997,3.6223129000000003,2.5675282999999998,3.142593,3.007531,4.2475283,3.3675309999999996,4.427531,3.4475309999999997,3.247531,3.207531,5.067531,3.227531,2.6938776,3.0875310000000002,3.0675310000000002,3.747531,3.1875310000000003,3.1075310000000003,2.847531,3.0250619999999997,3.8675309999999996,2.407531,3.1675310000000003,4.147531,4.807531,2.849383,3.5275309999999998,3.1275310000000003,2.885062,3.4475309999999997,2.927531,2.987531,4.027531,2.767531,3.4675309999999997,3.0675310000000002
9,4,0,3.8014080000000003,4.0014080000000005,5.161408,4.361408,3.4014059000000003,3.7814059,3.9938322,2.8014059,3.4528160000000003,3.521408,4.5414059,3.661408,4.761408,3.7414080000000003,3.541408,3.481408,5.512816,3.5328160000000004,3.0040816,3.381408,3.3614080000000004,4.072816,3.521408,3.4728160000000003,3.121408,3.3214080000000004,4.181408,2.621408,3.461408,4.601408,5.201408,3.101408,3.8442239999999996,3.421408,3.1814080000000002,3.792816,3.1909509999999996,3.2814080000000003,4.572816,3.021408,3.7614080000000003,3.3614080000000004
10,4,1,4.263857,4.323857,5.623857,4.703857,3.7438549,4.1038549,4.2956916,3.1238549,3.783857,3.843857,4.903854900000001,4.163857,5.083857,4.063857,3.883857,3.803857,5.923857,3.983857,3.3632652999999997,3.703857,3.683857,4.523857,3.843857,3.817714,3.7238569999999998,3.643857,4.583857,3.123857,3.783857,4.923857,5.563857,3.423857,4.183857,3.7438569999999998,3.503857,4.143857,3.263464,3.763857,4.903857,3.343857,4.223857,3.703857
11,4,2,4.621816,4.681816,6.001816000000001,5.125908,4.041814100000001,4.361814099999999,4.6207709999999995,3.4018141,4.141816,4.121816,5.2218141,4.461816000000001,5.441816,4.321816,4.181816,4.081816000000001,6.321816,4.341816000000001,3.7061224000000004,4.121816,4.032954,4.941816,4.125908,4.241816,4.021816,4.001816000000001,4.901816,3.441816,4.081816000000001,5.2218160000000005,6.081816000000001,3.7218160000000005,4.481816,4.041816000000001,3.8218160000000005,4.481816,3.5618160000000003,4.061816,5.201816,3.598636,4.521816,4.001816000000001
12,5,0,4.968755000000001,5.028755,6.348755000000001,5.448755,4.4087528,4.6887528,4.9690703,3.7362585,4.526265,4.468755000000001,5.5687527999999995,4.968755000000001,5.788755,4.659378,4.548755,4.419378,6.748755,4.6887550000000005,3.7061227,4.468755000000001,4.328755,5.348755000000001,4.459378,4.64751,4.348755000000001,4.348755000000001,5.2687550000000005,3.808755,4.419378,5.553751,6.608755,4.059377,4.808755000000001,4.388755000000001,4.1887550000000005,4.828755,4.048755,4.359792,5.519378,3.879378,4.748755,4.348755000000001
13,5,1,5.258551000000001,5.318551,6.678551,5.738551,4.6985488,4.9785487999999996,5.2477098,3.9185488,4.875653,4.818551,5.8585487999999994,5.258551000000001,6.078551,4.938551,4.878551,4.6385510000000005,7.187102,5.0585510000000005,3.9346938999999996,4.758551000000001,4.627102,5.6385510000000005,4.718551000000001,4.938551,4.658551,4.658551,5.604204,4.0985510000000005,4.698551,5.778551,6.944203999999999,4.178551000000001,5.118551,4.678551000000001,4.498551,5.118551,4.338551,4.5985510000000005,5.778551,4.118551,5.038551,4.6385510000000005
14,5,2,5.552429,5.692429,6.972428999999999,6.0324290000000005,4.9524263,5.2324263,5.596009099999999,4.1924263,5.292429,5.112429,6.1524263,5.512429,6.412429,5.452429,5.152429,4.891215,7.492429,5.352429,4.244898,5.052429,4.932429,5.932429,5.012429,5.274858,5.012429,4.952429,5.932429,4.392429,4.9924290000000004,6.0724290000000005,7.332428999999999,4.472429,5.512429,4.972429,4.792429,5.412429,4.592429,4.872429,6.0724290000000005,4.352429,5.332429,4.932429
15,6,0,6.056102,6.076102,7.516102,6.4161019999999995,5.3360998,5.5560998,6.083628099999999,4.5760998,5.696102,5.536102,6.5360998,5.896102,6.796102,5.8761019999999995,5.556102,5.216101999999999,7.9561020000000005,5.733051000000001,4.6204082,5.436102,5.3361019999999995,6.316102,5.396102,5.796101999999999,5.3761019999999995,5.496102,6.316102,4.816102,5.196102,6.3761019999999995,8.076102,4.8361019999999995,5.896102,5.356102,5.176101999999999,5.796101999999999,4.9161019999999995,5.256101999999999,6.456102,4.736102,5.676101999999999,5.276102
