,measure_number,beat_number,pid1263-04,pid52932-04,pid9048-04,pid9050-04,pid9054-04,pid9055-04,pid9058-04,pid9059-04,pid9061-04,pid9062-04,pid9063-04,pid9066-04,pid9067-04,pid9070-12,pid9072-04,pid9073-06,pid9074f-04,pid9075-04,pid9088-04,pid9093-04,pid9094-04,pid9097-11,pid9099-04,pid9101-04,pid9104-04,pid9105-04,pid9111-04,pid9114-31,pid9118-04,pid9138-04,pid9139-04,pid9150-18,pid9153-04,pid9166c-06,pid9170-04,pid9173-09,pid9174-04,pid9186c-04,pid9192-04
0,1,2,0.637279,0.677279,1.4372790000000002,0.637279,0.717279,0.737279,0.277279,0.117279,1.1172790000000001,0.49727899999999997,0.797279,1.997279,0.517279,0.317279,0.8372790000000001,0.9772790000000001,1.717279,0.457279,0.337279,1.1772790000000002,1.457279,0.717279,0.177279,0.557279,0.397279,0.8772790000000001,0.037279,0.337279,2.0372790000000003,0.657279,0.717279,0.217279,0.617279,0.617279,0.157279,0.257279,0.277279,1.4372790000000002,0.457279
1,2,0,1.437052,1.157052,1.957052,0.957052,1.3370520000000001,1.897052,1.057052,0.6570520000000001,1.737052,1.3570520000000001,1.417052,2.9441040000000003,1.037052,0.8970520000000001,1.457052,1.3170520000000001,2.457052,1.0770520000000001,1.117052,1.617052,2.157052,1.617052,0.997052,1.457052,1.017052,1.717052,0.9170520000000001,1.377052,2.757052,1.477052,1.303526,0.5370520000000001,1.057052,0.977052,1.057052,0.892351,0.837052,1.937052,1.257052
2,2,1,1.7562810000000002,1.536281,2.296281,1.256281,1.5962809999999998,2.396281,1.7762810000000002,0.9362809999999999,2.1562810000000003,1.6562810000000001,1.7362810000000002,3.636281,1.336281,1.176281,1.856281,1.5962809999999998,2.916281,1.3962809999999999,1.7562810000000002,2.0362810000000002,2.633141,2.1162810000000003,1.576281,1.9562810000000002,1.516281,2.236281,1.5962809999999998,1.7962810000000002,3.216281,1.9762810000000002,1.6762810000000001,0.8362809999999999,1.3962809999999999,1.256281,1.516281,1.296281,0.996281,2.296281,1.9762810000000002
3,2,2,2.18585,1.86585,2.781701,1.60585,1.90585,2.82585,2.457551,1.32585,2.52585,2.10585,2.10585,4.22585,1.74585,1.46585,2.24585,1.96585,3.50585,1.72585,2.12585,2.46585,2.96585,2.70585,2.28585,2.38585,1.90585,2.76585,2.02585,2.46585,3.54585,2.44585,2.06585,1.14585,1.76585,1.54585,1.94585,1.74585,1.32585,2.58585,2.40585
4,3,0,2.46449,2.08449,3.10449,1.8844900000000002,2.12449,3.10449,2.84449,1.56449,2.80449,2.32449,2.40449,4.66449,1.96449,1.68449,2.52449,2.2444900000000003,3.84449,1.96449,2.40449,2.6644900000000002,3.2644900000000003,3.08449,2.6844900000000003,2.6644900000000002,2.1844900000000003,3.1844900000000003,2.2644900000000003,2.79898,3.7444900000000003,2.7444900000000003,2.32449,1.38449,2.04449,1.7844900000000001,2.2244900000000003,2.02449,1.613469,2.80449,2.753469
5,3,1,2.736565,2.323129,3.443129,2.223129,2.3831290000000003,3.4031290000000003,3.263129,1.843129,3.063129,2.563129,2.683129,4.923129,2.283129,1.9631290000000001,2.8831290000000003,2.563129,4.203129,2.183129,2.683129,2.9031290000000003,3.643129,3.523129,3.063129,2.943129,2.483129,3.6962589999999995,2.563129,3.083129,4.023129,3.063129,2.623129,1.663129,2.3431290000000002,2.083129,2.563129,2.303129,1.8665650000000003,3.063129,3.103129
6,3,2,3.147528,2.658764,3.747528,2.547528,2.687528,3.727528,3.627528,2.147528,3.4075279999999997,2.8081270000000003,3.0075279999999998,5.387528,2.607528,2.207528,3.247528,2.9075279999999997,4.587528,2.4887639999999998,3.0075279999999998,3.187528,3.9875279999999997,4.067528,3.4675279999999997,3.4075279999999997,2.827528,4.167528,2.9875279999999997,3.318764,4.327528,3.5075279999999998,3.0275279999999998,1.8675279999999999,2.627528,2.327528,2.9275279999999997,2.767528,2.107528,3.307528,3.547528
7,4,0,3.344218,3.024218,4.244218,2.884218,3.064218,4.064218,3.9642180000000002,2.484218,3.704218,3.104218,3.358435,5.784218,3.084218,2.564218,3.584218,3.224218,4.904218,2.824218,3.4642180000000002,3.524218,4.324218,4.564218,3.864218,3.744218,3.164218,4.704218,3.324218,3.624218,4.644218,3.864218,3.364218,2.204218,2.937109,2.644218,3.304218,3.044218,2.324218,3.584218,3.946871
8,4,1,3.6028569999999998,3.322857,4.542857,3.162857,3.322857,4.382857,4.362857,2.762857,4.002857,3.342857,3.662857,6.135714,3.322857,2.802857,3.902857,3.522857,5.262857,3.062857,3.842857,3.802857,4.762857,5.082857,4.4557139999999995,4.022857,3.462857,5.182857,3.682857,3.902857,4.922857,4.182857,3.682857,2.422857,3.202857,2.902857,3.662857,3.342857,2.6028569999999998,3.842857,4.422857
9,4,2,3.896213,3.633107,4.9762129999999996,3.5131069999999998,3.593107,4.673107,4.7731069999999995,3.053107,4.2731069999999995,3.633107,3.953107,6.4362129999999995,3.613107,3.093107,4.213107,3.853107,5.813107,3.313107,4.133107,4.133107,5.276212999999999,11.773107000000001,4.993107,4.313107,3.793107,5.673107,3.993107,4.171553,5.213107,4.533107,3.973107,2.713107,3.5162129999999996,3.15932,3.9962129999999996,3.613107,2.810777,4.091553,4.753107
10,5,0,4.142721,3.902721,5.282721,3.782721,3.806361,4.902721,5.142721,3.302721,4.502721,3.822721,4.2427209999999995,6.920884,3.862721,3.322721,4.502721,4.142721,6.142721,3.5227209999999998,4.382721,4.306361,5.602721,12.242721000000001,5.328163,4.562721,4.042721,6.115442,4.2427209999999995,4.382721,5.422721,4.822721,4.222721,2.9427209999999997,3.762721,3.4427209999999997,4.282721,3.882721,3.0227209999999998,4.282721,5.102721
11,5,1,4.409751,4.189751,5.629751000000001,4.089751000000001,4.039875,5.189751,5.4697510000000005,3.539875,4.749751,4.0497510000000005,4.4697510000000005,7.209751,4.129751000000001,3.574938,4.769751,4.429751,6.489751,3.749917,4.649751,4.52325,5.949751,12.809751,5.709751,4.829751,4.349751,6.589751,4.5497510000000005,4.649751,5.669875,5.109751,4.529751,3.199875,4.029751,3.6965839999999996,4.589751000000001,4.149751,3.249751,4.5097510000000005,5.429751
12,5,2,4.730295,4.590294999999999,6.030295,4.430295,4.330295,5.530295,5.970295,3.9102949999999996,5.110295,4.370295,4.870295,7.690589999999999,4.390295,3.9102949999999996,5.150295,4.7902949999999995,6.890295,4.090294999999999,5.130294999999999,4.850295,6.350295,13.950295,6.370295,5.230295,4.730295,7.110295,5.170294999999999,4.930295,6.090294999999999,5.550294999999999,4.930295,3.4900589999999996,4.330295,4.010294999999999,5.010294999999999,4.630294999999999,3.5502949999999998,4.775074,5.890295
