,measure_number,beat_number,pid1263-05,pid51495-03,pid9048-05,pid9049-05,pid9050-05,pid9053-22,pid9054-05,pid9055-05,pid9058-05,pid9059-05,pid9060-05,pid9062-05,pid9063-05,pid9065-02,pid9066-05,pid9067-05,pid9068-03,pid9072-05,pid9074f-05,pid9093-06,pid9094-05,pid9097-08,pid9098-05,pid9099-05,pid9100b-01,pid9101-05,pid9103-02,pid9104-05,pid9105-05,pid9118-05,pid9138-05,pid9139-05,pid9153-05,pid9166c-08,pid9170-06,pid9173-10,pid9174-05,pid9186c-05,pid918719b-01,pid918904-01,pid9192-05
0,1,0,0.7881630000000001,0.529081,1.7481630000000001,1.688163,0.648163,1.708163,0.9681629999999999,0.708163,0.288163,0.32816300000000004,0.408163,0.728163,1.3881629999999998,0.9481629999999999,1.204489,0.628163,0.128163,0.7881630000000001,2.288163,1.008163,0.8681629999999999,0.6681630000000001,0.468163,0.348163,1.1481629999999998,0.528163,0.566326,0.628163,1.088163,1.848163,0.44816300000000003,0.808163,0.568163,0.8281629999999999,0.35636,0.288163,0.368163,0.8681629999999999,0.9081629999999999,1.628163,0.508163
1,1,1,1.434082,0.962041,2.422041,2.1560200000000003,1.362041,2.122041,1.4220409999999999,1.182041,0.662041,0.7220409999999999,0.782041,1.322041,1.8060200000000002,1.462041,1.762041,1.062041,0.582041,1.122041,2.722041,1.5260209999999998,1.362041,1.282041,0.902041,0.896021,1.696021,1.062041,1.142041,1.282041,1.682041,2.322041,0.862041,1.302041,1.222041,1.322041,0.7760199999999999,0.9820409999999999,1.022041,1.582041,1.302041,2.122041,0.922041
2,1,2,1.9832880000000002,1.376644,2.956644,2.536644,1.9366439999999998,2.496644,1.856644,1.7032880000000001,1.016644,1.156644,1.216644,1.6966439999999998,2.163322,1.856644,2.2566439999999997,1.5566440000000001,0.9766440000000001,1.5033219999999998,3.216644,1.9166439999999998,1.7393290000000001,1.796644,1.376644,1.2966440000000001,2.078881,1.393322,1.5366440000000001,1.6766439999999998,2.136644,2.7966439999999997,1.256644,1.7166439999999998,1.636644,1.6766439999999998,1.176644,1.393322,1.476644,1.9966439999999999,1.623322,2.536644,1.3166440000000001
3,2,0,2.411156,1.7511560000000002,3.3711559999999996,2.891156,2.392312,2.831156,2.271156,2.0911560000000002,1.277052,1.512312,1.551156,2.031156,2.491156,2.1911560000000003,2.571156,1.891156,1.311156,1.691156,3.591156,2.232312,1.9911560000000001,2.231156,1.792312,1.7946240000000002,2.391156,1.691156,1.854624,2.0523119999999997,2.551156,3.1311560000000003,1.571156,2.051156,1.9711560000000001,2.011156,1.471156,1.631156,1.8111560000000002,2.331156,1.911156,2.912312,1.691156
4,2,1,2.797279,2.097279,3.757279,3.237279,2.797279,3.217279,2.677279,2.43364,1.5972790000000001,1.9372790000000002,1.8772790000000001,2.357279,2.877279,2.5372790000000003,2.857279,2.217279,1.6572790000000002,1.957279,3.917279,2.597279,2.417279,2.637279,2.197279,2.224558,2.737279,1.957279,2.4645580000000002,2.5172790000000003,2.9972790000000002,3.4772790000000002,1.8772790000000001,2.397279,2.277279,2.357279,1.837279,1.977279,2.157279,2.677279,2.217279,3.297279,2.0372790000000003
5,2,2,3.285104,2.485104,4.1587760000000005,3.5587760000000004,3.2187759999999996,3.5875519999999996,3.0563279999999997,2.7587759999999997,1.9387759999999998,2.2787759999999997,2.2187759999999996,2.7187759999999996,3.227552,2.887552,3.158776,2.567552,1.9587759999999999,2.307552,4.287552,2.898776,2.878776,2.967552,2.538776,2.578776,3.087552,2.2875520000000003,3.067552,2.8187759999999997,3.4675519999999995,3.818776,2.178776,2.7387759999999997,2.587552,2.6987759999999996,2.196328,2.2787759999999997,2.458776,2.938776,2.518776,3.676328,2.3387759999999997
6,3,0,3.6,2.8,4.48,3.8,3.5,3.86,3.4,2.98,2.18,2.6,2.52,3.0,3.515,3.32,3.4,2.9,2.22,2.6,4.58,3.14,3.14,3.3,2.94,2.915,3.52,2.6,3.54,3.14,3.94,4.1,2.44,3.0,2.86,3.08,2.5,2.7,2.72,3.22,2.9,4.06,2.58
7,3,1,4.028571,3.248571,4.939286,4.208571,3.968571,4.348571,3.8085709999999997,3.628571,2.582857,3.068571,2.908571,3.588571,4.028571,4.028571,3.788571,3.3685709999999998,2.708571,3.148571,5.1161900000000005,3.548571,3.648571,3.788571,3.488571,3.4092849999999997,4.248571,3.028571,4.328571,3.768571,4.588571,4.628571,2.908571,3.628571,3.349285,3.528571,3.048571,3.3885709999999998,3.093095,3.688571,3.408571,4.828571,2.988571
8,3,2,4.581224,3.861224,5.5724480000000005,4.461224,4.641224,4.881224,4.3012239999999995,4.563672,3.1612240000000003,3.4412239999999996,3.381224,4.42612,4.621224,4.681223999999999,4.441224,3.881224,3.061224,3.861224,5.541224,4.2612239999999995,4.121224,4.501224,4.188568,4.041224,4.881224,3.661224,5.121224,4.781224,5.401224,5.281224,3.4412239999999996,4.2612239999999995,3.741224,4.201224,3.781224,4.121224,3.5212239999999997,4.3412239999999995,4.001224,5.381224,3.4212239999999996
9,4,0,5.111429,4.211429,6.131429,4.871429,5.071429,5.4314290000000005,4.731429,5.211429,3.6914290000000003,3.871429,3.871429,5.011429,4.971429,5.671429,4.991429,4.331429,3.451429,4.351429,6.191429,4.791429,4.451429,5.371429,4.711429,4.451429,5.871429,4.091429,5.851429,5.131429,6.091429,5.751429,3.791429,4.771429,4.210714,4.711429,4.211429,4.671429,3.971429,4.651429,4.451429,5.731429,3.791429
10,4,1,5.595102,4.615101999999999,6.695102,5.295102,5.655101999999999,5.8151019999999995,5.162551000000001,5.695101999999999,4.215102,4.375102,4.395102,5.635102,5.475102,6.415102,5.575101999999999,4.755102,3.9151019999999996,4.795102,6.675102000000001,5.215102,5.055102,5.935102,5.435102,4.955102,6.615102,4.715102,6.395102,5.695101999999999,6.735102,6.2351019999999995,4.415102,5.355102,4.575101999999999,5.115101999999999,4.695101999999999,5.195101999999999,4.675102,5.055102,5.075101999999999,6.2751019999999995,4.195101999999999
