,measure_number,beat_number,pid1263-06,pid9048-06,pid9054-06,pid9055-06,pid9058-06,pid9059-06,pid9060-06,pid9062-06,pid9063-06,pid9064-05,pid9065-03,pid9066-06,pid9067-06,pid9068-04,pid9072-06,pid9074f-06,pid9075-06,pid9090-02,pid9093-07,pid9097-12,pid9099-06,pid9100b-02,pid9101-06,pid9103-03,pid9104-06,pid9105-06,pid9118-06,pid9139-06,pid9166c-09,pid9170-07,pid9173-11,pid9174-06,pid9186c-06,pid918719b-02,pid9192-06
0,1,2,0.7030390000000001,1.743039,0.843039,1.023039,0.283039,0.303039,0.403039,0.143039,1.943039,0.403039,0.623039,1.403039,0.743039,0.083039,0.843039,2.303039,0.623039,1.783039,0.783039,1.31413,0.343039,1.203039,0.643039,0.443039,0.363039,0.763039,1.5830389999999999,0.46303900000000003,0.743039,0.32303899999999997,0.203039,0.24303899999999998,1.243039,0.643039,0.46303900000000003
1,2,0,1.5005899999999999,2.5605900000000004,1.60059,1.8005900000000001,1.10059,0.9605899999999999,0.8205899999999999,0.88059,2.74059,1.28059,1.40059,2.20059,1.5205899999999999,0.8005899999999999,1.495295,2.835295,1.20059,2.34059,1.54059,1.7805900000000001,0.9605899999999999,2.0005900000000003,1.5205899999999999,1.32059,1.12059,1.6805900000000003,2.08059,1.14059,1.20059,1.16059,0.98059,1.04059,1.8405900000000002,1.14059,1.22059
2,2,1,2.101224,3.281224,2.5056119999999997,2.361224,1.8412240000000002,1.581224,1.261224,1.561224,3.4412239999999996,1.961224,2.125612,2.961224,2.461224,1.461224,2.041224,3.321224,2.021224,3.021224,2.421224,2.461224,1.521224,2.8012240000000004,2.2812240000000004,1.981224,1.7612240000000001,2.341224,2.6812240000000003,1.941224,1.7524490000000001,1.941224,1.9212240000000003,1.741224,2.461224,1.7812240000000001,1.8812240000000002
3,2,2,2.865986,3.825986,3.005986,2.7659860000000003,2.345986,2.105986,1.8659860000000001,1.965986,3.965986,2.465986,2.605986,3.845986,3.085986,2.005986,2.505986,3.845986,2.505986,3.525986,2.885986,2.945986,2.005986,3.2259860000000002,2.785986,2.405986,2.2059860000000002,2.825986,3.065986,2.425986,2.165986,2.565986,2.365986,2.365986,2.805986,2.2259860000000002,2.445986
4,3,0,3.3739230000000004,4.393923,3.4539230000000005,3.233923,3.0739229999999997,2.6139229999999998,2.333923,2.371961,4.4139230000000005,2.993923,3.053923,4.293923,3.6339230000000002,2.513923,3.0739229999999997,4.193923000000001,2.973923,4.033923000000001,3.4139230000000005,3.3939230000000005,2.553923,3.6739230000000003,3.3739230000000004,2.873923,2.733923,3.2939230000000004,3.593923,2.933923,2.5939229999999998,3.173923,2.813923,2.873923,3.1619610000000002,2.693923,2.893923
5,3,1,3.8317010000000002,4.871701,3.9317010000000003,3.651701,3.651701,3.091701,2.677234,2.831701,4.971701,3.5317010000000004,3.5317010000000004,4.6717010000000005,4.06085,2.94085,3.5317010000000004,4.60085,3.4239,4.531701,3.9117010000000003,3.9717010000000004,3.04085,4.0839,3.9917010000000004,3.3917010000000003,3.1305669999999997,3.74085,4.071701,3.4117010000000003,2.990243,3.56085,3.291701,3.3517010000000003,3.5301699999999996,2.997234,3.36085
6,3,2,4.480544,5.541633,4.5616330000000005,4.261633,4.221633,3.7616330000000002,3.201633,3.481633,5.541633,4.301633,4.181633000000001,5.141633000000001,4.641633000000001,3.541633,4.201633,5.121633,4.0216330000000005,5.041633,4.621633,4.5616330000000005,3.581633,4.701633,4.781633,4.201633,3.681633,4.401633,4.741633,4.141633000000001,3.481633,4.201633,3.661633,3.9016330000000004,3.9358160000000004,3.4345190000000003,3.9416330000000004
7,4,0,4.986644,6.283288,4.903288,4.596658000000001,4.803287999999999,4.363288,3.6032879999999996,4.183288,6.163288,4.983288,4.883287999999999,5.563288,5.103288,4.106644,4.703288,5.563288,4.623288,5.623288,5.223288,5.083288,4.0032879999999995,5.383287999999999,5.523288,5.083288,4.023288,5.083288,5.443288,4.623288,4.0032879999999995,4.763287999999999,4.303287999999999,4.403288,4.163288,3.803288,4.4632879999999995
8,4,1,5.471961,6.7939229999999995,5.311308,5.131961,5.353923,4.9539230000000005,3.971961,4.693923000000001,6.691961,5.533923000000001,5.313923,6.001961,5.733923,4.473923,5.153923000000001,6.093923,5.153923000000001,6.193923000000001,5.751308,5.637974,4.553923,6.193923000000001,6.133923,5.573923000000001,4.533923000000001,5.713923,5.911308,5.191961,4.533923000000001,5.4539230000000005,4.791961,4.813923,4.493923000000001,4.353923,5.013923
9,4,2,5.878685,7.218685000000001,5.658685,5.418685,5.718685,5.378685,4.3586849999999995,5.158685,7.0586850000000005,5.958685,5.698685,6.998685000000001,6.078685,4.818684999999999,5.578685,6.518685,5.538685,6.574342,6.138685,5.8986849999999995,4.958685,6.614342,6.578685000000001,6.018685,4.9143419999999995,6.138685,6.318684999999999,5.578685,5.038685,5.998685,5.1243419999999995,5.098685,4.754341999999999,4.778685,5.3986849999999995
