,measure_number,beat_number,pid1263-07,pid52932-05,pid54293-08,pid5667249-03,pid5667249-21,pid9048-07,pid9049-07,pid9050-07,pid9051-11,pid9054-07,pid9055-07,pid9058-07,pid9059-07,pid9060-07,pid9061-07,pid9062-07,pid9063-07,pid9064-06,pid9065-04,pid9066-07,pid9067-07,pid9068-05,pid9070-15,pid9072-07,pid9074f-07,pid9075-07,pid9093-08,pid9094-07,pid9097-13,pid9098-15,pid9099-07,pid9100b-03,pid9101-07,pid9102-02,pid9104-07,pid9105-07,pid9111-07,pid9116-19,pid9118-07,pid9127-02,pid9137-04,pid9138-07,pid9139-07,pid9152-12,pid9153-07,pid915406-11,pid9165-03,pid9166c-10,pid9170-08,pid9173-12,pid9174-07,pid917509-06,pid917518-06,pid9176-03,pid9186c-07,pid918719b-03,pid918904-02,pid9192-07
0,1,0,0.68,0.715,0.4,1.92,2.22,1.78,1.44,0.6,0.72,0.9,0.76,0.32,0.26,0.4,1.28,0.59,1.04,0.42,1.46,1.4,0.58,0.18,0.6,0.84,2.22,0.6,1.02,0.94,1.18,0.52,0.34,1.22,0.68,1.78,0.88,1.08,0.3,0.84,1.82,0.16,0.72,0.62,1.08,0.34,0.76,0.82,0.32,1.0,0.36,0.28,0.34,0.66,0.78,1.08,1.2,0.62,0.66,0.55
1,1,1,1.062041,1.122041,0.742041,2.4061220000000003,2.642041,2.322041,2.082041,1.022041,1.182041,1.282041,1.182041,0.882041,0.662041,0.822041,1.902041,1.042041,1.402041,0.842041,1.902041,2.122041,1.202041,0.702041,1.062041,1.282041,2.822041,1.002041,1.442041,1.462041,1.602041,0.962041,0.762041,1.6620409999999999,1.122041,2.182041,1.402041,1.502041,0.822041,1.182041,2.242041,0.582041,1.302041,1.002041,1.502041,0.802041,1.1620409999999999,1.262041,0.682041,1.4220409999999999,0.802041,0.542041,0.762041,1.082041,1.202041,1.442041,1.742041,1.222041,1.1620409999999999,1.102041
2,1,2,1.426531,1.706531,1.166531,2.9665310000000003,3.246531,3.17102,2.490972,1.446531,1.606531,1.706531,1.706531,1.466531,1.166531,1.517959,2.983061,1.5465309999999999,1.8465310000000001,1.2665309999999999,2.386531,2.5665310000000003,2.5465310000000003,1.2918370000000001,1.486531,1.726531,3.3865309999999997,1.5065309999999998,2.106531,1.9065310000000002,2.126531,1.386531,1.186531,2.226531,1.706531,2.4665310000000003,2.0065310000000003,1.966531,1.263061,1.586531,2.746531,1.0065309999999998,1.8465310000000001,1.466531,1.9265310000000002,1.346531,1.586531,1.746531,1.106531,1.9465310000000002,1.486531,1.066531,1.326531,1.811837,1.626531,2.0665310000000003,2.266531,1.806531,1.586531,1.816122
3,2,0,1.827166,2.207166,1.827166,3.3871660000000006,3.6671660000000004,3.6671660000000004,2.587166,2.027166,2.347166,2.107166,2.547166,2.447166,1.627166,1.967166,3.3871660000000006,2.127166,2.907166,1.987166,3.3071660000000005,2.9871659999999998,2.967166,1.727166,2.187166,2.507166,3.8671660000000005,1.907166,2.527166,2.407166,2.607166,2.141497,1.827166,3.067166,2.127166,2.827166,2.447166,2.9871659999999998,1.8671659999999999,1.967166,3.187166,1.3671659999999999,2.4871659999999998,1.927166,2.327166,1.767166,1.987166,2.147166,1.427166,2.387166,2.147166,1.487166,1.7285830000000002,2.247166,2.027166,2.707166,2.947166,2.207166,2.107166,2.347166
4,2,1,2.235102,2.715102,2.195102,4.155101999999999,4.095102,4.295102,3.080204,2.455102,3.035102,2.6151020000000003,3.015102,2.955102,2.1151020000000003,2.510408,3.9551019999999997,2.555102,3.490408,2.415102,3.9551019999999997,3.825306,3.5351019999999997,2.235918,2.665714,2.995102,4.555102,2.395102,3.0951020000000002,3.195102,3.035102,2.5751020000000002,2.235102,3.7151019999999995,2.695102,3.195102,2.995102,3.5253059999999996,2.455102,2.295102,3.7751019999999995,1.775102,3.055102,2.335102,2.755102,2.235102,2.435102,2.675102,1.835102,2.89551,2.715102,1.875102,2.200612,2.815102,2.395102,3.2951019999999995,3.575102,2.7555099999999997,2.5951020000000002,3.135102
5,2,2,2.546757,3.126757,2.546757,4.806757,4.5867569999999995,4.686757,3.466757,2.8467569999999998,3.566757,3.126757,3.406757,3.406757,2.586757,2.966757,4.5867569999999995,3.046757,3.966757,2.806757,4.366757,4.206757,4.006757,2.806757,3.3467569999999998,3.446757,5.066757,2.886757,3.506757,3.586757,3.386757,2.906757,2.666757,4.146757,3.106757,3.566757,3.386757,4.006757,2.8467569999999998,2.666757,4.166757,2.146757,3.646757,2.666757,3.126757,2.646757,2.8467569999999998,3.466757,2.186757,3.286757,3.486757,2.246757,2.646757,3.306757,2.706757,3.937029,3.966757,3.226757,2.986757,3.586757
6,3,0,2.947188,3.418594,2.813438,5.2471879999999995,5.087187999999999,5.227188,3.9471879999999997,3.227188,3.9671879999999997,3.5271879999999998,3.8671879999999996,3.8671879999999996,2.9957290000000003,3.3871879999999996,5.027188,3.3934379999999997,4.447188,3.175729,4.827188,4.607188,4.427188,3.207188,3.727188,3.8285940000000003,5.358594,3.298594,3.9871879999999997,4.007187999999999,3.728594,3.267188,3.0871880000000003,4.578594,3.458594,3.8471879999999996,3.7871879999999996,4.407188,3.607188,2.8985939999999997,4.467188,2.367188,4.047187999999999,3.0471880000000002,3.5271879999999998,3.198594,3.175729,3.9471879999999997,2.527188,3.647188,3.8871879999999996,2.538594,2.967188,3.7385940000000004,2.967188,4.407188,4.347188,3.608594,3.3471879999999996,3.9671879999999997
7,3,1,3.3156730000000003,3.798367,3.1383669999999997,5.838367,5.538367,5.638367,4.338367,3.6183669999999997,4.358366999999999,3.898367,4.258367,4.338367,3.358367,3.778367,5.418367,3.6983669999999997,4.838367,3.518367,5.218367,4.9383669999999995,4.918367,3.6983669999999997,4.338367,4.218367,5.758367,3.6783669999999997,4.4783669999999995,4.3983669999999995,4.118367,3.6783669999999997,3.506735,4.958367,3.858367,4.213152,4.098367,4.818366999999999,3.998367,3.2183669999999998,4.838367,2.660837,4.498367,3.419456,3.918367,3.5583669999999996,3.5041839999999995,4.338367,2.858367,4.198367,4.298367,2.878367,3.1871240000000003,4.118367,3.3331519999999997,4.838367,4.778367,3.998367,3.7383669999999998,4.378367
8,3,2,3.681973,4.321973000000001,3.681973,6.321973000000001,6.141973,6.5419730000000005,4.8123949999999995,4.281973000000001,4.841973,4.401973,5.061973,5.089592,3.9419730000000004,4.401973,6.321973000000001,4.201973000000001,5.661973000000001,4.0019730000000004,5.901973,5.421973,5.661973000000001,4.241973000000001,4.901973,4.841973,6.241973000000001,4.261973,4.961973,4.961973,4.601973,4.281973000000001,4.0419730000000005,5.701973000000001,4.341973,4.5419730000000005,4.5819730000000005,5.841973,4.561973,3.701973,5.361973,3.061973,5.341973,3.8819730000000003,4.401973,4.0419730000000005,3.9819730000000004,4.901973,3.3419730000000003,4.681973,5.0019730000000004,3.3619730000000003,3.621973,4.601973,3.6019730000000005,5.461973,5.301973,4.561973,4.221973,5.101973
9,4,0,4.058435,4.7184349999999995,4.058435,6.698435000000001,6.518435,6.918435000000001,5.118435,4.658435,5.338435,4.798435,5.838435,5.598435,4.338435,4.778435,6.698435000000001,4.658435,6.1784349999999995,4.378435,6.378435,5.798435,6.058435,4.618435,5.498435,5.458435,6.638435,4.638434999999999,5.738435,5.378435,4.998435,5.078435,4.7184349999999995,6.138434999999999,4.7184349999999995,4.898435,4.958435,6.438435,5.298435,3.9384349999999997,5.738435,3.4384349999999997,5.7584349999999995,4.2184349999999995,4.778435,4.438435,4.238435,5.278435,3.614218,5.138434999999999,5.458435,3.758435,3.9784349999999997,5.038435,3.9784349999999997,6.1890480000000005,5.7584349999999995,5.058435,4.598435,5.498435
