,measure_number,beat_number,pid1263-10,pid5667267b-07,pid9048-10,pid9049-10,pid9054-10,pid9055-10,pid9058-10,pid9059-10,pid9060-10,pid9061-10,pid9062-10,pid9063-10,pid9066-10,pid9067-10,pid9070-18,pid9072-10,pid9074f-10,pid9075-10,pid9077-08,pid9087-04,pid9088-05,pid9094-10,pid9099-10,pid9100b-14,pid9101-10,pid9103-05,pid9104-10,pid9105-10,pid9111-10,pid9114-29,pid9118-10,pid9137-06,pid9138-10,pid9139-10,pid9153-10,pid9166d-17,pid9167-10,pid9170-10,pid9173-15,pid9174-10,pid917803b-05,pid917807-05,pid9186c-10,pid918805-03,pid9192-10
0,1,2,0.771995,2.231995,1.751995,1.531995,0.791995,0.831995,0.25199499999999997,0.331995,0.43199499999999996,1.380998,1.4519950000000001,1.100998,0.451995,0.611995,0.571995,1.131995,2.0719950000000003,0.640998,0.731995,0.43199499999999996,0.291995,0.660998,0.351995,1.1719950000000001,0.171995,0.420998,0.551995,0.951995,0.171995,0.951995,2.0919950000000003,0.800998,0.671995,0.680998,0.651995,1.391995,1.331995,0.400998,0.331995,0.340998,1.271995,0.631995,0.680998,1.111995,0.44099799999999995
1,2,0,1.575261,2.815261,2.395261,1.9752610000000002,1.260522,1.7152610000000001,0.835261,0.8752610000000001,0.935261,1.815261,2.0752610000000002,1.4552610000000001,0.9952610000000001,1.2352610000000002,1.2352610000000002,1.615261,2.655261,1.1752610000000001,1.375261,1.155261,0.955261,1.155261,0.975261,1.815261,0.820522,0.955261,1.075261,1.7152610000000001,0.855261,1.4352610000000001,2.995261,1.335261,1.355261,1.255261,1.2352610000000002,1.9552610000000001,2.015261,0.8752610000000001,1.275261,0.935261,1.855261,1.2352610000000002,1.1752610000000001,1.655261,0.975261
2,2,1,2.011995,3.251995,2.933991,2.471995,1.771995,2.511995,1.311995,1.4919950000000002,1.531995,2.435986,2.211995,2.0719950000000003,1.891995,1.6919950000000001,2.1119950000000003,2.0519950000000002,3.0919950000000003,1.675986,1.871995,1.6719950000000001,1.371995,1.611995,1.591995,2.351995,1.391995,1.391995,1.9519950000000001,2.411995,1.651995,1.823998,3.7099550000000003,1.771995,2.135986,1.891995,1.913991,2.471995,2.5719950000000003,1.387959,1.7119950000000002,1.7319950000000002,2.391995,1.811995,1.4519950000000001,2.291995,1.4719950000000002
3,2,2,2.6386119999999997,3.627506,3.4475059999999997,2.847506,2.187506,3.0275060000000003,1.6475060000000001,1.867506,2.0275060000000003,2.867506,2.5875060000000003,2.487506,2.327506,2.247506,2.647506,2.5475060000000003,3.4675059999999998,2.1075060000000003,2.1687529999999997,2.0475060000000003,2.207506,1.9675060000000002,2.0075060000000002,2.787506,1.827506,1.767506,2.407506,2.867506,2.5075060000000002,1.9987529999999998,4.287506,2.0675060000000003,2.5675060000000003,2.287506,2.347506,2.927506,3.0075060000000002,1.9075060000000001,2.687506,2.041072,2.867506,2.207506,1.847506,2.667506,1.9275060000000002
4,3,0,2.931587,4.031587,3.8515870000000003,3.111587,2.571587,3.4315870000000004,1.971587,2.1915869999999997,2.371587,3.2315869999999998,3.051587,2.851587,2.7115869999999997,2.6515869999999997,3.111587,2.891587,3.8715870000000003,2.431587,2.491587,2.435397,2.591587,2.351587,2.353175,3.1915869999999997,2.1915869999999997,2.111587,2.791587,3.3115870000000003,2.891587,2.371587,4.731587,2.471587,2.971587,2.7115869999999997,2.6915869999999997,3.3115870000000003,3.4515870000000004,2.291587,3.111587,2.371587,3.2915870000000003,2.591587,2.1315869999999997,3.051587,2.331587
5,3,1,3.3486849999999997,4.419341999999999,4.278027,3.519342,2.979342,3.7793419999999998,2.319342,2.648685,2.6393419999999996,3.5980269999999996,3.6393419999999996,3.2593419999999997,3.1593419999999997,3.039342,3.979342,3.2793419999999998,4.259342,2.879342,2.7793419999999998,2.7993419999999998,2.959342,2.7393419999999997,2.7993419999999998,3.479342,2.559342,2.599342,3.2393419999999997,3.7993419999999998,3.378027,2.899342,5.20737,2.7993419999999998,3.3686849999999997,3.099342,3.059342,3.6793419999999997,3.939342,2.668685,3.499342,2.6793419999999997,3.6593419999999997,2.919342,2.419342,3.479342,2.959342
6,3,2,3.770771,4.770771,4.650771,3.870771,3.410771,4.171542,2.690771,3.030771,3.1107709999999997,4.050771,4.130771,3.710771,3.770771,3.430771,4.3307709999999995,3.6307709999999997,4.610771,3.230771,3.1307709999999997,3.1507709999999998,3.330771,3.0907709999999997,3.2315419999999997,3.990771,3.050771,3.1307709999999997,3.5907709999999997,4.250771,3.810771,3.230771,5.770771,3.1507709999999998,3.790771,3.530771,3.410771,4.030771,4.310771,3.1307709999999997,3.850771,3.030771,3.990771,3.270771,2.730771,3.830771,3.470771
7,4,0,4.326689,5.186689,5.046689,4.2666889999999995,3.826689,4.666689,3.146689,3.486689,3.5266889999999997,4.586689,4.606689,4.226689,4.186689,3.906689,4.726689,4.046689,5.026689,3.646689,3.5666889999999998,3.5666889999999998,3.826689,3.5066889999999997,3.786689,4.466689,3.466689,3.606689,4.006689,4.746689,4.246689,3.646689,6.226689,3.626689,4.206689,4.026689,3.906689,4.446689,4.706689,3.5666889999999998,4.366689,3.446689,4.466689,3.626689,3.0666889999999998,4.286689,3.923379
8,4,1,4.810726,5.5703629999999995,5.470726,4.670726,4.330362999999999,5.230363,3.550363,3.990363,3.910363,5.090363,5.150363,4.790726,4.690363,4.311088,5.090363,4.510363,5.410362999999999,4.170363,3.950363,3.910363,4.210726,3.911088,4.210726,4.870362999999999,3.8703629999999998,4.010363,4.430363,5.230363,4.650726000000001,4.0307260000000005,6.670363,3.950363,4.650726000000001,4.550363,4.4910879999999995,4.910362999999999,5.090363,3.990363,4.910726,3.8307260000000003,4.910362999999999,4.010363,3.390363,4.730363,4.331451
9,4,2,5.136076999999999,5.8360769999999995,5.856077,4.956077,4.676076999999999,5.656077,3.803039,4.316077,4.216076999999999,5.396077,5.576077,5.156077,5.116077,4.616077,5.316077,4.776077,5.676076999999999,4.456077,4.216076999999999,4.176076999999999,4.516077,4.236077,4.576077,5.096076999999999,4.196077,4.3360769999999995,4.896077,5.756076999999999,5.016077,4.316077,7.156077000000001,4.196077,4.936077,4.8760769999999996,4.816077,5.176076999999999,5.456077,4.2960769999999995,5.3760769999999996,4.136076999999999,5.216076999999999,4.316077,3.653039,5.196077,4.696077
10,5,0,5.471088,6.170363,6.190363,5.250363,5.090363,6.010363,4.130363,4.690363,4.5703629999999995,5.730363,5.970726,5.5303629999999995,5.470726,4.950362999999999,5.630363,5.210363,6.010363,4.770363,4.5303629999999995,4.550363,4.870362999999999,4.5303629999999995,4.950362999999999,5.450362999999999,4.550363,4.690726000000001,5.230363,6.190363,5.430726,4.650363,7.550363000000001,4.5303629999999995,5.270363,5.290363,5.150363,5.590726,5.850363,4.670363,5.810363,4.350363,5.6103629999999995,4.670363,3.970363,5.550726,5.0703629999999995
11,5,1,5.888027,6.548026999999999,6.588027,5.6680269999999995,5.528027,6.428026999999999,4.508026999999999,5.108027,4.928026999999999,6.1680269999999995,6.408027,6.008026999999999,5.888027,5.348027,6.048026999999999,5.7080269999999995,6.388027,5.148027,4.868027,4.928026999999999,5.288027,4.968026999999999,5.388027,5.828027,4.948027,5.088026999999999,5.688027,6.668027,5.908027,4.968026999999999,8.048027000000001,4.868027,5.6280269999999994,5.7480269999999996,5.548026999999999,6.008026999999999,6.428026999999999,5.048026999999999,6.188027,4.7080269999999995,6.068027,5.088026999999999,4.308027,6.028027,5.588026999999999
12,5,2,6.2405669999999995,6.860567,6.980567,6.000567,5.860567,6.7405669999999995,4.775283,5.500567,5.300567,6.540567,6.860567,6.400567,6.300567,5.7405669999999995,6.340567,6.020567,6.7005669999999995,5.520567,5.180567,5.300567,5.680567,5.360567,5.820567,6.260567,5.400567,5.540567,6.000567,7.040567,6.380567,5.172642,8.560567,5.1605669999999995,5.960567,6.1605669999999995,5.920567,6.340567,6.760567,5.460567,6.580566999999999,4.980567,6.380567,5.460567,4.580566999999999,6.360567,6.020567
13,6,0,6.746281,7.366281,7.5062809999999995,6.388141,6.346280999999999,7.206281,5.226281,6.0062809999999995,5.686281,7.0062809999999995,7.4262809999999995,6.946281,6.766280999999999,6.126281,6.746281,6.486281,7.206281,5.9662809999999995,5.606281,5.906281,6.206281,5.906281,6.366281,6.9788440000000005,6.0062809999999995,6.086281,6.5062809999999995,7.546281,6.9262809999999995,5.626281,9.066281,5.586281,6.386280999999999,6.646281,6.446281,6.726281,7.226281,5.986281,7.126281,5.4662809999999995,6.886280999999999,6.046281,4.9662809999999995,6.882561999999999,6.558844000000001
