,measure_number,beat_number,pid1263-11,pid5667267b-08,pid9048-11,pid9049-11,pid9050-11,pid9054-11,pid9055-11,pid9058-11,pid9059-11,pid9060-11,pid9061-11,pid9062-11,pid9063-11,pid9065-07,pid9066-11,pid9067-11,pid9068-06,pid9070-19,pid9072-11,pid9074f-11,pid9075-11,pid9087-05,pid9088-06,pid9090-04,pid9093-11,pid9094-11,pid9099-11,pid9100b-15,pid9101-11,pid9103-06,pid9104-11,pid9105-11,pid9111-11,pid9118-11,pid9129-15,pid9130-07,pid9137-07,pid9138-11,pid9139-11,pid9153-11,pid9166d-18,pid9167-11,pid9170-11,pid9173-16,pid9174-11,pid917803b-06,pid917807-06,pid9186c-11,pid918713-17,pid9192-11
0,1,2,0.735499,1.753666,1.580333,1.5209979999999999,0.42549899999999996,1.0409979999999999,0.240333,0.275499,0.315499,0.260998,0.540998,0.513666,1.7403330000000001,1.273666,0.580333,0.595499,0.080333,0.580333,0.920333,1.760998,0.6209979999999999,0.43549899999999997,0.540333,0.9609979999999999,1.040333,1.260333,0.320998,1.140333,0.460333,0.520998,0.420333,1.0409979999999999,0.180998,1.9336659999999999,0.535499,1.140333,0.7754989999999999,0.555499,0.740333,0.820333,0.7409979999999999,1.335499,0.35549899999999995,0.255499,0.300998,1.500333,0.680333,1.140998,0.860333,0.420333
1,2,0,1.6458959999999998,2.445896,2.505896,2.165896,1.065896,2.205896,1.1458959999999998,1.245896,0.9258959999999999,1.025896,1.745896,1.325896,2.685896,2.005896,1.245896,1.365896,0.9658959999999999,1.1458959999999998,1.565896,2.465896,1.305896,1.285896,1.7058959999999999,1.647948,1.825896,2.225896,1.1458959999999998,1.9258959999999998,1.325896,1.825896,1.305896,1.825896,1.045896,3.045896,1.4258959999999998,2.165896,1.657948,1.385896,1.497948,1.4858959999999999,1.505896,2.127948,1.305896,1.127948,1.169414,2.127948,1.625896,1.927948,1.4258959999999998,1.065896
2,2,1,2.6451700000000002,3.04517,3.3851699999999996,2.88517,1.92517,3.3651699999999996,1.84517,2.22517,1.58517,1.94517,2.78517,1.96517,3.5851699999999997,2.74517,2.087585,2.34517,1.70517,1.72517,2.40517,3.04517,1.98517,2.08517,3.02517,2.50517,2.72517,3.10517,2.02517,2.74517,2.32517,2.76517,2.1851700000000003,2.46517,2.24517,3.9851699999999997,2.22517,3.10517,2.44517,2.36517,2.42517,2.32517,2.46517,2.90517,2.22517,1.947585,2.00517,2.70517,2.78517,2.98517,2.227585,1.96517
3,2,2,3.029569,3.5295690000000004,3.9495690000000003,3.3695690000000003,2.409569,3.9495690000000003,2.2695689999999997,2.7495689999999997,2.009569,2.429569,3.2495689999999997,2.409569,4.1095690000000005,3.169569,2.489569,2.929569,2.1895689999999997,2.2695689999999997,2.929569,3.5295690000000004,2.409569,2.529569,3.629569,2.989569,3.309569,3.5895690000000005,2.469569,3.1895689999999997,2.849569,3.3495690000000002,2.589569,3.009569,3.2295689999999997,4.449569,2.8095689999999998,3.809569,2.969569,2.8095689999999998,2.969569,2.829569,2.949569,3.3695690000000003,2.889569,2.349569,2.429569,3.109569,3.2295689999999997,3.5095690000000004,2.669569,2.509569
4,3,0,3.607211,4.007211,4.527211,3.847211,2.887211,4.667211,2.9472110000000002,3.4472110000000002,2.547211,2.887211,3.887211,2.887211,4.667211,3.647211,2.887211,3.527211,2.847211,2.727211,3.527211,4.027211,2.9272110000000002,3.067211,4.507211,3.547211,3.9272110000000002,4.127211,3.007211,3.807211,3.4472110000000002,3.887211,2.9672110000000003,3.527211,3.767211,4.947211,3.527211,4.587211,3.547211,3.387211,3.507211,3.347211,3.407211,3.847211,3.4472110000000002,2.827211,3.007211,3.627211,3.847211,4.147211,3.187211,3.047211
5,3,1,4.433706,4.6544669999999995,5.1544669999999995,4.394467,3.4744669999999998,5.554467,3.594467,4.6544669999999995,3.194467,3.3944669999999997,4.771165,3.274467,5.414467,4.093495,3.4344669999999997,4.474467,4.072021,3.174467,4.753706,4.6544669999999995,3.7360330000000004,3.634467,5.634467,4.334467,4.414467,4.834467,3.794467,4.082234,4.112234,4.374467,3.714467,4.114466999999999,4.334467,5.594467,4.214467,5.394467,4.392233999999999,3.9944669999999998,4.274467,4.274467,3.8144669999999996,4.414467,4.274467,3.634467,3.8344669999999996,4.774467,4.414467,5.174467,3.8144669999999996,3.794467
6,3,2,4.819501,5.399501,5.839501,4.919501,4.219501,6.339501,4.259501,4.899501,3.8395010000000003,4.219501,5.0795010000000005,3.8795010000000003,5.899501,4.659501000000001,3.8795010000000003,5.019501,4.199501000000001,3.739501,4.899501,5.399501,4.059501,4.359501,6.179501,5.179501,5.1195010000000005,5.5395010000000005,4.399501,4.779501,4.839501,5.159501000000001,4.259501,4.899501,5.1195010000000005,6.339501,4.839501,6.0795010000000005,4.879501,4.459501,4.799501,4.6357919999999995,4.339501,5.0395010000000005,4.879501,4.157072,4.319501,5.214087999999999,5.074125,5.859501,4.319501,4.319501
7,4,0,5.522584999999999,6.042585,6.622585000000001,5.482585,4.762585,6.862585,5.002585,5.422585,4.402585,4.762585,5.522584999999999,4.442585,6.602585,5.202585,4.282585,5.6825849999999996,4.802585,4.302585,5.462585,6.082585,4.582585,4.882585,7.002585000000001,5.762585,5.6425849999999995,6.262585,4.922585,5.362585,5.6425849999999995,5.962585,4.902585,5.542585,5.702585,7.062585,5.582585,6.7225850000000005,5.502585,4.962585,5.402585,5.002585,4.902585,5.6825849999999996,5.382585,4.342585,4.842585,5.482585,5.322585,6.962585000000001,4.922585,4.842585
8,4,1,6.100181,6.620181,7.600181,6.120181,5.540181,7.340180999999999,5.620181,5.940181,5.100181,5.280181,6.080181,5.0001809999999995,7.340180999999999,5.780181,4.980181,6.560181,5.320181,4.880180999999999,6.200181,6.660181,5.220181,5.480181,7.780181,6.320181,6.480181,7.200181,5.4601809999999995,5.900181,6.440181,6.770363000000001,5.520181,6.080181,6.340180999999999,7.740181,6.100181,7.440181,6.0001809999999995,5.640181,6.0703629999999995,5.820181,5.720181,6.220181,6.0001809999999995,4.900181,5.320181,6.140181,5.740181,7.980181,5.5001809999999995,5.4601809999999995
9,4,2,6.513287999999999,6.993288000000001,8.093288000000001,6.533288,6.013287999999999,7.753288,6.093287999999999,6.393288,5.553287999999999,5.693288,6.576575999999999,5.4365760000000005,7.753288,6.216576,5.353288,6.973288,5.716576,5.353288,6.853288,6.993288000000001,5.613288,5.893288,8.213288,6.693288000000001,6.993288000000001,7.713288,5.873288,6.333288,6.933288,7.273288000000001,5.876576,6.513287999999999,6.8732880000000005,8.116576,6.633288,7.993288000000001,6.373288,5.993288,6.533288,6.313288,6.333288,6.653288000000001,6.456576,5.473288,5.813288,6.673288,6.193288,8.516575999999999,5.913288,6.016576000000001
10,5,0,7.226032000000001,7.386032000000001,9.026032,7.186032000000001,6.686032000000001,8.206032,6.766032000000001,7.266032000000001,6.286032,6.386032,7.086032,5.986032,8.306032,6.766032000000001,5.906032,7.466032000000001,6.286032,6.006032,8.046032,7.406032000000001,6.226032,6.726032000000001,8.986032000000002,7.446032000000001,7.766032000000001,8.786032,6.506032,7.166032,7.686032000000001,8.446032,6.426032,7.146032000000001,8.066032,8.966032,7.2460320000000005,8.606032,6.886032000000001,6.666032,7.306032000000001,6.966032000000001,7.206032,7.3260320000000005,7.086032,6.426032,6.506032,7.346032000000001,7.106032000000001,9.626032,6.566032000000001,6.846032000000001
11,5,1,7.6411039999999995,7.823311,9.643311,7.743311,7.343311,8.763311,7.263311,7.903311,6.843311,6.823311,7.683311,6.683311,8.883311,7.463311,6.643311,8.063311,6.876621000000001,6.363311,8.743311,7.823311,6.823311,7.323311,9.803311,8.023311,8.503311,9.483311,7.083311,7.736621,8.376621,8.943311,7.063311,7.843311,8.983311,9.503311,7.843311,9.463311000000001,7.463311,7.223311,7.923311,7.543311,7.643311,7.763311,7.763311,7.243311,7.283311,7.9433110000000005,7.603311,10.323311,7.123311,7.403311
12,5,2,8.231428999999999,8.251429,10.291428999999999,8.331429,7.931429,9.411429,8.111429,8.551428999999999,7.471429,7.231428999999999,8.131530999999999,7.298286,9.351429,8.075918,7.273061,8.511429,7.531428999999999,7.011429,9.431429,8.251429,7.391429,8.291428999999999,10.391428999999999,8.650102,9.111429,10.091429,7.871428999999999,8.491429,9.251429,9.595714,7.711428999999999,8.551428999999999,9.971428999999999,10.151428999999998,8.571429,10.171429,8.111429,7.840357000000001,8.551428999999999,8.311428999999999,8.291428999999999,8.331429,8.611429,7.731428999999999,7.931429,8.591429,8.371429,11.331429,7.7714289999999995,7.931429
13,6,0,9.187596000000001,8.788798,11.668797999999999,8.988798,8.648798,10.108798,9.028798,8.968798,8.188798,7.8087979999999995,8.588797999999999,7.588798,10.048798,8.348798,7.708798,9.168797999999999,8.328797999999999,7.488797999999999,10.228798,8.788798,8.088797999999999,9.065192999999999,11.388798,9.088797999999999,9.748797999999999,10.808798,8.728798,9.188798,10.228798,10.348798,8.348798,9.286394999999999,11.101587,11.108798,9.248797999999999,11.003991000000001,8.748797999999999,8.368798,9.346395,9.188798,8.888798,8.908797999999999,9.427596000000001,8.588797999999999,8.508797999999999,9.348798,9.087596000000001,12.028798,8.708798,8.528798
14,6,1,9.700272,9.320272000000001,12.200272,9.540272,9.300272,10.640272,9.680272,9.460272,8.780272,8.400272,9.100272,8.540272,10.620272,9.320272000000001,8.075136,9.780272,8.900272,8.080272,10.700272,9.320272000000001,8.640272,9.660272,12.020272,9.600272,10.380272,11.380272,9.260272,10.080272,10.860272,10.840272,8.940272,9.780272,11.920272,11.700272,9.740272000000001,11.660272,9.312054,8.900272,9.960272,9.840272,9.420272,9.420272,9.980272,9.220272,9.160272,9.920272,9.600272,12.720272,9.660272,8.960272
15,6,2,10.129841,9.709841,12.649841,9.949841000000001,9.769841,11.089841,10.169841,9.849841,9.189841,8.929841,9.529841000000001,9.009841,11.129841,9.789841000000001,8.469841,10.189841,9.349841,8.509841,11.109841000000001,9.709841,9.049841,10.109841000000001,12.429841,9.959921000000001,10.909841,11.949841000000001,9.709841,10.569841,11.349841,11.449841000000001,9.369841000000001,10.329841,12.389841,12.079921,10.129841,12.229841,9.629841,9.309841,10.429841,10.289683,9.879921000000001,9.909841,10.549841,9.669841,9.609841000000001,10.329841,10.069841,13.229841,10.189841,9.389841
16,7,0,10.533605,10.051202,13.233604999999999,10.373605,10.193605,11.513605,10.593605,10.233605,9.653605,9.433605,9.933605,9.433605,11.593605,10.213605000000001,8.813605,10.653605,9.793605,8.957211000000001,11.493605,10.070721,9.473605000000001,10.553605000000001,12.793605,10.273605,11.353605,12.393605,10.313605,11.233605,11.973605000000001,12.053605000000001,9.793605,10.813605,13.073605,12.473605000000001,10.493605,12.751633,10.053605000000001,9.713605000000001,10.893605,10.813605,10.353605,10.353605,11.113605,10.093605,9.993605,10.733605,10.553605000000001,13.713605,10.713605000000001,9.713605000000001
17,7,1,10.976689,10.396689,13.636689000000002,10.896689,10.716689,11.916689,10.996689,10.616689,10.216689,9.876689,10.336689,9.856689,12.116689,10.636689,9.376689,11.156689,10.196689,9.416689,11.896689,10.396689,9.916689,10.956689,13.256689000000001,10.776689,11.776689,12.796689,10.716689,11.736689,12.416689,12.476689,10.183345,11.296689,14.016689000000001,12.856689,10.916689,13.436689000000001,10.476689,10.216689,11.376689,11.256689,10.776689,10.776689,11.536688999999999,10.436689,10.596689,11.076689,10.918896,14.236689000000002,11.256689,10.156689
18,7,2,11.465624,10.825624000000001,14.205623999999998,11.345624,11.165624000000001,12.425624000000001,11.417812,11.025624,10.705624,10.525624,10.845624,10.385624,12.685624,11.165624000000001,10.177812,11.685624,10.705624,9.905624000000001,12.465624,10.825624000000001,10.425624000000001,11.385624,13.685623999999999,11.185624,12.245624000000001,13.265623999999999,11.265624,12.245624000000001,12.865624,12.985624000000001,10.585624000000001,11.945624,14.565624,13.225624,11.525624,14.245624,10.965624,10.645624,11.865624,11.725624,11.285624,11.277811999999999,12.245624000000001,10.913125,11.092604,11.457811999999999,11.357812,14.745624,11.745624000000001,10.525624
19,8,0,12.026803,11.286802999999999,14.866802999999999,11.758401,11.618400999999999,12.886803,11.846803,11.388401,11.226803,10.9324,11.226803,10.866802999999999,13.198401,11.646803,10.626803,12.278400999999999,11.186803,10.346803,12.855601,11.286802999999999,10.822268,11.898401,14.266803,11.638401,12.656311,13.586803,11.818401,12.698400999999999,13.358401,13.406803,10.95368,12.586803,15.206803,13.686803,11.938400999999999,15.046803,11.526803,11.206803,12.306803,12.295258,11.898401,11.702268,12.726803,11.2324,11.446803,11.854201,11.728401,15.176134,12.186803,10.868400999999999
20,8,1,12.609886999999999,11.729887,15.329887,12.329887,12.129887,13.469887,12.249887,11.789887,11.709887,11.309887,11.769886999999999,11.449887,13.769886999999999,12.229887,10.989887,12.829887,11.669887,10.849886999999999,13.249887,11.729887,11.276629,12.449887,14.949887,12.149887,13.049887,13.929943,12.329887,13.169887,13.929886999999999,13.889887,11.379942999999999,13.149887,15.717977,14.309887,12.369887,15.709887,12.053977,11.769886999999999,12.889887,12.749887,12.514972,12.159943,13.169887,11.589887,11.936629,12.249887,12.089887,15.669887,12.829887,11.349886999999999
21,8,2,13.250385000000001,12.150385,15.970385,12.910385,12.710771000000001,14.190385000000001,12.710385,12.230385,12.210385,11.970385,12.250385000000001,11.910385,14.310385,12.670385000000001,11.450385,13.310385,12.150385,11.430385000000001,13.630385,12.190385000000001,11.730385,12.970771000000001,15.510385000000001,12.550096,13.550385,14.370385,12.810385,13.710385,14.450385,14.670385000000001,11.770385000000001,13.670385000000001,16.270385,14.790192999999999,12.870385,16.390385000000002,12.470385,12.210385,13.410385,13.290385,13.130385,12.650385,13.770385000000001,12.110192999999999,12.590385000000001,12.650385,12.530385,16.150385,13.490385,11.930385000000001
22,9,0,13.708979999999999,12.54898,16.46898,13.387959,13.148979999999998,14.608979999999999,13.16898,12.588980000000001,12.62898,12.348980000000001,12.64898,12.28898,14.767959,13.04898,11.86898,13.64949,12.56898,11.927959,14.028979999999999,12.54898,12.14898,13.468979999999998,16.06898,12.82898,13.92898,14.628979999999999,13.188979999999999,14.227959,14.968979999999998,15.288979999999999,12.088980000000001,14.028979999999999,16.72898,15.188979999999999,13.268979999999999,17.06898,12.80898,12.64949,13.82898,13.50898,13.58898,13.06898,14.24898,12.449489999999999,13.008980000000001,13.008980000000001,12.90898,16.528979999999997,13.967959,12.32949
23,9,1,14.165624,13.045624,16.965624,13.885623999999998,13.805624,15.085624,13.665624,13.005624000000001,13.085624000000001,12.785624,13.305624,12.725624,15.337812,13.505624,12.365624,14.105623999999999,13.045624,12.425624000000001,14.505624,13.045624,12.625624,14.045623999999998,16.825623999999998,13.247812,14.347812,15.005624,13.705623999999998,14.745624,15.535207999999999,15.905624,12.525624,14.505624,17.305623999999998,15.745624,13.705623999999998,17.665623999999998,13.245624,13.165624,14.305624,13.965623999999998,14.145624,13.545623999999998,14.765623999999999,12.885624,13.485624,13.465623999999998,13.327812,17.065624,14.465623999999998,12.845624
24,9,2,14.730657999999998,13.670658,17.570657999999998,14.390657999999998,14.490657999999998,15.710657999999999,14.250658,13.510658,13.550657999999999,13.350658,14.010658,13.350658,15.910657999999998,14.130657999999999,12.850658000000001,14.670658,13.470657999999998,13.050658,15.090658,13.670658,13.070658,14.670658,17.470658,13.750658,14.890657999999998,15.360329,14.251973000000001,15.330657999999998,16.130658,16.590657999999998,13.070658,15.050657999999999,18.170658,16.310658,14.250658,18.430657999999998,13.750658,13.670658,14.850658,14.530657999999999,14.710657999999999,14.090658,15.510658,13.410657999999998,14.050657999999999,14.010658,13.810657999999998,17.530658,15.130657999999999,13.390657999999998
25,10,0,15.558912,14.218912,18.318912,14.938912,15.098912,16.118911999999998,14.736735000000001,14.074456,14.098912,13.778912,14.418911999999999,14.058912,16.458911999999998,14.838911999999999,13.194456,15.178912,14.078911999999999,13.798912,15.678912,14.218912,13.538912,15.398912,18.298911999999998,14.198912,15.364456,15.674456,14.898912,15.998911999999999,16.838912,17.367823,13.618912,15.658911999999999,19.038912,16.898912,14.674456,19.138912,14.218912,14.238912,15.318912,15.094456,15.378912,14.698912,16.198912,14.018912,14.558912,14.434455999999999,14.334456,17.958911999999998,15.818912,14.058912
