,measure_number,beat_number,pid1263-12,pid9048-12,pid9054-12,pid9055-12,pid9058-12,pid9059-12,pid9060-12,pid9062-12,pid9063-12,pid9066-12,pid9067-12,pid9068-07,pid9072-12,pid9075-12,pid9087-06,pid9088-07,pid9090-05,pid9093-12,pid9097-14,pid9100b-16,pid9101-12,pid9104-12,pid9105-12,pid9111-12,pid9118-12,pid9137-08,pid9138-12,pid9139-12,pid9166d-19,pid9170-12,pid9173-17,pid9174-12,pid917803b-07,pid917807-07,pid9186c-12,pid9192-12
0,1,2,0.775805,1.575805,0.8358049999999999,0.595805,0.23580500000000001,0.35580500000000004,0.275805,0.47580500000000003,1.435805,1.135805,0.655805,0.135805,0.9358049999999999,0.615805,0.435805,0.655805,2.4158049999999998,0.655805,1.075805,1.2358049999999998,0.595805,0.495805,0.9358049999999999,0.155805,2.198602,0.818602,0.695805,0.555805,1.2358049999999998,0.35580500000000004,0.275805,0.29580500000000004,2.535805,0.695805,1.195805,0.47580500000000003
1,2,0,1.7167119999999998,2.1967119999999998,1.876712,1.5767120000000001,1.1367120000000002,0.856712,0.8967120000000001,1.7167119999999998,2.396712,2.336712,1.656712,0.976712,1.7767119999999998,1.556712,1.276712,1.7167119999999998,3.236712,1.476712,1.7767119999999998,2.056712,1.496712,1.496712,1.9767119999999998,1.0967120000000001,3.496712,1.7567119999999998,1.676712,1.496712,1.836712,1.256712,1.3367120000000001,1.1167120000000001,3.496712,1.7367119999999998,1.8167119999999999,1.3967120000000002
2,2,1,2.5420409999999998,2.822041,2.522041,2.302041,2.002041,1.462041,1.482041,2.582041,3.122041,3.102041,2.422041,1.6620409999999999,2.322041,2.182041,2.142041,2.702041,4.122041,2.362041,2.482041,2.822041,2.382041,2.222041,2.722041,2.122041,4.16602,2.382041,2.522041,2.5420409999999998,2.322041,1.962041,2.202041,1.802041,4.202041,2.842041,2.382041,2.102041
3,2,2,3.0015419999999997,3.321542,2.9615419999999997,2.721542,2.5015419999999997,1.8815419999999998,2.301542,3.4015419999999996,3.621542,3.761542,2.9015419999999996,2.181542,2.821542,2.621542,2.5615419999999998,3.161542,4.661542,2.8815419999999996,2.8815419999999996,3.281542,2.9015419999999996,2.801542,3.361542,2.621542,4.661542,2.821542,2.9415419999999997,3.0015419999999997,2.821542,2.4815419999999997,2.641542,2.281542,4.661542,3.3815419999999996,2.740514,2.585771
4,3,0,3.753968,3.90127,3.46127,3.42127,3.00127,2.3325400000000003,2.9012700000000002,4.0212699999999995,4.24127,4.20127,3.6612699999999996,2.73254,3.48127,3.25254,3.1438099999999998,3.948889,5.24127,3.7612699999999997,3.46127,3.8012699999999997,3.5801589999999996,3.3812699999999998,4.386349,3.12127,5.2376190000000005,3.45254,3.40127,3.686349,3.3012699999999997,2.9212700000000003,3.06127,2.86127,5.24127,3.95254,3.24127,3.1863490000000003
5,3,1,4.272812,4.312812,3.8414059999999997,3.9728120000000002,3.352812,2.792812,3.372812,4.432812,4.772812,4.512812,4.092812,3.252812,3.932812,3.6728120000000004,3.6928120000000004,4.572812,5.932812,4.2128120000000004,3.997604,4.3328120000000006,4.192812,4.112812,5.092812,3.6128120000000004,5.692812,3.932812,3.811406,4.272812,3.7128120000000004,3.372812,3.432812,3.312812,5.7928120000000005,4.492812000000001,3.6528120000000004,3.7128120000000004
6,3,2,4.654626,4.794626,4.2346260000000004,4.494626,3.774626,3.194626,4.054626,5.114626,5.174626,4.874626,4.414626,3.734626,4.474626,4.094626,4.094626,4.994626,6.394626000000001,4.679252,4.374626,4.714626,4.614626,4.634626,5.679252,4.074626,6.174626,4.454626,4.114626,4.714626,4.194626,3.854626,3.834626,3.794626,6.2346260000000004,4.914626,4.074626,4.174626
7,4,0,5.3377099999999995,5.2977099999999995,4.65771,5.09771,4.13771,3.6177099999999998,4.65771,5.93771,5.71771,5.23771,4.93771,4.27771,5.11771,4.51771,4.665419,5.65771,6.9577100000000005,5.21771,4.8777099999999995,5.21771,5.257709999999999,5.257709999999999,6.560839,4.51771,6.68542,5.23771,4.43771,5.160839,4.71771,4.41771,4.257709999999999,4.31771,6.67771,5.3777099999999995,4.49771,4.8777099999999995
8,4,1,6.020136,5.780136,5.1601360000000005,5.6601360000000005,4.560136,4.220136,5.220136,6.900136,6.320136,5.780136,5.520136,4.860136,5.720136,5.100136,5.300136,6.500136,7.6601360000000005,6.040136,5.460136,5.780136,6.080136,6.1601360000000005,7.240136,5.080136,7.1601360000000005,5.800136,4.900136,5.840136,5.260136,5.060136,4.720136,4.820136,7.220136,5.840136,4.940136,5.600136
9,4,2,6.444535,6.244535,5.584535,6.004535,4.964535,4.624535,5.844535,7.524535,6.724535,6.564535,5.884535,5.364535,6.1845349999999994,5.464535,5.704535,6.864535000000001,8.199069999999999,6.544535,5.824535,6.204535,6.504535,6.664535000000001,7.8445350000000005,5.624535,7.504535000000001,6.2245349999999995,5.204535,6.284535,5.744535,5.604535,5.164535,5.2245349999999995,7.704535000000001,6.384535,5.384535,6.044535
10,5,0,7.025669000000001,6.765669,6.085669,6.585669,5.4456690000000005,5.098917,6.565669000000001,8.605669,7.385669,7.325669,6.545669,5.985669000000001,7.045669,5.9456690000000005,6.145669,7.425669,8.885669,7.165669,6.265669,6.645669,7.025669000000001,7.345669,8.505669000000001,6.385669,8.025669,6.9056690000000005,5.705669,6.885669,6.345669,6.265669,5.765669,5.725669,8.385669,6.8656690000000005,5.845669,6.625669
11,5,1,7.74483,7.28483,6.684830000000001,7.16483,5.72483,5.524830000000001,7.16483,9.28483,8.02483,8.044830000000001,7.024830000000001,6.4848300000000005,7.71449,6.36483,6.72483,7.939660000000001,9.42483,7.9048300000000005,6.78483,7.16483,7.74483,8.044830000000001,9.32483,7.08483,8.44483,7.4048300000000005,6.144830000000001,7.524830000000001,6.84483,6.88483,6.644830000000001,6.24483,8.90483,7.36483,6.28483,7.184830000000001
12,5,2,8.294785000000001,7.894785000000001,7.2747850000000005,7.754785000000001,6.088309,5.9511959999999995,7.694785,9.810957,8.514785,9.074785,7.494785,7.114785,8.354785000000001,6.666799,7.3147850000000005,8.614785000000001,9.858262,8.514785,7.004627,7.714785000000001,8.298262,8.654785,9.918262,8.134785,8.874785000000001,7.974785000000001,6.331196,8.094785,7.374785,7.474785000000001,7.254785000000001,6.854785000000001,9.514785,8.014785,6.6549570000000005,7.714785000000001
13,6,0,9.070703,8.730703,8.030702999999999,8.670703,6.710703,6.430703,8.531406,10.770703,9.290703,9.950703,8.210703,7.690703,9.150703,7.290703,7.990703,9.810703,10.650703,9.530702999999999,7.5507029999999995,8.510703,9.090703,9.590703,10.870703,9.631406,9.710703,8.910703,6.830703,8.790703,8.130703,8.431405999999999,8.430703,7.650703,10.070703,8.910703,7.130703,8.530702999999999
14,6,1,9.768889,9.288889,8.508889,9.268889,7.108889,6.999444,9.228889,11.628889,9.908889,10.548888999999999,8.708889,8.308889,9.768889,7.879444,8.588889,10.568889,11.328889,10.248889,8.068889,9.168889,9.828889,10.348889,11.648889,10.768889,10.348889,9.448889,7.268889,9.628889,8.708889,9.008889,8.968889,8.308889,10.628889,9.628889,7.588889,9.188889
15,6,2,10.161043,9.681042999999999,8.861042999999999,9.581043,7.401043,7.361043,9.701042999999999,12.112086,10.281042999999999,10.961043,9.027761,8.701042999999999,10.161043,8.148209,8.981043,10.825174,11.741043,10.615522,8.362761,9.481043,10.168209,10.781042999999999,12.181042999999999,11.181042999999999,10.635522,9.800348,7.5282089999999995,9.981043,9.101042999999999,9.401043,9.341042999999999,8.701042999999999,11.005522000000001,10.021042999999999,7.905174000000001,9.527761
16,7,0,10.808435000000001,10.157687,9.337686999999999,10.097686999999999,7.873844,7.8053740000000005,10.525374000000001,12.717687,10.857687,11.397687,9.557687,9.277687,10.877687,8.617687,9.397687,11.277687,12.313061,11.217687,8.837686999999999,9.957687,10.757686999999999,11.377687,12.913061,11.757686999999999,11.097686999999999,10.397687,7.9376869999999995,10.597686999999999,9.637687,9.897687,9.813844,9.177686999999999,11.577687,10.457687,8.357687,10.077687
17,7,1,11.461202,10.601202,9.661202000000001,10.701202,8.200401,8.261202,11.041202,13.221201999999998,11.341202000000001,11.781202,9.901202,9.801202,11.332403999999999,9.041202,9.725601,11.781202,12.861202,11.712404,9.281202,10.341202000000001,11.281202,12.041202,13.761201999999999,12.261202,11.445601,10.841202000000001,8.261202,11.281202,10.201202,10.321202,10.141202,9.581202000000001,12.041202,10.901202,8.721202,10.621202
18,7,2,12.043855,11.083855,10.123855,11.263855,8.823855,8.661285000000001,11.803855,13.823854999999998,11.823855,12.483855,10.263855,10.363855000000001,11.863855000000001,9.414617999999999,10.123855,12.403855,13.403854999999998,12.183855,9.614618,10.743855,11.783855,12.723855,14.523855,12.803855,11.903855,11.423855,8.643855,11.823855,10.823855,10.903855,10.583855,10.103855000000001,12.506927000000001,11.503855,9.186927,11.283855
19,8,0,12.864353999999999,11.484354,10.524353999999999,12.084354,9.184353999999999,9.044354,12.324354,14.264354,12.244354,12.904354,10.564354,10.998707000000001,12.304354,9.744354,10.487177,13.184354,14.024354,12.584354,9.944353999999999,11.144354,12.184353999999999,13.504354000000001,15.104354,13.144354000000002,12.344354,12.324354,9.007177,12.324354,11.284353999999999,11.404354,10.944353999999999,10.644354,12.884354,12.344354,9.638707,11.958707
