,measure_number,beat_number,pid1263-13,pid50534-05,pid52932-06,pid54293-09,pid5667267b-10,pid7992-03,pid9048-13,pid9050-13,pid9052b-09,pid9054-13,pid9055-13,pid9056-15,pid9058-13,pid9059-13,pid9062-13,pid9063-13,pid9064-04,pid9065-08,pid9066-13,pid9067-13,pid9068-08,pid9070-21,pid9072-13,pid9074f-13,pid9085-15,pid9087-07,pid9088-08,pid9089-15,pid9090-06,pid9093-13,pid9094-13,pid9098-20,pid9099-13,pid9100b-17,pid9101-13,pid9103-07,pid9104-13,pid9105-13,pid9111-13,pid9118-13,pid9130-01,pid9138-13,pid9139-13,pid9152-13,pid9153-13,pid915406-13,pid9156-10,pid9159-04,pid9160-02,pid9161-12,pid9165-04,pid9166d-20,pid9167-13,pid9170-13,pid9173-18,pid9174-13,pid9176-06,pid917803b-08,pid917807-08,pid917811-09,pid917812-05,pid917813-02,pid9181-07,pid9186c-13,pid918818-11,pid9192-13,pid9193-03
0,1,1,0.748005,0.128005,0.588005,0.408005,0.8880049999999999,0.368005,1.688005,0.38800500000000004,1.8080049999999999,0.8480049999999999,0.488005,0.328005,0.128005,0.168005,0.128005,1.388005,0.30800500000000003,1.708005,0.8880049999999999,0.428005,0.128005,0.648005,0.8880049999999999,1.348005,1.0880049999999999,0.328005,0.8880049999999999,1.7880049999999998,1.408005,0.808005,0.928005,0.188005,0.128005,1.0680049999999999,0.44800500000000004,0.188005,0.568005,0.508005,0.188005,1.968005,2.108005,0.608005,0.548005,0.228005,0.5280050000000001,0.628005,2.588005,0.44800500000000004,0.148005,1.128005,0.188005,0.9880049999999999,1.2880049999999998,0.188005,0.24800500000000003,0.128005,0.7880050000000001,1.5880049999999999,0.608005,1.148005,1.448005,0.548005,0.228005,1.348005,0.148005,0.408005,0.348005
1,1,2,1.7678,0.9878,1.3689,1.2278,1.7478,1.2189,2.6278,1.2478,2.6478,1.7078,1.28445,1.2478,0.7678,0.9389,0.9678,2.2478,1.3678,2.5278,1.8078,1.3078,0.9878,1.5078,1.5226,2.2078,1.93445,1.3189,2.0189,2.6478,2.4078,1.62445,2.0678,1.0478,0.9878,1.8678,1.2278,1.0478,1.3289,1.3389,1.6278,2.6878,3.0678,1.5478,1.3478,1.1678,1.332543,1.32956,3.4478,1.3078,1.0078,1.7189,1.1278,1.8678,2.1478,1.0478,1.2678,0.9878,1.6478,2.4478,1.4678,1.96445,2.3078,1.4078,1.0878,2.1678,0.9478,1.3478,1.1989
2,2,0,2.445147,1.445147,1.9851470000000002,1.861716,2.3251470000000003,1.663787,3.327574,1.847574,3.163939,2.2651470000000002,1.905029,1.9451470000000002,1.327574,1.521716,1.425147,2.965147,2.005147,3.145147,2.3051470000000003,1.7275740000000002,1.7051470000000002,2.165147,2.1837869999999997,2.7851470000000003,2.535858,1.9451470000000002,2.707574,3.225737,3.047574,2.185147,2.925147,1.5651469999999998,1.5617159999999999,2.4675740000000004,1.805147,1.413029,1.955858,1.7451470000000002,2.3651470000000003,3.1978779999999998,3.905147,2.145147,2.007574,1.825147,1.9451470000000002,1.7975740000000002,3.915858,1.9251470000000002,1.485147,2.207574,1.653029,2.515858,2.705147,1.6451470000000001,2.085147,1.405147,2.105147,3.025147,2.063787,2.475858,2.795858,1.9051470000000001,1.785147,2.625147,1.405147,1.90645,1.648787
3,2,1,3.044683,1.994048,2.5980950000000003,2.378095,2.924048,2.178095,4.298095,2.459365,3.674014,2.858095,2.498095,2.658095,1.838095,2.218095,1.7270240000000001,3.5380949999999998,2.5188099999999998,3.718095,2.858095,2.166032,2.438095,2.698095,2.858095,3.3840480000000004,3.178095,2.458095,3.3180949999999996,3.7580949999999995,3.658095,2.718095,3.7980949999999996,2.084048,2.218095,3.0580950000000002,2.358095,1.858095,2.5780950000000002,2.124048,3.0980950000000003,3.718095,4.758095,2.698095,2.5980950000000003,2.464048,2.458095,2.278095,4.418095,2.5580950000000002,1.818095,2.738095,2.124048,3.138095,3.419365,2.218095,2.864048,1.754048,2.5780950000000002,3.7840480000000003,2.7393650000000003,2.998095,3.1876189999999998,2.398016,2.271619,3.097566,1.846032,2.6180950000000003,2.158095
4,2,2,3.659335,2.459335,3.1980049999999998,2.818005,3.4380050000000004,2.598005,4.958005,3.078005,4.0640019999999994,3.4380050000000004,2.898005,3.3180050000000003,2.384002,2.878005,2.164002,4.118005,2.958005,4.258005000000001,3.258005,2.538005,3.098005,3.3580050000000004,3.3780050000000004,3.8980050000000004,3.7780050000000003,2.898005,3.7980050000000003,4.398005,4.158005,3.1780049999999997,4.5180050000000005,2.618005,2.818005,3.598005,2.838005,2.218005,3.164002,2.452668,3.7180050000000002,4.178005000000001,5.618005,3.3180050000000003,3.218005,3.118005,2.994002,2.7060020000000002,5.118005,3.118005,2.278005,3.218005,2.518005,3.618005,3.8380050000000003,2.6980049999999998,3.3780050000000004,2.118005,3.018005,4.398005,3.1780049999999997,3.5540019999999997,3.8380050000000003,2.938005,2.844002,3.572668,2.278005,3.238005,2.578005
5,3,0,4.3173580000000005,3.0594330000000003,3.814717,3.279433,4.019433,3.0547169999999997,5.5223580000000005,3.7423580000000003,4.474717,4.0531440000000005,3.359433,4.059433,2.919811,3.579811,2.5794330000000003,4.739433,3.439433,4.774717,3.819433,2.894717,3.839433,4.059433,4.039433,4.479433,4.499433,3.364906,4.3747169999999995,4.859433,4.743887,3.6394330000000004,5.239811,3.146604,3.359433,4.114717,3.359433,2.6623580000000002,3.794717,2.839433,4.402358,4.659811,6.474717,3.854717,3.819433,3.799433,3.5194330000000003,3.0994330000000003,5.394906,3.759433,2.7647169999999996,3.699433,2.944906,4.083887,4.319433,3.1194330000000003,3.9047169999999998,2.5194330000000003,3.4998110000000002,5.019811,3.6594330000000004,4.074717,4.404717,3.4994330000000002,3.4994330000000002,4.066478,2.679433,3.883887,3.0347169999999997
6,3,1,4.981172,3.758379,4.483515000000001,3.783515,4.583515,3.5835150000000002,6.223515,4.386757,4.966757,4.723515,3.923515,4.803515,3.463515,4.243515,3.035586,5.406757,4.016757,5.423515,4.503515,3.386757,4.583515,4.763515,4.763515,5.043515,5.223515,3.843515,4.983515000000001,5.503515,5.3635150000000005,4.146757,6.123515,3.843515,4.038919,4.763515,3.906757,3.2035150000000003,4.366757,2.909797,5.263515,5.223515,7.2435149999999995,4.483515000000001,4.523515,4.583515,4.063515,3.606757,6.056757,4.423515,3.1635150000000003,4.266757,3.463515,4.603515,4.954505,3.6035150000000002,4.4435150000000005,2.983515,4.103515,5.803515,4.243515,4.743515,4.816757,4.043515,4.023515,4.533379,3.276757,4.603515,3.563515
7,3,2,5.937392,4.3373919999999995,5.237392,4.317392,5.177392,4.077392,6.957392,5.317392,5.597392,5.437392,4.657392,5.737392,4.157392,5.037392,3.6918480000000002,6.257391999999999,4.737392,6.117392,5.437392,3.9973919999999996,5.317392,5.597392,5.517392,5.637392,6.077392,4.504785,5.797391999999999,6.177392,6.057392,4.897392,6.8773919999999995,4.797391999999999,4.717392,5.464785,4.684785,3.957392,5.137392,3.5773919999999997,6.477392,5.957392,8.237392,5.297391999999999,5.257391999999999,5.3773919999999995,4.797391999999999,4.277392,6.763696,5.157392,3.717392,4.9173919999999995,4.097392,5.197392,5.597392,4.217392,5.117392,3.697392,4.697392,6.557392,4.977392,5.517392,5.537392,4.677392,4.717392,5.217392,3.877392,5.577392,4.057392
8,4,0,7.0893880000000005,5.269387999999999,6.189388,5.209388,5.877878,4.461341,7.909388000000001,6.149388,6.5893880000000005,6.329388,5.749388,6.929388,5.169388,6.0093879999999995,4.4693879999999995,7.159694,5.709388,7.074847,6.529388,4.649847,6.269387999999999,6.534847,6.529388,6.339898000000001,7.029388000000001,5.3578779999999995,6.657878,6.8658779999999995,6.8578779999999995,5.929387999999999,7.929388,6.0493879999999995,5.569388,6.399847,5.709388,4.929387999999999,6.089388,4.0998470000000005,8.029388,6.909388000000001,9.449388,6.5493879999999995,6.209388,6.5093879999999995,5.577878,5.029388,7.289388000000001,5.994847,4.519694,5.669388,4.9378779999999995,5.721341000000001,6.429387999999999,4.809387999999999,6.069388,4.489388,5.5493879999999995,7.6293880000000005,5.894847,6.4693879999999995,6.389387999999999,5.377878,5.417878,6.109388,4.669388,6.609388,4.441341
9,4,1,8.257982,6.085964,7.605964,6.345964,6.965964,5.067982,8.965964,7.225964,7.145964,7.505964,7.405964,8.365964,6.565964,7.045964,5.8859639999999995,7.917982,7.3859639999999995,8.065964,8.225964,6.065964,7.405964,7.345964,7.7619880000000006,7.425964,9.465964,6.341927,8.225964,7.985964,8.045964,7.045964,9.345964,7.305964,6.945964,7.405964,7.185964,5.941927,7.305964,4.549633,10.465964,7.805964,10.709495,8.465964,7.665964,8.065964,6.725964,5.389865,8.425964,7.465964,5.285964,6.845964,5.865964,6.445964,7.8859639999999995,5.645964,7.025964,5.207596,6.567982000000001,8.805964,7.185964,7.825964,7.485964,6.805964,6.545964,7.325964,5.517982,9.005964,5.049494999999999
10,4,2,9.045964,6.482317,9.165964,8.005964,8.645964,6.635797999999999,9.805428,7.985964,8.065964,9.205964,8.480999,9.545964,8.165964,8.725964,6.705964,8.765964,8.43422,9.725964,9.905963999999999,7.525964,9.085964,8.905963999999999,9.085964,9.105964,11.145964,8.025964,9.485964,9.152619,9.725964,8.645964,11.105964,8.985964,7.789897,9.265964,8.245964,8.245964,9.005964,5.365964,12.265964,9.365964,12.31133,10.125964,9.185964,8.843878,8.385964,6.525964,9.00563,9.065964,5.965964,7.665642,7.191999000000001,7.345964,9.465964,7.345964,8.635425999999999,6.419477,7.225964,10.485964,8.685964,9.107332000000001,9.125964,7.9450259999999995,7.7510639999999995,9.005964,5.985964,11.445964,5.785964
11,5,0,10.888005,7.631637,10.379002,9.839002,9.228005,7.288005,11.008005,10.668005,10.448005,11.888005,9.308005,11.288005,10.428005,10.268005,7.848005000000001,10.228005,12.048005,10.788005,11.448005,9.188005,10.848005,9.668005,10.608005,9.688005,12.228005,8.628005,11.248005000000001,10.428005,11.149002000000001,10.308005,13.048005,11.068005,9.428005,10.108005,10.228005,9.888005,10.908005000000001,6.028005,14.528004999999999,11.368005,13.368004999999998,11.448005,9.988005000000001,9.848005,9.604500999999999,8.028005,10.628005,11.068005,7.7280050000000005,8.968005,7.779002,8.148005,11.209002,8.088005,10.088005,7.428005000000001,8.925601,12.788005,10.448005,10.028005,10.628005,9.168005,8.848005,9.648005,8.248005000000001,12.308005,7.288005
12,5,1,11.781224,8.081224,11.101224,10.601224,10.181224,7.861224000000001,12.081224,11.641224000000001,11.281224,12.941224,10.221224000000001,12.361224,11.521224,11.041224,8.581224,11.301224000000001,13.241223999999999,11.881224000000001,12.541224,10.181224,11.581224,10.601224,11.421224,10.641224000000001,13.141224,9.581224,12.261224,11.221224000000001,12.261224,11.141224000000001,13.881224,12.021224,10.261224,11.141224000000001,11.261224,10.661224,12.021224,6.601224,16.001224,12.181224,14.381224,12.521224,11.041224,10.601224,10.541224,8.681224,11.521224,12.021224,8.435611999999999,9.721224000000001,8.561224000000001,9.141224000000001,12.041224,8.901224000000001,11.201224,8.241224,9.681224,13.681223999999998,11.621224,10.981224000000001,11.441224,9.881224000000001,9.781224,10.721224000000001,9.041224,13.281224,7.841224
13,5,2,12.404330999999999,8.827166,11.744330999999999,11.264331,10.817166,8.156194000000001,12.984331,12.224331,11.844331,13.944331,10.884331,13.124331,12.364331,11.624331,9.244330999999999,11.964331,14.024331,12.404330999999999,13.304331,10.864331,12.224331,11.324330999999999,12.044331,11.277166000000001,13.764331,10.184331,12.924331,11.824330999999999,12.904330999999999,11.887166,14.804331,12.644331,10.864331,11.744330999999999,12.064331,11.164330999999999,12.624331,7.084331,17.204331,12.804331,15.224331,13.204331,11.764331,11.244330999999999,11.224331,9.221444,12.164330999999999,12.784331,8.944331,10.154939,9.024331,10.004331,12.607166000000001,9.504331,11.844331,8.871592,10.464331,14.504331,12.364331,11.704331,11.924331,10.524331,10.484331,11.307166,9.664330999999999,13.904330999999999,8.156194000000001
