,measure_number,beat_number,pid1263-14,pid52932-07,pid9048-14,pid9050-14,pid9054-14,pid9055-14,pid9058-14,pid9059-14,pid9062-14,pid9063-14,pid9064-09,pid9065-09,pid9066-14,pid9067-14,pid9068-09,pid9072-14,pid9074f-14,pid9075-14,pid9078-06,pid9081-02,pid9088-09,pid9090-07,pid9093-14,pid9094-14,pid9098-01,pid9099-14,pid9100b-10,pid9101-14,pid9103-08,pid9104-14,pid9105-14,pid9115-08,pid9118-14,pid9126-02,pid9128-10,pid9130-06,pid9138-14,pid9139-14,pid9153-14,pid9166e-07,pid9170-14,pid9173-19,pid9174-14,pid9185-01,pid9186c-14,pid9192-14
0,1,2,0.664989,0.744989,1.7049889999999999,0.6849890000000001,2.024989,0.404989,0.20498899999999998,0.324989,0.7049890000000001,1.604989,0.48498900000000006,2.5649889999999997,0.8849889999999999,0.5649890000000001,0.12498900000000002,0.784989,2.0449889999999997,0.7049890000000001,1.104989,1.584989,0.644989,0.944989,1.7049889999999999,1.104989,0.7049890000000001,0.324989,1.144989,0.504989,0.48498900000000006,0.7049890000000001,0.944989,1.264989,1.884989,0.664989,0.444989,1.144989,1.064989,0.624989,0.7049890000000001,0.6849890000000001,0.364989,0.364989,0.284989,0.444989,1.124989,0.444989
1,2,0,1.990476,1.770476,2.620952,1.6904759999999999,3.090476,1.430238,1.530476,0.9244709999999999,1.610476,2.370476,1.130476,3.530476,1.970476,1.8304759999999998,1.210476,1.350476,2.890476,1.4704760000000001,2.090476,2.5704759999999998,1.730476,1.7904759999999997,2.5304759999999997,2.330476,1.730476,1.090476,1.970476,1.550476,1.8304759999999998,1.590476,1.9504759999999999,2.390476,3.270476,1.4704760000000001,1.190476,2.710476,2.110476,1.570476,2.0104759999999997,1.6904759999999999,1.310476,1.350476,1.090476,1.610476,2.0504759999999997,1.250476
2,2,1,2.989637,2.5496369999999997,3.1096369999999998,2.489637,4.269637,2.0296369999999997,2.249637,1.389637,2.309637,3.0696369999999997,1.8885490000000003,4.189637,2.5496369999999997,2.5696369999999997,1.9496369999999998,1.9896369999999999,3.549637,2.209637,2.969637,3.209637,2.709637,2.489637,3.0896369999999997,3.429637,2.5496369999999997,1.6896369999999998,2.869637,2.369637,2.5896369999999997,2.309637,2.649637,3.0896369999999997,3.8296370000000004,2.149637,1.9496369999999998,3.529637,2.949274,2.269637,2.709637,2.189637,2.0896369999999997,2.129637,1.8092740000000003,2.5896369999999997,2.909637,2.0296369999999997
3,2,2,3.566213,3.166213,3.7262129999999996,3.0862130000000003,5.046213,2.466213,2.966213,1.9462130000000002,2.866213,3.566213,2.746213,4.7262129999999996,3.126213,3.206213,2.5262130000000003,2.5262130000000003,4.166213,2.906213,3.4662129999999998,3.7662129999999996,3.2862129999999996,3.0662130000000003,3.606213,3.986213,3.126213,2.226213,3.4462129999999997,2.926213,3.126213,2.966213,3.226213,3.646213,4.326213,2.746213,2.366213,4.566212999999999,3.7262129999999996,2.906213,3.4062129999999997,2.686213,2.706213,2.5662130000000003,2.646213,3.2862129999999996,3.486213,2.5862130000000003
4,3,0,4.397392,4.057392,4.457392,3.6373919999999997,5.717392,2.977392,3.717392,2.5173919999999996,3.337392,4.157392,3.337392,5.197392,3.6773919999999998,3.777392,3.197392,3.0973919999999997,4.657392,3.5373919999999996,4.017392,4.277392,4.137392,3.6773919999999998,4.157392,4.657392,3.697392,2.777392,4.117392,3.457392,3.957392,3.457392,3.837392,4.097392,4.9173919999999995,3.277392,2.837392,5.504785,4.217392,3.5973919999999997,3.957392,3.297392,3.257392,3.0573919999999997,3.257392,3.817392,4.137392,2.957392
5,3,1,5.058889,5.098889,5.004444,4.358889,6.598889,3.5788889999999998,4.358889,2.938889,3.726296,4.7788889999999995,4.238889,5.584444,4.178889,4.498889,4.018889,3.738889,5.118889,4.338889,4.618889,4.738889,5.054444,4.478889,4.638889,5.338889,4.478889,3.358889,4.938889,4.064444,4.678889,4.258889,4.438889,4.478889,5.558889,3.784444,3.298889,6.658889,4.764444,4.198889,4.578889,3.806296,3.718889,3.478889,4.078889,4.358889,5.2788889999999995,3.4062959999999998
6,3,2,5.80195,5.86195,5.60065,5.08195,7.18195,4.195325,5.02195,3.56195,4.2519919999999995,5.26195,4.68065,6.005975,4.80195,5.085975,4.575975,4.325975,5.70195,4.865975,5.06195,5.432988,5.614564,5.10195,5.172988,6.28195,5.10195,3.98195,5.58195,4.675975,5.293983,4.92195,5.06195,4.9273169999999995,6.18195,4.30195,3.76195,7.64195,5.22195,4.76195,5.34195,4.36195,4.24195,3.88195,4.565975,5.18195,5.90195,3.72195
7,4,0,6.540499,6.440499,6.140499,5.600499,7.640499,4.500499,5.500499,4.040499,4.620499,5.740499,5.080499,6.480499,5.240499,5.540499,5.020499,4.800498999999999,6.200499,5.3804989999999995,5.4604989999999995,5.820499,6.020499,5.495248999999999,5.520499,6.780499000000001,5.500499,4.440499,6.120499,5.120499,5.700499,5.300498999999999,5.660499,5.280499,6.620499000000001,4.760498999999999,4.200499,8.480499,5.580499,5.210998,5.820499,4.9204989999999995,4.800498999999999,4.300498999999999,5.060499,5.640499,6.440499,4.060499
8,4,1,7.081338000000001,7.081338000000001,6.681338,6.221337999999999,8.261338,4.981338,6.041338,4.581338,5.261337999999999,6.321338,5.601338,7.101338,5.681337999999999,5.981338,5.541338,5.324014,6.661338000000001,6.101338,6.081338,6.281338,6.501338,5.961338,5.981338,7.381338,5.901338,5.001338,6.501338,5.661338,6.161338,5.8813379999999995,6.241338,5.9213379999999995,7.101338,5.241338,4.761337999999999,9.381338000000001,6.081338,5.801337999999999,6.332676,5.441338,5.361338,4.721337999999999,5.664014,6.121338,6.9613380000000005,4.621338
9,4,2,7.740499000000001,7.600499,7.360499000000001,6.740499000000001,9.080499,5.400499,6.620499000000001,5.100499,5.8804989999999995,6.960499,6.140499,7.760499,6.140499,6.500499,6.061497,5.900499,7.160499000000001,6.860499000000001,6.680499,6.780499000000001,7.0404990000000005,6.3804989999999995,6.620499000000001,7.920499,6.480499,5.660499,7.020499000000001,6.340498999999999,6.860499000000001,6.280499,6.820499000000001,6.600499,7.660499000000001,5.740499,5.180499,10.300499,6.740499000000001,6.560499,6.860499000000001,5.9204989999999995,6.120499,5.180499,6.340498999999999,6.881497,7.5404990000000005,5.180499
