,measure_number,beat_number,pid1263-16,pid52932-09,pid9048-16,pid9054-16,pid9055-16,pid9058-16,pid9059-16,pid9061-16,pid9062-16,pid9063-16,pid9065-11,pid9066-16,pid9067-16,pid9072-16,pid9074f-16,pid9075-16,pid9078-08,pid9081-04,pid9088-11,pid9093-16,pid9094-16,pid9097-07,pid9099-16,pid9100b-12,pid9101-16,pid9104-16,pid9105-16,pid9118-16,pid9126-04,pid9128-12,pid9138-16,pid9139-16,pid9153-16,pid9166e-09,pid9170-16,pid9173-21,pid9174-16,pid9186c-16,pid9192-16
0,1,2,0.778957,0.718957,1.698957,0.738957,0.278957,0.398957,0.29895700000000003,0.8444780000000001,0.786319,1.178957,1.578957,0.45895699999999995,0.538957,0.778957,1.578957,0.618957,1.344478,1.104478,0.358957,0.824478,1.218957,0.754478,0.318957,1.1644780000000001,0.358957,0.598957,0.6989569999999999,1.978957,0.626319,0.41895699999999997,0.8844780000000001,0.838957,0.638957,0.598957,0.47895699999999997,0.187791,0.278957,1.084478,0.594478
1,2,0,1.51966,1.4849430000000001,2.444943,1.544943,1.004943,0.984943,0.864943,1.884943,1.564943,1.7249430000000001,2.41483,0.884943,1.2249430000000001,1.404943,2.144943,1.264943,2.084943,1.664943,1.144943,1.424943,2.124943,1.144943,1.084943,1.7449430000000001,1.164943,1.564943,1.324943,2.724943,1.384943,0.907472,1.644943,1.524943,1.264943,1.444943,1.2449430000000001,0.9249430000000001,0.944943,1.7249430000000001,1.144943
2,2,1,2.07415,2.09415,3.19415,2.5182990000000003,1.55415,1.57415,1.45415,2.79415,2.29415,2.31415,3.17415,1.47415,1.75415,2.17415,2.79415,1.85415,2.87415,2.31415,1.79415,1.97415,2.85415,1.89415,1.81415,2.45415,2.11415,2.41415,1.87415,3.39415,2.07415,1.65415,2.31415,2.23415,1.89415,2.09415,1.93415,1.45415,1.69415,2.25415,1.95415
3,2,2,2.5443540000000002,2.5643540000000002,3.744354,3.1043540000000003,2.0643540000000002,2.0843540000000003,1.9243540000000001,3.504354,2.744354,2.784354,3.884354,1.864354,2.224354,2.684354,3.364354,2.384354,3.324354,2.784354,2.164354,2.464354,3.464354,2.644354,2.344354,2.944354,2.5843540000000003,2.904354,2.404354,4.007415,2.684354,2.1243540000000003,2.784354,2.744354,2.384354,2.524354,2.484354,1.8934349999999998,2.184354,2.684354,2.484354
4,3,0,3.059728,3.059728,4.139728,3.5197279999999997,2.4797279999999997,2.4797279999999997,2.359728,4.019728,3.159728,3.179728,4.359728,2.159728,2.559728,3.0397279999999998,3.699728,2.779728,3.659728,3.139728,2.4597279999999997,2.779728,4.079728,3.199728,2.9397279999999997,3.4997279999999997,3.0197279999999997,3.339728,2.879728,4.439728,3.159728,2.4597279999999997,3.099728,3.079728,2.819728,2.9597279999999997,2.919728,2.139728,2.619728,3.0397279999999998,2.639728
5,3,1,3.4292239999999996,3.5399089999999998,4.7599089999999995,3.9599089999999997,2.824955,2.999909,2.919909,4.539909,3.6799089999999994,3.619909,5.039909,2.659909,2.908318,3.5599089999999998,4.104955,3.2999089999999995,4.179908999999999,3.4799089999999997,2.9049549999999997,3.159909,4.859909,3.7399089999999995,3.7199089999999995,4.039909,3.5599089999999998,3.8799089999999996,3.4199089999999996,4.864955,3.7399089999999995,3.039909,3.444955,3.4999089999999997,3.204955,3.5599089999999998,3.4799089999999997,2.544955,3.0799090000000002,3.3999089999999996,3.179909
6,3,2,3.9933650000000003,3.970385,5.280024,4.670385,3.3903849999999998,3.560193,3.590385,5.170385,4.340193,4.150385,5.770385,3.3903849999999998,3.3622440000000005,4.318026000000001,4.830385,3.970385,4.699433999999999,4.0903849999999995,3.5034620000000003,3.7903849999999997,5.4589099999999995,4.570385,4.350385,4.614077,4.180193,4.730385,3.930385,5.370385,4.450385,3.650385,3.8503849999999997,3.990077,3.630385,3.950385,4.076183,3.080028,3.590385,3.8103849999999997,3.780193
7,4,0,4.285442,4.365442,5.765442,5.185442,3.845442,3.9130879999999997,4.0054419999999995,5.5454419999999995,4.885441999999999,4.625442,6.316326999999999,3.8054419999999998,3.6454419999999996,4.665442,5.245442,4.385441999999999,4.945442,4.325442,3.7854419999999998,4.165442,5.825442,5.085442,4.765442,5.185442,4.725442,5.525442,4.485442,5.745442,4.945442,3.7854419999999998,4.147721,4.285442,4.0454419999999995,4.485442,4.307721,3.605442,3.9284809999999997,4.165442,4.225442
8,4,1,4.681451,4.761451,6.301451,5.641451,4.2414510000000005,4.321451000000001,4.481451,6.001451,5.621451,5.141451,6.881450999999999,4.221451,4.001451,5.141451,5.681451,4.881451,5.381451,4.681451,4.101451,4.501451,6.381451,5.541451,5.181451,5.6614510000000005,5.221451,6.061451,5.021451,6.181451,5.461451,4.181451,4.481451,4.7014510000000005,4.421451,5.081451,4.801451,4.101451,4.361451000000001,4.521451,4.801451
9,4,2,5.083787,5.163787,6.763787,6.003787,4.663787,4.6437870000000006,4.943787,6.5237870000000004,5.936893,5.5637870000000005,7.383787,4.583787,4.396893,5.5012620000000005,6.076893,5.283787,5.763787000000001,5.0237870000000004,4.503787,4.963787,6.781262,5.983787,5.543787,6.203787,5.663787,6.446893,5.503787,6.603787,5.963787,4.583787,4.943787,5.136757,4.763787000000001,5.463787,5.203787,4.438447,4.663787,4.943787,5.243787
10,5,0,5.518322,5.6383220000000005,7.238322,6.418322,5.058322,5.014161,5.378322,7.038322,6.298322,5.958322,7.878322,4.818322,4.758322,5.858322,6.438322,5.698322,6.154161,5.318322,4.914161,5.278322,7.152774000000001,6.478322,5.978322,6.634161,6.058322,6.858322,6.078322,7.058322,6.458322,4.938322,5.238322,5.318322,5.118322,5.818322,5.558322,4.798322,5.018322,5.438322,5.538322
11,5,1,5.904989,6.004989,7.644989,6.784989,5.3249889999999995,5.404989,5.804989,7.479977000000001,6.664989,6.344989,8.344989,5.6647620000000005,5.124989,6.244989,6.744989,6.104989,6.484989,5.704989,5.217494,5.664989,7.464989,6.864989,6.394966,6.984989,6.444989,7.224989,6.579977,7.574966000000001,7.019932000000001,5.3249889999999995,5.524989,5.624989,5.444989,6.2549660000000005,6.124943,5.144989,5.384989,5.949955,5.884989
12,5,2,6.353311,6.471655,8.111655,7.3316550000000005,5.711655,5.8316550000000005,6.231655,8.051655,7.3316550000000005,6.851655,9.191655,6.114628,5.491655000000001,6.691655,7.151655,6.531655000000001,6.8716550000000005,6.231655,5.491655000000001,6.151655,7.8716550000000005,7.3316550000000005,7.031655000000001,7.4116550000000005,6.891655,7.711655,7.153311,8.271655,7.691655,5.751655,5.851655,6.011655,5.851655,6.691655,6.671655,5.471655,5.811655,6.4116550000000005,6.231655
13,6,0,7.065760000000001,7.017278999999999,8.465760000000001,7.96576,6.06576,6.18576,6.5857600000000005,8.545760000000001,7.865760000000001,7.26576,9.601519,6.30576,5.76576,7.165760000000001,7.50576,6.865760000000001,7.22576,6.52576,5.72576,6.52576,8.34576,7.825760000000001,7.50576,8.00576,7.38576,8.465760000000001,7.76576,8.885760000000001,8.565760000000001,6.02576,6.20576,6.30576,6.20576,7.26576,7.285760000000001,5.9815190000000005,6.14576,6.96576,6.605760000000001
14,6,1,7.685941000000001,7.6459410000000005,8.965941,8.645941,6.625941,6.765941000000001,7.1459410000000005,9.217971,8.585941,7.785941,10.285941000000001,6.845941000000001,6.285941,7.6459410000000005,7.905941,7.425941000000001,7.705941,6.945941,6.100849,7.085941,9.105941,8.445941,8.265941,8.625941000000001,8.065941,9.025941,8.425941,9.405941,9.165941,6.6459410000000005,6.705941,6.857971000000001,6.665941,7.825941,7.985941,6.499493,6.597971,7.525941,7.285941
15,6,2,8.00907,8.10907,9.34907,9.04907,7.06907,7.14907,7.52907,9.60907,8.949069999999999,8.26907,10.72907,7.029767999999999,6.64907,7.98907,8.40907,7.76907,8.029069999999999,7.18969,6.3495349999999995,7.389535,9.54907,8.90907,8.66907,9.04969,8.449069999999999,9.529069999999999,8.949069999999999,9.789069999999999,9.60907,7.10907,7.029535000000001,7.24907,6.98907,8.26907,8.449069999999999,6.809069999999999,6.94907,7.889069999999999,7.70907
