,measure_number,beat_number,pid1263-17,pid52932-10,pid5667229-07,pid9048-17,pid9050-17,pid9054-17,pid9055-17,pid9056-13,pid9058-17,pid9059-17,pid9060-17,pid9062-17,pid9063-17,pid9064-10,pid9065-12,pid9066-17,pid9067-17,pid9068-11,pid9072-17,pid9075-17,pid9078-09,pid9081-05,pid9088-12,pid9093-17,pid9094-17,pid9097-18,pid9099-17,pid9100b-13,pid9101-17,pid9103-09,pid9104-17,pid9105-17,pid9111-17,pid9116-07,pid9118-17,pid9126-05,pid9128-13,pid9130-02,pid9137-10,pid9138-17,pid9139-17,pid9153-17,pid9162-06,pid9166e-10,pid9170-17,pid9173-22,pid9174-17,pid917509-07,pid9186c-17,pid918722-06,pid918904-04,pid918919-19,pid9192-17,pid9193-02
0,1,2,0.650998,0.670998,1.2909979999999999,1.670998,0.670998,0.810998,1.2909979999999999,2.530998,0.250998,0.310998,0.270998,2.070091,1.210998,0.45099799999999995,0.950998,1.370998,0.5909979999999999,0.170998,0.7109979999999999,0.630998,0.8309979999999999,1.010998,0.790998,0.8509979999999999,1.210998,0.8509979999999999,0.310998,1.250998,0.43099799999999994,0.550998,0.570998,0.7509979999999999,0.151995,1.090998,1.990998,0.670998,0.45099799999999995,1.150998,0.7309979999999999,0.47099799999999997,0.7109979999999999,0.670998,0.7109979999999999,0.630998,0.47099799999999997,0.230998,0.310998,0.630998,1.230998,1.090998,0.5909979999999999,1.150998,0.510998,0.7109979999999999
1,2,0,1.3288659999999999,1.408866,2.348866,2.428866,1.249433,1.528866,2.148866,2.9577150000000003,0.808866,0.848866,1.128866,2.373144,1.768866,1.008866,1.688866,2.268866,1.248866,0.908866,1.508866,1.168866,1.648866,2.208866,1.728866,2.148866,1.928866,1.488866,0.948866,1.968866,3.2443310000000003,1.388866,1.188866,1.388866,1.148866,2.128866,2.536289,1.3288659999999999,1.248866,1.948866,1.568866,1.228866,1.3288659999999999,1.488866,1.482063,1.308866,1.028866,1.088866,1.288866,1.568866,1.988866,1.948866,1.468866,1.8986619999999998,1.068866,1.288866
2,2,1,1.8123360000000002,2.212336,2.782467,2.9123360000000003,2.3723360000000002,2.272336,2.637007,3.232336,1.2923360000000002,1.332336,2.052336,2.772336,2.252336,1.492336,2.192336,3.612336,1.7923360000000002,1.7523360000000001,2.212336,1.712336,2.492336,2.732336,2.292336,2.672336,2.4123360000000003,1.972336,1.592336,2.852336,3.732336,2.792336,1.892336,2.132336,1.712336,2.612336,2.992336,1.892336,2.212336,2.8723360000000002,2.052336,1.712336,1.832336,2.012336,2.012336,1.7923360000000002,1.632336,2.052336,1.7723360000000001,2.152336,3.012336,2.4323360000000003,2.132336,2.612336,1.632336,2.152336
3,2,2,2.8116630000000002,2.934989,2.8549889999999998,4.374989,3.034989,2.8149889999999997,3.8149889999999997,3.434989,1.962494,2.3349889999999998,2.694989,3.234989,2.714989,1.994989,3.174989,4.134989,2.374989,2.214989,2.714989,2.114989,3.054989,3.734989,3.534989,4.114989,3.614989,2.394989,2.094989,3.454989,4.0749889999999995,3.414989,2.614989,2.654989,2.374989,3.774989,4.194989,2.3549889999999998,2.694989,3.394989,3.574989,2.614989,2.414989,3.114989,2.714989,2.234989,2.154989,2.514989,2.414989,3.194989,3.774989,3.234989,2.8149889999999997,3.134989,2.694989,2.754989
4,3,0,3.182857,3.282857,3.142857,4.842857,3.522857,3.562857,4.322857,3.862857,2.382857,2.662857,3.362857,3.782857,3.142857,2.542857,3.842857,4.562857,2.982857,2.761429,3.582857,2.962857,3.6228569999999998,4.362857,4.102857,4.522857,4.342857,3.022857,2.642857,4.122857,4.562857,4.042857,3.082857,3.262857,3.222857,4.222857,4.622857,2.822857,3.222857,3.922857,4.002857,3.142857,2.902857,3.922857,3.162857,2.742857,2.782857,2.982857,2.862857,3.962857,4.302857,3.762857,3.322857,3.582857,3.1228569999999998,3.222857
5,3,1,3.615873,3.715873,3.5758730000000005,5.935873,4.375873,3.9958730000000005,4.795873,4.348730000000001,2.815873,3.095873,4.0758730000000005,4.2863489999999995,3.5758730000000005,3.075873,4.661746,4.9958730000000005,3.655873,3.4158730000000004,4.162698000000001,3.3958730000000004,4.0758730000000005,4.855873,4.5358730000000005,4.955873,4.787619,3.5558730000000005,3.175873,4.975873,4.9958730000000005,4.4958730000000005,3.5158730000000005,3.8558730000000003,3.9158730000000004,4.5758730000000005,5.115873000000001,3.275873,3.8158730000000003,4.435873,5.015873,3.735873,3.3358730000000003,4.835873,3.655873,3.175873,3.3558730000000003,3.4958730000000005,3.255873,4.621746,4.915873,4.195873000000001,3.7558730000000002,4.0758730000000005,3.5558730000000005,3.655873
6,3,2,4.3043309999999995,4.357166,3.9771660000000004,6.417166,4.797166000000001,4.584331,5.244331,5.157166,3.137166,3.717166,4.537166,5.0971660000000005,3.9971660000000004,3.4171660000000004,5.137166000000001,5.417166,4.0571660000000005,3.8171660000000003,4.937166,3.9571660000000004,4.784331,5.337166000000001,5.497166,5.737166,5.417166,3.9171660000000004,3.717166,5.437166,5.997166,5.577166,3.8171660000000003,4.657166,4.424331,4.997166,5.584331,3.677166,4.257166000000001,4.917166,5.457166,4.177166000000001,3.717166,5.477166,3.9571660000000004,3.5171660000000005,3.804331,3.9243309999999996,3.6243309999999997,5.224330999999999,5.417166,4.697166,4.224330999999999,4.377166000000001,4.197166,4.237166
7,4,0,4.971223999999999,4.871224,4.431223999999999,7.1712240000000005,5.271224,5.131224,5.631224,5.691224,3.531224,4.331224,5.0912239999999995,5.691224,4.411224,4.0112239999999995,5.771224,5.871224,4.5512239999999995,4.371224,5.611224,4.571224,5.331224,5.871224,6.031224,6.151224,6.171224,4.371224,4.271224,6.0512239999999995,6.491224,6.231224,4.251224,5.191224,4.911224,5.391224,6.0912239999999995,4.151224,4.771224,5.391224,6.071224,4.611224,4.211224,6.111224,4.311224,4.0112239999999995,4.5112239999999995,4.391224,4.071224,5.871224,5.891224,5.211224,4.731224,4.751224,4.611224,4.731224
8,4,1,5.497528,5.457528,4.877528,8.117528,5.957528,5.577528,6.037528,6.357528,3.917528,4.717528,5.5175279999999995,6.297528,4.797528,4.397528,6.557528,6.317528,5.0175279999999995,4.9375279999999995,6.337528,4.957528,5.717528,6.257528,6.717528,6.617528,6.597528,4.777528,4.817528,6.837528,7.157528,6.617528,4.612503,5.657528,5.597528,5.777528,6.5175279999999995,4.537528,5.297528,5.759176,6.877528,5.097528,4.597528,6.617528,4.697528,4.397528,5.0175279999999995,4.797528,4.324753,6.337528,6.297528,5.637528,5.197528,5.137528,5.157528,5.117528
9,4,2,6.123832,6.043832,5.503832,8.903832000000001,6.543832,6.223832,6.543832,6.963832000000001,4.363832,5.383832,6.143832,7.123832000000001,5.323832,4.823832,7.203832000000001,7.0638320000000006,5.603832,5.523832,7.143832000000001,5.743832,6.403832,6.863832,7.4438320000000004,7.423832000000001,7.263832000000001,5.293458,5.403832,7.503832000000001,7.843832000000001,7.663832000000001,4.963832,6.5638320000000006,6.303832,6.263832,7.103832000000001,4.983832,5.843832,6.343832,7.543832000000001,5.623832,5.263832,7.183832000000001,5.023832,4.743832,5.663832,5.303832,4.923832,7.0638320000000006,6.963832000000001,6.223832,5.863832,5.443832,5.703832,5.843832
