,measure_number,beat_number,pid1263-19,pid50848-03,pid5667269b-38,pid5667291-15,pid9048-19,pid9049-19,pid9050-19,pid9054-19,pid9055-19,pid9058-19,pid9059-19,pid9060-19,pid9061-19,pid9062-19,pid9063-19,pid9065-14,pid9066-19,pid9067-19,pid9070b-02,pid9072-19,pid9074f-19,pid9075-19,pid9081-10,pid9088-14,pid9093-19,pid9094-19,pid9097-04,pid9099-19,pid9100b-19,pid9101b-01,pid9103-10,pid9104-19,pid9105b-02,pid9111-19,pid9113-15,pid9118-19,pid9122-03,pid9123-02,pid9124-11,pid9129-20,pid9137-11,pid9138-19,pid9139-19,pid9153-19,pid9166f-16,pid9170-19,pid9174-19,pid9186c-19,pid918812-11,pid9192-19
0,1,2,0.7690020000000001,0.209002,1.929002,1.1890020000000001,1.769002,1.809002,0.6490020000000001,0.949002,1.389002,0.309002,0.309002,0.289002,1.049002,0.729002,1.989002,1.109002,0.8890020000000001,0.609002,0.589002,0.389002,1.749002,0.609002,0.5090020000000001,0.249002,1.069002,1.389002,0.983001,0.329002,1.236334,0.8890020000000001,0.6490020000000001,0.48900200000000005,1.289002,0.189002,0.989002,2.049002,0.729002,0.44900200000000007,0.589002,0.42900200000000005,0.7690020000000001,0.549002,0.589501,0.44900200000000007,0.589002,0.44900200000000007,0.329002,1.509002,0.7890020000000001,0.454751
1,2,0,1.673991,0.613991,2.421995,1.793991,2.397997,2.14616,1.093991,1.6719950000000001,2.4139909999999998,0.733991,0.933991,0.753991,1.733991,1.453991,2.593991,1.773991,1.513991,1.313991,1.213991,0.9539979999999999,2.373991,1.273991,1.353991,1.053991,1.621995,2.073991,2.013991,1.013991,1.391995,1.573991,1.553991,1.233991,1.753991,0.873991,1.593991,2.893991,1.373991,0.964399,1.413991,0.933991,1.173991,1.473991,1.093991,1.073991,1.093991,1.153991,0.951995,1.813991,1.633991,0.853991
2,2,1,2.063515,1.003515,2.843515,2.2035150000000003,2.943515,2.543515,1.543515,2.043515,2.883515,1.123515,1.503515,1.083515,2.503515,1.8435150000000002,3.1035150000000002,2.023515,2.1835150000000003,1.8435150000000002,1.583515,1.283515,2.843515,1.8435150000000002,1.9635150000000001,1.383515,2.063515,2.6835150000000003,2.423515,1.583515,1.7235150000000001,1.9835150000000001,1.943515,1.643515,2.243515,1.543515,2.003515,3.303515,2.1035150000000002,1.363515,2.043515,1.4235149999999999,1.523515,2.003515,1.623515,1.483515,1.323515,2.003515,1.383515,2.1635150000000003,2.263515,1.303515
3,2,2,2.491837,1.3318370000000002,3.291837,2.511837,3.371837,2.951837,2.011837,2.411837,3.291837,1.431837,1.911837,1.471837,3.151837,2.3118369999999997,3.5118370000000003,2.231837,2.551837,2.251837,2.011837,1.5918370000000002,3.4118370000000002,2.271837,2.3518369999999997,1.7718369999999999,2.3518369999999997,3.111837,3.091837,2.0046939999999998,2.031837,2.3918369999999998,2.3518369999999997,2.051837,2.651837,2.151837,2.3118369999999997,3.6918370000000005,2.511837,1.5718370000000002,2.511837,1.831837,1.7718369999999999,2.591837,1.9718369999999998,1.871837,1.6118370000000002,2.571837,1.831837,2.5346490000000004,2.731837,1.7118369999999998
4,3,0,2.927823,1.569456,3.7478230000000003,2.782608,3.8678230000000005,3.3878230000000005,2.427823,2.7089119999999998,3.8078230000000004,1.695941,2.407823,1.807823,3.567823,2.747823,3.8878230000000005,2.538912,2.947823,2.627823,2.347823,1.9478229999999999,3.8278230000000004,2.767823,2.702608,2.147823,2.727823,3.527823,3.7478230000000003,2.507823,2.327823,2.767823,2.687823,2.427823,3.027823,2.527823,2.582608,4.067823000000001,2.927823,1.869274,3.027823,2.247823,2.048912,3.0878229999999998,2.327823,2.238912,1.847823,3.047823,2.167823,2.6489119999999997,3.227823,2.0678229999999997
5,3,1,3.286372,1.8663720000000001,4.286372,3.106372,4.406372,3.846372,2.8027439999999997,3.0263720000000003,4.166372,1.986372,2.906372,2.0863720000000003,4.046372,3.326372,4.246372,2.846372,3.666372,3.106372,2.706372,2.386372,4.186372,3.366372,3.106372,2.626372,3.206372,4.166372,4.2263720000000005,3.0463720000000003,2.646372,3.106372,3.166372,2.9663720000000002,3.5663720000000003,3.226372,2.906372,4.586372,3.5463720000000003,2.186372,3.646372,2.646372,2.366372,3.426372,2.846372,2.606372,2.186372,3.666372,2.606372,2.926372,3.846372,2.446372
6,3,2,3.959569,2.188617,5.019569000000001,3.459569,5.219569,4.479569000000001,3.6795690000000003,3.475914,4.959569,2.307807,3.5995690000000002,2.4995689999999997,4.759569,3.999569,4.8995690000000005,3.3195690000000004,4.4395690000000005,4.019569000000001,3.2795690000000004,2.899569,4.839569,4.059569000000001,3.559569,3.219569,3.979569,5.059569000000001,5.379569,3.7995690000000004,3.159569,3.8195690000000004,4.099569,3.6795690000000003,4.459569,4.259569,3.220797,5.318707,4.339569,2.659569,4.579569,3.264785,2.699569,4.059569000000001,3.559569,3.2795690000000004,2.6270330000000004,4.479569000000001,3.3395690000000005,3.139569,4.779569,2.8285099999999996
7,4,0,4.277188,2.477188,5.357188,3.631565,5.5371879999999996,4.812396,4.0371879999999996,3.652396,5.477188,2.597188,3.917188,2.757188,5.191565,4.317188,5.264376,3.5371879999999996,4.777188,4.3443760000000005,3.5971879999999996,3.152396,5.184376,4.377187999999999,3.7771879999999998,3.5135940000000003,4.337187999999999,5.438753,5.704376,4.217188,3.377188,4.137188,4.4171879999999994,3.937188,4.904376,4.853129,3.437188,5.817188,4.657188,2.8571880000000003,5.313594,3.5571879999999996,2.8171880000000002,4.3843760000000005,3.884376,3.5771879999999996,2.8971880000000003,4.898753,3.6571879999999997,3.357188,5.517188,3.151565
8,4,1,4.647868,2.827868,5.7878680000000005,3.967868,6.047868,5.107868,4.487868,3.947868,5.807868,2.947868,4.307868,3.087868,5.7878680000000005,4.667868,5.647868,3.927868,5.2878680000000005,4.867868,3.927868,3.447868,5.667868,4.747868,4.187868,3.827868,4.607868,5.907868,6.047868,4.667868,3.669289,4.467868,4.747868,4.547868,5.427868,5.407868,3.767868,6.167868,5.127868,3.207868,5.627868,3.907868,3.187868,4.785737,4.2878680000000005,3.947868,3.287868,5.587868,3.987868,3.687868,5.827868,3.587868
9,4,2,4.972948000000001,3.1114740000000003,6.112948,4.212948,6.492948,5.492948,4.952948,4.272948,6.138844000000001,3.231474,4.652948,3.4129480000000005,6.212948,5.072948,6.012948000000001,4.1709830000000006,5.537649,5.212948,4.211474,3.751474,6.052948000000001,5.192948,4.511474,4.131474,4.915737,6.232948,6.592948,5.052948000000001,3.975737,4.792948,5.095896,4.861473999999999,5.752948,5.752948,4.032948,6.492948,5.492948,3.51059,5.992948,4.230983,3.432948,5.172948,4.631474,4.270983,3.5976489999999997,6.032948,4.297649,3.950737,6.192948,3.932948
