,measure_number,beat_number,pid1263-22,pid50848-09,pid5667269b-36,pid9048-22,pid9049-22,pid9054-22,pid9055-22,pid9058-22,pid9059-22,pid9060-22,pid9061-22,pid9062-22,pid9063-22,pid9065-17,pid9066-22,pid9067-21,pid9068-14,pid9070b-05,pid9072-22,pid9073-24,pid9074f-22,pid9075-22,pid9080-05,pid9090-10,pid9092-02,pid9093-22,pid9094-22,pid9097-05,pid9099-22,pid9101b-04,pid9104-22,pid9105b-05,pid9111-22,pid9112-08,pid9114-30,pid9118-22,pid9133-11,pid9137-12,pid9138-22,pid9139-22,pid9153-22,pid9166g-01,pid9170-22,pid9174-22,pid917509-03,pid918713-18,pid918904-07,pid9192-22
0,1,2,0.8210879999999999,0.193696,1.6810880000000001,1.6610880000000001,1.421088,1.001088,1.7410880000000002,0.293696,0.301088,0.261088,1.325544,0.681088,2.025544,0.801088,1.781088,0.661088,0.12108800000000002,0.561088,0.7855439999999999,1.3121770000000001,1.781088,0.621088,1.015544,2.105544,1.7010880000000002,1.521088,1.1455440000000001,0.681088,0.29554400000000003,0.661088,0.661088,0.8210879999999999,0.181088,0.6555439999999999,0.501088,2.401088,1.255544,0.815181,0.581088,0.681088,0.501088,1.8355439999999998,0.421088,0.273696,0.6855439999999999,0.8210879999999999,0.505544,0.525544
1,2,0,1.5057479999999999,0.827166,2.407166,2.545748,1.961497,1.701497,2.4871659999999998,0.9271659999999999,0.861497,0.9014969999999999,2.245748,1.681497,2.941497,1.741497,2.7214970000000003,1.3729930000000001,1.081497,1.2614969999999999,1.5014969999999999,2.101497,2.585748,1.2814969999999999,1.601497,2.981497,2.421497,2.441497,2.521497,1.231642,0.9614969999999999,1.345748,1.581497,1.4814969999999998,1.0214969999999999,1.229291,1.2414969999999999,3.007166,2.301497,1.681497,1.421497,1.587166,1.701497,2.581497,1.361497,0.981497,1.321497,1.4814969999999998,1.4614969999999998,1.621497
2,2,1,2.4361450000000002,1.496145,3.196145,3.4022900000000003,2.836145,2.376145,3.136145,1.5961450000000001,1.6361450000000002,1.6361450000000002,3.09458,2.416145,3.7361449999999996,2.4961450000000003,3.3561449999999997,2.136145,1.916145,1.996145,2.416145,3.236145,3.156145,2.076145,2.276145,3.8361449999999997,3.096145,3.456145,3.516145,1.716145,1.656145,2.256145,2.4761450000000003,2.236145,1.756145,1.776145,1.916145,3.7361449999999996,3.076145,2.396145,2.276145,2.636145,2.816145,3.216145,2.276145,1.6161450000000002,1.8761450000000002,2.316145,2.576145,2.596145
3,2,2,3.087574,2.067574,3.987574,4.187574,3.407574,3.107574,3.7875739999999998,2.167574,2.268787,2.507574,3.807574,3.227574,4.547574,3.227574,3.967574,2.668787,2.507574,2.8675740000000003,3.067574,4.087574,3.7675739999999998,2.688787,2.8275740000000003,4.5275739999999995,3.947574,4.107574,4.067574,2.247574,2.227574,2.787574,3.028787,3.087574,2.3275740000000003,2.3475740000000003,2.727574,4.167574,3.7275739999999997,2.9475740000000004,2.9475740000000004,3.327574,3.6475739999999996,3.867574,3.187574,2.2887869999999997,2.527574,3.047574,3.129393,3.227574
4,3,0,3.769342,2.789342,4.809342,5.189342,4.009342,4.049342,4.629341999999999,2.8893419999999996,3.0493419999999998,3.329342,4.689342,3.9893419999999997,5.7093419999999995,3.8893419999999996,4.7093419999999995,3.169342,3.269342,3.5493419999999998,3.9893419999999997,5.029342,4.409342,3.3693419999999996,3.609342,5.229342,5.029342,4.829342,4.7093419999999995,2.809342,3.0093419999999997,3.3893419999999996,3.649342,4.089342,3.329342,3.0093419999999997,3.249342,4.769342,4.609342,3.749342,3.629342,4.169341999999999,4.729342,4.569342,3.9493419999999997,2.9093419999999997,3.289342,3.9893419999999997,3.789342,4.109342
5,3,1,4.708481,3.5084809999999997,5.582827,6.448481,4.6884809999999995,4.988481,5.9363269999999995,3.588481,3.8484809999999996,4.308481,6.071769000000001,5.085442,6.868481,4.748481,5.7684809999999995,3.9484809999999997,4.400884,4.408481,4.968481,6.388481,5.142827,4.028481,4.548481,6.088481,6.168481,5.748481,5.548481,3.5484809999999998,3.9684809999999997,4.248481,4.4828269999999995,5.048481,5.50898,3.8284809999999996,4.0628269999999995,5.608480999999999,5.788481,4.948481,4.388481,5.388481,6.225442,5.149848,4.846961,3.788481,4.148480999999999,5.008481,4.608480999999999,5.288481
6,3,2,5.597075,4.210799,6.481179,7.8411789999999995,5.301179,6.141179,6.903536999999999,4.272398,4.661179,5.281179,7.3811789999999995,6.201179,8.741178999999999,5.561179,6.5011790000000005,4.561179,5.701179,5.601179,6.681178999999999,7.661179,5.941179,5.021179,5.281179,7.321178999999999,7.221178999999999,7.3411789999999995,6.361179,4.341179,4.881179,5.121179,5.281179,5.881179,6.701179,4.3708599999999995,5.361179,6.641178999999999,7.241178999999999,6.372358,5.201179,6.641178999999999,8.441179,5.9611790000000004,5.761179,4.741179,4.561179,5.888254,5.421179,6.581179
7,4,0,6.273288,4.473288,7.033288000000001,8.573288,5.853288,7.053288,7.433288,4.573288,5.153288,6.273288,8.033288,7.053288,9.453288,6.153288,7.113288000000001,4.933288,6.413288,6.193288,7.273288000000001,8.573288,6.413288,5.533288,6.013287999999999,7.9132880000000005,7.793288,7.953288000000001,7.113288000000001,4.693288,5.573288,5.7932879999999995,5.853288,6.893288,7.473288,4.736576,6.8332880000000005,7.273288000000001,7.813288000000001,6.993288000000001,5.773288,7.196304,9.193288,6.533288,6.453288,5.393288,5.233288,6.773288000000001,5.913288,7.3332880000000005
8,4,1,6.708027,5.000136,7.584082,9.122109,6.228027,7.468027,7.8280270000000005,5.102109,5.608027,6.964082,8.758163,7.662109,10.042109,6.548026999999999,7.608027000000001,5.308027,6.948027000000001,6.648027000000001,8.018163000000001,9.258163,7.002109,5.988027,6.564082000000001,8.346053999999999,8.262108999999999,8.520136,7.628027,4.908027,6.088026999999999,6.286054,6.348027,7.478163,8.102109,5.268027,7.694217999999999,7.688027000000001,8.450272,7.3680270000000005,6.288027,8.268027,9.884082000000001,7.064082000000001,7.088027,5.908027,5.882109,7.474218,6.428026999999999,7.946053999999999
9,4,2,7.4324259999999995,5.492426,8.192426,9.672426,6.592426,7.952425999999999,8.192426,5.592426000000001,6.092426000000001,7.572425999999999,9.352426,8.252426,10.592426,7.012426,8.032426,5.812426,7.454853,7.132426,8.552425999999999,10.012426,7.552426,6.412426,7.052426,8.852426,8.832426,9.052425999999999,8.092426,5.292426,6.612425999999999,6.832426,6.752426,8.352426,8.812426,5.572426,8.432426,8.192426,8.972425999999999,7.872425999999999,6.912425999999999,8.932426,10.592426,7.652425999999999,7.672426,6.372426,6.392426,8.152426,6.832426,8.692426
