,measure_number,beat_number,pid1263-24,pid50848-11,pid610003-26,pid9048-24,pid9054-24,pid9055-24,pid9058-24,pid9061-24,pid9063-24,pid9066-24,pid9072-24,pid9075-24,pid9099-24,pid9101b-06,pid9105b-07,pid9111-24,pid9114b-03,pid9118-24,pid9138-24,pid9139-24,pid9166g-03,pid9174-24,pid9192-24
0,1,2,0.777687,0.257687,2.557687,1.717687,1.077687,0.9976870000000001,0.257687,0.457687,1.8576869999999999,2.2176869999999997,0.917687,0.625374,0.377687,0.617687,0.8776870000000001,0.157687,0.385374,2.137687,0.577687,0.477687,1.497687,0.317687,0.497687
1,2,0,1.798776,0.738776,3.4187760000000003,2.618776,1.9187759999999998,1.9187759999999998,0.738776,1.158776,2.558776,3.058776,1.618776,1.758776,1.218776,1.398776,1.7187759999999999,0.9587760000000001,0.978776,3.278776,1.478776,1.318776,2.2987759999999997,0.998776,1.2587760000000001
2,2,1,2.690204,1.470204,4.250204,3.4102040000000002,2.830204,2.510204,1.470204,2.090204,3.350204,4.050204,2.250204,2.570204,2.090204,2.270204,2.330204,1.730204,1.690204,4.210204,2.310204,2.050204,3.030204,1.870204,1.910204
3,2,2,3.136327,2.056327,4.836327,4.0163269999999995,3.4763269999999995,2.936327,2.056327,2.676327,3.9763269999999995,4.636327,2.8363270000000003,3.216327,2.676327,2.856327,2.7854419999999998,2.303163,2.276327,4.802653,2.956327,2.676327,3.6163269999999996,2.476327,2.445442
4,3,0,3.679592,2.539592,5.479592,4.5995919999999995,4.379592,3.3195919999999997,2.539592,3.519592,4.539592,5.279592,3.3595919999999997,3.8595919999999997,3.2995919999999996,3.619592,3.3395919999999997,2.739592,2.9195919999999997,5.439592,3.559592,3.199592,4.1795919999999995,3.239592,2.8795919999999997
5,3,1,4.250204,2.9702040000000003,6.1902040000000005,5.210204,4.990204,3.690204,2.9702040000000003,4.110204,5.050204,5.810204,3.830204,4.590204,3.9302040000000003,4.1902040000000005,4.030204,3.4102040000000002,3.370204,6.210204,4.090204,3.690204,4.710204,3.790204,3.4702040000000003
6,3,2,4.7318370000000005,3.351837,6.751836999999999,5.811837000000001,5.471837,4.091837,3.363946,4.591837,5.531837,6.2718370000000006,4.311837000000001,5.291837,4.371837,4.651837,4.511837,3.791837,3.7239459999999998,6.631836999999999,4.573673,4.137279,5.1918370000000005,4.211837,3.871837
7,4,0,5.185306,3.725306,7.385306,6.305306,6.205306,4.467653,3.725306,4.985306,5.9053059999999995,6.765306,4.725306,5.8653059999999995,4.805306,5.085306,5.045306,4.225306,4.025306,7.085306,5.045306,4.525306,5.665306,4.605306,4.265306
8,4,1,5.866939,4.086939,8.066939,6.806939,6.766939,4.806939,4.086939,5.606939,6.386939,7.386939,5.186939,6.586939,5.526939,5.586939,5.646939,4.886939,4.386939,7.686939,5.526939,5.186939,6.146939,4.986939,4.786939
9,4,2,6.202041,4.502041,8.702041,7.3620410000000005,7.3220410000000005,5.222041,4.534014,6.142041000000001,6.942041000000001,7.922041,5.742041,7.222041,6.027347,6.142041000000001,6.202041,5.462041,4.802041,8.222041,6.022041000000001,5.742041,6.702041,5.448673,5.247347
10,5,0,6.649796,4.909898,9.289796,7.869796000000001,7.8897960000000005,5.549796,4.909898,6.629898,7.3897960000000005,8.449796000000001,6.089796,7.809796,6.569796000000001,6.849796,6.769796,5.969796,5.169796,8.929796000000001,6.489796,6.3097959999999995,7.289796000000001,5.889796,5.7697959999999995
11,5,1,7.136735000000001,5.233366999999999,9.976735000000001,8.456735,8.476735000000001,5.916735,5.2367349999999995,7.096735000000001,7.836735000000001,9.096735,6.576735,8.476735000000001,7.156735,7.516735000000001,7.316735,6.8967350000000005,5.496735,9.776735,6.996735,6.836735000000001,7.836735000000001,6.296735,6.356735
12,5,2,7.725986,5.810724,10.737959,9.177959,9.377958999999999,6.3548540000000004,5.810724,7.657959,8.397959,9.937959,7.1379589999999995,9.177959,7.757959,8.337959,8.037958999999999,7.777959,5.977958999999999,10.537958999999999,7.557958999999999,7.346989999999999,8.497959,6.757959,7.017958999999999
13,6,0,8.47102,6.15102,11.47102,9.73051,9.93102,6.69102,6.15102,8.23102,8.89102,10.772041,7.61102,9.81102,8.491019999999999,9.071019999999999,8.82051,9.071019999999999,6.40051,11.59102,8.27102,7.87102,9.151019999999999,7.591019999999999,7.53102
14,6,1,9.308571,6.808571000000001,12.208571000000001,10.328571,10.608571000000001,7.069286,6.808571000000001,8.928571,9.528571000000001,11.785714,8.028571000000001,10.448571000000001,9.307143,9.748571,9.348571000000002,9.688571000000001,7.008571000000001,12.288571000000001,9.028571000000001,8.488571,9.828571,8.268571000000001,8.168571
15,6,2,9.823673,7.346837,12.903673,10.983673,11.543673,7.556837,7.346837,9.463673,10.066837,12.343672999999999,8.528417999999999,11.063673,9.846836999999999,10.316837,9.846836999999999,10.234558,7.511953,12.823673,9.583673,8.986837,10.383673,8.843672999999999,8.663673
16,7,0,10.268571000000001,7.6485710000000005,13.528571,11.508571,12.128571,7.888571000000001,7.668571000000001,9.868571000000001,10.608571000000001,12.868571000000001,8.868571000000001,11.628571,10.308571,10.948571000000001,10.468571,10.628571,7.828571000000001,13.408570999999998,10.088571,9.468571,11.028571000000001,9.379286,9.128571
17,7,1,10.862857,8.102857,14.262857,12.022857,12.642857000000001,8.242857,8.102857,10.342857,11.002857,13.342857,9.302857000000001,12.302857000000001,10.802857000000001,11.462857000000001,11.042857000000001,11.242857,8.262857,14.002857,10.562857000000001,9.962857000000001,11.542857000000001,9.786429,9.702857
18,7,2,11.159184,8.439184,14.679184,12.579184,13.059184,8.579184,8.466395,10.879184,11.419184,13.779183999999999,9.719184,13.059184,11.219184,11.879184,11.479184,11.659184,8.599184,14.499184,10.979184,10.379184,11.959184,10.199183999999999,10.119183999999999
19,8,0,11.62,8.765,15.56,13.02,13.6,8.9,8.78,11.34,11.86,14.26,10.16,13.62,11.72,12.36,11.88,12.14,8.945,15.06,11.5,10.88,12.4,10.625,10.56
20,8,1,12.128061,9.146122,16.346122,13.546122,14.086122,9.278061,9.148061,11.826122,12.386122,14.866122,10.682245,14.466122,12.406122,12.886122,12.386122,12.986122,9.326122,15.886122,12.066122,11.606122000000001,12.906122,11.106122000000001,11.206122
21,8,2,12.681224,9.621224,17.041224,14.081223999999999,14.821223999999999,9.675612,9.641224000000001,12.381224000000001,12.901224000000001,15.443673,11.332449,15.214898000000002,13.101224,13.441223999999998,13.081224,13.541224,9.721224000000001,16.581224,12.581224,12.101224,13.461224,11.621224,11.761224
22,9,0,13.318776000000002,9.958776,17.678776,14.818776000000002,15.358776,10.138776,9.958776,12.918776,13.478776000000002,15.958776,11.738776,16.118776,13.778776,14.118776,13.818776000000002,14.498776000000001,10.078776,17.478776,13.078776,12.798776,14.138776000000002,12.118775999999999,12.278775999999999
23,9,1,13.893877999999999,10.613878,18.493878,15.373878,16.033878,10.893877999999999,10.613878,13.753878,14.073878,17.033878,12.593878,17.153878,14.613878,14.973878,14.793878,15.613878,10.451939,18.473878,13.873878,13.693878,14.693878,12.753878,13.233878
24,9,2,14.613060999999998,11.253061,19.413061,16.053061,16.793060999999998,11.576152,11.253061,14.513060999999999,14.781531,18.453060999999998,13.393061,18.253061,15.673060999999999,15.853060999999999,15.553060999999998,16.373061,11.116389,19.593061,14.553060999999998,14.373060999999998,15.453060999999998,13.613060999999998,14.193060999999998
25,10,0,15.456960999999998,11.756961,20.283923,16.776961,17.576960999999997,12.216961,11.756961,15.296960999999998,15.216960999999998,19.236960999999997,14.116960999999998,19.396960999999997,16.376960999999998,16.736960999999997,16.476961,18.536960999999998,11.596961,20.616961,15.596960999999999,15.216960999999998,16.176961,14.703923000000001,14.843923
26,10,1,16.372449,12.472449000000001,21.152449,17.512449,18.592449,12.752449,12.472449000000001,16.332449,16.092449,20.15849,14.830816,20.332449,17.191224,17.632448999999998,17.172449,19.272448999999998,12.232449,21.512449,16.612448999999998,16.092449,16.912449,15.592448999999998,15.652448999999999
27,10,2,16.740408,12.940408,21.760407999999998,18.240408,19.461223999999998,13.080408,12.935203999999999,16.920408,16.620407999999998,20.620407999999998,15.440407999999998,20.940407999999998,17.730816,18.140407999999997,17.540408,19.840408,12.740408,22.081224,17.200408,16.600407999999998,17.420408,16.140407999999997,16.160408
28,11,0,17.210204,13.370204000000001,22.390204,18.770204,20.390204,13.510204000000002,13.390204,17.710204,17.150204000000002,21.290204,16.030204,21.570204,18.330204000000002,18.750204,18.190204,20.590204,13.350204000000002,22.630204,17.790204,17.110204,17.910204,16.630204,16.630204
29,11,1,17.66,13.82,23.08,19.4,20.94,13.915,13.82,18.26,17.64,21.88,16.54,22.18,18.92,19.32,18.84,21.26,13.78,23.28,18.3,17.6,18.4,17.12,17.14
30,11,2,18.125306,14.207653,23.745306,20.025306,21.405306,14.288435,14.207653,18.725306,18.105306,22.345306,17.025306,22.785306,19.325306,19.767653,19.247653,21.665306,14.205306,23.725306,18.765306,18.028435,18.865306,17.585306,17.587653
31,12,0,18.547755,14.547754999999999,24.267754999999998,20.527755,22.128878,14.638878,14.547754999999999,19.147755,18.467755,22.788878,17.428878,23.367755,19.687755,20.167755,19.727755,22.087754999999998,14.547754999999999,24.187755,19.208878,18.447754999999997,19.387755,17.987755,17.947754999999997
32,12,1,19.129388,14.909388,24.989388,21.069388,22.649388000000002,15.089388,14.909388,19.689388,18.929388,23.309388000000002,17.909388,24.029388,20.309388000000002,20.649388000000002,20.149388000000002,22.629388,14.889388,24.709388,19.649388000000002,18.969388000000002,19.869388,18.389388,18.509388
33,12,2,19.457143,15.317143,25.577143,21.697143,23.317142999999998,15.517142999999999,15.317143,20.263571,19.437143,23.837142999999998,18.457143,24.617143,20.797143,21.137143,20.577143,23.137143,15.297143,25.217143,20.077143,19.525714,20.457143,18.857143,19.023571
34,13,0,19.903265,15.683264999999999,26.103265,22.043264999999998,23.863265,15.883265,15.683264999999999,20.683265,19.983265,24.223264999999998,18.843265,25.463265,21.403265,21.723264999999998,21.223264999999998,23.523265,15.583264999999999,25.863265,20.503265,19.963265,20.963265,19.263265,19.463265
35,13,1,20.354762,16.074762,26.934762,22.734762,24.454762,16.234762,16.074762,21.254762,20.454762,25.034762,19.654761999999998,26.254762,21.974762,22.354762,21.894762,24.234762,15.874761999999999,26.634762,20.994761999999998,20.494761999999998,21.494761999999998,19.794762,20.074762
36,13,2,20.962194,16.718776000000002,27.738776,23.558776,25.098776,16.758776,16.718776000000002,21.918776,20.998776,25.718776000000002,20.338776,27.478776,22.598776,23.158776,22.458776,24.938776,16.258776,27.398776,21.498776,21.078776,22.138776,20.478776,20.738776
