,measure_number,beat_number,pid1263-25,pid50848-12,pid51495-05,pid5667230-13,pid5667269b-39,pid6100022-10,pid610003-27,pid9048-25,pid9049-25,pid9050-25,pid9054-25,pid9055-25,pid9057f-02,pid9057j-04,pid9058-25,pid9059-25,pid9060-25,pid9061-25,pid9062-25,pid9063-25,pid9065-19,pid9066-25,pid9067-24,pid9068-15,pid9070b-08,pid9071b-04,pid9072-25,pid9073-27,pid9074f-25,pid9075-25,pid9080-08,pid9089-09,pid9090-12,pid9092-12,pid9093-25,pid9094-25,pid9097-02,pid9098-09,pid9099-25,pid9101b-07,pid9103-13,pid9104-25,pid9105b-08,pid9111-25,pid9113-13,pid9118-25,pid9125-13,pid9127-08,pid9129-19,pid9133-14,pid9138-25,pid9139-25,pid9153-25,pid9165-05,pid9166g-04,pid9170-25,pid9174-25,pid917509-02,pid917813-04,pid9181-05,pid918726-08,pid918904-09,pid9192-25
0,1,2,0.805714,0.20571399999999998,0.645714,2.065714,1.205714,0.42571400000000004,4.845714,1.525714,1.945714,0.645714,1.145714,1.005714,0.165714,0.165714,0.245714,0.305714,0.245714,1.225714,0.713929,1.565714,1.005714,0.765714,0.685714,0.12571400000000002,0.545714,0.505714,0.9057139999999999,1.405714,1.645714,0.625714,0.565714,2.065714,1.045714,2.4857139999999998,1.045714,0.985714,0.48571400000000003,0.42571400000000004,0.361429,0.5857140000000001,0.625714,0.545714,1.145714,0.225714,0.565714,2.225714,1.0857139999999998,0.44571400000000005,0.48571400000000003,0.9057139999999999,0.525714,0.645714,0.505714,0.045714,1.045714,0.305714,0.305714,0.8857139999999999,0.805714,0.385714,0.9457139999999999,0.565714,0.48571400000000003
1,2,0,1.595089,1.11467,1.604143,2.880089,2.290476,1.690204,5.4900839999999995,2.506494,2.6714290000000003,1.4914290000000001,2.1314290000000002,2.1114290000000002,1.2514290000000001,1.351429,1.15467,1.111429,0.617019,2.371429,1.0901020000000001,2.6514290000000003,2.1714290000000003,1.770084,1.7714290000000001,1.351429,1.230119,1.951429,2.091429,2.075657,2.2752380000000003,1.370075,1.871429,2.951429,1.878048,3.591429,1.8114290000000002,1.911429,1.631429,1.5114290000000001,1.075893,1.711429,1.5714290000000002,1.611429,1.9914290000000001,1.238673,1.3208790000000001,3.635714,2.1714290000000003,1.651429,1.3114290000000002,1.851429,1.8314290000000002,1.4914290000000001,1.4301190000000001,0.9914290000000001,2.1114290000000002,1.3114290000000002,0.9714290000000001,1.7914290000000002,1.5901100000000001,1.651429,2.231429,1.3114290000000002,1.4914290000000001
2,2,1,1.969439,1.6077549999999998,2.507755,3.4677550000000004,3.289252,2.407755,5.968878,3.4488779999999997,3.248878,1.749252,2.687755,2.807755,1.987755,1.807755,1.6477549999999999,1.549252,1.027755,3.027755,1.549252,3.4277550000000003,2.588878,2.2292520000000002,2.587755,1.847755,1.8288779999999998,2.628878,2.688878,2.5288779999999997,2.589252,1.629551,2.909439,3.6077550000000005,2.295918,4.407755,2.7477549999999997,2.649252,2.487755,2.127755,1.448878,2.309252,1.989439,2.148878,2.7877549999999998,1.807755,2.167755,4.429252,2.889439,2.309252,2.2492520000000003,2.827755,2.447755,2.2492520000000003,1.969252,1.428878,2.5088779999999997,1.8492520000000001,1.687755,2.327755,2.067755,2.688878,3.169252,1.987755,2.127755
3,2,2,2.805283,2.065283,3.045283,3.765283,3.805283,3.0052830000000004,6.545283,4.085283,3.705283,2.353821,3.437642,3.3452830000000002,2.3852830000000003,2.5252830000000004,2.105283,2.045283,1.565283,3.4252830000000003,2.165283,4.065283,3.057642,2.625283,3.145283,2.265283,2.065283,3.245283,3.105283,3.125283,3.205283,2.065283,3.5052830000000004,3.9652830000000003,2.805283,5.065283,3.325283,3.4052830000000003,3.0276419999999997,2.745283,1.9852830000000001,2.9252830000000003,2.4652830000000003,2.9052830000000003,3.4652830000000003,2.645283,2.765283,5.0576419999999995,3.4052830000000003,2.9652830000000003,2.765283,3.225283,3.325283,2.765283,2.5252830000000004,1.605283,3.085283,2.5052830000000004,2.245283,2.825283,2.665283,3.205283,3.785283,2.5052830000000004,2.585283
4,3,0,3.5680730000000005,2.668073,3.4026910000000004,4.019036,4.419036,3.4680730000000004,6.976344999999999,4.5480730000000005,4.0480730000000005,2.788073,3.859036,3.7880730000000002,2.968073,3.048073,2.708073,2.588073,1.908073,3.8360239999999997,2.468073,4.608073,3.4280730000000004,3.148073,3.8080730000000003,2.739036,2.462691,3.8480730000000003,3.659036,3.533615,3.6080730000000005,2.408073,3.9480730000000004,4.448073,3.219679,5.782691000000001,3.656024,4.008073,3.289036,3.4080730000000004,2.368073,3.3480730000000003,2.968073,3.5480730000000005,4.179036,3.3080730000000003,3.3280730000000003,5.468073,3.855807,3.3280730000000003,3.3880730000000003,3.6080730000000005,3.9080730000000004,3.3880730000000003,2.928073,1.988073,3.648073,3.188073,2.668073,3.409036,3.008073,3.8480730000000003,4.348073,2.928073,2.989358
5,3,1,4.144093,3.390744,3.6476370000000005,4.770372,4.778186,4.090744,7.358186,5.4981860000000005,4.464093,3.138186,4.238186,4.109463,3.918186,3.858186,3.4307440000000002,3.331637,2.7781860000000003,4.289156,2.718186,5.198186,4.210744,3.890819,4.638186,3.5907440000000004,3.212046,4.551637,4.21063,3.918186,4.09091,2.798186,4.9981860000000005,5.218186,3.529437,6.218186,4.132729,4.711169,3.878186,4.212729,2.858186,3.852046,3.510819,4.138186,5.438186,4.178186,3.898186,5.847046,4.558186,3.8692620000000004,4.238186,4.598186,4.367637,3.918186,3.604093,2.45091,4.438186,3.798186,3.107637,3.93091,3.371364,4.554093,4.687046,3.229463,3.438186
6,3,2,4.763175,3.843294,4.066587,4.915908,5.303175,4.3865870000000005,8.043175,5.9748339999999995,5.043175,3.843175,4.883175,4.763175,4.147525,4.194833999999999,3.8832940000000002,3.923175,3.039199,4.743175,3.183175,5.763175,4.382954,4.403175,5.323175,3.983175,3.283647,5.123175,4.663175,4.623175,4.583175,3.238294,5.343049,5.5801870000000005,4.123175,6.863175,4.783175,5.283175,4.683175,4.7151440000000004,3.363175,4.483175,4.006587000000001,4.603175,6.087725,4.963175,4.536647,6.503175,4.784787000000001,4.523175,4.405317,4.754834,5.043175,4.483175,3.900927,2.983175,4.8533230000000005,4.423175,3.715529,4.420635,3.963175,5.203175,5.163175,3.763175,4.003175
7,4,0,5.429728,4.159864,4.354932,5.119864,5.699864,4.719864,8.459864,6.159864,5.299864,4.259864,5.159864,5.119864,4.419864,4.3798639999999995,4.199864,4.259864,3.159864,5.109728,3.519864,6.119864,4.599864,4.709728,5.659864,4.329728,3.359864,5.459864,4.999864,5.039864,4.939864,3.539864,5.499864,5.759864,4.459864,7.199864,5.139864,5.699864,5.039864,4.739864,3.719864,4.859864,4.349728,5.019864,6.419864,5.439864,4.779864,6.819864,4.959864,4.919864,4.699864,4.939864,5.439864,4.859864,4.019864,3.239864,4.939864,4.859864,3.979864,4.719864,4.3798639999999995,5.539864,5.499864,4.099864,4.319864
8,4,1,5.999093,4.519093,4.726364,5.519093,6.379093,5.134849,9.006364,6.6990929999999995,5.719093,4.813031,5.599093,5.579093,4.859093,4.839093,4.559093,4.759093,3.679093,5.619093,3.9415150000000003,6.7390929999999996,5.039093,5.259093,6.159093,4.879093,3.844546,5.999093,5.479093,5.579093,5.439093,3.939093,5.904546,6.219093,4.862273,7.839092999999999,5.726364,6.231299,5.739093,5.279093,4.239093,5.319093,4.974849,5.519093,7.099092999999999,5.979093,5.259093,7.399093,5.308637,5.539093,5.239093,5.479093,6.039093,5.359093,4.399093,3.721137,5.459093,5.586364,4.479093,5.319093,4.839093,6.179093,5.879093,4.524546,4.819093
9,4,2,6.353832,4.833832,5.0819160000000005,5.913832,6.753832000000001,5.393832,9.373832,7.133832000000001,6.113832,5.173832,5.993832,5.913832,5.353832,5.353832,4.873832,5.213832,4.073832,6.013832,4.281916000000001,7.113832,5.533832,5.653832,6.553832000000001,5.313832,4.0819160000000005,6.573832,5.873832,5.953832,6.033832,4.313832,6.213832,6.553832000000001,5.233832,8.233832000000001,5.973832,6.511916,6.153832,5.913832,4.613832,5.681916,5.033832,5.953832,7.553832000000001,6.653832,5.653832,7.8138320000000006,5.693832,5.933832,5.673832,5.873832,6.333832,5.701916000000001,4.671916,4.0019160000000005,5.837944,5.993832,4.913832,5.673832,5.293832,6.573832,6.313832,4.873832,5.333832
